c	Clostridia	Actinomycetia	Verrucomicrobiae	Negativicutes	Bacilli	Methanobacteria	Coriobacteriia	Bacteroidia	Gammaproteobacteria
Healthy	0.865290568604777	-0.411392195257313	-5	0.802783300182877	-0.617982957425132	-5	-5	1.83470604885608	-0.890826578574528
Healthy	0.73434690347996	-0.30756731148585	-5	-5	-1.01295971302073	-5	-0.500381640299993	1.87756621627172	0.776060890414528
Healthy	1.07126582915093	-5	-0.264648654831209	1.0643010907268	-0.654998961821958	-0.21511893041391	-5	1.52954173713065	1.12155820285983
Healthy	1.38189538704128	-5	0.282975385635692	-0.647335200348899	-1.85047298624565	-1.70289634985074	-0.674217602484195	1.72075193832482	0.155405883408257
Healthy	1.14788152240164	0.714166239729455	-5	-1.708409174342	-0.498803757972911	-5	-2.43297363384094	1.75082293228829	0.361376481869873
Healthy	1.60449356953884	0.992401068294658	-5	0.610621841297843	-0.201985035648513	-5	-0.690433704106227	1.30595723893257	-0.652923803930265
Healthy	1.52805960109978	-0.135524518308971	-0.0582550850508751	0.352346553933043	0.376981866455769	-5	0.045334716316743	1.54381968098756	-2.03105031901866
Healthy	1.33111923301633	0.412347969086344	0.263893965288644	-5	-5	-0.265648292705235	-0.35269528819389	1.73847446323237	0.0660723575773765
D015179	1.42970868691866	-2.0893755951108	-5	0.36795010638556	-0.0769529614797156	-5	-0.512720183556931	0.531832595259028	1.54559086179945
Healthy	1.24428503948943	-0.29654525468797	-5	0.679156150418852	-0.703290943824397	-5	-5	1.82034604693572	0.585749411171379
Healthy	0.998936849760302	-5	0.886332206961341	-5	-5	-5	-5	1.81557104127818	-0.641284886197868
Healthy	0.934940600473388	-2.17392519729917	-5	-5	-1.19348086591929	-5	-0.502144659868822	1.88378086390612	0.138826693810669
Healthy	1.20670501205503	-0.868060704789575	0.728773262075445	-5	-5	-5	-0.63520519282589	1.72431978848234	-0.361580635137367
D015179	0.598282621392901	-5	-5	0.379818389488834	-1.26648174856551	-5	-5	1.66349154686969	-0.379738986175746
D015179	1.34311364612461	0.574388979023984	-5	0.223690590020065	-0.772216099146282	0.127542113597888	0.025457432170485	1.27246658712754	-1.57888987020657
D015179	1.1124350706838	-1.50334706074908	-2.73992861201493	-0.62016893231046	0.0712300765128468	-5	-1.32605800136591	1.88146317650607	-0.418904075893949
Healthy	0.924075016220443	-5	-5	0.430155711970019	-2.53461714855158	-5	-5	1.88066745045934	-0.21175383062718
Healthy	1.34583072467652	0.907689155879493	0.676698181121668	-0.823069915549494	0.390341518926754	-2.14508697769214	0.00338297259828993	1.64240941377882	0.329157781394064
D015179	0.933095334891125	1.58367850070157	-5	-5	-0.730440359961179	-5	-5	1.16927433453282	0.697992611338903
Healthy	0.857495929293535	-1.65600093094284	0.855072517386656	0.968602946685977	-0.447623844747437	-5	-0.160239219038679	1.73645522766992	0.124950679542338
Healthy	1.71085495437172	0.362126071357915	-1.49620931694282	-0.0872732432574975	-1.57121748850305	-1.22929523178422	-0.386433001228715	1.56350540995057	0.272560963861557
Healthy	1.92861657958856	-5	-5	-0.581019618754964	0.485269866168583	0.317892088957648	0.566215868865457	0.341693638960031	-5
D015179	1.43433029586781	1.2302273746933	0.210315843943177	0.976623677118786	-5	0.460718978789478	-5	1.49920111566815	-5
