group	Lachnospirales	Oscillospirales	Erysipelotrichales	Enterobacterales	Coriobacteriales	Lactobacillales	Peptostreptococcales	Desulfovibrionales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Acidaminococcales	Desulfovibrionales
Healthy	6.33331	11.98098	1.26624	1.08785	0.22602	0	0.0182	0.29804		42.56931	6.33331	11.98098	0.49436	5.195	0	0.50179	0.22602	0	0.29804
Healthy	0.00094	0	0	86.41751	0	0.22892	0	0		0.05164	0.00094	0	0	0	0.22892	0	0	0	0
Healthy	21.55607	3.98991	0.0673	0.11696	0.17798	0.09358	0	0.16147		61.38019	21.55607	3.98991	0	0	0.09358	0	0.17798	0	0.16147
Healthy	0	0.25159	0.02798	3.9748	0.00219	3.59098	0.02357	0		0.01931	0	0.25159	0.04244	0.00841	3.59098	0	0.00219	0	0
Healthy	1.72277	1.15541	0	0.09795	0	0	0	0		92.92764	1.72277	1.15541	0	1.66666	0	0	0	0	0
Healthy	1.17854	2.17255	0	0	0.11605	0	0	0.03182		43.38378	1.17854	2.17255	0	0	0	0	0.11605	0	0.03182
Healthy	4.22058	1.07347	0	0	0.571	0.25024	0	0.01125		56.61767	4.22058	1.07347	15.1182	0	0.25024	0	0.571	0	0.01125
Healthy	12.86174	11.12191	0.10518	0.08321	0.14804	0	0	0.20998		52.15726	12.86174	11.12191	0	1.05654	0	0	0.14804	0	0.20998
Healthy	26.41081	2.31532	0	0	0.01375	0.00441	0	0		61.05334	26.41081	2.31532	3.44835	0.01073	0.00441	0	0.01375	0	0
Healthy	5.7435	4.54787	0	0.15123	0.00226	0.00552	0	0.07482		70.56182	5.7435	4.54787	2.88164	0.14766	0.00552	0.0539	0.00226	0	0.07482
Healthy	1.35877	1.72019	0.00711	0	0.13383	0.04713	0	0		83.56988	1.35877	1.72019	0	0.83505	0.04713	0	0.13383	0	0
Healthy	26.62906	20.95643	0.02471	2.8125	0.29421	0.04653	0.00354	0.05661		37.34462	26.62906	20.95643	0	0.00071	0.04653	0	0.29421	0	0.05661
Healthy	46.55662	0.12429	11.24847	0	0	0	0	0		20.76636	46.55662	0.12429	0	0	0	0	0	0	0
Healthy	25.0635	7.03706	1.00134	0.08119	0.26964	2.82676	0	0.01742		49.42088	25.0635	7.03706	0.25302	0	2.82676	0	0.26964	0	0.01742
Healthy	56.88681	10.26378	1.13999	0	0.17433	0	0	0.01529		7.28498	56.88681	10.26378	0	0	0	3.78245	0.17433	8.81102	0.01529
Healthy	12.1476	62.9997	0	0	0	0	0	0		3.61561	12.1476	62.9997	0	0	0	0	0	0	0
Healthy	2.9794	4.74411	0.03085	0	0.24373	0.04301	0	0.31288		65.94451	2.9794	4.74411	0	10.5195	0.04301	0	0.24373	0.86272	0.31288
Healthy	4.23484	5.63306	0.30044	0	0.63218	0	0	1.50048		77.56292	4.23484	5.63306	0	0	0	0.09708	0.63218	0.06803	1.50048
Healthy	13.98492	6.99823	0.86835	3.85851	0.4326	0.9221	1.16392	0		22.77193	13.98492	6.99823	1.49325	0	0.9221	0	0.4326	0	0
Healthy	22.45504	29.68041	2.20829	0.00058	2.46417	0.15545	0	0.00355		10.42839	22.45504	29.68041	0	6.51919	0.15545	0	2.46417	0	0.00355
Healthy	25.21853	12.88211	0.12104	1.02549	0.18648	0.75708	0.28618	0.01117		44.35637	25.21853	12.88211	0.05609	0.00699	0.75708	1.82276	0.18648	1.22966	0.01117
Healthy	29.12875	11.49644	0	0.19515	0.33473	0	0.05986	0		50.42891	29.12875	11.49644	0	0	0	0	0.33473	0	0
