group	Phytobacter	Streptococcus	Ruminococcus_B	Dorea	Clostridium_A	Lactococcus	Longicatena	Rothia	Gordonibacter	Eggerthella	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Haemophilus_D	Ruminococcus_C
Healthy	0	0.09358	0	0.02254	0	0	0	0	0	0	0	0.1845	0	0	0.1208	0	0.02254	0	0.11696	0
Healthy	3.89743	0.00367	0	0	0	0	0.02798	0	0	0.00219	0	0	0	0	0	0	0	0	0.00589	0
Healthy	0.09795	0	0	0	0	0	0	0	0	0	0	0	1.07384	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.1764	0	0	0	0	0	0	0.01772	1.09337	0	0	0	0	0	0	0
Healthy	0	0.25024	0	0.18785	0	0	0	0	0	0	0	0.03468	0.04741	0	0.0369	0	0.18785	0.081	0	0
Healthy	0.08321	0	0	0.16507	0.00235	0	0	0	0	0	0	2.18279	0.58052	0.9071	0.57222	1.53566	0.16507	0.50664	0	0.28584
Healthy	0	0.00441	0	0.09942	0	0	0	0	0	0	40.4897	0.58787	0.47482	0.22621	0.1772	0.30236	0.09942	0.089	0	0
Healthy	0.15123	0.00552	0	0	0	0	0	0	0	0	0	0	0.04264	0.02999	0.03083	0	0	0	0	0
Healthy	0	0.04713	0.00185	0.06279	0	0	0.00235	0	0	0	0	0.26184	0.00963	0	0.00565	2.92008	0.06279	0.00253	0	0
Healthy	2.8125	0.04653	0.0157	0.27478	0	0	0.01801	0	0.00348	0	3.81452	0.00798	0.14049	0.42331	0.29976	1.89042	0.27478	0.01153	0	0.19191
Healthy	0	0	0	0.1677	0	0	0	0	0	0	6.31915	0.31804	0.30085	0.4936	0.13302	0	0.1677	0	0	0
Healthy	0	2.16794	0	0.51624	0.07551	0.13	0	0	0	0	0	1.24791	0.30949	0.32437	0.42806	0.28279	0.51624	0.3205	0.08119	0
Healthy	0	0	0	0.2229	0	0	0	0	0	0	2.16791	0.67365	0.36316	0.18274	0.21301	0.36175	0.2229	0	0	0
