g	Blautia_A	Anaerostipes	Dorea	Intestinibacter	Eubacterium_G	Coprococcus_A	Haemophilus_D	Longicatena	Eggerthella	Rothia
Healthy	-5	-5	-5	-5	-5	-5	-0.207216221563871	-5	-5	-5
Healthy	-0.140033548984077	-5	-0.0421964389548506	-5	-5	-0.549981960843793	-5	-5	-5	-5
Healthy	-0.0431691033746452	0.519202999946127	0.179798740289775	-1.87192398733128	-1.32020882901965	-5	-5	-0.242368665577062	-5	-5
Healthy	-0.177531158140587	-1.11153968196461	-0.166247466282126	-5	-0.0345536949226186	-0.526191989680166	-5	-5	-5	-5
Healthy	-0.525201181199369	-0.526513029935432	-5	-5	-1.43699381293821	-0.501951480646388	-1.17327747983101	-5	-5	-5
Healthy	-0.922959301657539	-5	-1.09119340059433	-0.400936094120583	-5	-0.660071792221486	-0.896914998158385	-5	-5	-5
Healthy	-1.30900696790013	-5	-1.77650405903761	-5	-5	-5	-5	-1.93255715722362	-5	-5
Healthy	-0.486915639534856	-5	-1.11952940719622	-5	-5	-5	-5	-5	-5	-5
Healthy	0.439512691327675	-0.730253626869233	-1.64646844092224	-5	-5	-5	-5	-0.278890425265589	-2.95467702121334	-5
D003922	-0.425656152760436	-0.591217505595856	-0.782595025598458	-1.9734667354767	-1.64225567481962	-0.287746056946208	-2.01099538430146	-1.30618514611058	-5	-5
Healthy	-0.623131178361331	-5	-1.36572430537406	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.410843794106908	-1.13703424102224	-0.864295029873275	-1.73969005420508	-1.2476441958465	-1.00283212855417	-1.83863199776502	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.917897115672906	-5	-1.64685345378602	-5	-5	-1.63808338133136	-0.931925510092352	-5	-5	-5
Healthy	-5	-5	-5	-1.62745619924093	-5	-5	-2.22914798835786	-1.55299710153384	-2.65757731917779	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.43285595480434	-1.09146136782804	-0.726165681999441	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.242429377406458	-0.295291953012556	-0.782305539794622	-5	-0.158546672004477	-5	-5	-5	-5	-5
Healthy	-0.751511774422557	-1.0505611989635	-1.00248256058528	-5	-5	-1.16285365609094	-5	-5	-5	-5
Healthy	-1.51088563062108	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-2.24718356881173	-2.59516628338006	-1.2020403562628	-5	-1.92081875395238	-5	-5	-2.62708799702989	-5	-5
Healthy	-0.523211832082725	-1.93779419118029	-0.560999075920497	-2.44977164694491	-1.46331532737907	-0.952608297799556	-5	-1.74424521335696	-5	-5
Healthy	-0.876050408918173	-5	-0.775441041059158	-5	-0.0737244522264592	-5	-5	-5	-5	-5
Healthy	-0.36848520732334	-0.494158415826699	-0.287139935335543	-5	-0.911120043891948	-0.631155493174179	-1.09044397075882	-5	-5	-5
Healthy	-0.671579619651049	-5	-0.651870448130786	-5	-5	-1.14351278713137	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-1.02928129627981	-5	-5	-5	-5	-5
Healthy	-5	-5	-2.00436480540245	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.632998369161559	-0.227722311840414	-1.75721019052132	0.0659268621627721	-5	-0.702567795189831	0.586420755685396	-5	-5	-5
Healthy	-0.406237799619208	0.235583992649478	-1.34891591075699	-5	-3.42021640338319	-5	-3.22914798835786	-0.227736985686373	-2.65560772631489	-5
Healthy	0.000529516328599164	-0.129888844635599	-5	-0.543345545351551	-1.44502654166676	-5	-0.84545430757909	-1.13282724882135	-1.79290445958078	-3.46852108295774
Healthy	-0.894319537054191	-0.801480369758832	-0.880777113076417	-1.22279074185432	-0.258753828255909	-5	-0.709609190559771	-5	-5	-5
Healthy	-5	-5	-5	-5	-0.0643667969605717	-5	-0.0902675076251021	-5	-5	-5
Healthy	0.453339748402282	0.383872789553423	0.406276117250953	-5	-0.0673689842516495	-0.22858891817962	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.86423148543218	-5	-5	-0.48192057189613	-1.13106182166709	-1.40837896178668	-5
