s	Bifidobacterium_pseudocatenulatum	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Enterocloster_asparagiformis	Enterocloster_citroniae	Gordonibacter_pamelaeae	Schaedlerella_glycyrrhizinilyticum	Rothia_sp001808955	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Bacteroides_uniformis	Butyrivibrio_A_crossotus	Dialister_invisus	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Phascolarctobacterium_faecium	Mediterraneibacter_torques	Bifidobacterium_sp002742445	Flavonifractor_plautii	Desulfovibrio_sp900556755
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-2.05012229596312	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.08916223500732	-1.91506642506328	-5	-5	-5	-5	-5	-5	-5	-1.60015328728708	0.505635573692243	-5	-5	-5	0.696705780933917	-5	-0.733980091146502	-5	-0.891604126992538	-0.791881259261723
Healthy	-5	-3.03151705144606	-5	-5	-5	-5	-5	-5	-5	-5	-3.88605664769316	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-0.545734585683723	-1.55237690223971	-5	-5	-5	-5	-5	1.22448670431068	-5	-5	-5	-5	-5	-5	-5	-5	-1.3737623148531	-5
Healthy	-5	-5	-5	-0.970819211092453	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.945885099489414	-5	-1.75129126439908	-5	-1.1193007107813	-5
Healthy	-1.11667932161702	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17950037362933	-5	-5	-0.578708746081139	-5	-1.45979570015794	-5	-0.839681562015998	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17631732286908	-5	-5	-1.91292879409346	-5	-0.287501822878101	-5	-0.358545720746933	-0.148466481407442	-1.07391491307486	-5
Healthy	-5	-5	-2.35457773065091	-5	-5	-5	-5	-5	-5	-5	0.712653068238053	-5	-5	-5	-5	-0.930516906065389	-5	-0.230711314496045	-5	-0.99939241293711	-5
Healthy	-5	-2.2572748686953	-5	-5	-5	-5	-5	-5	-5	-5	0.416074390922394	-5	0.459641231058366	0.0726983021759262	-1.26833066817136	-5	-5	-5	-5	-1.6615435063954	-1.57511836336893
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.1902423083652	-5	-5	-5	-5	0.185063118628386	-5	-1.02177381832547	-5	-0.982340725716235	-5
Healthy	-1.66534523311676	-1.53135733160849	-5	-2.12090412049993	-1.41975949173462	-2.45717457304082	-2.70996538863748	-5	-5	-5	0.266346959993183	-5	-5	-1.74136271727592	-5	-5	-5	-2.09745322068601	-5	-2.31515463835559	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.577514777773365	1.53345950295347	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	0.0646638559132812	-0.0472559759851017	-5	-5	-5	-5	-5	-1.36723911152056	-5	0.917185053222242	-1.50100063641985	-5	-1.75129126439908	-5	-0.335480245715309	-5	-0.181562950683865	-5	-1.70443290003752	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0395530070426069	1.64913918737116	-5	0.0472203337116203	0.571418817232743	-5	0.918528335883243	-0.546895801567791	-1.35595550718525	-5	-1.8153085691824
D037841	-0.108456967337777	-1.0761345248145	-1.71489297043319	-5	-2.69464863055338	-2.22402566887063	-5	-2.05998184499234	-5	-5	0.289925467240691	-5	-5	-5	-5	0.519902775208525	-5	-3.35654732351381	-5	-3.61978875828839	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.01595922122436	-5	-5
Healthy	-5	-1.36632959394856	-5	-5	-5	-5	-5	-5	-5	-5	0.160078181020871	-5	-5	-5	-5	-1.09371884422785	-0.0641250998316844	-1.44069198909299	-5	0.118029819401328	-0.639520191828058
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.670184602097339	-5	-5	-0.482553366080614	-1.01282549891246	-5	-1.16723569505947	-0.152353319697824	-5	-0.872474075412306	-5
Healthy	-5	-0.0352172681616929	-5	-5	-5	-5	-5	-5	-5	-5	0.827397708071147	-5	-0.702108235845345	-0.812281917432395	-5	-5	-5	-1.48651604329574	-5	-5	-5
Healthy	-5	-0.970129435996048	-2.20342566678957	-1.38268506670171	-2.62708799702989	-1.07443009045662	-0.588986709516126	-5	-2.07520400420209	-5	-0.145845835969974	-5	-5	1.12238333615774	-5	-1.61510920346945	-5	-1.34949820512163	-5	-1.10513034325475	-5
Healthy	-5	-1.10751582063531	-0.92804438969702	-1.42227847549098	-5	-1.81050968630063	-5	-3.46852108295774	-1.56415563401556	-5	1.19271823159813	0.290666662149281	-5	0.134760239335744	0.209906239476122	0.248137629211972	0.0897885777744039	-1.79021698515148	-5	-1.44502654166676	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.910562510847628	-5	-5	-5	-5	-5	-5	-0.812874271898271	-5	-1.5665502062384	-5
Healthy	-5	-0.0955495471875633	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.992956257350609	-5	-0.0874644290628096	-5	-5	0.504940923792709	0.585365964010382	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.561875026907443	-5	-5	-5	0.485932845201798	-5	-5	-0.937192466827841	-5	-5	-5
