group	Enterobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Coriobacteriaceae	Veillonellaceae	Lactobacillaceae	Eggerthellaceae	Micrococcaceae		Lachnospiraceae	Rikenellaceae	Bifidobacteriaceae	Dialisteraceae	Coriobacteriaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Eggerthellaceae
Healthy	3.966	0.00367	0.02798	0	0	0.04244	3.58269	0.00219	0		0	0.01919	89.8523	0	0	0.02798	0.0088	3.58269	0.02357	0.00219
Healthy	0.09795	0	0	0	0	0	0	0	0		1.72277	1.42524	0.11834	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.11605	0	0	0	0		1.17854	15.98344	0	0	0.11605	0	0	0	0	0
Healthy	0	0.25024	0	0	0.571	0	0	0	0		4.22058	15.10948	0.43511	15.1182	0.571	0	0	0	0	0
Healthy	0.08321	0	0.10518	0	0.14202	0	0	0.00602	0		12.86174	5.89204	1.32525	0	0.14202	0.10518	0	0	0	0.00602
Healthy	0	0.00441	0	0	0.01375	0	0	0	0		26.41081	0.8965	0.01689	3.44835	0.01375	0	0	0	0	0
Healthy	0.15123	0.00552	0	0	0	0	0	0.00226	0		5.7435	16.07393	4.34504	2.88164	0	0	0	0	0	0.00226
Healthy	0	0.04713	0.00711	0	0.13383	0	0	0	0		1.35877	6.16719	0.06193	0	0.13383	0.00711	0	0	0	0
Healthy	2.8125	0.04653	0.02471	0	0.24	0	0	0.05421	0		26.62906	5.44351	0.0216	0	0.24	0.02471	0	0	0.00354	0.05421
Healthy	0	0	2.64033	8.60814	0	0	0	0	0		46.55662	0	0	0	0	2.64033	0	0	0	0
Healthy	0	2.29794	0.15335	0.84799	0.23481	0.25302	0.52882	0.03483	0		25.0635	20.28008	0.33771	0	0.23481	0.15335	0.08119	0.52882	0	0.03483
