group	Faecalibacterium_sp900539885	Agathobacter_rectalis	Enterocloster_aldenensis	Bariatricus_comes	Blautia_A_wexlerae	Streptococcus_sp001556435	Dorea_formicigenerans	Eubacterium_G_ventriosum	Eubacterium_I_ramulus_A	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Dialister_invisus	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	3.41433	5.97746	0.39719	0.20512	0.48211	0.01515	0.27323	0.07197	0.10492	0.13775	2.68607	0.20227	0	2.12136	0.98932	13.66	0.05137	0.02715	0	0
Healthy	1.53945	1.09398	0	0.07182	0.03057	0	0	0	0	0	1.01533	0.76767	6.52691	0	0	0	0	0.30461	0	0
Healthy	7.21216	3.50391	0.17504	0.77811	0.3583	0.68184	0.61097	0.02721	0.2393	0.38593	3.6752	0.41621	0	0	0.84408	0	0.00799	0.08103	0.08967	0
Healthy	2.32887	0.80584	0.24956	0.19851	0.15394	0.07793	0.05519	0.17099	0	0.0431	3.16585	0	0	0	0	0.4474	0.0229	0.87624	0	0.0029
Healthy	3.25208	1.9529	0.66853	0.07911	0.03842	0.09111	0	0	0	0	3.49492	0.00187	7.61668	0	1.23081	0	0.04588	0.07362	0.11188	0
Healthy	2.3511	3.54592	0.05731	0.01996	0.00704	0.01041	0	0	0	0	2.86367	0.23102	2.84921	0	0.77326	0	0.03195	0.01522	0.26229	0
Healthy	9.38873	7.71462	0	1.14539	0.84157	0	0.65431	1.43135	0	0.07108	3.52081	0.36156	0	0.04924	0	0.07713	0	0	0	0
Healthy	0.46439	0.54871	0.56265	0.2839	0.29937	0.05216	0.07348	0.6286	0	0	22.0857	0	0.82615	0	0	0	0	0.03935	0	0
Healthy	3.67723	2.92042	0.24163	0.34916	0.38507	0.00917	0.20709	0	0.06404	0.50052	3.72208	1.67966	10.2571	0	0.45607	0	0.0182	0.21041	0.02565	0.00503
Healthy	4.42476	6.35843	0.21165	0.07924	0.27329	0	0.20591	0	0	0.02838	15.1491	0.19415	1.84818	0	0	0	0	0	0.05455	0
Healthy	13.536	2.10907	0.80868	0	1.65986	0	0.43921	0.90402	0.55027	0.6619	1.26494	0.05212	9.46156	0	0	0	0	0	0	0
Healthy	3.78626	3.4047	1.03824	1.37517	0.25213	0.02218	0.46545	0.90442	0.01954	0.1537	4.5783	2.2917	0	0	3.30425	3.90124	0.09568	0.02063	0	0.00098
Healthy	1.90978	1.43889	0.01573	0.01663	0.03551	0	0	0	0	0	33.2206	2.54691	6.24256	0	1.03995	0	0.06004	0.06169	0.29286	0.03838
Healthy	0.00368	0	0	0	0	0.85477	0	0	0	0	2.12207	0.00031	0	10.9103	0	0	0	0	0	0
Healthy	9.59753	2.38036	0.96456	0.7182	0.20371	0.05273	0.06101	0.02461	0.21786	0.13245	4.60278	0.28383	0	0	2.06509	0.69698	0	0.2895	0	0
