c	Gammaproteobacteria	Coriobacteriia	Desulfovibrionia	Actinomycetia	Verrucomicrobiae	Bacilli	Methanobacteria
Healthy	-0.361580635137367	-0.63520519282589	-0.488584592791225	-0.868060704789575	0.728773262075445	-5	-5
Healthy	-0.21175383062718	-5	-2.14146280243036	-5	-5	-2.53461714855158	-5
Healthy	0.329157781394064	0.00338297259828993	-1.04793440981495	0.907689155879493	0.676698181121668	0.390341518926754	-2.14508697769214
D006973	0.200486610383238	-0.240944375375975	-3.17392519729917	-0.792123378408028	-5	-1.53476590501199	-5
Healthy	0.124950679542338	-0.160239219038679	-0.747244028911427	-1.65600093094284	0.855072517386656	-0.447623844747437	-5
Healthy	0.272560963861557	-0.386433001228715	-0.829591588274682	0.362126071357915	-1.49620931694282	-1.57121748850305	-1.22929523178422
Healthy	-5	0.566215868865457	-5	-5	-5	0.485269866168583	0.317892088957648
Healthy	-0.266626163055293	-0.827718238544999	-5	-5	-5	-0.614500972847943	-5
Healthy	-1.11025022473596	-0.632196967250993	-5	0.272340642245293	-5	-0.312506711255048	-5
Healthy	0.761782798918629	-0.291324207273463	-5	-5	-5	-1.7680209731685	-5
Healthy	0.855023401569893	-0.133411418224968	-5	-5	-5	-1.77806440017199	-5
Healthy	-1.1253442674019	-1.4386600585411	-5	0.0755615592810349	-5	-1.67964596718233	-5
Healthy	0.473590604448907	-1.1114274031424	-0.258422985219577	-5	-5	-1.26656197290894	-5
Healthy	0.801618402870708	-1.44708854978349	-5	-0.632401836320167	-5	-0.237839297913818	-5
Healthy	-0.978852064279005	-0.833066905128846	0.209152951593855	0.434388442735579	1.23550344900574	-5	-5
Healthy	1.89967569522853	0.169395196975156	-5	0.736743798962006	0.547602429785681	-0.869827111107464	-5
Healthy	0.310674198718182	-1.98171569157347	-5	-0.12731939284807	-5	-0.526542227184554	-5
Healthy	0.954119441900728	-5	-5	-1.88706002391592	-5	-5	-5
Healthy	-5	0.58910475277915	-5	0.410247323940247	-5	1.08418899343258	-5
Healthy	-1.15645578805436	-0.662820374590166	-5	0.698566791937309	-5	0.0754119076576232	-5
Healthy	-5	-0.973099191109745	-5	-5	-1.16966800654804	-5	-5
Healthy	0.94718709417019	-5	-1.3763372926438	-5	0.483737027872602	-2.70774392864352	-0.242004572723122
Healthy	0.276783384700269	-1.10690433390377	-1.49039429538844	-0.504997133561376	0.262472447950243	-0.153743320221921	-0.819845440546652
Healthy	0.00609363020820083	-0.0108217012429983	-0.394608750110711	-0.485691374343224	-2.3585258894959	-0.465237994969973	-5
Healthy	-0.951519352526498	0.0936807835974929	-0.093761957868654	0.080749110907479	-0.286727919126105	-0.0678104461845136	-5
Healthy	-5	-1.07644514193245	-5	0.723572234494289	1.40411516877084	-0.0862603017850711	-5
Healthy	-1.74836177955179	-0.41999931041096	-1.03198428600636	0.138754129723719	-0.268604655755548	-1.63413778459744	-1.57823159879308
Healthy	0.246786537772904	-0.645833914968581	-0.525710873834504	0.508095881195523	0.71558638787792	0.102519458368337	-0.299469343021408
Healthy	1.9366017988212	-5	-5	-1.64282774227697	-5	-0.640297291725886	-5
Healthy	0.724212769403576	-0.749604396942884	-0.791881259261723	-5	-5	-0.793470948317269	-5
Healthy	0.65769916511523	-2.65757731917779	-5	1.95902530881005	-2.07468790850035	0.559402646841045	-5
Healthy	-0.162676764352586	-5	-5	-0.926831737734898	0.221849618204452	-5	-5
Healthy	-0.945885099489414	-0.935317433771488	-1.497163361379	-5	-5	-5	-5
Healthy	-0.534498180058329	-0.243356285962926	-1.94846160948467	-0.361390954192885	-5	-0.601625913848644	-5
Healthy	-0.222551427179631	-0.829591588274682	-0.677801386448108	0.122301089961987	0.0238900543559375	-0.97802554488994	-5
Healthy	-0.930516906065389	-1.86138156610051	-5	-1.77211329538633	-1.96899571863646	-2.35457773065091	-5
Healthy	-0.41002807048314	-2.64397414280688	-1.12592425477697	0.637994778390935	-0.830707725120064	-2.2572748686953	-1.26833066817136
Healthy	0.185063118628386	-0.873414072045662	-5	-1.20802879897923	-0.0782823188484275	-1.26560025747943	-5
Healthy	0.449094075274832	-0.531327808853853	-1.24703013497092	-1.66534523311676	-3.14266750356873	-1.14721513131945	-5
