group	Lachnospiraceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Peptostreptococcaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Acutalibacteraceae	Dialisteraceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
D003924	8.69157	0.011	10.17355	0.00068	2.70249	0	0.02304	0.05078	0.26675	0	0.73987	8.50596	10.2782	0	10.17355	0.00068	0.03253	0	0.26675	0
Healthy	12.86415	0	0	0	0	0	0.14265	0.35363	0	0	31.97894	2.6742	0	0.32705	0	0	0	0	0	0.15438
Healthy	4.04901	0.06243	0	0	0	0	0.04	0	0	0	73.8556	0.15275	0	0	0	0	0.96798	0.09831	0	0
Healthy	58.92111	0.11515	0	0	0	0	0	0	0	0	11.09524	6.37254	4.25365	3.21156	0	0	0	0	0	0
Healthy	2.98722	0	0.19064	0	0	0	0.14147	0	0	0	55.62337	0.9626	6.31044	0	0.19064	0	0.69402	0.10029	0	0
Healthy	15.91284	15.69812	2.82554	0	0	2.57172	0	0	0	0	7.9325	6.10013	2.39552	1.04718	2.82554	0	0	0	0	0
Healthy	15.08024	0.33687	1.73487	2.16701	0.13116	0	1.6957	0.04743	0	0.00149	35.33617	1.98987	0	0	1.73487	2.16701	0.00299	0.03635	0	0
Healthy	2.94694	0	0	0	0	0	0.24099	0	0	0	55.27272	0.6039	6.35013	0	0	0	1.74357	0	0	0
Healthy	3.31311	0	0.31594	0	0	0	0.09705	0	0	0	48.31908	0	0	0	0.31594	0	0.02547	0.20315	0	0
Healthy	4.67955	0	0	0	0	0	0.2213	0	0	0	21.6074	1.94348	11.5958	0.60936	0	0	0	0	0	0
Healthy	4.47133	0.0109	0.14616	0	0	0	0.0032	0	0.06556	0	23.01477	11.74687	0.22524	0.01981	0.14616	0	0.04391	0.0924	0.06556	0.04067
Healthy	4.96469	0.25644	0	0	0	0.00715	0.03527	0.09932	0.00368	0.02165	50.28392	0	0	0	0	0	0.00521	0	0.00368	0
Healthy	26.02253	0.54071	0	0	0	0.06233	0.02503	0.0908	0.20396	0	12.62376	4.72778	4.06746	0	0	0	0.52013	0.06614	0.20396	0
Healthy	15.93214	2.28461	0.73212	2.25084	0.003	0	0.08713	0	0.3762	0	21.2982	0.10521	0	0	0.73212	2.25084	0.01037	0.28312	0.3762	0.13753
Healthy	13.86684	0	0.38165	0	0	0	0	0.12217	0.06226	0	23.61452	2.58589	0	0.54243	0.38165	0	0.14019	0	0.06226	0.03883
Healthy	13.69074	0.19801	0	0	0	0	0	0	0	0	53.80599	0	4.47702	0	0	0	0.1008	0.01952	0	0
Healthy	5.4809	0	0	0	0	0	0	0	0	0	52.2867	0	0	0	0	0	0.0164	0	0	0
Healthy	5.82858	0.06404	0.3144	0	0	0	0	0.0709	0.00026	0	75.92255	0	0	0	0.3144	0	0.13021	0.04377	0.00026	0
Healthy	7.62617	0	0.14095	0	0	0	0	0	0.09067	0	12.59197	0.08852	0	0	0.14095	0	0	0.32464	0.09067	0
