group	Alistipes	Prevotella	Phascolarctobacterium	Phytobacter	Parasutterella	Alistipes_A	Paraprevotella	Bilophila	Coprobacter	Eggerthella	Bacteroides	Parabacteroides	Mediterraneibacter	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Clostridium_A	Parasutterella	Holdemania
Healthy	7.43394	0	0	0.08761	0.00829	0.21338	0	0.0616	0	0	3.14729	0.36746	0.11915	0	1.03624	0.01542	0.21338	0.14094	0.00829	0.02442
Healthy	9.43069	0	0	0	0.19327	1.12029	0	0.0663	0.01633	0	14.58237	0.23943	0.00251	0	1.48318	0.05382	1.12029	0	0.19327	0
Healthy	1.06491	0	0	0	0	0	0	0	0	0	29.92045	50.7413	0.04221	0	0	0.00906	0	0	0	0.51735
Healthy	13.90556	0	0	0	0.002	0	0	0.10324	0	0.01763	34.6117	2.8454	0.02034	0	0	0.20742	0	0.11266	0.002	0
Healthy	3.04812	26.4523	0	0	0	0.17996	0	0	0.20979	0	9.98078	2.0217	2.85395	4.30761	0	0	0.17996	0	0	0
Healthy	29.0909	0	0	0.36426	0.00901	0.25254	7.35823	0.04112	0	0	7.61737	4.8622	0.23593	0	1.4674	0	0.25254	0	0.00901	0
Healthy	0	0	0	0.91721	0	0	0	0.01514	0	0.03312	24.34593	0.10923	1.13657	0	0	0.04847	0	0	0	0
Healthy	15.42641	0	0	0.14705	0.24334	0.02569	0	0.05915	0.02025	0	37.7005	4.39784	0.26291	0	0.71018	0	0.02569	0	0.24334	0
Healthy	13.77824	0	0	0.05728	0.01697	0.03009	1.7138	0	0.29606	0	21.7959	9.50977	0.15612	1.44167	2.31782	0.16032	0.03009	0	0.01697	0
Healthy	6.69569	0	0	0.18304	0.06115	0.17786	0	0.00573	0.00194	0	7.95144	2.35053	0.01434	0	0.69215	0.02311	0.17786	0.01879	0.06115	0.02391
Healthy	6.19704	0	2.04301	0.09665	0	0.05137	0.55764	0	0.17639	0	20.9233	6.40451	1.58654	2.12136	0.98932	0.02715	0.05137	0.11644	0	0.02074
Healthy	0.62418	9.96416	0	0	0	0	0.02616	0	0	0	3.11062	0.42982	3.38375	0	0	0.30461	0	0	0	0
Healthy	2.5474	0.09981	0	0	0.08967	0.00799	0	0	0	0	18.04438	1.44495	0.93048	0	0.84408	0.08103	0.00799	0.00619	0.08967	0.06243
Healthy	6.94673	10.11089	2.52302	0	0	0.0229	0.26652	0.02023	0	0	6.97932	1.38836	0.44989	0	0	0.87914	0.0229	0.0461	0	0.04669
Healthy	15.89535	0	0	0.13388	0.11188	0.04588	0	0.06767	0.02694	0	27.8053	3.84116	0.02225	0	1.23081	0.07362	0.04588	0	0.11188	0
Healthy	15.80932	0	0	0.09389	0.26229	0.03195	0	0.06141	0.03695	0	36.80431	4.39523	0.04774	0	0.77326	0.01522	0.03195	0	0.26229	0
Healthy	0.91171	19.3017	3.95932	0	0	0	0	0	0	0	19.52836	0	2.84322	0.04924	0	0	0	0	0	0
Healthy	0.22771	0	0	0.01077	0	0	0	0	0	0	36.88523	0	0.06791	0	0	0.03935	0	0	0	0
Healthy	1.75725	0.01328	0	0.00903	0.02565	0.0182	0.95088	0.0012	0.14512	0	20.34305	17.6543	0.73978	0	0.45607	0.21544	0.0182	0.01243	0.02565	0.1441
Healthy	1.87102	0	0	0	0.05455	0	0	0	0	0	23.03575	0.28595	0.38492	0	0	0	0	0	0.05455	0
Healthy	0.82712	0	0	0	0	0	0	0	0	0	1.75458	0	1.15966	0	0	0	0	0	0	0
Healthy	6.13224	0	0	0.00336	0	0.09568	0.77448	0.03452	0.01227	0	24.21156	3.48193	0.03239	0	3.30425	0.02161	0.09568	0.03382	0	0
Healthy	8.60817	0	0	0.07286	0.29286	0.06004	0	0.07883	0	0	45.82086	5.10208	0.19409	0	1.03995	0.10007	0.06004	0	0.29286	0.163
Healthy	0	0	0.01689	16.2661	0	0	0	0.12271	0	0	2.12647	0.75704	0.18846	10.9103	0	0	0	0.00014	0	0
Healthy	8.31905	0	0	0	0	0	0	0.08855	0.16812	0	16.9332	6.52016	0.32606	0	2.06509	0.2895	0	0	0	0
Healthy	10.93459	0	0	0.02321	0.21457	0.1397	0	0	0	0	29.01246	1.47904	0.26358	0	0.55504	0.0481	0.1397	0.52165	0.21457	0.00692
Healthy	0	0	0	0.37736	0.0857	0	0	0.00251	0	0	76.44491	3.29067	0.02773	0	0	0.18962	0	0.35951	0.0857	0.01149
Healthy	4.48241	31.92376	0	0.0328	0.04583	2.15701	1.13675	1.51724	0	0	18.51345	4.94019	0.2647	0	1.31168	0.40547	2.15701	0.13615	0.04583	0
Healthy	1.29699	0	1.91706	2.17787	0	0	0	0	0	0	17.02277	1.76152	0	0	0	0	0	0	0	0
Healthy	7.01346	0	0	0	0	0.00799	0	0.06513	0	0	39.29822	1.69946	0.54828	0.15651	0	0.04008	0.00799	0	0	0.07183
Healthy	11.63986	0	0	0	1.28454	0	0	0.037	0	0	27.70954	4.03444	0.35646	0	1.39468	0.12367	0	0.00424	1.28454	0
Healthy	14.52007	0	0	0	0.26069	0.24095	0	0	0	0	20.4639	1.95304	0.04933	0	0	0.01668	0.24095	0	0.26069	0
Healthy	8.93454	7.42671	1.00509	6.343	0.00459	0.00624	0.44476	0.0128	0.05326	0	9.16337	2.08417	1.83505	0	0	0.66922	0.00624	0.05176	0.00459	0.05876
Healthy	0.12639	0.6025	2.4818	0	0.01474	0	0	0	0	0	40.71017	1.16581	1.89063	0	1.1273	0	0	0	0.01474	0
Healthy	16.12624	0	0	0	0	0	0	0.05737	0	0	11.75805	0	2.18411	0.1002	0	1.66202	0	0.20168	0	0
Healthy	0.23838	0	0	0	0	0	0.067	0.01639	0.22964	0	12.93179	2.05761	1.8025	0	1.03345	0.0234	0	0	0	0
Healthy	3.02671	0	0	16.4109	0.04035	0	0	0	0.15438	0	20.1568	1.90474	0.06129	0	0	0	0	0	0.04035	0
Healthy	1.4586	0	0	0.45378	0.08025	0.04504	0	0.09831	0	0	70.91809	8.83823	1.23277	0	0	0.59111	0.04504	0.15275	0.08025	0.04
Healthy	0	0	0	0	0	0	0	0	0	0	4.39804	0.90553	0.40197	0	0	0	0	0	0	0
Healthy	7.95025	0	5.57201	0	0	0.01655	0	0.00189	0.19878	0	9.90196	1.56111	0.19964	1.15039	1.1161	0.01676	0.01655	0	0	0
Healthy	7.21644	0	0	0	0	0	0	0.06104	0	0	39.28236	1.80397	0.46466	0.19017	0	0.04544	0	0	0	0.06868
Healthy	8.41418	0	0	0.02833	0.29889	0.02679	0	0.10029	0	0	45.09603	5.15553	0.23742	0	0.99432	0.14654	0.02679	0	0.29889	0.14147
Healthy	1.61128	0	0	1.75061	0	0	0	0	0	0	6.87234	0.24212	0.20105	0	0	0	0	0	0	0
Healthy	5.49021	0.0022	2.16701	0.14333	0.13187	0.26567	0.48709	0.03635	0	0	23.31325	0.50003	0.05105	8.85718	0.59341	0.00299	0.26567	0	0.13187	0
Healthy	5.82279	0	0	0.43307	0	0	0	0	0.38751	0	9.9529	16.59372	0.04272	2.86579	1.76986	0.06442	0	0.10797	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.10325	0	0	0	0	0.01845	0	0	0	0	16.41439	1.73068	1.59783	0	0.74523	0	0.01845	0	0	0
Healthy	11.47761	0	0	0	0.12857	0.1613	0	0	0	0	29.28272	1.43325	0.08193	0	0	1.74357	0.1613	0.6039	0.12857	0
Healthy	22.15493	0	0	0	0.0276	0.05469	0	0.18939	0	0	22.97864	2.34465	0.20381	5.92629	0.77418	0.02547	0.05469	0	0.0276	0.09705
Healthy	0.34539	0.06139	0	0.6727	0.04209	0	0	0.03612	0	0	19.89403	0.44147	0.45415	0	0.78479	0.00454	0	0	0.04209	0
Healthy	5.79551	0	0	12.8542	0.00574	0	0	0	0	0	10.87271	3.29162	0.14231	0.29073	2.25825	0	0	0	0.00574	0
Healthy	20.6628	0.15669	0	0.00825	0	0	0	0	0.04067	0	19.89786	6.53852	0.20969	1.38231	2.31492	0.03175	0	0.05467	0	0
Healthy	6.05686	8.48422	0	0.00409	0	0	0	0	0	0.00368	41.7997	0	0.01807	0.0035	0	0.00521	0	0	0	0
Healthy	5.4983	0	0	0.02165	0.00678	0	0	0.06353	0	0.00018	7.83739	2.10613	1.62393	0	0	0.13195	0	0.98499	0.00678	0
Healthy	4.54685	0	0	0.73045	0	0	0	0	0	0	3.04364	55.4244	0.13794	0.77874	0	0	0	0	0	0
Healthy	0	66.7552	0	4.12779	0	0	0	0	0	0	15.97225	0	0	0	0	0.04909	0	0	0	0
Healthy	4.3396	0	2.25084	0	0.00396	0.08978	0	0.12245	0.13753	0.00095	16.97089	4.63046	0.35965	0	0.58748	0.01037	0.08978	0.09277	0.00396	0.08713
Healthy	5.13152	0	0	1.83545	0	0	0	0	0	0	7.03082	1.44981	0.80386	0	0	0	0	0	0	0
Healthy	17.09281	0	0	0	0	0.05238	0	0	0.03883	0	21.12726	2.52603	0.17201	1.16431	1.88591	0.14019	0.05238	0	0	0
Healthy	6.97937	0	0	0	1.07698	0	0	0.01952	0	0	42.67203	4.22958	0.39585	0	0	0.04626	0	0	1.07698	0
Healthy	24.35708	0	0	0	0.35965	0.04842	0	0	0.09311	0	24.39536	6.37429	0.4696	2.82169	0	0.14537	0.04842	0	0.35965	0.0405
Healthy	11.65477	0	0	0	0.10417	0.18968	0	0	0	0	13.289	1.26783	0.1563	0	0	0.0164	0.18968	0	0.10417	0
Healthy	23.84199	0	0	0	0.433	0.06401	0	0	0.11462	0	23.86922	6.43809	0.23565	2.57858	0.81242	0.17001	0.06401	0	0.433	0.07771
Healthy	0.83706	0	0	0	0.14252	0.02107	0	0.04101	0.48525	0.00032	6.80061	2.33747	0.29763	0	3.1263	0.09093	0.02107	0.14936	0.14252	0.12349
Healthy	0.52597	0	1.62095	0.04559	0	0	0.18457	0	0	0	5.00373	0.34158	0.96308	0	0.24283	0	0	0	0	0
Healthy	0.33602	0.06453	0	1.37665	0	0.17847	0	0.04377	0	0.00026	50.35663	0.08399	0.76527	0	0	0.13021	0.17847	0	0	0
Healthy	23.11237	0	0	0.04487	0	0.01862	0	0	0	0	10.66841	15.63019	1.42142	0	0.03503	0	0.01862	0.05067	0	0
Healthy	0.62661	0	1.52412	0.09711	0.04103	0	0.125	0	0	0	3.80237	1.50426	0.15212	0	0.3186	0.01003	0	0.04397	0.04103	0
Healthy	3.03612	0	0	2.02806	0	0	0.2829	0	0.03899	0.00087	15.14737	1.82479	0.04213	0.21396	0.52544	0.00713	0	0.00777	0	0.07337
Healthy	0	28.73911	2.69908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	4.94967	0	0	0	0.04026	0.10156	0	0.00212	0.07069	0.00142	9.67636	1.31999	1.50849	0	1.13762	0.01162	0.10156	0	0.04026	0.01376
Healthy	14.88692	0	0	0	0	0	0	0	0	0.00547	43.0888	2.36362	0.01206	0	4.36243	0.00911	0	0.03905	0	0
Healthy	4.65659	35.4315	0	8.48243	0.00114	0.02471	0.41502	0	0	0	3.9422	1.19501	0.32129	0.30764	0.84118	0.02344	0.02471	0	0.00114	0
Healthy	1.00068	0	0	0.02486	0.02046	0	0.53512	0	0	0	14.45132	2.10844	0.63161	0.37442	1.06521	0	0	0	0.02046	0
Healthy	17.98824	0	0.24554	0	0	0	0	0	0	0	33.62182	1.85882	0.1324	2.38969	0.7931	0.0685	0	0	0	0.07792
Healthy	28.77168	0	0	0.36631	0.013	0.20337	8.79663	0.00721	0	0	7.84251	5.22934	0.22834	0	1.45795	0	0.20337	0	0.013	0
Healthy	1.46658	0	0	0.47299	0.18365	0.06156	0	0	0	0.04941	5.36384	0.38155	2.57159	0	0.52809	0.1098	0.06156	0.03136	0.18365	0
Healthy	8.7859	0.01157	0	2.12948	0.00147	0.0424	0	0.04091	0.22887	0.00056	13.27297	1.46835	0.76747	0	1.36225	0.08154	0.0424	0.02277	0.00147	0.0726
Healthy	9.84734	45.34911	0.85189	0	0	0.02117	0.23496	0	0	0	5.531	0.89272	0.3143	0.08094	1.05331	1.2697	0.02117	0	0	0
Healthy	2.49326	0	0	1.06216	0.01997	0	0	0.02904	0	0	49.62456	1.75228	0.00976	0	0	0.17583	0	0.03647	0.01997	0.35396
Healthy	7.99269	2.41062	0.19254	0	0	0	0.01433	0.04335	0	0	7.42691	1.40721	0.86068	1.85847	1.54784	0.01682	0	0	0	0
Healthy	0	2.1963	0.2624	0	0	0	0	0	0	0	0	0	5.6824	0	0	0	0	0	0	0
