group	Bacteroidota	Actinobacteriota	Proteobacteria		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	76.52103	0.32135	1.37665		76.52103	8.60875	0.32135	1.37665	0	0	0.06404	0	0.04377	
Healthy	53.00535	0.36711	0.43492		53.00535	16.09551	0.36711	0.43492	0	5.35516	0	0	0.32464	
Healthy	75.97442	0	0.6141		75.97442	8.39604	0	0.6141	2.69249	0	0.00291	0	0.00721	
Healthy	43.89442	9.09297	2.13381		43.89442	22.17331	9.09297	2.13381	0.15028	4.75004	2.45663	0.00715	0.08954	
Healthy	54.50736	0.71351	1.33336		54.50736	7.2027	0.71351	1.33336	9.30256	7.16262	0.35675	0	0.17895	
Healthy	36.60204	2.71283	1.87309		36.60204	51.38719	2.71283	1.87309	0.81794	0.03189	0.02683	0.05897	0.14804	
Healthy	2.1963	3.68311	0		2.1963	84.8431	3.68311	0	0.2624	0	3.05681	2.07917	0	
Healthy	88.99303	0.14868	0.54121		88.99303	2.63585	0.14868	0.54121	3.36743	0	0.24293	0	0	
Healthy	55.54238	2.10537	0.07757		55.54238	24.28905	2.10537	0.07757	1.41269	0	0.48695	0	0	
Healthy	70.48564	0.51129	5.77806		70.48564	11.76986	0.51129	5.77806	0	0	0.01705	0	0	
Healthy	58.09122	0.7355	7.16181		58.09122	17.22405	0.7355	7.16181	0	0	0.01666	0	0	
Healthy	40.21055	1.22644	0.07492		40.21055	37.46857	1.22644	0.07492	5.37671	0	0.0209	0	0	
Healthy	64.56848	0.07736	2.9757		64.56848	27.58574	0.07736	2.9757	0	0	0.05412	0	0.55153	
Healthy	69.88918	0.26883	6.33312		69.88918	10.26022	0.26883	6.33312	4.62199	0	0.5783	0	0	
Healthy	41.95701	2.86572	0.10498		41.95701	10.83038	2.86572	0.10498	0	17.199	0	0	1.61864	
Healthy	1.9337	6.93139	79.37352		1.9337	5.25678	6.93139	79.37352	0	3.52859	0.13494	0	0	
Healthy	63.27551	0.75631	2.0449		63.27551	28.57554	0.75631	2.0449	0.008	0	0.29747	0	0	
Healthy	50.98894	0.01296	8.99744		50.98894	30.75896	0.01296	8.99744	7.88732	0	0	0	0	
Healthy	18.80818	6.45428	0		18.80818	56.05054	6.45428	0	1.40591	0	12.13916	0	0	
Healthy	7.42578	5.2127	0.06974		7.42578	43.5593	5.2127	0.06974	1.99584	0	1.18962	0	0	
Healthy	68.09654	0.10638	0		68.09654	21.61926	0.10638	0	0	0.06765	0	0	0	
Healthy	43.75014	0	8.85496		43.75014	22.89486	0	8.85496	1.52523	3.04604	0.00195	0.57278	0.04203	
Healthy	17.56695	0.39077	1.89139		17.56695	41.40638	0.39077	1.89139	7.67233	1.83008	0.70186	0.1514	0.03232	
Healthy	67.09431	1.30219	1.01412		67.09431	4.3901	1.30219	1.01412	0.06379	0.00437	0.34257	0	0.40307	
Healthy	31.28267	2.44506	0.1118		31.28267	8.00504	2.44506	0.1118	0.63761	0.51673	0.85543	0	0.80581	
Healthy	20.36905	5.37526	0		20.36905	36.32618	5.37526	0	4.75712	25.358	0.81985	0	0	
Healthy	67.23166	1.7566	0.01784		67.23166	15.69856	1.7566	0.01784	0.01308	0.53875	0.02321	0.0264	0.09289	
Healthy	42.56931	3.44779	1.76516		42.56931	18.33249	3.44779	1.76516	1.83723	5.195	1.26624	0.50179	0.29804	
Healthy	0.05164	0.02275	86.41751		0.05164	0.00094	0.02275	86.41751	0	0	0.22892	0	0	
Healthy	61.38019	0.17798	5.29922		61.38019	25.54598	0.17798	5.29922	0	0	0.16088	0	0.16147	
Healthy	0.01931	90.99881	4.54672		0.01931	0.27516	90.99881	4.54672	0.04244	0.00841	3.62578	0	0	
Healthy	92.92764	0.11834	0.68757		92.92764	2.87818	0.11834	0.68757	0	1.66666	0	0	0	
Healthy	43.38378	0.11605	0.11326		43.38378	3.35109	0.11605	0.11326	0	0	0	0	0.03182	
Healthy	56.61767	1.00611	0.29207		56.61767	5.29405	1.00611	0.29207	15.1182	0	0.25024	0	0.01125	
Healthy	52.15726	1.47329	0.59902		52.15726	23.98365	1.47329	0.59902	0	1.05654	0.10518	0	0.20998	
