group	Enterocloster	Anaerobutyricum	Bariatricus	Blautia_A	Dorea	Anaerostipes	Eubacterium_I	Lawsonibacter	Longicatena	Gordonibacter	Bacteroides	Alistipes	Dialister	Akkermansia	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
Healthy	0	0	0	0	0	0	0	0	0.44632	0	0.00739	0.00297	0	0	0	0	0	0	0	0
Healthy	1.02547	0.90098	0.31939	0.44781	0.15162	0.08841	0.04871	0.00079	0.00122	0.02042	7.66912	21.03997	3.67907	0.21708	6.01777	0	1.25989	0.02041	0.06258	0.02879
Healthy	0	0.01964	0	0.07722	0.09117	0	0.05483	0.05697	0	0	14.51183	32.41166	0	0	0	0	0.85375	0.1616	0.25622	0.17164
Healthy	0.15528	0.4217	0.38189	0.34081	0.18109	0.0222	0.06567	0	0.00181	0.0005	11.75725	21.31896	0	0	0	0	2.54403	0.01354	0.28491	0.00191
Healthy	0.77195	0.73469	0.23658	1.59342	0.38576	0.47575	0	0.05103	1.06096	0	11.28352	1.16873	0	0	0	0	0	0.06114	0.47572	0
Healthy	0.10631	0	0	0	0.1378	0	0	0	0	0	0.74552	0.96099	0	2.4118	0	0	0	0.01764	0	0
Healthy	0	0	0.04461	0.05675	0	0	0	0.09415	0	0	40.35504	2.30485	4.61877	0	0.16398	0	1.01658	0.07818	0	0.0697
Healthy	0.89438	0.05383	0.05219	0.30146	0.00829	0.06924	0	0.00864	0.00915	0.03103	10.5131	11.03636	0.05856	0.59191	0.02919	0.09692	3.18715	0.10177	1.4944	0.00369
Healthy	0.27323	1.02095	0.34267	0.32931	0.06912	0.29269	0.12634	0	0	0	18.82087	2.20195	0	0	0	0	0	0	0.05983	0.04775
Healthy	0	0.00319	0	0.10959	0.03545	0	0.03127	0.06902	0	0	24.71712	24.58871	0	0	0	0	0	0.19912	0.06593	0.39875
Healthy	0.0201	0	0.13352	0.01815	0.01621	0	0	0	0	0	4.87743	0	0	0	0	12.195	0	0	0	0
Healthy	2.1321	0.17447	2.57861	1.20335	0.17737	0.56616	0	0.01368	0.00515	0	7.02813	4.4316	6.45168	0	0.4332	0	0.93381	0.01627	0.08479	0.03328
Healthy	0.11886	0.45656	0.20944	0.47525	0.05849	0.26579	0.03633	0	0	0	22.85428	14.61463	0	1.63701	0.09372	0.40335	1.78261	1.05033	0.06452	0.00659
Healthy	0.17815	0.53258	0.16312	0.11634	0.16119	0.15049	0.01079	0.00242	0	0	13.77363	4.03882	0	0	0.7641	2.51116	0.89657	0.01202	0.00132	0
Healthy	0	0	0.386	0	0	0	0.01606	0.01271	0	0	31.586	19.6434	0	4.96987	0.06787	0.23143	0	0.01674	0.16475	0.05964
Healthy	0.09977	0.40036	0	0.68583	1.52866	1.96232	0	0	0.03024	0.02382	4.48485	0.42681	6.42124	0	0	0	0	0.00468	0	0
Healthy	0.04097	0.00493	0	0.07045	0.0234	0	0	0.59018	0.00939	0	31.30181	19.51333	0.05853	0.00221	0	0	0.7521	0.18639	0.30047	0.03376
Healthy	0.56582	0.59663	0.30412	0.83058	0.57367	0.28195	0.68059	0.04703	0.00172	0.01404	38.07886	2.28745	0.20121	0.07655	0.03813	0	0.51401	0.00588	0.0972	0.00046
Healthy	0	0	0.3681	0	0.02492	0	0	0	0	0	10.14199	2.83155	0.51624	0	0	0	0	0	0	0
Healthy	0.64322	1.53138	0.82099	0.67306	0.3843	0.41937	0.50077	0	0	0	11.45182	1.9863	0	0	0	0	0	0	0.02791	0.00462
Healthy	1.73078	0.74629	1.38478	0.33636	0.21738	0	0	0	0	0	29.17001	1.47762	6.75712	0	0	0	0	0	0	0
Healthy	0.72673	1.13545	0.69979	0.28098	0.38613	0.07232	0.15151	0.00596	0.00559	0.0109	12.82619	11.16785	1.468	4.6533	0.63134	1.28516	2.73053	0.03064	0.20083	0
Healthy	0.09047	0	0	0.13446	0	0	0	0.01347	0.14215	0.14538	8.57826	1.24047	2.55874	43.9572	0.4368	0	0	0.05186	0	0.00484
Healthy	0	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0	0	0	0
Healthy	0.18382	0.07294	0.07317	0.06696	0.00602	0	0	0.93657	0	0.03257	22.00601	4.82624	17.9389	7.07682	0.08566	0	0	0.14424	0.14529	0.25018
Healthy	1.05522	0.24197	0.36329	0.25205	0.0203	0.00081	0	0	0.01362	0	13.30782	1.09531	4.38229	0	3.01949	0	1.59715	0.04706	0	0.00356
Healthy	1.56238	0.06657	0.01857	0.30952	0.2346	0.43911	0.11628	0	0.11215	0	10.01097	10.70099	0	1.63248	15.1299	5.67771	0	0.04392	0	0.32458
Healthy	1.00453	0.59028	0.14037	0.09931	0.27648	0.12658	0	0.01985	0.01879	0.01794	25.62466	3.79242	0.00155	0.00167	0.05646	0	1.09769	0.10154	0.07563	0
Healthy	0.75207	0.9138	0.26176	0.19322	0.20598	0.06084	0	0	0.25017	0	31.11153	0.23313	2.82442	0	0	0	0	0.06999	0	0
Healthy	0.00173	0.02629	0.07776	0.10418	0	0.0057	0	0	0	0	22.15949	13.76204	0.26945	0	1.90842	0.18688	2.28215	0.15149	0.01767	0
Healthy	0.029	0.00602	0	0.00382	0.01356	0	0	0	0	0	32.25198	35.41196	0	0	0.05311	0	2.39902	0.00522	0.03028	0
Healthy	0.39305	1.1731	1.57534	0.97441	0.88978	1.93292	0.05853	0	0.0226	0.02136	5.61451	5.36635	0	0	0	0	0.89659	0	0.06903	0.16782
Healthy	0.6689	0.23652	0.24612	0.2759	0.35288	0.0117	0.02903	0	0	0	0.54902	0.37152	0.00099	0	15.007	0.18574	0	0.24455	0	0
Healthy	0.31917	0	0.01715	0.0085	0	0	0	0	0	0	11.40243	8.65223	0	0	0.44825	0.10866	0	0.10438	1.22787	0
Healthy	0	0.00892	0	0.11151	0.07052	0	0.01557	0.05765	0	0	23.95984	24.0826	0	0	0	0	0.79849	0.17753	0.07808	0.39004
Healthy	0.09384	0.04724	0	0.05377	0.03564	0.01703	0	0	0.002	0	22.03502	0.1386	1.70669	0.02182	0.02153	0	0	0.56014	0.05988	0
Healthy	1.54066	0.56439	0.35584	0.15225	0.20197	0.28158	0	0	0	0	26.01328	3.56761	2.11387	0.15338	0.87041	0.56772	1.4045	0.37712	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.17558	0.62249	0.27214	0.33974	0.05031	0.27071	0.21648	0	0	0	54.83889	2.5736	0	0	0	0	0	0	0.21699	0.02982
Healthy	0.0448	0.44309	0	0.1243	0	0.13321	0	0	0	0	16.31528	5.43239	0.59226	0.14577	0.29298	0	0	0	0	0.00834
Healthy	0.01364	0	0.19769	0.02191	0.02429	0	0.08544	0.00415	0	0	38.8064	7.15074	0	0	0	0	0	0.04189	0.01139	0
Healthy	0.25463	0.17476	0.90624	0.46432	0.47135	0	0	0	2.39347	0	0	0	0	0	36.8289	4.94734	0	0	0	0
Healthy	0	0.00656	0.08639	0	0.01698	0	0	0	0	0	22.15906	16.31088	0	8.13114	0.22709	0	1.16951	0	0.00493	0.00864
Healthy	0.16173	0.14135	0	0.02035	0.03495	0.04957	0	0	0	0	24.13786	2.57061	6.38714	0	0	0	0	0.01384	0.08286	0
Healthy	0.10204	0.00915	0	0.19292	0.08504	0	0	0	0.36642	0	30.45219	10.53853	6.20217	0	0	0	0	0.03674	0.15814	0.20796
Healthy	0.01427	0	0.01004	0.04063	0.04787	0	0	0	0	0	7.23471	29.53431	2.66308	0	0	0	0	0	0.23285	0
Healthy	1.39471	1.32947	0.50781	0.53018	0.43666	0.2956	1.11622	0	0	0	19.12685	0.06006	0	0.03008	0	0	0	0	0	0
Healthy	0.06104	0.19752	0.03623	0.26472	0.07241	0.10474	0.07324	0	0.00047	0.00521	34.97061	10.57839	0	0.56197	6.10425	0	1.38938	0.09241	0	0.54442
Healthy	0.47805	0.01022	0	0.02537	0	0	0	2.78701	0	0	22.23487	17.50738	0	0	0	0	1.18799	0.13616	0	0.00294
Healthy	1.29012	0.53066	0.11747	0.13997	0.20827	0.01741	0	0	0.00036	0	68.674	0	8.04233	1.37537	0	0	0	0.03065	0	0
Healthy	14.69286	0	0	0.55792	0.67802	2.77957	0	0	0.36044	0	21.07192	3.5885	0	0	0	0	1.17565	0.23364	0	0
Healthy	0.37908	0.19	0.2722	0.00665	0.20971	0.67395	0	0	0.01656	0.00313	2.02853	8.06031	0.57681	0	0.55151	0	0.57636	0.06988	0	0.00571
Healthy	0.14481	0	0	0	0	0	0	0	0	0	51.1343	9.32239	0	0.05846	0.27412	0.6732	0.59925	0.03832	0.03181	0.05599
Healthy	2.38891	2.6826	3.68749	4.14793	1.0305	0.21373	0.0215	0	0.01845	0.03303	6.43711	1.37844	1.92044	0	0	1.51831	0.47351	0.00767	0.07129	0
Healthy	4.37568	0.57946	2.09831	1.4966	0.89109	0.30384	0.39903	0	0	0	6.46187	1.77441	0	0	0.49533	0.37724	0	0.03709	0	0.10204
Healthy	0.53809	0.17298	0.20046	0.28598	0.16167	0.03816	0	0	0	0	2.40605	3.4081	0	0.02786	0.01461	0	0.72992	0.00132	0.02615	0.0192
Healthy	0.02325	0	0	0	0	0	0	0	0	0	6.41736	0	0	0	0	0	0	0	0	0
Healthy	1.90005	1.02358	6.10368	0.37771	1.5296	0.19369	0	0	0.14141	0	18.65845	1.23993	6.58488	1.73321	0	0	0	0.11723	0	0.02924
Healthy	0.79377	0.42083	0.49994	0.46262	0.38663	0.40321	0.16374	0.02104	0.03567	0.00039	21.78002	4.32229	0	7.46565	8.22286	2.4747	1.12261	0.19692	0.15462	0.00675
Healthy	0.18741	0.20517	0.69141	0.97672	0.41487	0.15425	0	0	0.00797	0	12.46017	0.22066	0	0	0	0	0	0.21013	0.00349	0
Healthy	2.66122	4.37762	0	0.07025	0.65742	0.70238	0	0	0.0279	0.00214	28.81767	3.06473	0.52446	0.09818	0.0489	0.04879	0	0.03942	0	0.16469
Healthy	0.04216	0.02566	0	0.01291	0.01112	0	0	0	0	0	32.28114	35.67794	0	0	0.08521	0	2.24733	0.00496	0.05464	0.00461
Healthy	0.12764	0.76671	0	0.35148	0.00723	1.02783	0.0877	0	0	0	11.49496	1.69841	0.85009	0	0.65244	0	0	0	0	0.0605
Healthy	0.20163	0.15589	0.82368	0.64181	0.40836	0.85015	0.21463	0	0	0	2.92318	0.35429	0	0	0	0	0	0.01032	0	0.03184
Healthy	0.03622	0.28761	0.23426	1.38123	0.00566	0.29031	0.00527	0	0	0	18.76284	7.8579	0	6.54328	0.19115	25.1723	0	0.22529	0.09809	0
Healthy	0.02276	0	0.09205	0.01507	0	0.01999	0	0	0	0	20.21036	14.5682	0	0.76858	0.00176	0	0	0.04982	0	0
Healthy	0.29338	0.12931	0.25586	0.17359	0.14197	0.00921	0.00172	0.07124	0.00027	0	26.68573	0	6.37105	2.87693	0.48726	0	0	0.07815	0	0
Healthy	0.27275	5.481	0	0.00557	0.08172	0.07682	0	0	0.00477	0	14.03707	0	0	0.94624	0	0	0	0.01753	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	3.33291	0	0	0	0	0	0.05783	0	0	0
Healthy	0	0.25772	0.09736	0.29411	0.3644	0.02755	0.25919	0	0	0	32.14339	4.51584	0	0.11621	1.37045	0.05076	0	0	0	0
Healthy	0.06077	0.64657	0	0.05044	0	0.36693	0	0	0	0	19.36112	2.06338	4.05909	0.05151	0.1824	0	0	0	0	0.04528
D003093	1.29659	1.53976	1.22569	0.58339	0.83324	0.16062	0.18824	0.1494	0.03565	0.00234	12.14833	4.39746	2.87398	1.3354	1.91226	0.20347	2.46148	0.10628	0.15186	0.00489
Healthy	0.04695	0.04751	1.04654	0.19874	0.08603	0.07662	0.03383	0	0	0	12.62268	0.8049	0	5.50325	3.74826	0.05808	0.48243	0.02251	0.45022	0.0093
Healthy	0.14836	0.17384	0.1158	0.23219	0.3633	0.29607	0.01009	0	0	0	6.66622	1.81886	0	0	2.25387	0	0.92764	0	0	0
Healthy	0.47392	2.89932	5.97371	2.15447	0.16343	2.9264	3.58547	0	0.0015	0	5.2569	9.23568	0	1.77402	0	0	0	0.00947	0	0.07849
Healthy	2.37015	0.47426	0.64632	0.44402	0.38187	0.00522	0.04173	0	0.01718	0	5.69648	2.18861	0	0.55641	0.74551	0.1082	3.04967	0.01382	0.08567	0.05891
D003093	0.12707	0.00292	0	0.34695	0.07878	0.73621	0	0	0.00762	0	28.09287	1.92121	0.13936	0	0	0	0	0	0	0.08731
Healthy	1.05425	0.17623	0.40267	0.12214	0.20901	0.04489	0.11652	0	0	0	0.03596	0.21427	0	0	0.29128	0.09203	0	0.00173	0	0
Healthy	2.2068	2.20815	2.1151	1.26088	0.49137	0.25214	0.11244	0	0.00258	0	5.18629	0.68295	3.47983	0.93483	0.01523	0	0.22406	0	0	0
Healthy	3.32919	0	0	0	0	0	0	0	3.47651	0	0.00116	0	0	0	0	0	0	1.79372	0	0
Healthy	0.0549	0.03618	0.81808	0.01789	0.03276	0.01405	0.00519	0.00051	0	0	7.04846	0.43508	0	0	0	0.00083	0	0.00064	0.01269	0.00015
Healthy	0.01639	0	0.03649	0.01863	0.02174	0	0.01018	0	0	0	6.77115	9.27913	0	0	0	0	0.93324	0.00058	0.11803	0.15155
D003093	1.90202	1.67576	1.4646	0.60209	0.90566	0.96344	0.26991	0.12758	0.00641	0	10.72326	1.36384	0	0	0	0	0.23265	0.00755	0	0
Healthy	1.0677	0	0	0	0	0	0	0	0	0	63.97211	1.61042	0	1.85231	0	0	0	0.05427	0	0.50884
Healthy	0.38987	2.18993	1.30022	0.22019	0.49948	0.86804	0.03325	0	0.14126	0	4.67047	0.60937	0	0	0	7.54448	0	0	0	0
Healthy	0.88316	0.69632	0.31069	0.97605	0.26067	0.09969	0.11586	0.02737	0.02505	0	9.19932	8.55039	0	0.71933	0.04984	0	2.09009	0.06652	0.03859	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.02353	0	0	0	0	0	0	0	0	0
Healthy	1.01034	0.13782	0.77282	1.00742	0.00047	0.6343	1.1992	0	0.07524	0.01672	22.22715	6.33941	0	0.01764	1.4135	1.52762	0	0.03921	0.04634	0
Healthy	0.50534	1.77736	0.62218	0.72555	0.54673	0.04931	0.02603	0.0021	0.00432	0	3.14729	7.43394	0	0	4.84302	1.80075	1.03624	0.01542	0.21338	0.00829
Healthy	0.39357	0.21508	0	0.41669	0.05582	0	0.06196	0	0	0	40.93105	2.77726	3.61042	0.70276	0	0	0	0	0	0.01528
Healthy	0.11196	0	0.21412	0.04195	0	0.05569	0.12584	0.29413	0	0	29.92045	1.06491	0	0	0	0	0	0.00906	0	0
D003093	0.09559	0	0	0	0	0	0	0	0.05356	0	0.55189	0	0.36766	0	0	0.06738	0	0	0	0
Healthy	0.00778	0	0.06227	0.06422	0.04733	0	0	0	0	0	7.61737	29.0909	2.47331	0	0	0	1.4674	0	0.25254	0.00901
Healthy	1.16623	2.40709	1.08281	0.6523	0.43219	0.15311	0.02175	0.03025	0.00187	0.00377	7.95144	6.69569	0.00036	0.98179	3.48437	0	0.69215	0.02311	0.17786	0.06115
Healthy	0.06836	0.03456	0.02386	0.01548	0	0	0	0	0	0	37.7005	15.42641	2.80683	0.09043	1.15908	0.04311	0.71018	0	0.02569	0.24334
Healthy	0	0.1202	0.07182	0.03057	0	0	0	0	0	0	3.11062	0.62418	6.52691	0	0	0	0	0.30461	0	0
Healthy	0.66853	0.07832	0.07911	0.03842	0	0	0	0	0	0	27.8053	15.89535	7.61668	0.90006	0.83211	0.91984	1.23081	0.07362	0.04588	0.11188
Healthy	0.24956	0.07438	0.19851	0.15394	0.05519	0	0	0	0	0	6.97932	6.94673	0	23.484	0.01794	2.20838	0	0.87914	0.0229	0
D003093	1.02216	0.7729	0.92383	2.877	5.31739	1.12894	0	0.45931	0.09114	0	25.00779	0.41094	0	0	0	0	0.86794	0.08098	0	0
Healthy	0	0.46322	1.14539	0.84157	0.65431	0.33674	0	0	0	0	19.52836	0.91171	0	0	0	0	0	0	0	0
Healthy	0.05731	0.05727	0.01996	0.00704	0	0	0	0	0	0	36.80431	15.80932	2.84921	0.11704	1.25899	0.06314	0.77326	0.01522	0.03195	0.26229
Healthy	0.58402	0.40841	0.2839	0.29937	0.07348	0.27042	0	0	0.03373	0	36.88523	0.22771	0.82615	0	0	0	0	0.03935	0	0
Healthy	0.80868	0.26493	0	1.65986	0.43921	0.9365	0.55027	0	0	0	1.75458	0.82712	9.46156	0	10.6343	0	0	0	0	0
Healthy	0.21165	0.61453	0.07924	0.27329	0.20591	0.24249	0	0	0	0	23.03575	1.87102	1.84818	0	0	0	0	0	0	0.05455
Healthy	0.12225	0.00855	0	0.15919	0.08972	0	0	0	0.2655	0	29.01246	10.93459	6.41941	0	0	0	0.55504	0.0481	0.1397	0.21457
Healthy	3.86265	0.18405	1.80323	10.7882	4.30303	1.98926	0.44566	0	0	0	17.02277	1.29699	0	1.91177	4.84916	0	0	0	0	0
Healthy	0.71942	0	0	0	0	0	0	0.0765	0	0	18.51345	4.48241	0	0	1.37095	0	1.31168	0.40547	2.15701	0.04583
Healthy	0	0	0.15331	0.00519	0.00997	0	0.10009	0	0	0	39.29822	7.01346	0.0024	0	0	0	0	0.04008	0.00799	0
Healthy	0.00743	0	0	0.0414	0.0164	0	0	0	0	0	20.4639	14.52007	3.23865	0	0	0	0	0.01668	0.24095	0.26069
Healthy	0.75545	1.58432	1.68544	1.82851	0.5972	0.86733	0.24688	0	0	0	40.71017	0.12639	0	0.00383	0	0	1.1273	0	0	0.01474
Healthy	0.00453	0.25444	0.22336	0.21077	0.21694	0.21547	0.06373	0	0	0	9.90196	7.95025	0	0.46621	2.26474	0.11285	1.1161	0.01676	0.01655	0
Healthy	0.00155	0	0.17054	0.0077	0.03229	0	0.09145	0	0	0	39.28236	7.21644	0	0	0	0	0	0.04544	0	0
Healthy	0.54207	0.5188	0.44033	0.49612	0.12583	0.00828	0.0301	0.02662	0.00813	0	9.9529	5.82279	1.6894	0.4713	0.57146	0.14447	1.76986	0.06442	0	0
D003093	0.25113	0.57422	2.23416	0.69562	1.21851	0.69479	0.4071	0	0.00064	0.0281	5.44203	9.67529	0	0	0	0	2.16026	0.0341	0.02913	0.14774
Healthy	0	0	0	6.52547	6.43845	3.87002	0	0	0	0	0	0	0	17.4263	1.52824	0	0	0	0	0
Healthy	0.56853	0.40599	0.49066	0.41621	0.23331	0.13435	0.04128	0	0	0	16.41439	1.10325	5.34705	0	15.0678	0.1448	0.74523	0	0.01845	0
Healthy	0.37716	0.00784	0.117	0.04333	0.11938	0.14079	0.05214	0	0.00207	0	19.89403	0.34539	0	0	0	0	0.78479	0.00454	0	0.04209
Healthy	0.64445	0	0	0	0	0	0	0	0	0	15.97225	0	0	0.53649	0	0	0	0.04909	0	0
Healthy	1.31635	0	0	0	0.07628	0	0	0	0	0.00569	3.04364	4.54685	0	0	0	0	0	0	0	0
Healthy	1.35614	1.95539	0.55551	3.27826	0.79541	0.12789	0.36897	0	0	0	7.03082	5.13152	1.29797	3.051	1.09653	3.06931	0	0	0	0
Healthy	0	0	0	0.04477	0	0	0	0.03727	0	0	24.39536	24.35708	0	0	0	0	0	0.14537	0.04842	0.35965
Healthy	2.29417	0.74424	1.14601	0.74266	0.95346	0.13772	0.31381	0	0.00503	0	5.00373	0.52597	0	0.00566	0.6262	0	0.24283	0	0	0
Healthy	1.31081	0.46011	0.83439	0.5011	0.25557	0.04186	0.48222	0.00354	0.07849	0.01544	6.80061	0.83706	0	1.18295	8.8993	0	3.1263	0.09093	0.02107	0.14252
Healthy	0.01344	0	0	0.07662	0.07143	0	0.04087	0.04152	0	0	23.86922	23.84199	0	0	0	0	0.81242	0.17001	0.06401	0.433
D003093	0.9217	0.92063	0.98167	0.81113	0.65684	0.3137	0.27308	0	0.02133	0	13.40263	7.59514	1.38763	0.47582	0.55208	0.69423	0.49124	0.03637	0.04223	0.10618
Healthy	2.97881	0.87011	1.96539	0.91214	0.55333	0.28456	0.10522	0	0	0	3.80237	0.62661	0	0.02702	0.0654	1.70278	0.3186	0.01003	0	0.04103
Healthy	1.42834	0.18328	0	2.4319	0.66005	0.48458	0.00782	0	0.00302	0	15.14737	3.03612	0	0	2.3893	0.79412	0.52544	0.00713	0	0
Healthy	0	0.27352	1.25005	2.24459	0.89869	0.8581	0	0	0	0	0	0	0	0	0.03315	9.23471	0	0	0	0
Healthy	1.22485	0.40949	0.2981	0.93517	0.15698	0.20785	0.1627	0	0.07882	0	43.0888	14.88692	0	0.28653	0	0	4.36243	0.00911	0	0
Healthy	1.32783	0.86177	0.77584	0.35916	0.28816	0.23269	0.46466	0	0	0.02495	9.67636	4.94967	0	14.9065	0.07187	0	1.13762	0.01162	0.10156	0.04026
Healthy	0.13632	0.05301	0.05578	0.15126	0.13256	0.00538	0.00697	0	0	0	3.9422	4.65659	0	0	0.75835	0	0.84118	0.02344	0.02471	0.00114
Healthy	0.25737	0.31414	0.6993	0.52206	0.17017	0.08841	0.03809	0	0	0	14.45132	1.00068	0	0	0.0919	0.88267	1.06521	0	0	0.02046
Healthy	0.03353	0.50972	3.90069	0.18631	1.19353	1.27271	0.67598	0.00903	0.00749	0.01054	5.36384	1.46658	4.71543	0	0.03796	0	0.52809	0.1098	0.06156	0.18365
Healthy	0.0024	0	0.02335	0.01875	0	0	0	0	0	0	33.62182	17.98824	0	5.74457	0.06507	0	0.7931	0.0685	0	0
Healthy	0.05766	0	0.0344	0	0	0	0	0	0	0	5.531	9.84734	0	10.3129	0	0	1.05331	1.2697	0.02117	0
Healthy	0.49992	1.28681	1.2423	1.63427	1.69863	0.33049	0.0088	0	0	0	0	0	0	0	0.10538	0.25758	0	0	0	0
Healthy	0.96425	0	0.47997	0.34622	0	0.25599	0	0	0	0.00116	44.14174	1.60532	0	0	0	0	0	0.27357	0.00478	0.39081
D003093	0.74265	0.00156	0.64893	0.09902	0.11355	0	0.0124	0.02744	0.00104	0	0.68244	0.1689	6.74441	0	0.3134	0.25425	0	0.02271	0	0
Healthy	0	0	0	0	0	0	0	0	0.18018	0	0.0175	0.00153	0.00048	0	0	0	0	0	0	0
Healthy	0.22265	0	0	0	0	0	0	0	0	0	83.40261	0.07741	0	0	0	0	0	0	0	0
D003093	2.03793	0.7095	0.4629	2.72252	0.86913	1.18103	0.11031	0	0	0.01337	8.57564	9.18938	2.46007	0.02454	3.85267	10.0978	1.82487	0.00244	0.02696	0
Healthy	1.10711	0	0	2.72837	0.39943	0.28206	0	0	0	0	14.02877	5.56369	0	0	2.96698	0.49771	0	0	0	0
Healthy	0.13711	0.32426	0.90583	0.97103	0.57748	0.49531	0	0	0	0	18.06008	0.8505	0	0	0	0	0	0	0	0
Healthy	1.83918	0.67894	1.31398	0.18804	0.37122	0.28011	0.1141	0	0	0	2.94878	0.659	0	0	0	0	2.11166	0.01289	0	0.01552
Healthy	0	0	0	0	0	0	0	0	0	0	0.02396	0.0135	0	0	0	0	0	0	0	0
Healthy	0.20582	0.4436	0	0.29069	0.28268	0.04089	0.02646	0	0.00754	0	2.12968	0.06141	0	0	0	0	0	0.00321	0	0.24481
Healthy	1.63305	0.35237	0.76524	0.20248	0.3202	0.25221	1.34121	0.00352	0	0	18.3019	0.4766	0	0.95693	0.82189	0	1.41887	0.04191	0.18727	0.00077
Healthy	0.3597	0	0	0	0	0	0	0	0.17237	0	0.00717	0	0	0.00118	0.00263	0	0	0.07233	0	0
Healthy	0.26773	0	0	0.01261	0	0	0	0	0	0	8.70722	15.84035	0.20528	0.83121	0	0	0	0.02147	0.00788	0.01982
Healthy	0.18213	0.1086	0.20915	0.03696	0.0742	0.05746	0.045	0	0	0	12.83802	2.28942	0	0.39632	0.04141	0	0	0	0.02595	0.25346
Healthy	0.08145	0.00318	0	0.19898	0.11145	0	0	0	0.27498	0	29.93929	11.53825	6.30271	0	0	0	0	0.05422	0.13634	0.19767
Healthy	0	0	0	0.03962	0	0	0	0	0	0	5.78663	0.03166	0	0	0	0	0	0	0	0
Healthy	0.03077	0	0	0	0	0	0	0	0	0	48.7416	0	0	0	0	0	0	0	0	0
Healthy	0.60567	0	0	0.68552	0	1.61692	0	0	0.15287	0	26.75722	0.00027	2.64985	3.66082	0.00235	0	0	0.04823	0	0
Healthy	0.3701	0.0075	0.29535	0.14812	0.03539	0	0	0.08724	0	0	37.59433	2.58597	0.80153	0.64191	0	0	0	0.50529	0	0.37347
Healthy	1.79612	0	0.28079	0.32534	1.14067	0.00198	0	0	0.01338	0.00644	11.18146	1.28832	0.65623	1.26041	0	0	0	0.00225	0.00358	0
Healthy	3.05464	2.63983	1.79866	1.19974	2.28105	1.16893	1.9475	0.01014	0.00922	0.22603	8.90768	8.0402	0	0.08939	0.356	0	0.73131	0.02564	0.1481	0.00766
Healthy	1.83225	0.0991	1.20722	0.2542	0.0125	0	0.04768	0	0	0	0.21586	0.04774	0	0.09638	0.77535	0.83654	0	0	0	0
Healthy	0.84458	0.23825	0.08251	0.47161	0.15774	0.03881	0.01802	0	0	0.13622	30.96132	15.03435	0	0	2.10448	0.17766	0.97978	0.1799	0	0.12171
Healthy	0	0	0	0	0	0	0	0	0	0	22.12569	8.16029	2.76131	0	0	0	0	0	0.12898	0.16545
Healthy	0	0	0.01472	0.03298	0	0	0	0.05454	0	0	39.51909	2.19328	4.41165	0	0.12963	0	1.07156	0.02939	0.01498	0.03345
Healthy	0.8767	0.54764	0.49364	0.62314	0.10535	0.0439	0.00339	0.10332	0	0	4.21333	9.14021	0.29548	12.5439	0	0.00886	0.83001	0.34496	0	0.03738
Healthy	0.07762	0	0	0.14343	0	0	0	0.01505	0.10542	0.17162	8.85098	1.31308	2.73148	44.3916	0.42927	0	0	0.05382	0	0
Healthy	2.43958	0	0	7.17877	0.39187	0.24934	0	0	0.03273	0	10.3757	0	0	0	0	0	0.56223	0.26198	0	0
Healthy	0.52498	1.12191	1.05002	0.55377	0.46388	0.02698	0.41589	0	0	0	3.42924	0.64759	4.95061	0	0	0	0.95963	0.00595	0.0858	0
Healthy	0	0	0	0	0	0	0	0	0	0	10.38791	0	0	0	0	0	0	0	0	0
Healthy	0.38782	2.56839	0.59836	0.59878	0.32596	0.59009	0.37654	0	0	0	9.51944	2.28154	0	0.87286	0.85565	1.43462	0.32005	0.01239	0.05839	0
Healthy	0.60146	0.38382	0.31548	0.17108	0.76528	0.06097	0.03537	0	0	0	1.21737	1.85048	0	0	0	0	0.21274	0	0	0.00643
Healthy	3.73532	0.80016	1.74	0.74421	0.43146	0.11927	0.208	0.00255	0.00152	0	1.83747	5.30819	23.8095	0	0.13366	0	0.40922	0.00755	0.09053	0.0042
D003093	1.91411	0	0	0.22863	0	0.07902	0	0	0	0	1.17549	0	0	0	0	0	0	0	0	0
Healthy	0.09503	0.01344	0.111	0.18788	0.03096	0.12007	0.05916	0	0	0	28.15402	9.94266	0	0.02587	0	0	0	0.02429	0	0
Healthy	0.35209	0.5881	0.79169	0.42803	0.22671	0.04044	0.36042	0	0	0	14.52923	0.99045	0.79662	1.81914	0	9.02686	1.37501	0.05479	0	0
Healthy	0.0729	0	0	0.18252	0	0	0	0.02033	0.11846	0.14411	8.74933	1.21067	2.47905	43.4397	0.44371	0	0	0.08666	0	0.0081
Healthy	1.70447	0	0	0	0.02299	0	0	0.8742	0	0	37.65308	16.29838	0	0	0	0	0	0.6024	0	0.27169
Healthy	1.18164	0.87443	0.63904	0.82865	0.05269	0.24919	0.61519	0	0	0	30.90491	3.01581	5.49084	1.87694	0	0	0	0	0	0.00578
Healthy	0	2.48434	1.77116	0.39392	0	1.15192	0.31984	0	0.00841	0.06737	2.39544	3.03817	2.68525	0	0	0	0.45997	0.01601	0.01598	0.06759
