group	Enterocloster	Anaerobutyricum	Bariatricus	Blautia_A	Dorea	Anaerostipes	Eubacterium_I	Lawsonibacter	Longicatena	Gordonibacter	Bacteroides	Alistipes	Dialister	Akkermansia	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
Healthy	1.267	0.03732	0.05127	0.02943	0	0.00606	0	0	0.00069	0.01123	9.6772	9.92768	0	19.023	1.65021	0	0	0.03172	0	0.00056
Healthy	0	0	0	0	0	0	0	0	0	0	12.18689	0	0	0.00039	0	0	0	0	0	0
Healthy	1.22495	0	0.31106	0	0	0	0.06169	0	0	0	8.75885	21.54638	0	11.9695	0.3413	0	0	0	0	0
Healthy	5.10983	0.26443	0.15486	0.34818	0.45702	1.0676	2.46665	0	0	0	4.71016	5.53874	0	2.81759	0.08527	0.20726	0	0	0	0.06954
Healthy	0.4649	0.17258	0.31742	0.18999	0.13819	0.10545	0	0	0	0	12.29788	0.00185	0	0	0	0	0	0.04376	0	0
Healthy	0.27615	2.54507	1.36649	0.60366	0.13797	0.32253	0	0	0	0	13.72947	0.57648	0	0.49181	1.32311	2.44739	0	0	0	0
Healthy	0.6479	0	0.07711	0.02905	0.0541	0	0.04641	0	0	0	13.69382	11.64109	0	0	1.43893	0.00825	2.40498	0.09056	1.94449	0
Healthy	0.33257	0.60179	0.28	0.29519	0.14741	0.25544	0.00869	0	0	0	15.8135	1.15881	0.36575	0	0.07356	0.21268	0.43982	0	0	0.00138
Healthy	0.02275	0	0	0	0	0	0	0	0	0	57.8104	0	10.166	0	0	0	0	0.00677	0	0
Healthy	0.44734	0.45317	1.06858	0.4357	0.07974	0.34813	0.06981	0.00163	0.00029	0	3.96107	0.02801	0.21393	0	0	0	0	0.00013	0	0
Healthy	0.25967	3.01429	1.91743	0.71833	0.23069	0.12998	0.01366	0	0.03372	0.03839	11.98078	6.33589	0	0.00032	0	0	1.2285	0.01155	0.41728	0
Healthy	0.0491	0.0073	0	0	0	0	0	0	0	0	30.48081	25.13414	0	3.84496	0.03111	0	1.44785	0.00971	0.02694	0.01241
Healthy	2.00065	0.19956	0.36109	0.38947	0.49999	0.23984	0.15101	0	0.00275	0	1.44905	1.43234	0	0.79342	0.07291	0	0.12029	0.00501	0.00668	0
D003093	0.36749	2.21219	3.53627	1.69401	0.46513	0.23978	0.32406	0.7499	0.07564	0.02327	13.64437	0.41042	3.34593	0	0	0	0.1595	0.07409	0.00628	0.00315
Healthy	0.05866	0	0.12838	0	0	0	0	0	0	0	4.46224	10.10083	0	10.3809	0.00356	0	0.99503	1.28496	0.02943	0
Healthy	2.04222	0.16639	0	2.27022	0.59673	0.50882	0.0165	0	0.00088	0	15.85583	2.82154	0	0	2.29983	0.77623	0.5255	0.01016	0.00079	0
Healthy	0	0	0	0	0	0	0	0	0	0	5.66371	6.86182	0	0	0	0	0	0	0	0
D003093	0.67384	0.13185	1.15758	0.71084	0.33832	0.96169	0	0.00214	0.02639	0.26087	12.92528	1.64872	0.03373	11.5674	0	8.11635	0.53465	0.56303	0.13588	0
Healthy	0.4271	0.01332	0	0.04375	0	0	0	2.6054	0	0	22.53788	17.3234	0	0	0	0	1.15652	0.17711	0	0.00305
