group	Bacteroidales	Veillonellales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Acidaminococcales	Desulfovibrionales
Healthy	20.76636	0		20.76636	46.55662	0.12429	0	0	0	0	0	0	0
Healthy	49.42088	0.25302		49.42088	25.0635	7.03706	0.25302	0	2.82676	0	0.26964	0	0.01742
Healthy	7.28498	0		7.28498	56.88681	10.26378	0	0	0	3.78245	0.17433	8.81102	0.01529
Healthy	3.61561	0		3.61561	12.1476	62.9997	0	0	0	0	0	0	0
Healthy	65.94451	0		65.94451	2.9794	4.74411	0	10.5195	0.04301	0	0.24373	0.86272	0.31288
Healthy	77.56292	0		77.56292	4.23484	5.63306	0	0	0	0.09708	0.63218	0.06803	1.50048
D003424	78.27597	0		78.27597	8.87357	6.89457	0	0	0	0	0	0	0.00175
Healthy	22.77193	1.49325		22.77193	13.98492	6.99823	1.49325	0	0.9221	0	0.4326	0	0
Healthy	10.42839	0		10.42839	22.45504	29.68041	0	6.51919	0.15545	0	2.46417	0	0.00355
Healthy	44.35637	0.05609		44.35637	25.21853	12.88211	0.05609	0.00699	0.75708	1.82276	0.18648	1.22966	0.01117
Healthy	50.42891	0		50.42891	29.12875	11.49644	0	0	0	0	0.33473	0	0
Healthy	57.9843	0		57.9843	20.95243	5.56944	0	0	0.8025	0	0	3.19845	0
Healthy	19.00735	0		19.00735	38.42361	2.67302	0	0	13.96801	3.06148	3.76394	0	0
Healthy	0	6.5513		0	35.15934	0.04332	6.5513	0	1.56902	0	0.03904	0	0
Healthy	22.0643	1.21693		22.0643	22.27209	8.95456	1.21693	0	0.23032	0	0.13451	0	0
Healthy	45.26359	2.97255		45.26359	0.65685	5.98487	2.97255	0.13239	0.0582	0	0.7137	0.06831	0.66408
D003424	56.97828	0		56.97828	9.45627	14.41403	0	0	0	0	0.2508	0	0
Healthy	18.16766	2.40822		18.16766	6.95679	2.22382	2.40822	0	17.16755	0	2.27129	2.97004	0
Healthy	63.72663	0.05662		63.72663	10.2726	8.33474	0.05662	0	0.17892	0	0.11806	0	0.06978
Healthy	31.15761	12.9858		31.15761	6.52439	6.31917	12.9858	0.03307	0	0	1.0791	0	0.00756
Healthy	21.40224	4.61753		21.40224	17.31738	17.86587	4.61753	0	0.27012	0	4.33288	0	0
Healthy	13.2891	2.60171		13.2891	0.38881	6.01991	2.60171	43.9894	0	0	1.34897	0	0.45505
Healthy	65.75268	0		65.75268	3.13409	4.69076	0	10.41	0.05589	0	0.28366	0.80514	0.33848
Healthy	46.11877	5.94604		46.11877	8.78889	17.61636	5.94604	0.10078	0.45117	0	0.83394	0	0.00124
Healthy	70.63059	5.89113		70.63059	1.4222	1.86091	5.89113	0	0	0	0.00233	0	0
Healthy	44.41535	17.72904		44.41535	4.3198	6.73183	17.72904	7.09147	0	0	0.70893	0	0.1094
Healthy	36.30805	0.00465		36.30805	38.69933	3.63925	0.00465	0	0.01403	0.02465	0.05945	0	0
Healthy	18.17723	5.0839		18.17723	24.09166	30.65601	5.0839	0	0	0	1.71217	0	0
Healthy	42.50091	0		42.50091	37.42848	3.37303	0	0	0.00794	0	0	2.18475	0
Healthy	63.68496	0.01411		63.68496	14.87514	1.47712	0.01411	0	0	0	0.23525	0	0.05044
Healthy	92.81289	0		92.81289	0.64545	1.54077	0	0.55019	0.01292	0	0	0	0
Healthy	49.73983	1.21706		49.73983	20.44622	11.96651	1.21706	0.38836	0.36059	0	0.12868	0.00113	0.10707
Healthy	51.54426	1.15201		51.54426	11.94382	31.88632	1.15201	0	0.10367	0	0	0	0
Healthy	71.0787	0		71.0787	2.68635	0.77931	0	0	0	0	0	0	0.03142
Healthy	26.51604	5.62249		26.51604	32.47023	13.63179	5.62249	0	0	0	0	0	0
Healthy	14.1769	0.00396		14.1769	51.48479	17.91611	0.00396	0.09373	0.20263	0.18576	0.16698	1.31009	0.08154
Healthy	58.04866	0.46112		58.04866	4.28305	4.47132	0.46112	8.71159	0	0	0.253	0	0.55816
Healthy	22.14347	0		22.14347	38.09029	21.15368	0	0	0.34649	0.11191	1.54102	1.07483	0
Healthy	0.35748	0		0.35748	6.73804	0.39654	0	0	0.45334	0	1.31584	0	0
Healthy	80.38068	0		80.38068	12.91336	1.73887	0	0	0	0	0	0	0
Healthy	20.33218	0		20.33218	21.6924	25.92229	0	19.023	0	0	3.69281	0	0.19041
Healthy	28.87276	0.03501		28.87276	0.0105	0.00433	0.03501	0.00039	0.00765	0	0.0026	0	0
Healthy	38.75978	0		38.75978	14.063	5.64434	0	11.9695	0	0	0.78351	0.01608	0
Healthy	29.53286	0.46493		29.53286	41.68406	7.35678	0.46493	2.81759	0.7126	0.20726	0.4209	0	0
Healthy	33.23081	0		33.23081	11.91339	3.242	0	0	0	0	0.00433	0	0
Healthy	41.87328	0		41.87328	26.02128	4.27652	0	0.49181	0.02733	2.44739	0	0	0
Healthy	69.54234	0		69.54234	3.89694	7.01832	0	0	0.04903	0.00825	0.64273	0	1.21704
Healthy	28.72289	0.38925		28.72289	57.26534	0.76115	0.38925	0	0.34273	0.21268	0	0	0
D003424	9.35529	6.9014		9.35529	44.32924	1.96612	6.9014	20.5378	1.22345	0	0.33805	0	0.02751
Healthy	65.70584	11.06571		65.70584	2.30841	0.10838	11.06571	0	0	0	0	0	0
Healthy	7.75441	0.21678		7.75441	64.4011	14.55616	0.21678	0	0.0318	0	0.47668	0.00015	0
Healthy	25.16801	0.01516		25.16801	11.56562	8.83526	0.01516	0.00032	1.51516	0	1.11166	0	0.0392
Healthy	75.927	0		75.927	1.72941	3.83581	0	3.84496	0	0	0.1628	0	0.0151
Healthy	27.96087	0.13564		27.96087	46.51861	9.83849	0.13564	0.79342	0.4968	0	0.59299	0	0
Healthy	66.09812	0		66.09812	3.10588	4.70989	0	10.3809	0.05237	0	0.22282	0.87857	0.33033
Healthy	25.51014	0.2242		25.51014	25.5392	20.96904	0.2242	0	8.14983	0.79834	1.03937	0	0.07805
Healthy	18.16758	0		18.16758	12.06107	47.80958	0	0	0	0	1.79807	0	0
Healthy	78.57875	0		78.57875	0.68422	7.98813	0	0	0.03648	0	0.03568	0	0.0016
Healthy	64.93079	0		64.93079	18.72938	4.49598	0	0	0	0	0.12192	0	0.40904
Healthy	39.03604	0.22665		39.03604	5.48461	6.84934	0.22665	0.3477	0.01927	0.07517	0.65339	0	0.18958
Healthy	88.7654	3.58941		88.7654	1.21892	1.32719	3.58941	0	0.20842	0	0.13178	0	0.00253
Healthy	79.91048	0		79.91048	11.90134	0.49666	0	0	0.07356	0	0	0	0.0383
Healthy	64.14272	0.38466		64.14272	6.58367	6.98856	0.38466	0	0.00636	0.17643	0.1822	0	0.13826
Healthy	38.36526	2.03817		38.36526	3.07898	8.76396	2.03817	1.4567	0.01559	3.08044	0.0593	0	0.35495
Healthy	80.84169	0		80.84169	1.71238	3.69428	0	3.57301	0	0	0.1128	0	0.02838
Healthy	25.1195	0.01218		25.1195	13.19326	6.67228	0.01218	0.69873	0.75851	0	0.29588	22.5247	0.37016
Healthy	55.82578	0		55.82578	23.45088	1.67288	0	0.01236	1.65013	1.90301	0.03785	1.47114	0
Healthy	27.29133	0		27.29133	12.8256	18.48604	0	1.26245	0	0.42914	1.00364	0	0.05407
Healthy	78.2146	0		78.2146	11.33591	3.19307	0	0	0	0	0	0	0
Healthy	64.69453	0		64.69453	17.3938	7.34323	0	0	0.43462	0	0.42331	0	0.03475
Healthy	79.61067	0		79.61067	11.91696	0.43168	0	0	0.09803	0	0	0	0.04609
Healthy	46.96026	6.72967		46.96026	28.14546	5.6291	6.72967	0.6796	0.75909	0.18105	0	0	0
Healthy	33.30529	0.01651		33.30529	20.27504	6.02774	0.01651	0	0.03125	0	0.27859	0.26395	0
Healthy	69.58044	0		69.58044	1.00013	5.24253	0	0	0	0.02876	0.14886	0	1.64987
Healthy	77.68829	0		77.68829	0.6717	8.42329	0	0	0.02956	0	0.05215	0	0.00154
Healthy	61.68826	0.0072		61.68826	19.14931	7.56259	0.0072	0.6598	0.0161	0	0	0	0
Healthy	56.32307	0.00213		56.32307	6.12314	5.81261	0.00213	0	0.29615	0.1953	1.61836	0	0.11107
Healthy	54.50758	0.0216		54.50758	23.11718	10.16045	0.0216	0	0.31688	0	0.08121	0	0
Healthy	43.3074	0		43.3074	2.7656	2.07704	0	0	0.02025	0	0.06576	0	0.03259
Healthy	72.56282	0		72.56282	2.56661	0.81974	0	0	0	0	0	0	0.05179
Healthy	22.69552	0.31288		22.69552	2.54508	7.83319	0.31288	0	0	0	0	0	0
Healthy	19.20653	0.06109		19.20653	37.05151	21.16104	0.06109	0	0.56117	1.04804	2.23707	1.78486	0
Healthy	61.23649	0.00798		61.23649	21.07635	3.88874	0.00798	0	0.08341	0	0.16171	0	0.14748
Healthy	61.52382	0		61.52382	20.93701	3.86782	0	0	0.05612	0	0.19611	0	0.14814
Healthy	61.23341	9.44246		61.23341	2.18098	1.34313	9.44246	0.79293	0	0	0.02368	0	0.33399
Healthy	60.29015	0.15883		60.29015	7.5361	6.44804	0.15883	5.96611	0.47816	0	0	0.26823	0
Healthy	60.90446	0.23887		60.90446	3.34133	2.58247	0.23887	0.05654	0	0	0.00925	0	0
Healthy	38.99953	0.56786		38.99953	15.7248	0.00369	0.56786	0	9.5205	0	0	0	0
Healthy	16.03709	0		16.03709	23.11447	47.1683	0	0	0.58813	0	1.21596	0	0
Healthy	72.96854	10.1396		72.96854	2.78405	0.86856	10.1396	0	0	0	0	0	0
Healthy	63.08919	0.00816		63.08919	21.6091	3.83131	0.00816	0	0.06844	0	0.13351	0	0.20481
Healthy	86.49669	0		86.49669	3.97071	3.58157	0	0	0.09177	0	0	0	0.10238
Healthy	62.46336	0.21553		62.46336	18.07872	10.7516	0.21553	0.69377	0.06962	0	0.21112	0	0.01272
Healthy	50.72942	0		50.72942	0.41292	6.64564	0	12.3504	0	0	0.13067	0	0.97352
Healthy	65.12554	0		65.12554	2.80028	6.78337	0	5.12023	0	0.54418	0	0.29827	0.06167
Healthy	45.519	3.0011		45.519	0.61733	5.96767	3.0011	0.14545	0.08386	0	0.76566	0.06687	0.65801
Healthy	38.42566	9.7945		38.42566	36.3664	2.04788	9.7945	0	0.31316	0	0	0	0.06499
Healthy	57.43447	0		57.43447	15.4323	9.26634	0	1.67518	0.01933	0.24888	0	1.68323	0.05635
Healthy	25.9085	0		25.9085	68.2424	5.84912	0	0	0	0	0	0	0
Healthy	60.72875	7.60652		60.72875	4.86264	5.35429	7.60652	0.87803	0.14173	0.94585	0	0	0.37818
Healthy	39.65412	8.39761		39.65412	15.08881	18.71534	8.39761	0	0.29047	0	0.70297	1.61096	0.24869
Healthy	68.11255	10.51246		68.11255	2.09841	0.08715	10.51246	0	0	0	0	0	0
Healthy	51.31828	0.00199		51.31828	14.92776	21.02093	0.00199	0.00032	0.04004	0	0.16427	0	0.24608
Healthy	61.18119	0		61.18119	15.56181	8.49703	0	0	0.03766	0	0	0	0
Healthy	26.18248	0.00441		26.18248	33.07218	11.23854	0.00441	1.83282	0.02304	0	0.48756	3.84463	0
Healthy	60.2623	0.08596		60.2623	7.50789	6.33297	0.08596	5.82674	0.36114	0	0	0.26043	0
Healthy	60.18214	0		60.18214	22.98317	5.14735	0	0	0	0	0.60333	0	0
Healthy	11.533	0		11.533	43.47845	14.76306	0	0	0	0.64383	0	0.13631	0
Healthy	42.72847	0.03605		42.72847	10.37783	27.77431	0.03605	0	0	0	0.00539	0	0
Healthy	74.81172	0		74.81172	6.07036	3.68394	0	0	0.14373	0	3.05251	0	0.01841
Healthy	13.58487	2.79994		13.58487	1.0229	6.11185	2.79994	43.4724	0	0	1.49991	0	0.71462
Healthy	71.38515	0.02171		71.38515	3.04903	7.45588	0.02171	0.03469	0	0	0.04025	0	0.01487
Healthy	28.00834	0.12942		28.00834	44.59993	9.95011	0.12942	0	1.6223	0	0.12091	2.27477	0
Healthy	44.18307	0.05867		44.18307	22.89878	17.82206	0.05867	0	0.78659	0	0.14055	0	0.00464
Healthy	33.10014	0.00416		33.10014	21.86949	16.49329	0.00416	0.63493	0.3917	0.68638	0.27317	2.65359	0.08871
Healthy	85.82224	0.35834		85.82224	3.03262	7.01709	0.35834	0.03989	0.34481	0	0.07765	0	0
Healthy	33.90315	0.04909		33.90315	35.57277	20.03581	0.04909	0	0.18325	0	0.19543	0	0.00376
Healthy	70.51977	0		70.51977	11.06907	4.65883	0	0.04755	0.39844	0	0.10602	3.62986	0.0186
Healthy	62.9367	12.7095		62.9367	7.85057	9.20068	12.7095	0.89222	0.00784	0	0.04102	0	0
Healthy	33.13465	0.21227		33.13465	32.19017	2.84876	0.21227	0.00828	0	0.65232	0	0	0
Healthy	43.91144	0		43.91144	29.09286	4.2752	0	0	0.15997	0	0.0029	0.94659	0
Healthy	69.10783	0		69.10783	0.94561	5.11895	0	0	0	0.01411	0.1261	0	1.42888
Healthy	22.25656	0		22.25656	31.45204	5.36435	0	10.2982	0.02753	0.58046	0.24638	0	0.1026
D003424	68.32751	0.86475		68.32751	10.12786	0.95222	0.86475	1.8086	0	0	0	0	0
Healthy	13.31218	0.09326		13.31218	26.45028	34.91888	0.09326	0	0.8535	3.28183	1.21051	5.59783	0.02758
D003424	0	0		0	10.75783	0	0	0	1.24917	0	0.0124	0	0
Healthy	67.98188	4.82061		67.98188	5.21396	5.06903	4.82061	0	0.43095	0	0.02509	0	0
Healthy	55.93334	0		55.93334	5.93984	5.65747	0	0	0.23069	0.20356	1.74519	0	0.08565
Healthy	50.09099	0.12044		50.09099	16.30264	10.60798	0.12044	0.03792	0.00191	0.07783	0.38301	0	0
Healthy	9.77201	0.09329		9.77201	49.96242	11.46567	0.09329	0	4.45262	0.0354	2.10498	0.32028	0
Healthy	49.84518	0		49.84518	0.79012	6.22468	0	12.3729	0	0	0.14463	0	0.8116
Healthy	85.64382	0		85.64382	4.16175	4.02822	0	0	0.01432	0	0	1.28601	0.04785
Healthy	27.67924	3.85088		27.67924	23.46814	13.07155	3.85088	0.00277	0.19114	0	1.24155	0	0.00501
D003424	62.3668	1.39856		62.3668	5.55648	19.14733	1.39856	0	0.30558	0	0.00546	0	0
D003424	48.80704	0		48.80704	25.9235	0.43777	0	0.0138	0.11882	0	0	0	0
Healthy	28.03494	0		28.03494	48.04604	7.24726	0	0.70351	0.01997	0	0	0	0
D003424	42.44981	0.81626		42.44981	22.98342	2.73553	0.81626	0	0.81774	0	0.03605	0.0031	0
Healthy	9.82302	12.1143		9.82302	26.19694	25.1117	12.1143	1.23746	0.37943	0	1.80325	0.27572	0
Healthy	42.51116	0.02405		42.51116	16.14362	5.87945	0.02405	0	0.08935	0	0.01862	3.9126	0.13867
Healthy	78.21362	0		78.21362	5.01792	2.4345	0	0	0	0.09233	0.58449	0.07944	1.5463
Healthy	32.48435	1.7791		32.48435	33.39352	2.91678	1.7791	0	2.60608	6.53455	0	0	0
Healthy	24.37262	0.02851		24.37262	42.68353	15.33346	0.02851	0.10576	0.00661	0	0.05074	0	0.04588
Healthy	25.24072	0.04973		25.24072	52.38186	7.14568	0.04973	0	0.87776	0	0.10742	3.90432	0
Healthy	77.14817	9.23712		77.14817	1.82898	5.10132	9.23712	0	0.00317	0	0.23506	0	0.01028
Healthy	28.96809	1.89676		28.96809	22.67106	19.40024	1.89676	0.11581	0.17678	6.73	0.01832	0	0.08692
Healthy	67.93963	6.04788		67.93963	3.35925	4.17699	6.04788	0	0	0	0	0	0
Healthy	6.90874	0		6.90874	4.30578	1.20933	0	0	0	0	0	0	0
Healthy	91.15794	0.03376		91.15794	1.12383	0.33015	0.03376	0	0.04242	0	0	0	0
Healthy	64.28467	0.37411		64.28467	6.54934	7.37115	0.37411	0	0.00396	0.20474	0.22944	0	0.18817
Healthy	34.19164	2.31376		34.19164	15.66101	7.08121	2.31376	0.2178	0.27112	0	0.2881	0	0
Healthy	32.61151	2.63703		32.61151	43.84315	14.54745	2.63703	0	0	0	0.44203	0	0
