group	Rikenellaceae	Burkholderiaceae	Enterobacteriaceae	Acidaminococcaceae	Desulfovibrionaceae	Coprobacteraceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Tannerellaceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae
Healthy	7.64732	0.03217	0.08761	0	0.15156	0		26.42138	23.67886	7.64732	0.36746	0.03217	1.03671	0.04466	0.03405	0.07677	0.09703
Healthy	10.55098	0.19327	0	0	0.07473	0.01633		16.88011	17.91379	10.55098	0.23943	0.19327	1.48318	0.05935	0	0	0
Healthy	1.06491	0	0	0	0	0		29.92045	12.33075	1.06491	50.7413	0	0	0.30319	0	0	0
Healthy	13.90556	0.002	0	0	0.10324	0		40.12699	3.84486	13.90556	2.8454	0.002	0	0.21886	0	0	0
Healthy	3.22808	4.30761	0	0	0.08008	0.20979		42.92261	16.00939	3.22808	2.0217	4.30761	0	0	0	0	0
Healthy	29.34344	0.00901	0.36426	0	0.04112	0		34.79275	2.06269	29.34344	4.8622	0.00901	2.0658	0	0.14732	0.23996	0
Healthy	0	0	0.91721	0.02949	0.01514	0		24.58404	20.64762	0	0.10923	0	0	0.04847	7.29344	0	0
Healthy	15.4521	0.24334	0.14705	0	0.07434	0.02025		46.90884	5.91702	15.4521	4.39784	0.24334	0.71018	0	0	0	0
Healthy	13.80833	1.45864	0.05728	0	0.15405	0.29606		32.3303	6.7014	13.80833	9.50977	1.45864	2.31782	0.16032	0.03268	0.02082	0
Healthy	6.87355	0.09001	0.18304	0	0.01399	0.00194		30.68269	10.32986	6.87355	2.35053	0.09001	0.69215	0.08495	0	0	0.31151
Healthy	6.24841	2.12136	0.09665	2.04301	0.09305	0.17639		35.65422	21.81106	6.24841	6.40451	2.12136	0.98932	0.02795	0	0	0
Healthy	0.62418	0	0	0	0	0		27.85964	46.34829	0.62418	0.42982	0	0	0.30461	0	0	0
Healthy	2.55539	0.14328	0.10061	0	0	0		34.30152	19.16726	2.55539	1.44495	0.14328	0.84408	0.08893	0.04899	0.05059	0.02658
Healthy	6.96963	0	0	2.52302	0.71462	0		20.3233	6.27347	6.96963	1.38836	0	0	0.87914	0	0	0
Healthy	15.94123	0.11188	0.13388	0	0.36652	0.02694		33.35016	4.55439	15.94123	3.84116	0.11188	1.23081	0.08279	0.00243	0	0
Healthy	15.84127	0.26229	0.09389	0	0.08906	0.03695		45.14646	5.77806	15.84127	4.39523	0.26229	0.77326	0.01522	0	0	0
Healthy	0.91171	0.04924	0	3.95932	0	0		50.4625	25.99537	0.91171	0	0.04924	0	0	0	0	0
Healthy	0.22771	0	0.01077	0	0	0		87.56983	6.25106	0.22771	0	0	0	0.03935	0.00567	0.01136	0.42534
Healthy	1.77545	0.02565	0.00903	0	0.0012	0.14512		28.09092	9.33161	1.77545	17.6543	0.02565	0.45607	0.24086	0.02073	0	0
Healthy	1.87102	0.05455	0	0	0	0		49.94599	18.21306	1.87102	0.28595	0.05455	0	0	0	1.81989	0.14632
Healthy	0.82712	0	0	0	0	0		2.75743	15.24503	0.82712	0	0	0	0	0	0	0
Healthy	6.22792	0	0.0092	0.00079	0.05871	0.01227		39.23273	13.53386	6.22792	3.48193	0	3.30544	0.38997	0	0.00195	0.01345
Healthy	8.66821	0.29286	0.07286	0	0.07883	0		55.7372	2.91449	8.66821	5.10208	0.29286	1.03995	0.60257	0.23551	0.023	0
Healthy	0	10.9103	16.2661	0.01689	0.13184	0		9.03133	0.18846	0	0.75704	10.9103	0	0	3.20071	0.19266	0
Healthy	8.31905	0	0	0	0.08855	0.16812		26.41612	13.06821	8.31905	6.52016	0	2.06509	0.33091	0	0	0
Healthy	11.07429	0.21457	0.02321	0	0	0		55.57526	5.14392	11.07429	1.47904	0.21457	0.55504	0.0481	0	0	0
Healthy	0	0.0857	0.37736	0	0.00251	0		85.81859	1.11149	0	3.29067	0.0857	0	0.18962	0.03427	0	0
Healthy	6.63942	0.04583	0.0328	0	1.66613	0		54.33304	1.1663	6.63942	4.94019	0.04583	1.31168	4.02394	0	0	0
Healthy	1.29699	0	2.17787	1.91706	0	0		25.45826	24.27811	1.29699	1.76152	0	0	0	0	0	0
Healthy	7.02145	0.15651	0	0	0.06513	0		52.38883	14.13543	7.02145	1.69946	0.15651	0	0.04008	0	0	0
Healthy	11.63986	1.28454	0	0	0.037	0		36.05486	8.53065	11.63986	4.03444	1.28454	1.39468	0.12367	0	0	0
Healthy	14.76102	0.26069	0	0	0	0		62.4949	0.78978	14.76102	1.95304	0.26069	0	0.01668	0	0	0
Healthy	8.94078	0.03316	6.37382	1.00509	0.65549	0.05326		18.8565	4.60479	8.94078	2.08417	0.03316	0	0.66922	0	0	0
Healthy	0.12639	0.01474	0	2.4818	0	0		52.84841	26.29808	0.12639	1.16581	0.01474	1.1273	0	0	0	0.09037
Healthy	16.12624	0.1002	0	0	0.05737	0		24.95525	3.30342	16.12624	0	0.1002	0	1.66202	0	0	0
Healthy	0.23838	0	0	0.01163	0.02658	0.22964		31.29799	24.13931	0.23838	2.05761	0	1.03345	0.0234	0	0	0
Healthy	3.02671	0.04035	16.4109	0	0	0.15438		31.97894	12.86415	3.02671	1.90474	0.04035	0	0	0	0	0.35363
Healthy	1.50364	0.08025	1.67377	0	0.09831	0		73.8556	4.04901	1.50364	8.83823	0.08025	0	0.96798	0	0	0
Healthy	0	0	0	0	0	0		11.09524	58.92111	0	0.90553	0	0	0	0.875	0	0
Healthy	7.9668	1.15039	0	5.57201	0.00189	0.19878		13.88747	21.11407	7.9668	1.56111	1.15039	1.1161	0.04687	0	0	0.28594
Healthy	7.21644	0.19017	0	0	0.06104	0		52.38316	14.52991	7.21644	1.80397	0.19017	0	1.6631	0	0	0
Healthy	8.44097	0.29889	0.02833	0	0.10029	0		55.62337	2.98722	8.44097	5.15553	0.29889	0.99432	0.69402	0.22337	0.01062	0
Healthy	1.61128	0	1.75061	0	0	0		7.9325	15.91284	1.61128	0.24212	0	0	0	0	0	0
Healthy	5.75588	8.98905	6.48387	2.16701	0.03635	0		35.33617	15.08024	5.75588	0.50003	8.98905	0.59341	0.00299	0.00473	0.03449	0.04743
Healthy	5.82279	2.89444	0.43307	0	0.0481	0.38751		16.50866	15.26306	5.82279	16.59372	2.89444	1.76986	0.09104	0.26113	0.24747	0
Healthy	0	0	0	0	0	0		0	19.60951	0	0	0	0	0	0	0	0
Healthy	1.1217	0	0	0	0	0		27.78473	24.55488	1.1217	1.73068	0	0.74523	0	0.02688	0.40379	0.20194
Healthy	11.63891	0.12857	0	0	0	0		55.27272	2.94694	11.63891	1.43325	0.12857	0	1.74357	0	0	0
Healthy	22.20962	5.95389	0	0	0.20315	0		48.31908	3.31311	22.20962	2.34465	5.95389	0.77418	0.02547	0	0.01729	0
Healthy	0.34539	0.04209	0.6727	0	0.03612	0		54.92267	10.44091	0.34539	0.44147	0.04209	0.78479	0.00454	0.00129	0	0.05314
Healthy	5.79551	0.37574	12.8542	0	0	0		21.6074	4.67955	5.79551	3.29162	0.37574	2.25825	0	0	0	0
Healthy	20.6628	1.42197	0.00825	0	0.0924	0.04067		23.01477	4.47133	20.6628	6.53852	1.42197	2.31492	0.04391	0	0	0
Healthy	6.05686	0.0035	0.00409	0	0	0		50.28392	4.96469	6.05686	0	0.0035	0	0.00521	0.01956	2.29054	0.09932
Healthy	5.4983	0.00678	0.02165	0	0.06614	0		12.62376	26.02253	5.4983	2.10613	0.00678	0	0.52013	0.01217	0.19393	0.0908
Healthy	4.54685	0.77874	0.74512	0	0	0		8.46995	3.57365	4.54685	55.4244	0.77874	0.00239	0	0.13021	0	0.03828
Healthy	0	0	4.12779	0	0	0		92.1473	0.64707	0	0	0	0	0.04909	0	0	0
Healthy	4.42938	0.0093	0	2.25084	0.28312	0.13753		21.2982	15.93214	4.42938	4.63046	0.0093	0.58748	0.01037	0	0	0
Healthy	5.13152	0	1.83545	0	0	0		14.6883	21.35409	5.13152	1.44981	0	0	0	0	0	0
Healthy	17.14519	1.16431	0	0	0	0.03883		23.61452	13.86684	17.14519	2.52603	1.16431	1.88591	0.14019	0	0	0.12217
Healthy	6.97937	1.07698	0	0	0.01952	0		53.80599	13.69074	6.97937	4.22958	1.07698	0	0.1008	0.29998	2.77557	0
Healthy	24.4055	3.18134	0	0	0.24434	0.09311		32.15259	23.87406	24.4055	6.37429	3.18134	0	0.19086	0	0	0
Healthy	11.84445	0.10417	0	0	0	0		52.2867	5.4809	11.84445	1.26783	0.10417	0	0.0164	0	0.12423	0
Healthy	23.906	3.01158	0	0	0.33779	0.11462		31.71635	23.7909	23.906	6.43809	3.01158	0.81242	0.24656	0	0	0
Healthy	0.85813	0.16203	0	0	0.04101	0.48525		6.80061	30.93293	0.85813	2.33747	0.16203	3.1263	0.1245	0	0.01484	0
Healthy	0.52597	0	0.04559	1.62095	0	0		16.66698	27.93452	0.52597	0.34158	0	0.24283	0	0	0	0.41789
Healthy	0.51449	0	1.37665	0	0.04377	0		75.92255	5.82858	0.51449	0.08399	0	0	0.13021	0	0	0.0709
Healthy	23.13099	0.39005	0.04487	0	0.32464	0		12.59197	7.62617	23.13099	15.63019	0.39005	0.03503	0	0	0	0
Healthy	0.62661	0.04103	0.09805	1.52412	0	0		8.35651	35.61448	0.62661	1.50426	0.04103	0.3186	0.01003	0	0.06684	0.40841
Healthy	3.03612	0.21396	2.02806	0	0.09504	0.03899		18.58788	25.4783	3.03612	1.82479	0.21396	0.52544	0.00713	0.1432	0.28217	0.06758
Healthy	0	0	0	2.69908	0	0		28.73911	8.61824	0	0	0	0	0	0	0	0
Healthy	5.05123	0.04026	0	0	0.00212	0.07069		11.97928	19.89236	5.05123	1.31999	0.04026	1.13762	0.33959	0.0031	0	0
Healthy	14.88692	0	0.04317	0	0	0		50.14928	7.83141	14.88692	2.36362	0	4.36243	0.00911	0	0	0
Healthy	4.6813	0.30935	8.48243	0	0.02153	0		54.18048	13.89969	4.6813	1.19501	0.30935	0.84118	0.03503	0.02726	0.00258	0.66049
Healthy	1.00068	0.39488	0.03067	0	0	0		27.32592	47.44119	1.00068	2.10844	0.39488	1.06521	0	0	0.03965	0
Healthy	17.98824	2.38969	0	0.24554	0	0		40.19594	7.41268	17.98824	1.85882	2.38969	0.7931	0.0685	0.13071	0.74286	0
Healthy	28.97505	0.013	0.36631	0	0.00721	0		36.92951	2.05337	28.97505	5.22934	0.013	2.06682	0	0.20284	0.23479	0
Healthy	1.52814	0.18365	0.47299	0	0	0		19.86247	19.30605	1.52814	0.38155	0.18365	0.52809	0.11883	0.00186	0	0.14908
Healthy	8.8283	0.00433	2.12948	0	0.08954	0.22887		29.16371	17.42598	8.8283	1.46835	0.00433	1.36225	0.13401	0.00824	0	0.13647
Healthy	9.86851	0.08094	0	0.85189	0.19444	0		54.96992	2.81573	9.86851	0.89272	0.08094	1.05331	1.2697	0	0	0
Healthy	2.49326	0.2712	1.06216	0	0.17895	0		50.26182	0.82468	2.49326	1.75228	0.2712	0	1.78574	0	0	0
Healthy	7.99269	1.85847	0	0.19254	0.14804	0		25.14316	13.15289	7.99269	1.40721	1.85847	1.54784	0.01682	0.00209	0.01462	0
Healthy	0	0	0	0.2624	0	0		2.1963	29.97117	0	0	0	0	0	0	0	0.26971
Healthy	0	0	0	1.40714	0	0		40.07286	15.96171	0	0	0	0	0	0	0.24052	0.05592
Healthy	1.6101	0.39081	0.02631	0	0	0		53.10253	3.33986	1.6101	2.47829	0.39081	0	0.27357	0	0	0.05482
Healthy	0	0.11156	0.42965	0	0	0		85.81464	1.15799	0	3.17839	0.11156	0	0.20572	0.02362	0	0
Healthy	0.00153	0	15.6337	0	0	0		0.04254	0.01695	0.00153	0.00463	0	0	0	0	0	0.04787
Healthy	0.07741	0	1.31886	0	0	0		83.40261	1.3669	0.07741	2.44765	0	0	0	0	0	0
Healthy	3.7531	0.03569	0	0	0	0		51.51814	16.08956	3.7531	0.27114	0.03569	0	0	0	0.04188	0.26029
Healthy	5.56369	0.26927	2.36877	0	0	0		19.13218	22.85331	5.56369	1.18699	0.26927	0	0	0.06649	0	0
Healthy	0.63812	5.7003	0	0	0	0.21743		62.86016	2.66517	0.63812	5.80673	5.7003	0.9632	0.15639	0	0.07776	0
Healthy	0.8505	0	0	3.79571	0	0		54.9095	25.93152	0.8505	0.06004	0	0	0	0	0	0
Healthy	0.89891	7.09637	0	0	0	0.24355		49.18147	3.20391	0.89891	6.68856	7.09637	1.07873	2.66772	0	0.06544	0
D001528	21.80415	0.64086	0.44415	0.00034	0.86982	0.03228		42.06231	4.70741	21.80415	2.55284	0.64086	0.64103	0.06538	0	0	0
Healthy	0.659	0.84737	0	0.36619	0	0		47.44693	20.33841	0.659	1.45644	0.84737	2.11166	0.01289	0.08681	0.1676	0.02165
Healthy	0.87139	0	0.04705	0	0	0		37.50399	22.52399	0.87139	0.00304	0	0.587	0.09915	0.028	0.02787	0
Healthy	0.06141	0.24481	0.78469	0	0.14777	0		20.15201	13.4946	0.06141	0.76233	0.24481	0	0.00321	0	0	0.06551
Healthy	24.43499	2.9757	0	0	0.55153	0.0745		31.8271	23.50672	24.43499	6.3337	2.9757	0.79485	0.2508	0	0	0
Healthy	2.45781	6.33312	0	0	0	0		56.57897	5.27636	2.45781	6.04427	6.33312	1.04245	0.1223	0	0	0
Healthy	0.0135	0	0.15749	0	0	0		0.03058	0.00232	0.0135	0	0	0	0	0	0.00151	0
Healthy	0.66387	0.00077	0.07817	0.00449	0.02767	0.30407		54.09437	11.19733	0.66387	1.24461	0.00077	1.42396	0.04777	0.00282	0.00767	0
Healthy	0	0	4.27323	0	0	0		0.01207	13.95278	0	0	0	0	0.07233	0.10549	0	0.00065
Healthy	15.84823	0.01982	0	0	0.03927	0		42.74961	1.95559	15.84823	5.48968	0.01982	0.02166	0.02147	0	0	0
Healthy	17.06665	0.0632	0.04178	0	1.61864	0		13.35822	0.74218	17.06665	5.2338	0.0632	0	0.18747	0	0	0
D001528	32.23239	0.25517	0.21828	9.94177	0.06726	0.05345		30.36625	1.86152	32.23239	0.62094	0.25517	0.50364	0.05382	0.00305	0.06692	0
Healthy	0.1997	0.02799	78.76377	0	0	0		1.71228	4.66382	0.1997	0.02172	0.02799	0	0.05913	0	0	0
Healthy	2.31537	0.25346	0.12255	3.1767	0	0.00614		57.53581	15.78988	2.31537	8.26991	0.25346	0	0	0	0	0
Healthy	11.67459	0.19767	0	0	0	0		55.94539	4.99949	11.67459	1.39305	0.19767	0	0.05422	0	0	0
Healthy	0	0.17411	1.82617	0	0	0		63.27551	20.07617	0	0	0.17411	0	0.04607	0.008	0.04462	0.25312
Healthy	0	0	0	0	0	0		48.7416	3.15258	0	0	0	0	0	0	0	0
Healthy	0	5.90439	2.4214	0	0	0		50.98894	20.8232	0	0	5.90439	0	0.1339	2.80187	0.67165	0.16683
Healthy	0.03166	5.67678	18.6713	0	0	0		5.90647	1.68143	0.03166	22.9141	5.67678	0	0	0.01348	0.00123	0
Healthy	0.23084	0	0	1.40591	0	0		17.48899	18.86342	0.23084	0	0	0	0	0	0	0
Healthy	2.58597	0.37347	1.0251	0.00324	0.00203	0		50.74195	4.88406	2.58597	5.40089	0.37347	0	0.59253	0.04263	0.07592	0
Healthy	0.00027	0	0.15486	0	0	0		31.05144	13.15882	0.00027	7.4342	0	0	0.04823	0.21648	3.13703	0.61698
Healthy	0.61624	0	0	0	0	0		6.53995	8.09311	0.61624	0.26959	0	0	0	0	0	0.01342
Healthy	0.03482	0	0	0	0	0.42578		67.63594	18.30054	0.03482	0	0	0	0	0	0	0
Healthy	15.23831	8.78787	0	1.52523	0.04203	0.16582		25.70038	9.47397	15.23831	0.73403	8.78787	1.80602	1.53569	0	0.06709	0
Healthy	1.2919	0	0	2.10912	0.02619	0.16401		27.26433	9.87281	1.2919	0.37816	0	0	0.00225	0	0	0
Healthy	2.87028	0.08859	0.71302	6.00307	0.03232	0.02847		12.94768	11.74589	2.87028	0.84661	0.08859	0.70656	0	0	0.12678	0.39724
Healthy	20.00155	0.0042	1.00992	0.02808	0.40307	0.081		37.01449	0.2867	20.00155	6.32032	0.0042	0.79541	2.15327	0	0	0
Healthy	14.67782	0	0.1118	0.02259	0.80581	0.01499		10.67673	1.01616	14.67782	3.97953	0	0	0.53887	0	0	0
Healthy	0.42444	0	0	0	0	0		18.87722	25.34291	0.42444	1.06739	0	0	0.27181	0	0	0
Healthy	8.1883	0.56276	0.30347	0	0.1864	0.15656		14.90616	26.60135	8.1883	7.09406	0.56276	0.73547	0.04477	0.00198	0.00554	0.1
Healthy	0.04774	0	0	0.12298	0	0		29.77408	33.09255	0.04774	0.03575	0	0	0	0	0.21568	0.30225
Healthy	15.03435	0.12171	0.17465	0	0.11779	0		34.31664	5.97775	15.03435	6.37952	0.12171	0.97978	0.19817	0	0	0
Healthy	2.20826	5.94144	0	0	0	0		55.22226	5.25075	2.20826	6.0069	5.94144	1.07156	0.08393	0	0	0
Healthy	8.28927	0.16545	0	0	0	0		70.31759	0.65658	8.28927	2.03359	0.16545	0	0	0	0	0
Healthy	13.99989	0.01784	0	0	0.09289	0		46.32682	9.43879	13.99989	4.96493	0.01784	1.94002	0.09268	0.01308	0	0
Healthy	8.47845	0.67731	0.61563	0	0.29804	0		27.71683	6.33331	8.47845	0.96468	0.67731	2.21731	0.03116	0	0.01449	0.0182
Healthy	0	0	86.41751	0	0	0		0.05164	0.00094	0	0	0	0	0	0	0	0
Healthy	20.27064	5.18226	0	0	0.16147	0.04561		34.59584	21.55607	20.27064	3.1482	5.18226	0.83263	0.19885	0	0.11696	0
Healthy	1.31308	0.2551	9.93651	0	0.60646	0		9.23456	0.3762	1.31308	3.00801	0.2551	0	0.06887	0	0	0
Healthy	0.01919	0	3.966	0	0	0		0.00012	0	0.01919	0	0	0	0.25159	0.04244	0.0088	0.02357
