group	Bacteroides_intestinalis_A	Bifidobacterium_pseudocatenulatum	Anaerotruncus_colihominis	Bacteroides_nordii	Enterocloster_asparagiformis	Enterocloster_citroniae	Gordonibacter_pamelaeae	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	0	0	0.00225	0.44311	0	0	0.0036	0	0	0.0109	0	11.6922	0	16.5611	0.04157	0.24782	0	0	0.0004	0
Healthy	0	0	0	0	0.01063	0	0	0.01138	0.02165	0.00212	0	0	0	0	0.91156	0.00032	0.10291	0	0.29612	0.00315
Healthy	0	0.00456	0.03849	0	0.00864	0.01718	0.01863	0	0	0	5.43494	3.74279	0	0	1.94611	0.04304	0.03732	0.00678	0.07417	0.07731
Healthy	0	0	0.0088	0.06901	0.00064	0.03214	0.13544	0.00317	0	0.00419	3.7792	0.01244	3.89693	0.39962	1.40044	0.35495	0.00473	0.00396	0.01212	0
Healthy	0	0	0	0	0	0	0	0	0	0	10.3496	2.58589	9.5509	3.82212	0.26674	1.27903	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	5.80786	0	1.10706	0.74061	0	0.10729	0	1.07698	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	4.54462	0	0	0.03365	0	0	0	0.10417	0	0
D016640	2.98636	0	0.08227	0	0.05434	0.02051	0.17279	0.00117	0.00192	0.00291	0	0	0	0	0.03262	0.4109	0.02935	0	0	0.06376
Healthy	0	0	0	0	0	0.01905	0	0	0	0	0	0	0	0.31732	0.04396	0.07178	0.04056	0	0.03988	0.13021
Healthy	0	0	0	0	0	0	0	0	0	0	17.9802	0.03785	1.61717	1.38524	0	0	0	0	0	0
Healthy	0	0	0	0.02032	0	0	0	0	0	0	20.3673	2.07785	2.7737	0.9162	0	0.03836	0	0.013	0	0
Healthy	0	3.61122	0.03033	0.05399	0.01289	0.02497	0.0618	0	0.00327	0.00315	8.32523	0	2.84294	0	3.49856	0.53078	0.72134	0.00147	0.00814	0.04945
Healthy	0	0	0.08371	0	0.00732	0	0.01047	0	0	0	1.75975	0.54292	0	0.73351	0.0105	0.02584	0.21498	0.01997	0	0.08469
Healthy	1.06953	0	0	0.02386	0	0	0	0	0	0	5.95256	0.04283	0.51114	0.92559	0.29161	0.2837	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	32.4931	0	0	2.37613	4.65973	0	0	0	0
Healthy	0	0	0.38064	0	0.077	0	0	0	0	0	0	0	0	0	0.00425	0	0.0462	0.11156	0.43633	0.17562
Healthy	0	0	0	0	0	0	0	0	0	0	0	3.02639	0	2.80545	0.87265	0.33867	0	0.03569	0	0
Healthy	0	0	0	0	0.11383	0	0	0	0	0	0	0	0	0.63546	0	0.06136	0.2033	0	0	0
Healthy	0	0	0	0	0.11375	0	0	0	0	0	0	0	0	0.86552	0	0.08017	0.27776	0	0	0
Healthy	0	0.04771	0	0	0	0	0	0	0	0	0	2.56626	1.24513	0.00082	0.08798	0.27957	0.01163	0	0	0.07704
Healthy	0	0	0	0	0	0	0	0	0	0	18.1186	0.27637	1.10334	3.44256	0.02841	0.08851	0	0.38392	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.49633	0	3.76568	0.79313	0	0.04586	0	0.05957	0	0
Healthy	0	0	0	0	0.27277	0	0	0	0	0	12.0945	1.06684	6.29834	2.08397	0	0	0.34518	0.02873	0	0
