group	Enterobacteriaceae	Pseudomonadaceae	Moraxellaceae	Veillonellaceae	Staphylococcaceae	Actinomycetaceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae
Healthy	0	0	0	0	0	0		55.27272	2.94694	11.63891	2.03873	1.43325	0.6039	0	0	1.74357	0
Healthy	0	0	0	0	0	0		48.31908	3.31311	22.20962	2.08575	2.34465	0	1.7863	0.31594	0.02547	0.20315
Healthy	12.8542	0	0	0	0	0		21.6074	4.67955	5.79551	5.16023	3.29162	1.94348	0.89589	0	0	0
Healthy	0.00825	0	0	0	0	0		23.01477	4.47133	20.6628	7.83113	6.53852	11.74687	0	0.14616	0.04391	0.0924
Healthy	0.00409	0	0	0.01956	0	0		50.28392	4.96469	6.05686	8.98741	0	0	0	0	0.00521	0
Healthy	0.02165	0	0	0.01217	0	0		12.62376	26.02253	5.4983	8.82855	2.10613	4.72778	0	0	0.52013	0.06614
Healthy	0	0	0	0	0	0		21.2982	15.93214	4.42938	17.63019	4.63046	0.10521	3.89693	0.73212	0.01037	0.28312
Healthy	0	0	0	0	0	0		23.61452	13.86684	17.14519	4.71969	2.52603	2.58589	9.5509	0.38165	0.14019	0
Healthy	0	0	0	0.29998	0	0		53.80599	13.69074	6.97937	3.75877	4.22958	0	1.10706	0	0.1008	0.01952
Healthy	0	0	0	0	0	0		52.2867	5.4809	11.84445	4.47824	1.26783	0	0	0	0.0164	0
D007234	43.22807	0.56023	0.01927	0.00323	0.12902	0		0	0	0	0	0	0	0	0	0	0
Healthy	1.37665	0	0	0	0	0		75.92255	5.82858	0.51449	2.57906	0.08399	0	0	0.3144	0.13021	0.04377
Healthy	0.04487	0	0	0	0	0		12.59197	7.62617	23.13099	8.38082	15.63019	0.08852	1.61717	0.14095	0	0.32464
D007234	54.48952	12.4897	0	0	0	0		22.05651	1.89522	0	0	0.19592	0	0	0	0	0
Healthy	0.36631	0	0	0.20284	0	0		36.92951	2.05337	28.97505	4.26482	5.22934	2.07785	2.7737	0	0	0.00721
Healthy	2.12948	0	0	0.00824	0	0.00527		29.16371	17.42598	8.8283	4.45408	1.46835	0.02277	2.84294	0.71644	0.13401	0.08954
D007234	0.04595	0	0	41.1183	20.55504	0.00988		0	0	0	0	0	0	0	0	0	0
D007234	43.96149	0.36045	0.1409	0.01273	0.08283	0		0	3.09998	0	0	0	0	0	0	0	0
Healthy	1.06216	0	0	0	0	0		50.26182	0.82468	2.49326	4.01289	1.75228	0.57939	0	0.68097	1.78574	0.17895
Healthy	0	0	0	0.00209	0	0		25.14316	13.15289	7.99269	38.17465	1.40721	0.04283	0.51114	0.35797	0.01682	0.14804
Healthy	0	0	0	0	0	0		2.1963	29.97117	0	22.10912	0	32.4931	0	3.68311	0	0
Healthy	0.42965	0	0	0.02362	0	0		85.81464	1.15799	0	0.89925	3.17839	0.37289	0	0.14868	0.20572	0
D007234	0	24.2762	0	0	2.24474	0		0	0	0	0	0	0	0	0	0	0
