group	Lachnospiraceae	Barnesiellaceae	Methanobacteriaceae	Coprobacteraceae		Lachnospiraceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Coprobacteraceae
Healthy	37.42848	0.7484	0	0.49074		37.42848	0	0.23185	0	0.7484	1.12109	0	0.00794	0	0.49074
Healthy	14.87514	2.78245	0	0		14.87514	0.92934	1.73586	0.01411	2.78245	0.04651	0	0	0	0
Healthy	0.64545	0	0	0		0.64545	0	0	0	0	0	0	0	0	0
Healthy	20.44622	1.35632	0	0.07048		20.44622	0.61728	3.41828	1.21706	1.35632	0.14758	0.01667	0.01283	0	0.07048
D050177	33.17898	0	0	0		33.17898	0	3.19159	0.70328	0	0	0	0	0	0
Healthy	11.94382	0	0	0		11.94382	0.01142	0	0.62783	0	0	0.20553	0	0	0
Healthy	2.68635	3.09629	0	0		2.68635	0	20.8589	0	3.09629	0	0	0	0	0
Healthy	32.47023	1.05966	0	0		32.47023	10.94462	0	5.62249	1.05966	0	0	0	0	0
Healthy	51.48479	0.15532	0.18576	0		51.48479	0.53641	1.4179	0	0.15532	0.12328	0	0.18466	0	0
Healthy	4.28305	1.08183	0	0		4.28305	0.49856	11.76542	0	1.08183	0	0	0	0	0
Healthy	38.09029	1.28148	0.11191	0		38.09029	0.40697	1.32036	0	1.28148	0	0	0	0	0
Healthy	6.73804	0	0	0		6.73804	25.6546	0	0	0	0	0	0	0	0
Healthy	12.91336	0	0	0		12.91336	0	49.3567	0	0	0.53907	0	0	0	0
Healthy	21.6924	0	0	0		21.6924	0.19456	0.42677	0	0	0.1903	0	0	0	0
Healthy	0.0105	0	0	0		0.0105	7.07153	9.35592	0	0	0	0	0.00233	0.23549	0
Healthy	14.063	0	0	0.07552		14.063	10.5799	1.50099	0	0	1.18442	0	0	0	0.07552
