o	Lachnospirales	Oscillospirales	Lactobacillales	Actinomycetales	Coriobacteriales	Erysipelotrichales	Acidaminococcales	Peptostreptococcales	Bacteroidales	Burkholderiales
Healthy	1.07714361332151	1.50360453641233	-0.984305011473482	-1.94195376960472	-5	-5	-5	-5	1.71218039327238	0.32303335048148
Healthy	0.42916421218118	-0.108284178145288	-5	-5	-5	-5	-5	-5	1.85173953724011	-0.460585133050118
Healthy	1.51148549867498	1.13455320568454	-5	1.0392010841612	-5	-5	-5	-5	1.42350882927382	-5
Healthy	1.71167903000264	1.25324396263419	-0.693274823217508	-0.27049503818861	-0.777309535288659	0.129148297419056	0.117304446641003	-5	1.15158158231486	-0.200507818629786
Healthy	0.631754158329886	0.650436723522749	-5	-0.302273857453656	-0.596862313373619	-5	-5	-5	1.76379227371666	-0.288488022888145
Healthy	1.58081439318685	1.32538613562869	-0.460296761052174	-0.390426932551334	0.187811093428112	-5	0.0313438202620874	-5	1.34524587426771	-5
Healthy	0.828534229358596	-0.401702045786327	-0.34356637993405	1.40916541692025	0.119206384805907	-5	-5	-5	-0.446736102130203	-5
Healthy	1.11103959481586	0.240269612401778	-5	-5	-5	-0.268346780304104	-5	-5	1.90515172992153	-5
Healthy	1.336307804276	1.41367353242207	-5	-0.71092412110178	0.567358139248078	-0.720538390742327	-5	-5	1.30818415943938	-3.24412514432751
Healthy	-1.97839728397176	-2.36251027048749	-2.1157712303674	0.856310098713071	-2.58335949266172	-5	-5	-0.628009088535085	1.46048845128655	-5
Healthy	1.14807828558305	0.751613936045421	-5	1.02448197330695	-0.105949913325857	0.0735093989447644	-1.79344395590097	-5	1.58838141538367	-5
Healthy	1.61997011653538	0.866688359258094	-0.147148087521985	-0.229648819820771	-0.375810756140244	0.218727140663925	-5	0.645795484286742	1.47030565369035	-1.15770286567193
Healthy	1.07603572374245	0.510814350098591	-5	-5	-2.36251027048749	-0.13499083395651	-5	-5	1.52154105801303	-5
Healthy	1.41532882281721	0.631091522966043	-1.5632014897682	-0.876344325561878	-5	0.269358812376748	-5	-5	1.62193708491111	-5
Healthy	0.59072483359269	0.846233784769899	-1.30944953848964	-0.125332675551212	-0.191964671555741	-0.760125180346964	-5	-5	1.8422493624299	0.476666455108599
Healthy	1.75789191942676	-0.118524042554911	-0.465035207605334	-5	-5	-5	-5	-5	1.45822828621146	-1.48571795213962
Healthy	0.36331482835193	-0.965010783712315	-5	-0.733980091146502	-5	-5	-5	-5	1.81760403789488	-5
Healthy	1.80889335280578	1.16304711902404	-1.49743633089264	-3.09151498112135	-0.32176395860447	-1.61816320000166	-3.79588001734407	-5	0.889549319851817	-5
Healthy	1.06316929452744	0.946219825797328	0.180461362818491	0.444457023751733	0.0459758857632826	-1.35882345338689	-5	-0.695294101787234	1.40084905039548	-5
Healthy	0.237900477097921	0.583858219238748	-5	0.0832624731640772	-0.788318923700861	-2.75696195131371	-5	-5	1.8803962977303	-0.128129464579834
Healthy	1.66762682266702	0.992928889957716	-0.303809671082059	0.309698286707962	-0.226945306635737	-2.38090666937326	-5	-0.963331189699903	1.44655083564052	-1.18795610206977
Healthy	0.492186070439878	0.673011686341373	-1.28083450591079	-0.921361961630327	-0.652026339721962	-2.09205147838773	-0.0562186872401727	-5	1.82018917291727	-0.926831737734898
Healthy	1.40720745917849	1.32157875525773	0.911149082629646	0.0150410440855053	0.0167743557683439	-0.876017763788537	-5	-1.13978181533124	1.40671301227427	-0.689094370623858
Healthy	1.08138619810596	1.67951501933894	-5	-5	0.254809010414806	-5	-5	-5	1.25929732031192	-5
Healthy	-0.164797888132791	0.902445667702754	-1.43782613663535	-0.918760739088303	-1.44745345204434	-1.42759313244194	-5	-5	1.89530517121279	-1.18236853280948
Healthy	1.27252363301069	0.652825336602453	-5	-5	-0.91388942619868	-1.16583371605738	-5	-5	1.81245075376518	0.0307534989344725
Healthy	0.739146543010077	0.835649359111773	-1.71489297043319	0.844854766981582	-0.184820869860581	-0.0550684599193712	-5	-1.23574912456123	1.59146586560344	-0.668532211708969
Healthy	0.0859787659246733	0.122936373016304	-0.68103977147246	-5	-0.880117542015017	-1.63601217025151	-5	-5	1.94824376338362	-0.922014708970498
Healthy	1.07559622729982	-0.303932071589103	-1.1332992439575	-5	-5	-1.98505965020706	-5	-5	1.902603793708	-1.10358402352688
Healthy	0.818468713818494	0.844388319573514	-2.19586056766465	-0.244010871341215	-0.739427791876507	-1.60432421473006	-5	-5	1.80714744013724	0.143997879284792
Healthy	0.488408278395932	0.942700882255081	-1.80687540164554	-1.92811799269387	-1.22687207596667	-0.287518662198081	-5	-2.5654310959658	1.58393825894487	-1.51784130458872
Healthy	0.233602682980597	0.567530984351731	-5	0.0282580248289713	-0.947652400775336	-5	-5	-5	1.90763543760992	-0.153502067841731
Healthy	1.12035245035664	0.82427491392805	-0.120032963624613	0.196863987186564	-0.528869712156724	0.0149235651407904	1.35265920825441	-1.07417242537526	1.40001116347393	-0.0554729136398701
Healthy	1.37015932955661	0.223467385096525	0.217520791879462	-5	-1.42181939037222	0.864966495421165	0.167656956106924	-1.07504911108439	1.7468348775601	-1.07899019850297
Healthy	1.1080780297943	1.2668441233568	-5	1.46381224150908	0.00158228893511219	-5	-5	-5	1.43602485997618	0.140316307786721
Healthy	1.05445677234163	0.50420979956773	-5	-5	-5	-0.363742852536496	-5	-5	1.89328788413065	-5
Healthy	1.24039472178083	0.865887722538789	-0.36188030013976	0.0485156040340487	-0.37333121254548	-1.14587621789883	-5	-2.21183162885883	1.81086762923236	-0.244300421325839
Healthy	1.07616584604537	-0.364828011559438	-1.00859669741996	-5	-5	-2.59345981956604	-5	-5	1.90097133349062	-1.20321758829869
Healthy	1.44940850532176	0.750439735412066	-0.119701008574247	-1.24519314464558	-5	-5	-5	-1.36491856398913	1.67173058524069	-5
Healthy	1.30696193389169	0.780155231719571	-1.50501102631683	-0.295429124810496	-0.555018887912055	-0.809360202155316	-0.578461880309915	-1.49120103459609	1.52251334995078	0.10356770156495
Healthy	6.07969717777382e-05	0.719541752768856	-5	-0.939528807202321	-0.827192811630913	-0.247436853219887	-5	-5	1.84248723314806	-1.20474581741912
