o	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Lactobacillales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales	Pseudomonadales	Bacteroidales	Burkholderiales
Healthy	1.24119746047586	0.663782877786846	0.907689155879493	0.676698181121668	-2.14508697769214	0.37579342575089	-1.09183679994445	0.00338297259828993	-5	-0.864930986176552	-5	1.64240941377882	-2.36251027048749
D015179	0.80491937079792	0.340606696950006	1.58367850070157	-5	-5	-1.05630767289398	-1.00793273997233	-5	-5	-5	-5	1.16927433453282	-5
Healthy	-0.0837092715592769	0.804686557679567	-1.65600093094284	0.855072517386656	-5	-5	-0.447623844747437	-0.160239219038679	-5	-5	-5	1.73645522766992	-0.566694301291877
Healthy	1.11902151823587	1.58245325704891	0.362126071357915	-1.49620931694282	-1.22929523178422	-1.57121748850305	-5	-0.386433001228715	-0.71545647704125	-5	-5	1.56350540995057	0.269157891804425
Healthy	1.476703841958	1.73721038001092	-5	-5	0.317892088957648	-5	0.485269866168583	0.566215868865457	-0.581019618754964	-0.569086848995397	-5	0.341693638960031	-5
D015179	1.04410014797495	1.20726480409972	1.2302273746933	0.210315843943177	0.460718978789478	-5	-5	-5	-5	-5	-5	1.49920111566815	-5
Healthy	0.0637085593914174	0.169636233270082	-5	-5	-5	-0.665827827275394	-1.56719099496683	-0.827718238544999	-5	-5	-5	1.94935604251243	-0.952452566921365
Healthy	1.20654443756562	0.899777289617267	0.272340642245293	-5	-5	-1.31614279459965	-0.357852165202157	-0.632196967250993	-5	-0.584525831890764	-5	1.74462456359356	-1.44733178388781
Healthy	0.425726545582806	0.959265640357073	-5	-5	-5	-5	-1.7680209731685	-0.291324207273463	-5	-5	-5	1.84810070904581	0.755898474554684
Healthy	0.505681663469531	1.14675266012306	-5	-5	-5	-2.34486156518862	-1.91506642506328	-0.133411418224968	-5	-5	-5	1.76411057214773	0.851036863233541
Healthy	1.35264551866897	1.17448400480989	0.0755615592810349	-5	-5	-2.13608262304214	-1.86614187479667	-1.4386600585411	-5	-5	-5	1.6043401214296	-5
Healthy	1.37119221901313	0.610556899430001	-5	-5	-5	-5	-1.26656197290894	-1.1114274031424	-5	-5	-5	1.81002063010515	0.473590604448907
Healthy	0.722335242394437	0.697566705597547	-0.632401836320167	-5	-5	-0.237839297913818	-5	-1.44708854978349	-5	-5	-5	1.84441000712758	0.801618402870708
Healthy	-0.129484901474809	0.996124925378408	0.434388442735579	1.23550344900574	-5	-5	-5	-0.833066905128846	-5	-5	-5	1.62280463482383	-1.19921420967224
Healthy	0.668742711689318	-0.226967278244564	0.736743798962006	0.547602429785681	-5	-0.974202758689708	-1.99225222199926	0.169395196975156	-5	-5	-0.235248677675379	0.286391343147528	-1.55284196865778
Healthy	1.30268108084626	0.916257023745133	-0.12731939284807	-5	-5	-0.819845440546652	-0.835409239809776	-1.98171569157347	-5	-0.59665638086955	-5	1.8012357228892	-0.759151341514639
D015179	0.99166236674077	0.154253508753743	-0.627750985936044	-5	-5	-5	0.283262773843844	-5	0.342223254392762	-5	-5	1.74447378414008	-0.0183127426170645
Healthy	1.31854767896072	0.988923539827931	-1.88706002391592	-5	-5	-5	-5	-5	-5	-0.777699818826206	-5	1.70747606876486	0.771175771563677
Healthy	1.27562066478692	1.57039266200351	0.410247323940247	-5	-5	-0.107032119049397	1.05528695170825	0.58910475277915	0.147960609057186	-5	-5	1.27434700337415	-5
Healthy	0.908115979902185	1.54965029569179	0.698566791937309	-5	-5	-0.218646803094664	-0.240528576357249	-0.662820374590166	-5	-1.87192398733128	-1.15645578805436	0.870742663294291	-5
Healthy	1.26246414210068	0.520971921200441	-5	-1.16966800654804	-5	-5	-5	-0.973099191109745	-5	-5	-5	1.83312510965263	-5
D015179	1.14156013602475	0.963956319797818	0.678014596710476	-0.257274868695302	-1.23448045690205	-0.587573054990412	-0.314625552207653	-0.4620424562927	-5	-0.157103821491455	-5	1.70206571376293	-2.14813039927023
Healthy	0.976532463577624	1.12778164041776	-5	0.483737027872602	-0.242004572723122	-2.70774392864352	-5	-5	0.183338186289204	-5	-5	1.64097954636543	0.943884117923751
Healthy	1.06988629910927	1.46632270597064	-0.504997133561376	0.262472447950243	-0.819845440546652	-1.40044440901402	-0.179069852819449	-1.10690433390377	0.778374131016551	-0.400936094120583	-0.0163692030911767	1.24469661240851	-1.05256627811295
Healthy	-0.542557159271581	0.613144912492539	-0.485691374343224	-2.3585258894959	-5	-1.30311962831724	-0.533384432507628	-0.0108217012429983	-1.55144826079842	-5	-5	1.82668575568211	-2.37571790416433
