group	Dialisteraceae	Streptococcaceae	Peptostreptococcaceae	Oscillospiraceae	Eggerthellaceae	Coprobacteraceae	Lactobacillaceae		Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	0	0	0.12217	0.14019	0.06226	0.03883	0		23.61452	13.86684	4.71969	2.58589	1.83608	1.16431	0.54243	0.38165	0	0.06226
Healthy	4.47702	0.19801	0	0.1008	0	0	0		53.80599	13.69074	3.75877	0	0	1.07698	0	0	0	0
Healthy	0	0	0	0.0164	0	0	0		52.2867	5.4809	4.47824	0	7.69718	0.10417	0	0	0	0
Healthy	0	0.06404	0.0709	0.13021	0.00026	0	0		75.92255	5.82858	2.57906	0	0	0	0	0.3144	0	0.00026
Healthy	0	0	0	0	0.09067	0	0		12.59197	7.62617	8.38082	0.08852	5.35516	0.39005	0	0.14095	0	0.09067
Healthy	2.48965	0.00291	0	0	0	0	0		36.92951	2.05337	4.26482	2.07785	0	0.013	0	0	0	0
Healthy	0.14204	1.47116	0.13647	0.13401	0.29137	0.22887	0.90454		29.16371	17.42598	4.45408	0.02277	4.75004	0.00433	0.00715	0.71644	0	0.29137
Healthy	9.30256	0	0	1.78574	0.01047	0	0		50.26182	0.82468	4.01289	0.57939	7.16262	0.2712	0	0.68097	0	0.01047
Healthy	0.26986	0.02683	0	0.01682	0.05276	0	0		25.14316	13.15289	38.17465	0.04283	0.03189	1.85847	0.05897	0.35797	0.19254	0.05276
Healthy	0	0	0.26971	0	0	0	0		2.1963	29.97117	22.10912	32.4931	0	0	2.07917	3.68311	0.2624	0
Healthy	3.34381	0.21585	0	0.20572	0	0	0		85.81464	1.15799	0.89925	0.37289	0	0.11156	0	0.14868	0	0
Healthy	1.41269	0.04828	0.26029	0	0	0	0		51.51814	16.08956	4.91281	3.02639	0	0.03569	0	0.23323	0	0
Healthy	0	0	0	0.15639	0.51129	0.21743	0		62.86016	2.66517	8.9483	0	0	5.7003	0	0	0	0.51129
Healthy	0	0.00451	0	2.66772	0.7355	0.24355	0		49.18147	3.20391	11.35242	0	0	7.09637	0	0	0	0.7355
Healthy	5.34871	0	0	0.09915	0.03641	0	0.0073		37.50399	22.52399	12.27917	2.56626	0	0	0	0	0	0.03641
Healthy	0	0	0	0.2508	0	0.0745	0		31.8271	23.50672	3.55185	0.27637	0	2.9757	0	0.07736	0	0
Healthy	4.62199	0.5783	0	0.1223	0	0	0		56.57897	5.27636	4.86156	0	0	6.33312	0	0.03571	0	0
Healthy	0	0	0	0.18747	0.14686	0	0		13.35822	0.74218	7.68045	2.04324	17.199	0.0632	0	0	0	0.14686
Healthy	0	0.10271	0	0.05913	0.00802	0	0		1.71228	4.66382	0.47981	0.05402	3.52859	0.02799	0	1.46902	0	0.00802
Healthy	0	0.01597	0.25312	0.04607	0.01042	0	0.02608		63.27551	20.07617	6.64148	1.5587	0	0.17411	0	0	0	0.01042
Healthy	5.07885	0	0.16683	0.1339	0	0	0		50.98894	20.8232	9.53526	0.07901	0	5.90439	0	0	0	0
Healthy	0	0.78156	0	0	0	0	0		17.48899	18.86342	25.28152	11.9056	0	0	0	3.88243	1.40591	0
Healthy	1.99584	0.60443	0.01342	0	0.21516	0	0		6.53995	8.09311	18.29438	17.15839	0	0	0	0.00219	0	0.21516
Healthy	0	0	0	0	0	0.42578	0		67.63594	18.30054	2.75889	0.55983	0.06765	0	0	0.10638	0	0
Healthy	0	0.00195	0	1.53569	0	0.16582	0		25.70038	9.47397	8.58561	3.29959	3.04604	8.78787	0.57278	0	1.52523	0
Healthy	0	0.03976	0.39724	0	0	0.02847	0		12.94768	11.74589	28.78528	0.47797	1.83008	0.08859	0.1514	0.07817	6.00307	0
Healthy	0.03571	0.04975	0	2.15327	0.00975	0.081	0		37.01449	0.2867	1.26394	0.68619	0.00437	0.0042	0	0.96563	0.02808	0.00975
Healthy	0.61502	0.29215	0	0.53887	0	0.01499	0		10.67673	1.01616	0.82616	5.62385	0.51673	0	0	1.24073	0.02259	0
Healthy	4.75712	0.22287	0	0.27181	0.08385	0	0		18.87722	25.34291	10.02603	0.68543	25.358	0	0	0	0	0.08385
Healthy	0	0.02321	0	0.09268	0	0	0		46.32682	9.43879	5.53352	0.63357	0.53875	0.01784	0.0264	0.38018	0	0
Healthy	0	0	0.0182	0.03116	0	0	0		27.71683	6.33331	4.09189	7.85793	5.195	0.67731	0.50179	0.22602	0	0
Healthy	0	0	0	0	0	0	0.22892		0.05164	0.00094	0	0	0	0	0	0	0	0
Healthy	0	0.09358	0	0.19885	0.1511	0.04561	0		34.59584	21.55607	3.79106	0	0	5.18226	0	0.02688	0	0.1511
Healthy	0	0.00367	0.02357	0.25159	0.00219	0	3.58269		0.00012	0	0	0	0.00841	0	0	0	0	0.00219
Healthy	0	0	0	0.08128	0	0	0		83.77259	1.72277	1.07413	0	1.66666	0.58962	0	0	0	0
Healthy	0	0	0	1.25366	0	0	0		23.28354	1.17854	0.74249	0.1764	0	0.11326	0	0.11605	0	0
Healthy	15.1182	0.25024	0	0.25381	0	0	0		28.01658	4.22058	0.81966	0	0	0.26844	0	0.571	0	0
Healthy	0	0	0	0.08686	0.00602	0.06628	0		39.59788	12.86174	10.96303	0.07202	1.05654	0.51581	0	0.14202	0	0.00602
Healthy	3.44835	0.00441	0	0.10013	0	0	0		57.95917	26.41081	2.1399	0.07529	0.01073	0.11734	0	0.01375	0	0
Healthy	2.88164	0.00552	0	0.02179	0.00226	0.02796	0		45.98027	5.7435	3.55799	0.96809	0.14766	0.23778	0.0539	0	0	0.00226
Healthy	0	0.04713	0	0.12854	0	0.00691	0		64.4191	1.35877	0.93393	0.65772	0.83505	1.5313	0	0.13383	0	0
Healthy	0	0.04653	0.00354	0.48259	0.05421	0	0		28.08373	26.62906	18.12004	2.3538	0.00071	0	0	0.24	0	0.05421
Healthy	0	0	0	0	0	0	0		16.79646	46.55662	0.12429	0	0	0.04874	0	0	0	0
Healthy	0	2.29794	0	0.01974	0.03483	0	0.52882		21.19058	25.0635	5.30787	1.70945	0	0.46186	0	0.23481	0	0.03483
Healthy	0	0	0	0	0	0	0		6.09663	56.88681	4.28916	5.97462	0	0.04642	3.78245	0.17433	8.81102	0
Healthy	0	0	0	0	0	0	0		3.61561	12.1476	62.9997	0	0	0	0	0	0	0
Healthy	0	0.04301	0	1.31228	0	0.01168	0		52.81819	2.9794	3.43183	0	10.5195	0.11483	0	0.24373	0.86272	0
Healthy	0	0	0	3.44475	0	0	0		60.23069	4.23484	2.17847	0.00984	0	0	0.09708	0.63218	0.06803	0
Healthy	0.19855	0.9221	1.16392	0	0.0955	0	0		21.04416	13.98492	5.66478	1.33345	0	0.0586	0	0.3371	0	0.0955
Healthy	0	0.15545	0	0.12738	0.49385	0	0		3.37515	22.45504	14.94631	14.60672	6.51919	0.09116	0	1.97032	0	0.49385
Healthy	0	0.38092	0.28618	0.06706	0.18648	0	0.00868		37.40606	25.21853	8.10271	4.71234	0.00699	1.77066	1.82276	0	1.22966	0.18648
Healthy	0	0	0.05986	0.02712	0.01904	0	0		44.30969	29.12875	5.37472	6.0946	0	0.1002	0	0.31569	0	0.01904
Healthy	0	0.8025	0	0	0	0	0		57.65788	20.95243	1.35423	4.21521	0	0	0	0	3.19845	0
Healthy	0	0.20201	0	0	0.51527	0	2.24067		10.76303	38.42361	2.67302	0	0	0.16065	3.06148	3.24867	0	0.51527
Healthy	0.05242	1.28005	0.01366	0.04332	0.03904	0	0		0	35.15934	0	0	0	0.00158	0	0	0	0.03904
Healthy	0	0.23032	0.17413	0	0.13451	0	0		22.0643	22.27209	8.95456	0	0	1.67502	0	0	0	0.13451
Healthy	2.97255	0.0582	0	1.13938	0.0223	0.11682	0		15.46975	0.65685	2.58941	2.25608	0.13239	0.01275	0	0.6914	0.06831	0.0223
Healthy	0	16.77604	0	0	0	0	0.39151		15.45515	6.95679	0.93829	1.28553	0	0	0	2.27129	2.97004	0
Healthy	0	0.17892	0	0.06439	0.11806	0	0		58.28202	10.2726	8.27035	0	0	0	0	0	0	0.11806
Healthy	12.9858	0	0	0.07299	0	0	0		19.05947	6.52439	0.71987	5.52631	0.03307	0.0234	0	1.0791	0	0
Healthy	4.58123	0.27012	0.25	0	0.00776	0.00357	0		14.09378	17.31738	17.86356	0.00231	0	0.08772	0	4.32512	0	0.00776
Healthy	2.60171	0	0	0.10104	0.15215	0	0		9.11642	0.38881	3.93808	1.98079	43.9894	0.28406	0	1.19682	0	0.15215
Healthy	0	0.05589	0	1.33726	0	0.01321	0		53.17229	3.13409	3.3535	0	10.41	0.09557	0	0.28366	0.80514	0
Healthy	5.94604	0.45117	0	0.05911	0.04004	0.02264	0		31.38157	8.78889	17.47799	0.07926	0.10078	2.51045	0	0.7939	0	0.04004
Healthy	5.89113	0	0	0.00889	0.00233	0	0		54.35535	1.4222	1.67666	0.17536	0	0.11666	0	0	0	0.00233
Healthy	17.7048	0	0.00258	1.06876	0.02894	0	0		29.52946	4.3198	1.132	4.53107	7.09147	0.27735	0	0.67999	0	0.02894
Healthy	0	0.01403	0	0.08893	0.00077	0	0		27.07981	38.69933	3.44451	0.10581	0	0.00491	0.02465	0.05868	0	0.00077
Healthy	5.0839	0	0.92052	0	0	0	0		16.90852	24.09166	18.91641	11.7396	0	0	0	1.71217	0	0
Healthy	0	0	0	0	0	0.49074	0.00794		39.98426	37.42848	0.23802	3.13501	0	0	0	0	2.18475	0
Healthy	0.01411	0	0	0.04979	0.02643	0	0		51.95529	14.87514	1.42733	0	0	0.17416	0	0.20882	0	0.02643
Healthy	0	0.01292	0	0.08548	0	0	0		92.81289	0.64545	1.45529	0	0.55019	0	0	0	0	0
Healthy	1.21706	0.34776	0	0.08577	0.00714	0.07048	0.01283		33.16603	20.44622	11.38099	0.49975	0.38836	2.54517	0	0.12154	0.00113	0.00714
Healthy	0.62783	0.10367	0	0.24252	0	0	0		51.54426	11.94382	31.38395	0.25985	0	2.10393	0	0	0	0
Healthy	0	0	0	0.2224	0	0	0		36.08333	2.68635	0.55691	0	0	0.34626	0	0	0	0
Healthy	5.62249	0	0	0	0	0	0		24.83972	32.47023	7.30624	6.32555	0	0	0	0	0	0
Healthy	0	0.01797	0	0.10294	0.00932	0	0.18466		6.66863	51.48479	16.07999	1.73318	0.09373	0.63021	0.18576	0.15766	1.31009	0.00932
Healthy	0	0	0	0	0.15579	0	0		26.98137	4.28305	4.35091	0.12041	8.71159	0.51464	0	0.09721	0	0.15579
Healthy	0	0.34649	0	0	1.54102	0	0		14.8924	38.09029	10.34978	10.8039	0	0	0.11191	0	1.07483	1.54102
Healthy	0	0.45334	0	0	0	0	0		0.35748	6.73804	0.39654	0	0	0	0	1.31584	0	0
Healthy	0	0	0	0.26918	0	0	0		30.08327	12.91336	1.46969	0	0	0	0	0	0	0
Healthy	0	0	0	0.0678	0.08408	0	0		9.97773	21.6924	25.29761	0.55688	19.023	0.00056	0	3.60873	0	0.08408
Healthy	0	0.00532	0.23549	0	0.0026	0	0.00233		19.51684	0.0105	0.00433	0	0.00039	0	0	0	0	0.0026
Healthy	0	0	0	2.41601	0	0.07552	0		15.59111	14.063	3.22833	0	11.9695	0	0	0.78351	0.01608	0
Healthy	0	0.7126	4.42379	0	0.00383	0	0		20.84947	41.68406	7.11176	0.24502	2.81759	0.06954	0.20726	0.41707	0	0.00383
Healthy	0	0	0	0.04376	0	0.03296	0		32.40716	11.91339	1.23252	1.96572	0	0	0	0.00433	0	0
Healthy	0	0.02733	0	0	0	0	0		34.49539	26.02128	1.69264	2.58388	0.49181	0	2.44739	0	0	0
Healthy	0	0.04903	0	2.63969	0	0	0		47.92944	3.89694	2.88207	1.49656	0	2.99685	0.00825	0.64273	0	0
