o	Enterobacterales	Pseudomonadales	Staphylococcales	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	0.272027361236466	-5	-5	1.8012357228892	1.30268108084626	0.916257023745133	-0.12731939284807	-5	-0.759151341514639	-5	-0.835409239809776	-1.98171569157347	-5	-5	-0.59665638086955
D007234	-5	0.957177568304955	-5	-5	-5	-5	-5	-5	-5	-5	0.450604714554838	-5	-5	-5	-5
Healthy	0.490388344644684	-5	-5	1.70747606876486	1.31854767896072	0.988923539827931	-1.88706002391592	-5	0.771175771563677	-5	-5	-5	-5	-5	-0.777699818826206
Healthy	-5	-5	-5	1.27434700337415	1.27562066478692	1.57039266200351	0.410247323940247	-5	-5	-5	1.05528695170825	0.58910475277915	0.147960609057186	-5	-5
D007234	1.38385879325729	1.68319306998222	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.149985145008677
D007234	1.91098817420112	0.971966643900576	-2.3767507096021	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.15645578805436	-5	0.870742663294291	0.908115979902185	1.54965029569179	0.698566791937309	-5	-5	-5	-0.240528576357249	-0.662820374590166	-5	-5	-1.87192398733128
Healthy	-5	-5	-5	1.83312510965263	1.26246414210068	0.520971921200441	-5	-1.16966800654804	-5	-5	-5	-0.973099191109745	-5	-5	-5
Healthy	-1.17327747983101	-5	-5	1.64097954636543	0.976532463577624	1.12778164041776	-5	0.483737027872602	0.943884117923751	-0.242004572723122	-5	-5	0.183338186289204	-1.3763372926438	-5
Healthy	-0.0758189583251782	-0.0163692030911767	-5	1.24469661240851	1.06988629910927	1.46632270597064	-0.504997133561376	0.262472447950243	-1.05256627811295	-0.819845440546652	-0.179069852819449	-1.10690433390377	0.778374131016551	-1.49039429538844	-0.400936094120583
D007234	1.60558848434446	0.365864085745134	-0.454284764303686	-2.98716277529483	-5	-5	-5	-5	0.46392582100465	-5	-1.42147539472501	-5	-5	-5	-5
