group	Bacteroidia	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Actinomycetia	Gammaproteobacteria	Negativicutes	Verrucomicrobiae	Bacilli	Methanobacteria	Coriobacteriia	Desulfovibrionia
Healthy	40.21055	0.07492	0		40.21055	37.46857	1.19003	0.07492	5.37671	0	0.0209	0	0.03641	0
Healthy	64.56848	2.9757	0.55153		64.56848	27.58574	0	2.9757	0	0	0.05412	0	0.07736	0.55153
Healthy	69.88918	6.33312	0		69.88918	10.26022	0.23312	6.33312	4.62199	0	0.5783	0	0.03571	0
Healthy	41.95701	0.10498	1.61864		41.95701	10.83038	2.71886	0.10498	0	17.199	0	0	0.14686	1.61864
Healthy	1.9337	79.37352	0		1.9337	5.25678	5.45435	79.37352	0	3.52859	0.13494	0	1.47704	0
Healthy	63.27551	2.0449	0		63.27551	28.57554	0.74589	2.0449	0.008	0	0.29747	0	0.01042	0
Healthy	50.98894	8.99744	0		50.98894	30.75896	0.01296	8.99744	7.88732	0	0	0	0	0
Healthy	18.80818	0	0		18.80818	56.05054	2.57185	0	1.40591	0	12.13916	0	3.88243	0
Healthy	7.42578	0.06974	0		7.42578	43.5593	4.99535	0.06974	1.99584	0	1.18962	0	0.21735	0
Healthy	68.09654	0	0		68.09654	21.61926	0	0	0	0.06765	0	0	0.10638	0
Healthy	43.75014	8.85496	0.04203		43.75014	22.89486	0	8.85496	1.52523	3.04604	0.00195	0.57278	0	0.04203
Healthy	17.56695	1.89139	0.03232		17.56695	41.40638	0.3126	1.89139	7.67233	1.83008	0.70186	0.1514	0.07817	0.03232
Healthy	67.09431	1.01412	0.40307		67.09431	4.3901	0.32681	1.01412	0.06379	0.00437	0.34257	0	0.97538	0.40307
Healthy	31.28267	0.1118	0.80581		31.28267	8.00504	1.20433	0.1118	0.63761	0.51673	0.85543	0	1.24073	0.80581
Healthy	20.36905	0	0		20.36905	36.32618	5.29141	0	4.75712	25.358	0.81985	0	0.08385	0
Healthy	67.23166	0.01784	0.09289		67.23166	15.69856	1.37642	0.01784	0.01308	0.53875	0.02321	0.0264	0.38018	0.09289
Healthy	42.56931	1.76516	0.29804		42.56931	18.33249	3.22177	1.76516	1.83723	5.195	1.26624	0.50179	0.22602	0.29804
Healthy	0.05164	86.41751	0		0.05164	0.00094	0.02275	86.41751	0	0	0.22892	0	0	0
Healthy	61.38019	5.29922	0.16147		61.38019	25.54598	0	5.29922	0	0	0.16088	0	0.17798	0.16147
Healthy	0.01931	4.54672	0		0.01931	0.27516	90.99662	4.54672	0.04244	0.00841	3.62578	0	0.00219	0
Healthy	92.92764	0.68757	0		92.92764	2.87818	0.11834	0.68757	0	1.66666	0	0	0	0
Healthy	43.38378	0.11326	0.03182		43.38378	3.35109	0	0.11326	0	0	0	0	0.11605	0.03182
