g	Streptococcus	Ruminococcus_C	Clostridium_A	Muricomes	Anaerotruncus	Bilophila	Adlercreutzia	Gordonibacter	Eggerthella	Rothia	Dialister	Methanobrevibacter_A	Sutterella	Phascolarctobacterium	Desulfovibrio
Healthy	-0.590997296598228	-5	-5	-0.975309137644569	-5	-5	-5	-5	-2.43297363384094	-1.6643415477107	-5	-5	-2.45469288353418	-5	-5
Healthy	-0.267027566564563	-5	-0.00656376950238827	-2.14266750356873	-1.4145392704915	-1.19695278950887	-0.732452827889227	-1.72955409198204	-3.72124639904717	-5	0.609324358441716	-5	-5	-5	-5
Healthy	0.351318861557462	-5	-1.03254563181726	-5	-2.05502409158795	-0.912005744900286	-0.620114601356251	-0.868220990630813	-3.01772876696043	-5	-5	-5	-5	0.352346553933043	-0.794038176940366
Healthy	-5	-5	-5	-5	-5	-5	-1.2057211342786	-5	-5	-5	-5	-0.265648292705235	0.0660723575773765	-5	-5
Healthy	-0.703290943824397	-0.585060060581981	-5	-5	-5	-1.70929775671215	-5	-5	-5	-5	0.650990004544447	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D016640	-1.59380057633669	-5	-1.00957234151474	-1.89414932561486	-1.08470571697731	-5	-5	-0.762456261857125	-1.7104110474574	-2.71444269099223	-5	-5	-5	-5	-5
Healthy	-1.19348086591929	-5	-5	-1.62911698322239	-5	-1.35872424276809	-5	-5	-3.56863623584101	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-1.2951633937886	-5	-5	-5	-1.04248848854552	-5	-5	-5	-5	-5	-5	-5	-0.615234533232372
Healthy	-2.53461714855158	-5	-5	-5	-5	-2.14146280243036	-5	-5	-5	-5	0.396140041792131	-5	-5	-5	-5
Healthy	-1.13117929380248	-5	-1.64244628025692	-2.31605286924849	-1.51798442354929	-1.38806437495988	-0.640126589667258	-1.20894125640817	-3.24412514432751	-2.48412615628832	-0.847558761941045	-2.14508697769214	-5	-5	-5
Healthy	-5	-5	-1.43794517034362	-5	-1.07717078033335	-1.53685386327365	-5	-1.97963871735229	-5	-5	0.968602946685977	-5	-5	-5	-5
