c	Clostridia	Actinomycetia	Coriobacteriia	Bacilli	Verrucomicrobiae	Bacteroidia	Gammaproteobacteria	Desulfovibrionia
Healthy	1.07126582915093	-5	-5	-0.654998961821958	-0.264648654831209	1.52954173713065	1.12155820285983	-5
Healthy	1.38189538704128	-5	-0.674217602484195	-1.85047298624565	0.282975385635692	1.72075193832482	0.155405883408257	-1.03428102975578
Healthy	1.14788152240164	0.714166239729455	-2.43297363384094	-0.498803757972911	-5	1.75082293228829	0.361376481869873	-5
Healthy	1.60449356953884	0.992401068294658	-0.690433704106227	-0.201985035648513	-5	1.30595723893257	-0.652923803930265	-1.17947015147648
Healthy	1.52805960109978	-0.135524518308971	0.045334716316743	0.376981866455769	-0.0582550850508751	1.54381968098756	-2.03105031901866	-0.548014111051091
Healthy	1.33111923301633	0.412347969086344	-0.35269528819389	-5	0.263893965288644	1.73847446323237	0.0660723575773765	-5
Healthy	1.24428503948943	-0.29654525468797	-5	-0.703290943824397	-5	1.82034604693572	0.585749411171379	-1.70929775671215
Healthy	0.998936849760302	-5	-5	-5	0.886332206961341	1.81557104127818	-0.641284886197868	-5
Healthy	0.934940600473388	-2.17392519729917	-0.502144659868822	-1.19348086591929	-5	1.88378086390612	0.138826693810669	-1.35872424276809
Healthy	1.20670501205503	-0.868060704789575	-0.63520519282589	-5	0.728773262075445	1.72431978848234	-0.361580635137367	-0.488584592791225
Healthy	0.924075016220443	-5	-5	-2.53461714855158	-5	1.88066745045934	-0.21175383062718	-2.14146280243036
D009765	1.13098793429062	-5	-5	-0.461087106096326	-5	1.85586499980739	-5	-5
Healthy	1.34583072467652	0.907689155879493	0.00338297259828993	0.390341518926754	0.676698181121668	1.64240941377882	0.329157781394064	-1.04793440981495
D009765	1.53647195380889	1.48099204723243	0.634821747689596	0.373382846742371	-5	0.938640790402769	-1.66695597017651	-0.96090328955855
Healthy	0.857495929293535	-1.65600093094284	-0.160239219038679	-0.447623844747437	0.855072517386656	1.73645522766992	0.124950679542338	-0.747244028911427
Healthy	1.71085495437172	0.362126071357915	-0.386433001228715	-1.57121748850305	-1.49620931694282	1.56350540995057	0.272560963861557	-0.829591588274682
Healthy	1.92861657958856	-5	0.566215868865457	0.485269866168583	-5	0.341693638960031	-5	-5
D009765	1.41835499464508	0.243814121564028	-0.703269012528752	0.0733333618610467	-1.88140463477624	1.40369125182357	-0.671824338561677	-2.44490555142168
Healthy	0.420922339593397	-5	-0.827718238544999	-0.614500972847943	-5	1.94935604251243	-0.266626163055293	-5
D009765	1.75908043253109	1.26675178568791	1.00534484384677	-1.63245772647942	-0.509255162012339	-0.265152184721705	-0.752960119570254	-5
