group	Prevotella	Phytobacter	Ruminococcus_B	Streptococcus	Veillonella	Parasutterella	Faecalimonas	Muricomes	Longicatena	Rothia	Prevotella	Enterocloster	Phascolarctobacterium	Anaerostipes	Haemophilus_D	Flavonifractor	Intestinibacter	Parasutterella	Clostridium_Q	Gordonibacter
Healthy	0	0.09795	0	0	0	0.58962	0	0.06906	0	0	0	1.07384	0	0	0	0.08128	0	0.58962	0.38907	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.09337	0	0	0	1.25366	0	0	0.02266	0
Healthy	0	0	0	0.25024	0	0	0	0	0	0	0	0.04741	0	0.081	0	0.25381	0	0	0	0
Healthy	0	0.08321	0	0	0	0	0	0	0	0	0	0.58052	0	0.50664	0	0.08686	0	0	0.02605	0
Healthy	40.4897	0	0	0.00441	0	0	0	0	0	0	40.4897	0.47482	0	0.089	0	0.10013	0	0	0	0
Healthy	0	0.15123	0	0.00552	0	0.23778	0	0	0	0	0	0.04264	0	0	0	0.02179	0	0.23778	0	0
Healthy	0	0	0.00185	0.04713	0	0	0	0	0.00235	0	0	0.00963	0	0.00253	0	0.1212	0	0	0	0
Healthy	3.81452	2.8125	0.0157	0.04653	0	0	0.04977	0	0.01801	0	3.81452	0.14049	0	0.01153	0	0.00865	0.00354	0	0.01224	0.00348
Healthy	6.31915	0	0	0	0	0.04874	0	0	0	0	6.31915	0.30085	0	0	0	0	0	0.04874	0	0
Healthy	0	0	0	2.16794	0.25302	0	0	0	0	0	0	0.30949	0	0.3205	0.08119	0.01974	0	0	0	0
Healthy	2.16791	0	0	0	0	0	0.01282	0.01663	0	0	2.16791	0.36316	8.28949	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	44.60152	0	0	0.04301	0	0	0	0	0	0	44.60152	0.04387	0.86272	0	0	1.31228	0	0	0	0
Healthy	44.6447	0	0	0	0	0	0	0	0	0	44.6447	0.37487	0.06803	0	0	0.13412	0	0	0	0
Healthy	0	0	0	0.9221	1.2947	0.0586	0	0	0	0	0	0.28899	0	0.59193	3.85851	0	1.16392	0.0586	0	0
Healthy	0	0	0.8993	0.15545	0	0	1.15388	0.00591	0.59191	0	0	1.12486	0	1.72021	0.00058	0.11742	0	0	0.00579	0.08424
Healthy	0	0.88276	0.57964	0.38092	0.05609	0	0.31519	0.06166	0.07364	0.00033	0	0.98337	1.22966	0.74149	0.14273	0.03588	0.28618	0	0	0.01546
Healthy	0	0	0	0	0	0.1002	0	0	0	0	0	0.41058	0	0.15794	0.19515	0.02712	0.05986	0.1002	0	0
Healthy	56.7831	0	0	0.8025	0	0	0	0	0	0	56.7831	0.07476	3.19845	0	0.81232	0	0	0	0	0
Healthy	2.96841	0	0	0	0	0	0	0	0	0	2.96841	2.01212	0	2.42031	0	0	0	0	0	0
Healthy	0	3.66846	27.9887	1.28005	6.23289	0	2.02445	4.07451	0.07394	0	0	0.44703	0	0	0.32966	0.04332	0.01366	0	0.17018	0
Healthy	0	0.121	16.5662	0.20985	1.20495	0	0	0	0.00254	0.0396	0	1.09541	0	0	0.44799	0	0.17413	0	0.92036	0
Healthy	0	0.34649	0	0.0582	0	0.01275	0	0	0.02371	0	0	0.08203	0	0.00936	0	0.20774	0	0.01275	0.02305	0
