group	Bacteroidales	Enterobacterales	Lactobacillales	Pseudomonadales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales		Bacteroidales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	24.69327	0.91721	0.29327	0	0	0.01514	0		24.69327	0.04915	25.1842	7.29344	0	0	0	0	5.75242	0
Healthy	70.62031	0.14705	0	0	0	0.07434	0		70.62031	4.37566	4.05241	2.80683	0.09043	0.24334	0.04311	0	0	0
Healthy	63.4987	0.0781	0.01765	0	0	0.15405	0		63.4987	7.50643	0.50195	0.41868	0	1.45864	0.18758	0	0.20705	0
Healthy	42.29907	0.18304	0.0719	0.00754	3.35605	0.01399	0.31151		42.29907	11.4141	4.16215	0.00036	0.98179	0.09001	0	3.35605	0.65028	0.31151
Healthy	52.08938	0.09665	0.56085	0	0.02074	0.09305	0		52.08938	4.10247	0.25829	0	0.62975	2.12136	0.07048	0.02074	0.08695	0
Healthy	28.91364	0	0	0	0.76987	0	0		28.91364	1.84406	0	6.52691	0	0	0	0.76987	0	0
Healthy	40.44836	0.1512	1.04933	0	0.06243	0	0.02658		40.44836	11.91721	0.46911	0.04899	0.03917	0.14328	0	0.06243	0.37727	0.02658
Healthy	29.45115	0	0.09841	0	0.21724	0.71462	0		29.45115	8.03279	0.14517	0	23.484	0	2.20838	0.21724	0.38363	0
Healthy	59.94951	0.13388	0.09111	0	0	0.36652	0		59.94951	5.15565	3.63884	7.61911	0.90006	0.11188	0.91984	0	0	0
Healthy	69.31403	0.09389	0.01041	0	0	0.08906	0		69.31403	4.64936	4.25504	2.84921	0.11704	0.26229	0.06314	0	0.00443	0
Healthy	51.86404	0	0	0	0	0	0		51.86404	11.54881	0	0	0	0.04924	0	0	0	0
Healthy	87.79754	0.02213	0.07013	0	0.03373	0	0.42534		87.79754	0.51711	0.00788	0.83182	0	0	0	0.03373	0	0.42534
Healthy	48.12186	0.42971	0.01657	0	0.79186	0.0012	0		48.12186	8.19907	5.86576	10.27783	1.1655	0.02565	0	0.79186	0.9363	0
Healthy	52.10296	1.81989	0	0	0.32	0	0.14632		52.10296	5.69042	1.25183	1.84818	0	0.05455	0	0.32	0.02019	0.14632
Healthy	3.58455	0	3.31825	0	0	0	0		3.58455	24.99125	5.34989	9.46156	0	0	0	0	0	0
Healthy	55.96175	0.01115	0.08838	0	0.00364	0.05871	0.01345		55.96175	9.83018	5.61783	0	0.07252	0	0.52921	0.00364	1.71689	0.01345
Healthy	76.93222	0.09586	0	0	0.163	0.07883	0		76.93222	3.71621	0.65786	6.47807	0	0.29286	0	0.163	0.14288	0
Healthy	9.78837	16.45876	1.2222	0.41286	0	0.13184	0		9.78837	0.00382	53.66251	3.20071	0	10.9103	0	0	0.12	0
Healthy	47.09899	0	0.18972	0	1.0157	0.08855	0		47.09899	12.17061	0.99682	0	4.64535	0	2.8803	1.0157	0	0
Healthy	68.68363	0.02321	0	0	0.27242	0	0		68.68363	2.43832	0.40903	6.41941	0	0.21457	0	0.27242	0	0
Healthy	89.10926	0.37736	0.23259	0	0.01149	0.00251	0		89.10926	1.45347	0	3.3587	0	0.0857	0	0.01149	0.15444	0
Healthy	68.74356	0.0328	0	0	0.50213	1.66613	0		68.74356	8.73797	0.12091	0	0	0.04583	0	0.50213	0.08428	0
Healthy	28.65617	2.17787	8.25162	0	3.5968	0	0		28.65617	10.05209	0.73441	0	1.91177	0	0	3.5968	4.46641	0
Healthy	63.79876	0	0	0	0.07183	0.06513	0		63.79876	1.44559	0.89222	0.0024	0	0.15651	0	0.07183	0.25148	0
Healthy	53.12384	0	0.14253	0	0.00061	0.037	0		53.12384	27.37284	0	0	0.02478	1.28454	0	0.00061	0.01631	0
