group	Enterocloster	Collinsella	Clostridium_A	Clostridium_Q	Faecalimonas	Ruminococcus_B	Longicatena	Muricomes	Anaerotruncus	Lactococcus	Ruminococcus_H	Roseburia	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0.41483	0	0	0	0	0	0	0	0	0	1.94348	1.10182	0	4.76676	0.14231	0.60936	0	0	0	0
Healthy	0.45183	0.14616	0.05467	0.0004	0	0.00091	0.0032	0.00145	0.00225	0	11.6922	0.49551	0	2.28599	0.20969	0.01981	0.03175	0	0.00219	0.06196
Healthy	0.27756	0	0	0.29612	0.221	0.00557	0.03527	0.10584	0	0	0	0	0	0	0.01807	0	0.00521	0	0	0
Healthy	0.61162	0	0.98499	0.07417	0.0264	0.14116	0.02503	0.00719	0.03849	0	3.74279	7.35424	0	0	1.62393	0	0.13195	0	0	0.18515
Healthy	0.24044	0.73212	0.09277	0.01212	0	0.11141	0	0	0.0088	0.03909	0.01244	1.31104	0	15.5655	0.35965	0	0.01037	0.08978	0.11583	0.23981
Healthy	0.17365	0.38165	0	0	0	0	0	0	0	0	2.58589	1.62443	2.09214	0.22622	0.17201	0.54243	0.14019	0.05238	0.14645	0.06226
Healthy	0	0	0	0	0	0	0	0	0	0	0	4.27233	0	0	0.39585	0	0.04626	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	2.88291	0	0.51705	0.1563	0	0.0164	0.18968	0	0
Healthy	0.5447	0.3144	0	0.03988	0.13412	0.05311	0	0.02348	0	0	0	3.05923	0	0	0.76527	0	0.13021	0.17847	0.10801	0
Healthy	0	0.14095	0.05067	0	0	0	0	0	0	0	0.03785	2.69115	0	0.05143	1.42142	0	0	0.01862	0	0.09067
Healthy	0.01641	0	0	0	0	0	0	0	0	0	2.07785	0.25548	0.03511	0	0.22834	0	0	0.20337	0	0
Healthy	1.90813	0.71644	0.02277	0.00814	0	0.05193	0.0072	0.00482	0.03033	1.39724	0	0.76828	0	0.05591	0.76747	0.00715	0.08154	0.0424	0	0.22901
