s	Streptococcus_parasanguinis_D	Clostridium_Q_symbiosum	Enterocloster_clostridioformis_A	Muricomes_sp000509105	Enterocloster_asparagiformis	Schaedlerella_glycyrrhizinilyticum	Longicatena_innocuum	Gordonibacter_pamelaeae	Enterocloster_sp000155435	Eggerthella_lenta	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Alistipes_obesi	Parabacteroides_johnsonii	Paraprevotella_clara	Alistipes_A_indistinctus	Coprobacter_fastidiosus	Paraprevotella_xylaniphila
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.693663646329222	-1.61457248519487	0.41772737834436	-0.327809748811747	-0.955499437629359	-5	-0.257353410061264	-1.28920590006967	-0.753501419204199	-2.32239304727951
Healthy	-0.452927130112678	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.335969124359847	-0.192113349312696	0.079752690996707	-0.679417560526448	-0.867260161739115	-5	-5	-2.09691001300806	-5	-5
Healthy	-2.13018179202067	-5	-5	-2.52578373592374	-1.85667287000795	-2.50307035192678	-3.76955107862173	-5	-5	-5	0.222786680747627	0.593166397973338	-5	-1.41465208890541	-5	-5	-0.0262488730580749	-1.73969005420508	-0.838242804738273	-2.01999662841625
Healthy	-1.89483057200067	-5	-2.34198860334289	-5	-1.61816320000166	-2.36151074304536	-2.71219827006977	-1.90587840415944	-1.66958622665081	-5	0.527488119887992	0.692816966900798	0.568374233824325	0.0804136160361212	0.159558170401349	-5	-0.121173845464818	-1.01913344541792	-1.91080163319485	-1.74545192289103
Healthy	-5	-2.84466396253494	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.00291519231145859	0.805146617599273	-0.0967309034730737	0.595900566721725	-5	-5	-1.22148698826108	-5	-5
Healthy	-0.81559251458768	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.872862792808499	-5	-5	-5	-5
Healthy	-1.67530608613823	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.789851356844084	0.261914416454581	0.557562537843242	0.128392805954216	-0.295326241900473	0.470008943199094	-5	-5	-0.774354787024547	-5
Healthy	-5	-0.311322169816408	-5	-5	-1.31722335368557	-5	-5	-5	-2.63264407897398	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-3.20760831050175	-5	-5	-5	0.953891071302035	-1.66594855965311	-5	0.289762813884735	-1.03030458888153	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-0.583176495233146	-5	-5	-5	-5	-5	0.426483608775654	-0.00851253997721922	-0.172191484490173	0.213732858783038	0.510452511717222	-5	-0.400761208967074	-2.20411998265592	-1.27351730321517	-1.32449661527204
Healthy	-5	-1.68507994400758	-5	-5	-0.895615328712116	-5	-5	-5	-5	-5	1.19127798882829	-5	0.528696927648808	-5	-0.433963398675432	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.798439021883263	0.647729093967794	-1.22709180502873	-1.0395292224657	-0.27784340559122	-1.22562904015008	-5	-0.638933550246058	-2.12262865413023
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.459427169614258	0.427195508483244	0.621364296815923	-0.87899856501036	-5	-5	-5	-5	-0.811380832792151	-5
Healthy	-5	-0.754783543052331	-5	-1.01327304066878	-0.789066464642378	-5	-5	-5	-5	-5	-5	-5	0.408331564643599	-1.22482661457521	-1.14825258086674	-5	-5	-1.34630520468492	-5	-5
Healthy	-0.938698343793955	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.804313251695468	-0.332761912577582	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0165496310003799	0.794208418796174	-0.118986449720917	0.570044148871043	-5	-5	-1.57186520597121	-5	-5
Healthy	0.354216038609021	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0609130460285099	0.785339802310727	-5	-1.18956584407733	-0.609789320890953	-5	-5	-5	-5	-5
Healthy	-1.04387961360698	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.711683247678272	0.298826887008094	-5	-0.944163148981595	-0.688542831618969	-5	-0.347077112432058	-0.575641137409671	-5	-1.42701229180179
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.992481939496354	-5	-5	0.21728649275249	-5	-5	-5	-0.792338708803218	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.25192060251458	-5	0.251956829472245	0.462547728802664	-0.0172540169524582	-5	-5	-1.26201267366657	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.70139526901392	0.288582310361681	-0.0477404634091795	-0.18746096602679	-0.967743974109547	-5	-5	-5	-5	-5
Healthy	-5	-3.38721614328026	-5	-2.83564714421556	-5	-5	-2.49349496759513	-2.44249279809434	-5	-5	-5	1.06789660697809	-5	1.21908944179182	-0.954794413964943	0.660040673646435	-5	-5	-1.39061905574929	-5
Healthy	-1.36542197714611	-0.528517593372337	-0.827367883313707	-0.975309137644569	-1.97305837204097	-5	-1.52403841080758	-5	-1.81730009666396	-2.43297363384094	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-2.26360349772336	-1.12971317100741	-1.51130830168306	-2.14266750356873	-2.06298389253519	-0.732101143942644	-1.75080164260889	-1.72955409198204	-2.20481541031758	-3.72124639904717	0.735195553054516	0.573196620804769	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.161087972594	-1.91613919913343	-5	-5	-3.18708664335714	-1.33639329187548	-5	-0.868220990630813	-1.50891858657681	-3.01772876696043	0.577401025102312	-1.90483064856824	0.590723719144111	-0.39834191697906	-1.08905559425002	-5	-5	-1.04677202844015	-0.861570979993996	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.014923984765	0.412611726156164	0.98004475264662	0.58230545438893	0.278847307020475	-5	-5	-1.28075160155205	-1.41072077876403	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.764016886804553	-5	0.0441750821728493	-0.130404564265568	-0.466507565804809	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.657498531012474	-5	-5	-1.47288588836019	-5	0.0796153235269435	-5	-0.721955563467119	-5	-5
