group	Bacteroidales	Enterobacterales	Pseudomonadales	Lactobacillales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	68.09654	0	0	0		68.09654	18.30054	0	0.06765	0	0	0	0	0	0
Healthy	43.75014	0.06709	0	0.00195		43.75014	9.47397	0.06709	3.04604	0.00195	8.78787	0	1.52523	0	0
Healthy	17.56695	0.8398	0.963	0.03976		17.56695	11.74589	0.8398	1.83008	0.03976	0.08859	0.6621	6.00307	0.963	0.39724
Healthy	67.09431	1.00992	0	0.04975		67.09431	0.2867	1.00992	0.00437	0.04975	0.0042	0.29282	0.02808	0	0
Healthy	31.28267	0.1118	0	0.29215		31.28267	1.01616	0.1118	0.51673	0.29215	0	0.56328	0.02259	0	0
Healthy	20.36905	0	0	0.22287		20.36905	25.34291	0	25.358	0.22287	0	0.59698	0	0	0
Healthy	67.23166	0	0	0.02321		67.23166	9.43879	0	0.53875	0.02321	0.01784	0	0	0	0
Healthy	42.56931	1.08785	0	0		42.56931	6.33331	1.08785	5.195	0	0.67731	1.26624	0	0	0.0182
Healthy	0.05164	86.41751	0	0.22892		0.05164	0.00094	86.41751	0	0.22892	0	0	0	0	0
Healthy	61.38019	0.11696	0	0.09358		61.38019	21.55607	0.11696	0	0.09358	5.18226	0.0673	0	0	0
Healthy	0.01931	3.9748	0.57192	3.59098		0.01931	0	3.9748	0.00841	3.59098	0	0.02798	0	0.57192	0.02357
Healthy	92.92764	0.09795	0	0		92.92764	1.72277	0.09795	1.66666	0	0.58962	0	0	0	0
Healthy	43.38378	0	0	0		43.38378	1.17854	0	0	0	0.11326	0	0	0	0
Healthy	56.61767	0	0.02363	0.25024		56.61767	4.22058	0	0	0.25024	0.26844	0	0	0.02363	0
Healthy	52.15726	0.08321	0	0		52.15726	12.86174	0.08321	1.05654	0	0.51581	0.10518	0	0	0
Healthy	61.05334	0	0	0.00441		61.05334	26.41081	0	0.01073	0.00441	0.11734	0	0	0	0
