c	Gammaproteobacteria	Bacilli	Actinomycetia	Coriobacteriia	Bacteroidia	Methanobacteria	Desulfovibrionia
Healthy	-0.334353353872193	-0.612450012609767	-5	-0.81121208736253	1.94992288585992	-5	-2.59859945921846
Healthy	0.108751013469221	-0.844208647642382	-5	-1.78727984558216	1.72528954175842	-5	-1.43168091490489
Healthy	0.806654046147595	-0.564028293600659	-5	-5	1.4858262973554	-0.262688062010375	-0.183427303973897
Healthy	-0.999088937868777	-5	-5	-0.991357252434715	1.64796730935212	-5	-1.24123945609002
Healthy	-5	-5	-1.02122621566988	-1.15851539066461	1.59439929128072	1.19431477032722	-1.57528166266843
Healthy	1.21619916612133	-0.845697780315335	-5	-5	1.61538794443253	-0.48537256758866	-5
Healthy	0.244037017036314	-0.989530430203608	-0.65380355627079	-5	1.93830958188606	-5	-1.0073581301216
Healthy	-5	-0.938698343793955	-5	-5	1.09571109663366	0.506717392419689	-5
Healthy	-0.471276076739006	-0.849304948857286	-0.207181230830761	-0.719763190390311	1.88332170105324	-5	-0.998699066979582
Healthy	0.243191885767495	1.2620379575553	1.35339280128144	0.451102996833693	0.990601217280949	0.0200254863257827	-5
Healthy	1.19097649680895	0.335205073740825	0.704108458618344	0.239269440429388	1.62516320091162	-5	-1.43937612545007
Healthy	-0.890826578574528	-0.617982957425132	-0.411392195257313	-5	1.83470604885608	-5	-5
Healthy	0.776060890414528	-1.01295971302073	-0.30756731148585	-0.500381640299993	1.87756621627172	-5	-0.69216179584344
Healthy	1.12155820285983	-0.654998961821958	-5	-5	1.52954173713065	-0.21511893041391	-5
Healthy	0.155405883408257	-1.85047298624565	-5	-0.674217602484195	1.72075193832482	-1.70289634985074	-1.03428102975578
Healthy	0.361376481869873	-0.498803757972911	0.714166239729455	-2.43297363384094	1.75082293228829	-5	-5
Healthy	-0.652923803930265	-0.201985035648513	0.992401068294658	-0.690433704106227	1.30595723893257	-5	-1.17947015147648
Healthy	-2.03105031901866	0.376981866455769	-0.135524518308971	0.045334716316743	1.54381968098756	-5	-0.548014111051091
Healthy	0.0660723575773765	-5	0.412347969086344	-0.35269528819389	1.73847446323237	-0.265648292705235	-5
Healthy	0.585749411171379	-0.703290943824397	-0.29654525468797	-5	1.82034604693572	-5	-1.70929775671215
Healthy	-0.641284886197868	-5	-5	-5	1.81557104127818	-5	-5
Healthy	0.138826693810669	-1.19348086591929	-2.17392519729917	-0.502144659868822	1.88378086390612	-5	-1.35872424276809
Healthy	-0.361580635137367	-5	-0.868060704789575	-0.63520519282589	1.72431978848234	-5	-0.488584592791225
D065626	0.933399711483928	0.615970030846123	1.53327725522692	-0.444978141523848	1.04434451917337	-5	-5
Healthy	-0.21175383062718	-2.53461714855158	-5	-5	1.88066745045934	-5	-2.14146280243036
Healthy	0.329157781394064	0.390341518926754	0.907689155879493	0.00338297259828993	1.64240941377882	-2.14508697769214	-1.04793440981495
Healthy	0.124950679542338	-0.447623844747437	-1.65600093094284	-0.160239219038679	1.73645522766992	-5	-0.747244028911427
Healthy	0.272560963861557	-1.57121748850305	0.362126071357915	-0.386433001228715	1.56350540995057	-1.22929523178422	-0.829591588274682
Healthy	-5	0.485269866168583	-5	0.566215868865457	0.341693638960031	0.317892088957648	-5
Healthy	-0.266626163055293	-0.614500972847943	-5	-0.827718238544999	1.94935604251243	-5	-5
Healthy	-1.11025022473596	-0.312506711255048	0.272340642245293	-0.632196967250993	1.74462456359356	-5	-5
Healthy	0.761782798918629	-1.7680209731685	-5	-0.291324207273463	1.84810070904581	-5	-5
Healthy	0.855023401569893	-1.77806440017199	-5	-0.133411418224968	1.76411057214773	-5	-5
Healthy	-1.1253442674019	-1.67964596718233	0.0755615592810349	-1.4386600585411	1.6043401214296	-5	-5
Healthy	0.473590604448907	-1.26656197290894	-5	-1.1114274031424	1.81002063010515	-5	-0.258422985219577
Healthy	0.801618402870708	-0.237839297913818	-0.632401836320167	-1.44708854978349	1.84441000712758	-5	-5
Healthy	-0.978852064279005	-5	0.434388442735579	-0.833066905128846	1.62280463482383	-5	0.209152951593855
Healthy	1.89967569522853	-0.869827111107464	0.736743798962006	0.169395196975156	0.286391343147528	-5	-5
Healthy	0.310674198718182	-0.526542227184554	-0.12731939284807	-1.98171569157347	1.8012357228892	-5	-5
Healthy	0.954119441900728	-5	-1.88706002391592	-5	1.70747606876486	-5	-5
Healthy	-5	1.08418899343258	0.410247323940247	0.58910475277915	1.27434700337415	-5	-5
Healthy	-1.15645578805436	0.0754119076576232	0.698566791937309	-0.662820374590166	0.870742663294291	-5	-5
Healthy	-5	-5	-5	-0.973099191109745	1.83312510965263	-5	-5
Healthy	0.94718709417019	-2.70774392864352	-5	-5	1.64097954636543	-0.242004572723122	-1.3763372926438
Healthy	0.276783384700269	-0.153743320221921	-0.504997133561376	-1.10690433390377	1.24469661240851	-0.819845440546652	-1.49039429538844
Healthy	0.00609363020820083	-0.465237994969973	-0.485691374343224	-0.0108217012429983	1.82668575568211	-5	-0.394608750110711
Healthy	-0.951519352526498	-0.0678104461845136	0.080749110907479	0.0936807835974929	1.49530395216766	-5	-0.093761957868654
Healthy	-5	-0.0862603017850711	0.723572234494289	-1.07644514193245	1.30897098745708	-5	-5
Healthy	-1.74836177955179	-1.63413778459744	0.138754129723719	-0.41999931041096	1.8275738990396	-1.57823159879308	-1.03198428600636
Healthy	0.246786537772904	0.102519458368337	0.508095881195523	-0.645833914968581	1.62909671283614	-0.299469343021408	-0.525710873834504
Healthy	1.9366017988212	-0.640297291725886	-1.64282774227697	-5	-1.28692967414436	-5	-5
Healthy	0.724212769403576	-0.793470948317269	-5	-0.749604396942884	1.78802829919445	-5	-0.791881259261723
Healthy	0.65769916511523	0.559402646841045	1.95902530881005	-2.65757731917779	-1.71399287792053	-5	-5
Healthy	-0.162676764352586	-5	-0.926831737734898	-5	1.96814495463693	-5	-5
Healthy	-0.945885099489414	-5	-5	-0.935317433771488	1.63732748922239	-5	-1.497163361379
Healthy	-0.534498180058329	-0.601625913848644	-0.361390954192885	-0.243356285962926	1.75295206948262	-5	-1.94846160948467
