group	Phocaeicola	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Rothia	Eggerthella	Prevotella	Enterocloster	Collinsella	Holdemanella	Anaerostipes	Intestinibacter	Parasutterella	Desulfovibrio	Adlercreutzia	Pseudoflavonifractor
Healthy	4.78637	0	8.79006	0.02165	0.14116	0.19393	0.0264	0.00719	0	0.00018	0	0.61162	0	0	0.34365	0.0908	0.00678	0	0.18515	0
Healthy	4.32731	0	2.05589	0	0.11141	0	0	0	0	0.00095	0	0.24044	0.73212	0	0.38652	0	0.00396	0.16067	0.23981	0
Healthy	2.48726	0	4.49347	0	0	0	0	0	0	0	0	0.17365	0.38165	0	0.22003	0.12217	0	0	0.06226	0
Healthy	11.13396	0	3.4988	0	0	2.77557	0	0	0	0	0	0	0	0	0	0	1.07698	0	0	0
Healthy	38.9977	0	3.96119	0	0	0.12423	0	0	0	0	0	0	0	0	0	0	0.10417	0	0	0
Healthy	25.50139	0.06453	2.57906	1.37665	0.05311	0	0.13412	0.02348	0	0.00026	0.06453	0.5447	0.3144	0	0.24457	0.0709	0	0	0	0
Healthy	1.92356	0	8.32939	0.04487	0	0	0	0	0	0	0	0	0.14095	0	0	0	0	0.24252	0.09067	0
Healthy	20.29037	0	4.26482	0.36631	0	0.23479	0	0	0	0	0	0.01641	0	0	0	0	0.013	0	0	0
Healthy	15.87917	0.01157	3.86935	2.12948	0.05193	0	0	0.00482	0.00327	0.00056	0.01157	1.90813	0.71644	0	0.13271	0.13647	0.00147	0	0.22901	0.00127
Healthy	0.63726	0	0.40714	1.06216	0.01119	0	0	0	0	0	0	0.28013	0.68097	0	0	0	0.01997	0	0	0.00153
Healthy	15.2913	2.41062	5.60286	0	0.05435	0.01462	0	0	0	0	2.41062	0.19726	0.35797	0	0.10568	0	0	0.10469	0.05276	0
Healthy	0	2.1963	21.7045	0	0.0266	0	0	0	0	0	2.1963	0.85549	3.68311	1.933	0.32591	0.26971	0	0	0	0
Healthy	9.49546	0	0.51861	0.42965	0.01424	0	0	0	0	0	0	0.13561	0.14868	0	0.01443	0	0.11156	0	0	0
Healthy	23.72832	0	4.29314	0	0	0.04188	0	0	0	0	0	0.03017	0.23323	0.43867	0.30038	0.26029	0.03569	0	0	0
Healthy	31.1537	0	6.5334	0	0	0.07776	0	0.06952	0	0	0	0.3291	0	0	0	0	0	0	0.51129	0
Healthy	12.0342	0	8.03705	0	0	0.06544	0	0.08949	0	0	0	0.40561	0	0	0	0	0	0	0.7355	0
Healthy	27.40174	0	12.2367	0.04705	0.00935	0.02787	0	0	0	0	0	0.05507	0	0	0.04889	0	0	0	0.03641	0
Healthy	7.42227	0	3.55185	0	0	0	0	0	0	0	0	0	0.07736	0	0	0	0.38392	0.55153	0	0.02809
Healthy	15.43197	0	4.68188	0	0	0	0	0	0	0	0	0	0.03571	0	0	0	0.05957	0	0	0
Healthy	1.12409	0	4.42579	0.04178	0	0	0	0	0	0	0	0.65934	0	0	0	0	0.02873	1.41142	0.14686	0.05692
Healthy	0.7916	0	0	78.7042	0.07356	0	0	0.0059	0	0	0	0.04138	1.46902	0	0.0846	0	0.02799	0	0	0
Healthy	18.3158	0	6.63595	0.36158	0.09022	0.04462	0.0228	0.00265	0	0.01042	0	0.09799	0	0	1.2924	0.25312	0.17411	0	0	0
Healthy	3.15064	0	9.28592	2.27843	0.00665	0.62055	0	0.56096	0	0	0	1.01141	0	0	0	0	0.04242	0	0	0
Healthy	12.72925	0	24.6591	0	0	0	0	0	0	0	0	2.16324	3.88243	11.3576	0	0	0	0	0	0
Healthy	1.23676	0	16.0886	0	0.09717	0	0	0	0	0	0	0.09151	0.00219	0	3.30523	0.01342	0	0	0.19679	0
Healthy	1.80253	46.7432	2.59441	0	0	0	0	0	0	0	46.7432	0.79534	0.10638	0	0.07734	0	0	0	0	0
Healthy	4.12706	6.74233	7.91572	0	0	0.06709	0	0	0	0	6.74233	2.08235	0	0	0.29749	0	0.00222	0	0	0
Healthy	1.65363	10.3598	4.06832	0.29883	0	0.12678	0	0	0	0	10.3598	0.50451	0.07817	0.11145	0	0.39724	0	0	0	0
Healthy	6.58188	0.03398	1.13008	1.00992	0	0	0	0.02914	0	0	0.03398	0.06154	0.96563	0.07177	0	0	0.0042	0.40307	0	0.00747
Healthy	1.07094	0	0.82616	0.1118	0	0	0	0	0	0	0	0	1.24073	0.1802	0	0	0	0.66686	0	0.03291
Healthy	1.92243	0	10.0244	0	0.13052	0	0	0.00396	0	0.0011	0	10.72712	0	0	0.18609	0	0	0	0.07283	0
Healthy	10.58898	0	3.84259	0	0	0	0	0	0	0	0	0.39147	0.38018	0	0	0	0.01784	0	0	0
Healthy	5.62575	1.16567	3.94491	0.61563	0	0.01449	0	0	0	0	1.16567	1.36094	0.22602	0.18984	0.07293	0.0182	0	0	0	0
Healthy	0.0068	0	0	83.838	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	10.2104	0	3.79106	0	0	0.11696	0	0	0	0	0	0	0.02688	0	0	0	0.20827	0.16147	0.1511	0
Healthy	0	0	0	3.89743	0	0.00589	0	0	0	0.00219	0	0	0	0	0	0.02357	0	0	0	0
