s	Intestinibacter_bartlettii	Streptococcus_thermophilus	Coprococcus_A_catus	Anaerostipes_hadrus_A	Haemophilus_D_sp001815355	Streptococcus_parasanguinis_D	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955	Bacteroides_caccae	Mediterraneibacter_torques
Healthy	-5	-5	-5	-0.315307206601422	-5	-5	-5	-5	-5	-5	-5	-0.358545720746933
Healthy	-5	-5	-1.16285365609094	-1.28718199979215	-5	-2.35457773065091	-5	-5	-5	-5	-1.41668784801692	-0.230711314496045
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.413484174317407	-5
Healthy	-5	-1.32661042181169	-5	-5	-5	-5	-5	-5	-5	-5	0.556696805868548	-1.02177381832547
Healthy	-2.44977164694491	-5	-0.952608297799556	-2.13906337929991	-5	-5	-1.74424521335696	-5	-5	-5	-0.334025227123071	-2.09745322068601
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.200873203600119	-5
Healthy	-5	-5	-0.631155493174179	-0.647354481331029	-1.09044397075882	-0.0472559759851017	-5	-5	-1.36723911152056	-5	0.522562898367725	-0.181562950683865
Healthy	-5	-5	-1.14351278713137	-5	-5	-5	-5	-5	-5	-5	-0.848201277407138	-0.546895801567791
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.298505938601893	-1.44069198909299
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.225606464936179	-0.152353319697824
Healthy	0.0659268621627721	-5	-0.702567795189831	-0.583442698808521	0.401924135829334	-5	-5	-1.00261361560269	-5	-5	0.0771752465948376	-1.48651604329574
Healthy	-5	-1.87289520163519	-5	-1.5665502062384	-3.22914798835786	-2.20342566678957	-1.33161408331	-5	-2.07520400420209	-5	-0.263930337628247	-1.34949820512163
Healthy	-0.543345545351551	-0.941915775249075	-5	-0.355275913917018	-0.84545430757909	-0.92804438969702	-2.01144104312138	-5	-1.56415563401556	-3.46852108295774	0.174205226940147	-1.79021698515148
Healthy	-1.22279074185432	-5	-5	-5	-0.709609190559771	-5	-5	-5	-5	-5	0.370253952961034	-0.812874271898271
Healthy	-5	-5	-5	-5	-0.0902675076251021	-5	-5	-5	-5	-5	-5	0.585365964010382
Healthy	-5	-5	-0.22858891817962	-0.241769591542251	-5	-5	-5	-5	-5	-5	-0.657537839655754	-0.937192466827841
Healthy	-1.86423148543218	-5	-5	-5	-0.48192057189613	-1.19907681818678	-1.28224630678928	-0.472537663446253	-5	-5	-5	-0.448476812495412
