group	Oscillospirales	Enterobacterales	Burkholderiales	Pseudomonadales	Coriobacteriales	Desulfovibrionales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	6.22563	0	4.30761	0	1.45829	0.08008		54.17995	16.00939	6.22563	0	0	0.1302	0	1.45829	0.08008	0
Healthy	0.04915	0.91721	0	0	5.75242	0.01514		24.69327	20.64762	0.04915	7.29344	0	0.29327	0	5.75242	0.01514	0
Healthy	7.50643	0.0781	1.45864	0	0.20705	0.15405		63.4987	6.7014	7.50643	0.41868	0	0.01765	0.18758	0.20705	0.15405	0
Healthy	4.10247	0.09665	2.12136	0	0.08695	0.09305		52.08938	21.81106	4.10247	0	0.62975	0.56085	0.07048	0.08695	0.09305	0
Healthy	11.91721	0.1512	0.14328	0	0.37727	0		40.44836	19.16726	11.91721	0.04899	0.03917	1.04933	0	0.37727	0	0.02658
Healthy	8.19907	0.42971	0.02565	0	0.9363	0.0012		48.12186	9.33161	8.19907	10.27783	1.1655	0.01657	0	0.9363	0.0012	0
Healthy	9.83018	0.01115	0	0	1.71689	0.05871		55.96175	13.53386	9.83018	0	0.07252	0.08838	0.52921	1.71689	0.05871	0.01345
Healthy	3.71621	0.09586	0.29286	0	0.14288	0.07883		76.93222	2.91449	3.71621	6.47807	0	0	0	0.14288	0.07883	0
Healthy	0.00382	16.45876	10.9103	0.41286	0.12	0.13184		9.78837	0.18846	0.00382	3.20071	0	1.2222	0	0.12	0.13184	0
Healthy	12.17061	0	0	0	0	0.08855		47.09899	13.06821	12.17061	0	4.64535	0.18972	2.8803	0	0.08855	0
Healthy	1.45347	0.37736	0.0857	0	0.15444	0.00251		89.10926	1.11149	1.45347	3.3587	0	0.23259	0	0.15444	0.00251	0
Healthy	27.37284	0	1.28454	0	0.01631	0.037		53.12384	8.53065	27.37284	0	0.02478	0.14253	0	0.01631	0.037	0
Healthy	5.28558	6.37382	0.03316	0	0	0.65549		30.60738	4.60479	5.28558	0	20.014	0.21411	0.54614	0	0.65549	0
Healthy	2.55632	0	0.1002	0	0.102	0.05737		44.45977	3.30342	2.55632	0	0	0	0	0.102	0.05737	0
Healthy	1.23345	0	0	0	0.06941	0.02658		39.3006	24.13931	1.23345	0.59117	1.13725	0	15.6428	0.06941	0.02658	0
D006973	14.3107	0.8892	0.47455	0.02941	0.77557	0.00965		69.05676	4.91604	14.3107	0	0	0	0	0.77557	0.00965	0
Healthy	3.76713	16.4109	0.04035	0	0	0		41.24657	12.86415	3.76713	0	0	0	0.32705	0	0	0.35363
Healthy	3.5952	1.67377	0.08025	0	0	0.09831		86.758	4.04901	3.5952	0	0	0.06243	0	0	0.09831	0
Healthy	9.34538	0	0	0	0	0		12.46553	58.92111	9.34538	5.12865	0.00932	0.11515	3.21156	0	0	0
Healthy	3.85686	0.03895	0.29889	0	0.19064	0.10029		76.44017	2.98722	3.85686	6.53381	0	0	0	0.19064	0.10029	0
Healthy	8.70302	1.75061	0	0	2.82554	0		9.7859	15.91284	8.70302	2.39552	0	15.71087	1.04718	2.82554	0	0
Healthy	4.12956	6.51836	8.98905	0.01561	1.73487	0.03635		42.18549	15.08024	4.12956	0.00473	0	0.46803	0	1.73487	0.03635	0.04743
Healthy	4.3862	0	0.12857	0	0	0		68.34488	2.94694	4.3862	6.35013	0	0	0	0	0	0
Healthy	2.11122	0.01729	5.95389	0	0.31594	0.20315		75.43383	3.31311	2.11122	0	0	0	0	0.31594	0.20315	0
Healthy	7.10371	12.8542	0.37574	0	0	0		33.84867	4.67955	7.10371	11.5958	0.54368	0	0.60936	0	0	0
Healthy	19.62191	0.00825	1.42197	0	0.21172	0.0924		52.57168	4.47133	19.62191	0.22524	1.91855	0.0109	0.01981	0.21172	0.0924	0
Healthy	8.99262	2.29463	0.0035	0	0.00368	0		56.34078	4.96469	8.99262	0.01956	0	0.27467	0	0.00368	0	0.09932
Healthy	14.11143	0.21558	0.00678	0	0.20396	0.06614		20.22819	26.02253	14.11143	4.07963	0	0.54071	0	0.20396	0.06614	0.0908
Healthy	17.74577	0	0.0093	0	1.11002	0.28312		34.97998	15.93214	17.74577	0	0.87446	2.28761	0	1.11002	0.28312	0
Healthy	7.44577	0	1.16431	0	0.44391	0		54.76138	13.86684	7.44577	0	1.83608	0	0.54243	0.44391	0	0.12217
Healthy	3.85957	2.77557	1.07698	0	0	0.01952		66.122	13.69074	3.85957	4.777	0	0.19801	0	0	0.01952	0
Healthy	4.49464	0.12423	0.10417	0	0	0		65.39898	5.4809	4.49464	0	7.69718	0	0	0	0	0
Healthy	2.70927	1.37665	0	0	0.31466	0.04377		76.52103	5.82858	2.70927	0	0	0.06404	0	0.31466	0.04377	0.0709
Healthy	8.46934	0.04487	0.39005	0	0.23162	0.32464		53.00535	7.62617	8.46934	0	5.35516	0	0	0.23162	0.32464	0
Healthy	6.34267	0.6011	0.013	0	0	0.00721		75.97442	2.05337	6.34267	2.69249	0	0.00291	0	0	0.00721	0
Healthy	4.61086	2.12948	0.00433	0	1.00781	0.08954		43.89442	17.42598	4.61086	0.15028	4.75004	2.3757	0.00715	1.00781	0.08954	0.13647
D006973	12.51212	0.3263	0	1.26036	0.57418	0.00066		72.11937	7.78094	12.51212	0	0	0.01886	0	0.57418	0.00066	0
Healthy	6.37802	1.06216	0.2712	0	0.69144	0.17895		54.50736	0.82468	6.37802	9.30256	7.16262	0	0	0.69144	0.17895	0
Healthy	38.2343	0.01462	1.85847	0	0.41073	0.14804		36.60204	13.15289	38.2343	0.27195	0.03189	0.02683	0.05897	0.41073	0.14804	0
Healthy	54.60222	0	0	0	3.68311	0		2.1963	29.97117	54.60222	0	0	0	2.07917	3.68311	0	0.26971
Healthy	1.47786	0.42965	0.11156	0	0.14868	0		88.99303	1.15799	1.47786	3.36743	0	0.21585	0	0.14868	0	0
Healthy	7.9392	0.04188	0.03569	0	0.23323	0		55.54238	16.08956	7.9392	1.41269	0	0.04828	0	0.23323	0	0.26029
Healthy	9.10469	0.07776	5.7003	0	0.51129	0		70.48564	2.66517	9.10469	0	0	0	0	0.51129	0	0
Healthy	14.02014	0.06544	7.09637	0	0.7355	0		58.09122	3.20391	14.02014	0	0	0.00451	0	0.7355	0	0
Healthy	14.94458	0.07492	0	0	0.03641	0		40.21055	22.52399	14.94458	5.37671	0	0.0073	0	0.03641	0	0
Healthy	4.07902	0	2.9757	0	0.07736	0.55153		64.56848	23.50672	4.07902	0	0	0	0	0.07736	0.55153	0
Healthy	4.98386	0	6.33312	0	0.03571	0		69.88918	5.27636	4.98386	4.62199	0	0.5783	0	0.03571	0	0
Healthy	9.91116	0.04178	0.0632	0	0.14686	1.61864		41.95701	0.74218	9.91116	0	17.199	0	0	0.14686	1.61864	0
Healthy	0.59296	78.76377	0.02799	0.58176	1.47704	0		1.9337	4.66382	0.59296	0	3.52859	0.10611	0	1.47704	0	0
Healthy	8.24625	1.87079	0.17411	0	0.01042	0		63.27551	20.07617	8.24625	0.008	0	0.1514	0	0.01042	0	0.25312
Healthy	9.74817	3.09305	5.90439	0	0	0		50.98894	20.8232	9.74817	7.88732	0	0	0	0	0	0.16683
Healthy	37.18712	0	0	0	3.88243	0		18.80818	18.86342	37.18712	0	0	0.78156	0	3.88243	0	0
Healthy	35.45277	0	0	0.06974	0.21735	0		7.42578	8.09311	35.45277	1.99584	0	0.60443	0	0.21735	0	0.01342
Healthy	3.31872	0	0	0	0.10638	0		68.09654	18.30054	3.31872	0	0.06765	0	0	0.10638	0	0
Healthy	13.42089	0.06709	8.78787	0	0	0.04203		43.75014	9.47397	13.42089	0	3.04604	0.00195	0.57278	0	0.04203	0
Healthy	29.26325	0.8398	0.08859	0.963	0.07817	0.03232		17.56695	11.74589	29.26325	0	1.83008	0.03976	0.1514	0.07817	0.03232	0.39724
Healthy	4.1034	1.00992	0.0042	0	0.97538	0.40307		67.09431	0.2867	4.1034	0.03571	0.00437	0.04975	0	0.97538	0.40307	0
Healthy	6.98888	0.1118	0	0	1.24073	0.80581		31.28267	1.01616	6.98888	0.61502	0.51673	0.29215	0	1.24073	0.80581	0
Healthy	10.98327	0	0	0	0.08385	0		20.36905	25.34291	10.98327	4.75712	25.358	0.22287	0	0.08385	0	0
Healthy	6.25977	0	0.01784	0	0.38018	0.09289		67.23166	9.43879	6.25977	0.01308	0.53875	0.02321	0.0264	0.38018	0.09289	0
Healthy	11.98098	1.08785	0.67731	0	0.22602	0.29804		42.56931	6.33331	11.98098	0.49436	5.195	0	0.50179	0.22602	0.29804	0.0182
Healthy	0	86.41751	0	0	0	0		0.05164	0.00094	0	0	0	0.22892	0	0	0	0
Healthy	3.98991	0.11696	5.18226	0	0.17798	0.16147		61.38019	21.55607	3.98991	0	0	0.09358	0	0.17798	0.16147	0
Healthy	0.25159	3.9748	0	0.57192	0.00219	0		0.01931	0	0.25159	0.04244	0.00841	3.59098	0	0.00219	0	0.02357
Healthy	1.15541	0.09795	0.58962	0	0	0		92.92764	1.72277	1.15541	0	1.66666	0	0	0	0	0
Healthy	2.17255	0	0.11326	0	0.11605	0.03182		43.38378	1.17854	2.17255	0	0	0	0	0.11605	0.03182	0
Healthy	1.07347	0	0.26844	0.02363	0.571	0.01125		56.61767	4.22058	1.07347	15.1182	0	0.25024	0	0.571	0.01125	0
Healthy	11.12191	0.08321	0.51581	0	0.14804	0.20998		52.15726	12.86174	11.12191	0	1.05654	0	0	0.14804	0.20998	0
Healthy	2.31532	0	0.11734	0	0.01375	0		61.05334	26.41081	2.31532	3.44835	0.01073	0.00441	0	0.01375	0	0
Healthy	4.54787	0.15123	0.23778	0	0.00226	0.07482		70.56182	5.7435	4.54787	2.88164	0.14766	0.00552	0.0539	0.00226	0.07482	0
Healthy	1.72019	0	1.5313	0	0.13383	0		83.56988	1.35877	1.72019	0	0.83505	0.04713	0	0.13383	0	0
Healthy	20.95643	2.8125	0	0	0.29421	0.05661		37.34462	26.62906	20.95643	0	0.00071	0.04653	0	0.29421	0.05661	0.00354
Healthy	0.12429	0	0.04874	0	0	0		20.76636	46.55662	0.12429	0	0	0	0	0	0	0
Healthy	7.03706	0.08119	0.46186	0	0.26964	0.01742		49.42088	25.0635	7.03706	0.25302	0	2.82676	0	0.26964	0.01742	0
Healthy	10.26378	0	0.04642	0	0.17433	0.01529		7.28498	56.88681	10.26378	0	0	0	3.78245	0.17433	0.01529	0
Healthy	62.9997	0	0	0	0	0		3.61561	12.1476	62.9997	0	0	0	0	0	0	0
Healthy	4.74411	0	0.11483	0	0.24373	0.31288		65.94451	2.9794	4.74411	0	10.5195	0.04301	0	0.24373	0.31288	0
Healthy	5.63306	0	0	0	0.63218	1.50048		77.56292	4.23484	5.63306	0	0	0	0.09708	0.63218	1.50048	0
Healthy	6.99823	3.85851	0.0586	0	0.4326	0		22.77193	13.98492	6.99823	1.49325	0	0.9221	0	0.4326	0	1.16392
Healthy	29.68041	0.00058	0.09116	0.32517	2.46417	0.00355		10.42839	22.45504	29.68041	0	6.51919	0.15545	0	2.46417	0.00355	0
Healthy	12.88211	1.02549	1.77066	0.0872	0.18648	0.01117		44.35637	25.21853	12.88211	0.05609	0.00699	0.75708	1.82276	0.18648	0.01117	0.28618
Healthy	11.49644	0.19515	0.1002	0	0.33473	0		50.42891	29.12875	11.49644	0	0	0	0	0.33473	0	0.05986
Healthy	5.56944	0.81232	0	0	0	0		57.9843	20.95243	5.56944	0	0	0.8025	0	0	0	0
Healthy	2.67302	0.0911	0.16065	0.42465	3.76394	0		19.00735	38.42361	2.67302	0	0	13.96801	3.06148	3.76394	0	0
Healthy	0.04332	4.14218	0.00158	0.06891	0.03904	0		0	35.15934	0.04332	6.5513	0	1.56902	0	0.03904	0	0.01366
Healthy	8.95456	0.92321	1.67502	0	0.13451	0		22.0643	22.27209	8.95456	1.21693	0	0.23032	0	0.13451	0	0.17413
Healthy	5.98487	0.34649	0.01275	0	0.7137	0.66408		45.26359	0.65685	5.98487	2.97255	0.13239	0.0582	0	0.7137	0.66408	0
Healthy	2.22382	2.71161	0	0	2.27129	0		18.16766	6.95679	2.22382	2.40822	0	17.16755	0	2.27129	0	0
Healthy	8.33474	0.07952	0	0	0.11806	0.06978		63.72663	10.2726	8.33474	0.05662	0	0.17892	0	0.11806	0.06978	0
Healthy	6.31917	0.08088	0.0234	0	1.0791	0.00756		31.15761	6.52439	6.31917	12.9858	0.03307	0	0	1.0791	0.00756	0
Healthy	17.86587	0.16148	0.08772	0.06946	4.33288	0		21.40224	17.31738	17.86587	4.61753	0	0.27012	0	4.33288	0	0.25
Healthy	6.01991	10.2181	0.28406	0	1.34897	0.45505		13.2891	0.38881	6.01991	2.60171	43.9894	0	0	1.34897	0.45505	0
Healthy	4.69076	0	0.09557	0	0.28366	0.33848		65.75268	3.13409	4.69076	0	10.41	0.05589	0	0.28366	0.33848	0
Healthy	17.61636	0.06381	2.51045	0	0.83394	0.00124		46.11877	8.78889	17.61636	5.94604	0.10078	0.45117	0	0.83394	0.00124	0
Healthy	1.86091	0.06157	0.11666	0	0.00233	0		70.63059	1.4222	1.86091	5.89113	0	0	0	0.00233	0	0
