group	Firmicutes_A	Actinobacteriota	Firmicutes		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	10.29137	4.3473	0.00552		70.56182	10.29137	4.3473	0.38901	0.14766	0.00552	0.0539	0.07482	
Healthy	3.07896	0.19576	0.05424		83.56988	3.07896	0.19576	1.5313	0.83505	0.05424	0	0	
Healthy	47.58903	0.31581	0.07124		37.34462	47.58903	0.31581	2.8125	0.00071	0.07124	0	0.05661	
Healthy	46.68091	0	11.24847		20.76636	46.68091	0	0.04874	0	11.24847	0	0	
D003093	53.23648	3.09101	0.08645		33.1865	53.23648	3.09101	0.28297	0	0.08645	0	0	
Healthy	32.10056	0.60735	3.8281		49.42088	32.10056	0.60735	0.54305	0	3.8281	0	0.01742	
Healthy	67.15059	1.43563	1.13999		7.28498	67.15059	1.43563	0.04642	0	1.13999	3.78245	0.01529	
Healthy	75.1473	21.2371	0		3.61561	75.1473	21.2371	0	0	0	0	0	
Healthy	7.72351	0.39039	0.07386		65.94451	7.72351	0.39039	0.11483	10.5195	0.07386	0	0.31288	
Healthy	9.8679	0.63218	0.30044		77.56292	9.8679	0.63218	0	0	0.30044	0.09708	1.50048	
Healthy	22.14707	36.33299	1.86789		22.77193	22.14707	36.33299	3.91711	0	1.86789	0	0	
Healthy	52.22403	2.50785	2.37947		10.42839	52.22403	2.50785	0.41904	6.51919	2.37947	0	0.00355	
D003093	21.69242	0.63855	3.90691		60.12943	21.69242	0.63855	2.01591	0.00375	3.90691	0	0.02209	
Healthy	38.38682	0.437	0.87812		44.35637	38.38682	0.437	2.88335	0.00699	0.87812	1.82276	0.01117	
Healthy	40.68505	0.33473	0		50.42891	40.68505	0.33473	0.29535	0	0	0	0	
Healthy	26.52187	0	2.60774		57.9843	26.52187	0	0.81232	0	2.60774	0	0	
Healthy	41.09663	4.03175	14.02652		19.00735	41.09663	4.03175	0.6764	0	14.02652	3.06148	0	
Healthy	35.21632	0.03904	1.64296		0	35.21632	0.03904	4.21267	0	1.64296	0	0	
Healthy	31.40078	0.36123	0.29067		22.0643	31.40078	0.36123	2.59823	0	0.29067	0	0	
Healthy	6.64172	1.92278	0.54845		45.26359	6.64172	1.92278	0.35924	0.13239	0.54845	0	0.66408	
Healthy	9.18061	3.89802	21.27618		18.16766	9.18061	3.89802	2.71161	0	21.27618	0	0	
Healthy	18.60734	0.55591	0.17892		63.72663	18.60734	0.55591	0.07952	0	0.17892	0	0.06978	
Healthy	12.84356	36.28174	0.02407		31.15761	12.84356	36.28174	0.10428	0.03307	0.02407	0	0.00756	
Healthy	35.43325	9.87513	5.08692		21.40224	35.43325	9.87513	0.31866	0	5.08692	0	0	
Healthy	6.40872	1.35927	0.13551		13.2891	6.40872	1.35927	10.50216	43.9894	0.13551	0	0.45505	
Healthy	7.82485	0.41749	0.06869		65.75268	7.82485	0.41749	0.09557	10.41	0.06869	0	0.33848	
Healthy	26.40525	3.26869	0.85784		46.11877	26.40525	3.26869	2.57426	0.10078	0.85784	0	0.00124	
Healthy	3.28311	0.27915	0.02247		70.63059	3.28311	0.27915	0.17823	0	0.02247	0	0	
Healthy	11.05421	6.05152	0.17455		44.41535	11.05421	6.05152	0.27735	7.09147	0.17455	0	0.1094	
Healthy	42.33858	0.25895	5.2092		36.30805	42.33858	0.25895	0.02241	0	5.2092	0.02465	0	
Healthy	55.66819	7.64681	0		18.17723	55.66819	7.64681	0	0	0	0	0	
Healthy	40.80151	0	1.96262		42.50091	40.80151	0	0	0	1.96262	0	0	
Healthy	16.35226	1.16459	0.04651		63.68496	16.35226	1.16459	0.17416	0	0.04651	0	0.05044	
Healthy	2.18622	0	0.01292		92.81289	2.18622	0	4.2841	0.55019	0.01292	0	0	
Healthy	32.41273	0.74596	0.50817		49.73983	32.41273	0.74596	2.56184	0.38836	0.50817	0	0.10707	
Healthy	43.83014	0.01142	0.10367		51.54426	43.83014	0.01142	2.5813	0	0.10367	0	0	
Healthy	3.46566	0	0		71.0787	3.46566	0	2.44306	0	0	0	0.03142	
Healthy	46.10202	10.94462	0		26.51604	46.10202	10.94462	0	0	0	0	0	
Healthy	69.4009	0.70339	1.54894		14.1769	69.4009	0.70339	0.72719	0.09373	1.54894	0.18576	0.08154	
Healthy	8.75437	0.75156	0		58.04866	8.75437	0.75156	0.53971	8.71159	0	0	0.55816	
Healthy	59.24397	1.94799	0.34649		22.14347	59.24397	1.94799	1.72334	0	0.34649	0.11191	0	
Healthy	7.13458	27.02805	0.45334		0.35748	7.13458	27.02805	0	0	0.45334	0	0	
Healthy	14.65223	0	0.53907		80.38068	14.65223	0	0	0	0.53907	0	0	
Healthy	47.61645	3.88737	0.1903		20.33218	47.61645	3.88737	0.00056	19.023	0.1903	0	0.19041	
Healthy	0.25032	7.18566	0.02015		28.87276	0.25032	7.18566	55.0788	0.00039	0.02015	0	0	
Healthy	19.70734	11.36341	1.18442		38.75978	19.70734	11.36341	0.57325	11.9695	1.18442	0	0	
Healthy	53.46463	1.01021	2.36732		29.53286	53.46463	1.01021	0.98133	2.81759	2.36732	0.20726	0	
Healthy	15.15539	0.00433	0.73283		33.23081	15.15539	0.00433	35.06305	0	0.73283	0	0	
Healthy	30.2978	0.13293	1.88666		41.87328	30.2978	0.13293	7.37478	0.49181	1.88666	2.44739	0	
Healthy	10.91526	1.39204	0.22275		69.54234	10.91526	1.39204	2.99685	0	0.22275	0.00825	1.21704	
Healthy	58.02649	0	0.34273		28.72289	58.02649	0	0.12406	0	0.34273	0.21268	0	
Healthy	2.41679	0.1845	0		65.70584	2.41679	0.1845	1.15581	0	0	0	0	
Healthy	78.95978	0.47748	0.05588		7.75441	78.95978	0.47748	0.05193	0	0.05588	0	0	
Healthy	20.60257	3.89993	1.55892		25.16801	20.60257	3.89993	33.33013	0.00032	1.55892	0	0.0392	
Healthy	5.56522	1.37412	0.00174		75.927	5.56522	1.37412	0.7445	3.84496	0.00174	0	0.0151	
Healthy	56.4659	2.6333	0.50095		27.96087	56.4659	2.6333	1.15883	0.79342	0.50095	0	0	
D003093	30.03798	8.33522	6.72479		28.77594	30.03798	8.33522	0.25759	0	6.72479	0	0.01632	
Healthy	7.81577	0.34266	0.06045		66.09812	7.81577	0.34266	0.11834	10.3809	0.06045	0	0.33033	
Healthy	46.58071	2.0746	8.3062		25.51014	46.58071	2.0746	2.30696	0	8.3062	0.79834	0.07805	
Healthy	59.87065	1.79807	0		18.16758	59.87065	1.79807	0	0	0	0	0	
D003093	13.08111	21.01834	5.85435		21.30247	13.08111	21.01834	0.84348	11.5674	5.85435	8.11635	0.24884	
Healthy	8.67235	0.15624	0.07383		78.57875	8.67235	0.15624	0.16402	0	0.07383	0	0.0016	
D003093	16.55027	0	0		71.49755	16.55027	0	1.50874	0	0	0	0	
Healthy	23.22536	0.12192	0.06825		64.93079	23.22536	0.12192	1.07337	0	0.06825	0	0.40904	
Healthy	12.4343	7.66135	1.06066		39.03604	12.4343	7.66135	15.09609	0.3477	1.06066	0.07517	0.18958	
Healthy	2.54611	0.13178	0.23153		88.7654	2.54611	0.13178	0.50622	0	0.23153	0	0.00253	
Healthy	12.398	0	0.0839		79.91048	12.398	0	2.98359	0	0.0839	0	0.0383	
Healthy	13.57223	0.75234	0.03122		64.14272	13.57223	0.75234	1.52766	0	0.03122	0.17643	0.13826	
Healthy	11.91527	0.07109	0.53138		38.36526	11.91527	0.07109	5.42452	1.4567	0.53138	3.08044	0.35495	
Healthy	5.40666	1.18002	0		80.84169	5.40666	1.18002	0.70627	3.57301	0	0	0.02838	
Healthy	19.94983	1.86936	1.80416		25.1195	19.94983	1.86936	0.89157	0.69873	1.80416	0	0.37016	
D003093	10.41339	0.0328	0		84.83831	10.41339	0.0328	0.00572	0	0	0	0	
Healthy	25.20788	0.03785	8.9778		55.82578	25.20788	0.03785	0.08336	0.01236	8.9778	1.90301	0	
Healthy	31.31164	30.09822	0		27.29133	31.31164	30.09822	3.26884	1.26245	0	0.42914	0.05407	
Healthy	14.71251	0	0.43276		78.2146	14.71251	0	0	0	0.43276	0	0	
Healthy	24.74316	1.54149	0.50608		64.69453	24.74316	1.54149	2.03249	0	0.50608	0	0.03475	
Healthy	12.34864	0	0.10057		79.61067	12.34864	0	2.81094	0	0.10057	0	0.04609	
Healthy	33.81771	0.05685	0.75909		46.96026	33.81771	0.05685	0.3539	0.6796	0.75909	0.18105	0	
Healthy	26.33504	0.78507	0.20791		33.30529	26.33504	0.78507	1.51551	0	0.20791	0	0	
Healthy	6.24266	0.26379	0.56566		69.58044	6.24266	0.26379	0.0624	0	0.56566	0.02876	1.64987	
Healthy	9.09499	0.1483	0.05386		77.68829	9.09499	0.1483	0.11479	0	0.05386	0	0.00154	
Healthy	26.7119	0.00498	0.0161		61.68826	26.7119	0.00498	0.39111	0.6598	0.0161	0	0	
Healthy	11.93575	13.75789	0.30101		56.32307	11.93575	13.75789	0.13998	0	0.30101	0.1953	0.11107	
Healthy	33.61109	0.28703	0.31688		54.50758	33.61109	0.28703	0.33854	0	0.31688	0	0	
Healthy	4.84264	0.06576	0.02025		43.3074	4.84264	0.06576	0.11856	0	0.02025	0	0.03259	
Healthy	3.38635	0	0		72.56282	3.38635	0	2.63869	0	0	0	0.05179	
