f	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Streptococcaceae	Coriobacteriaceae	Lactobacillaceae	Akkermansiaceae	Acidaminococcaceae	Methanobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Desulfovibrionaceae
Healthy	0.585977063678932	0.382818216177063	-0.639539128949822	-0.844087310914094	-0.917789283398757	-5	-5	-5	-5	-5	0.177438375806556	-5	-5	1.86971428135975	0.193614295428634	0.931182153667447	-5	-1.03207779326948	-5	-0.0379670531146965	-5	-5	-1.01269132626882
Healthy	0.612949069045181	-5	1.10627625137725	-5	-0.368150537840182	0.559244509416333	-0.861981660385737	-5	-5	-5	0.411570887173071	-1.01511279893567	-1.58972903574782	1.44342916133512	-5	1.56312270394849	-5	-5	-5	-1.1049091030656	0.989411548229137	-1.64704608828991	-5
Healthy	1.31918707839646	1.0633889090578	1.00003517642841	-1.39297412156521	-1.45308735681876	-0.500436626465597	-0.152550737500827	-5	0.141572048494632	-5	-0.592133416969224	-5	-5	1.64357080825805	-0.450628847666823	-0.194193408297187	-5	0.303273834541892	-5	-1.98589967848038	-5	-0.557645677060601	-2.87614835903291
Healthy	1.54045411318771	1.1242997452926	0.0496753420608595	1.03998803970842	0.0509285617774432	-0.857798309836487	-0.436008977413847	-1.58037463911226	0.199894984410582	0.218461978766149	-1.23425695857896	-5	-5	0.930091305931401	-0.174957061303584	0.307457527335506	-5	-1.2954205503037	-0.488892380040732	-2.09097914578884	-5	-1.10253786198694	-5
Healthy	0.730895274398542	0.572649753445391	-0.768046430801019	-1.37768233916616	-0.544591684757714	-1.34553466647985	-5	0.270571704722232	-5	0.90543588720795	-5	-5	-5	1.24487037494188	0.462311130315528	0.445867190898078	-5	0.0757512871934784	0.910634008346503	-1.08990945440593	-5	-5	-0.210553262965207
Healthy	0.761230755082665	-0.309130842210745	0.830543119903423	0.426808821913291	-0.686871286154806	-0.0900483653834037	-5	0.815796168748423	-5	1.40092307149672	-5	-5	-5	1.30131284639032	0.900694774452398	0.632619236619118	-5	-0.522473592805652	-5	-0.647238808276169	-5	-5	-1.16405589990615
Healthy	1.46456018533503	0.806797725474384	-0.512805042608604	0.397771469714387	-0.324680016660708	-5	-5	-0.114305270370072	-0.0554482410412881	-5	-5	-5	-5	1.38575297958606	1.16340619316467	0.199310785157724	-5	0.764926715686112	-5	-1.30250911282894	-1.32827191176044	0.351454223259687	-5
Healthy	1.41598657678453	0.776149613960153	0.490921572614853	0.320561680195237	-1.10773839308446	-0.767664722914346	-5	-5	-5	-5	-5	-5	-5	1.62736421774254	0.423257345715005	-0.600620521847371	0.193238724856175	-1.23942674605561	-5	-5	-5	-0.880216413838302	-5
Healthy	1.25856353737814	0.88768705187884	0.974260622837247	-5	-0.566502185176279	-5	-5	-0.0239941074918709	-5	-5	-0.159341974407674	-2.31247103878537	-2.14266750356873	1.58364837046704	-5	0.155257067652697	-5	-0.0425651242404258	-5	-1.75597041096998	-0.61984304849184	-0.699426253114566	-5
Healthy	1.10740027107654	0.821260607607689	-0.0345913173492808	0.334268734467103	-0.0451884551927927	-5	-5	0.458930804559553	-5	-5	0.0261245167454503	-5	-2.61978875828839	1.47288540247126	-5	0.161685370487478	0.804211695106561	0.199900466127215	-5	-0.821080578964535	-1.24275584897803	-1.37944755527056	-1.81276138016852
