group	Lachnospiraceae	Coriobacteriaceae	Lactobacillaceae	Streptococcaceae	Erysipelotrichaceae	Methanobacteriaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	15.91284	2.82554	0	15.69812	0	1.04718	2.57172	0	0	0	15.91284	2.60289	22.56278	6.10013	0	1.04718	2.82554	0	0	0
Healthy	15.08024	1.73487	0.13116	0.33687	1.6957	0	0	0	0.04743	0.00149	15.08024	2.1367	5.05257	1.98987	0	0	1.73487	0.00299	0.03635	0
Healthy	2.94694	0	0	0	0.24099	0	0	0	0	0	2.94694	2.03873	0.38779	0.6039	0	0	0	1.74357	0	0
Healthy	3.31311	0.31594	0	0	0.09705	0	0	0	0	0	3.31311	2.08575	0.49252	0	0	0	0.31594	0.02547	0.20315	0
Healthy	4.67955	0	0	0	0.2213	0.60936	0	0	0	0	4.67955	5.16023	0	1.94348	0.54368	0.60936	0	0	0	0
Healthy	4.47133	0.14616	0	0.0109	0.0032	0.01981	0	0.06556	0	0	4.47133	7.83113	0	11.74687	1.91855	0.01981	0.14616	0.04391	0.0924	0.06556
Healthy	4.96469	0	0	0.25644	0.03527	0	0.00715	0.00368	0.09932	0.02165	4.96469	8.98741	5.15639	0	0	0	0	0.00521	0	0.00368
Healthy	26.02253	0	0	0.54071	0.02503	0	0.06233	0.20396	0.0908	0	26.02253	8.82855	9.82654	4.72778	0	0	0	0.52013	0.06614	0.20396
Healthy	15.93214	0.73212	0.003	2.28461	0.08713	0	0	0.3762	0	0	15.93214	17.63019	0.73193	0.10521	0.87446	0	0.73212	0.01037	0.28312	0.3762
Healthy	13.86684	0.38165	0	0	0	0.54243	0	0.06226	0.12217	0	13.86684	4.71969	2.58432	2.58589	1.83608	0.54243	0.38165	0.14019	0	0.06226
Healthy	13.69074	0	0	0.19801	0	0	0	0	0	0	13.69074	3.75877	0.50518	0	0	0	0	0.1008	0.01952	0
Healthy	5.4809	0	0	0	0	0	0	0	0	0	5.4809	4.47824	0	0	7.69718	0	0	0.0164	0	0
Healthy	5.82858	0.3144	0	0.06404	0	0	0	0.00026	0.0709	0	5.82858	2.57906	0.00669	0	0	0	0.3144	0.13021	0.04377	0.00026
Healthy	7.62617	0.14095	0	0	0	0	0	0.09067	0	0	7.62617	8.38082	0.13549	0.08852	5.35516	0	0.14095	0	0.32464	0.09067
Healthy	2.05337	0	0	0.00291	0	0	0	0	0	0	2.05337	4.26482	0	2.07785	0	0	0	0	0.00721	0
Healthy	17.42598	0.71644	0.90454	1.47116	0.08093	0.00715	0	0.29137	0.13647	0.00327	17.42598	4.45408	8.07662	0.02277	4.75004	0.00715	0.71644	0.13401	0.08954	0.29137
Healthy	0.82468	0.68097	0	0	0.35675	0	0	0.01047	0	0	0.82468	4.01289	0.02207	0.57939	7.16262	0	0.68097	1.78574	0.17895	0.01047
Healthy	13.15289	0.35797	0	0.02683	0	0.05897	0	0.05276	0	0	13.15289	38.17465	2.3021	0.04283	0.03189	0.05897	0.35797	0.01682	0.14804	0.05276
Healthy	29.97117	3.68311	0	0	1.933	2.07917	1.12381	0	0.26971	0	29.97117	22.10912	0	32.4931	0	2.07917	3.68311	0	0	0
Healthy	1.15799	0.14868	0	0.21585	0.02708	0	0	0	0	0	1.15799	0.89925	0	0.37289	0	0	0.14868	0.20572	0	0
Healthy	16.08956	0.23323	0	0.04828	0.43867	0	0	0	0.26029	0	16.08956	4.91281	1.87214	3.02639	0	0	0.23323	0	0	0
Healthy	2.66517	0	0	0	0.01705	0	0	0.51129	0	0	2.66517	8.9483	0	0	0	0	0	0.15639	0	0.51129
Healthy	3.20391	0	0	0.00451	0.01215	0	0	0.7355	0	0	3.20391	11.35242	0	0	0	0	0	2.66772	0	0.7355
Healthy	22.52399	0	0.0073	0	0.0136	0	0	0.03641	0	0	22.52399	12.27917	1.19003	2.56626	0	0	0	0.09915	0	0.03641
Healthy	23.50672	0.07736	0	0	0.05412	0	0	0	0	0	23.50672	3.55185	0	0.27637	0	0	0.07736	0.2508	0.55153	0
Healthy	5.27636	0.03571	0	0.5783	0	0	0	0	0	0	5.27636	4.86156	0.23312	0	0	0	0.03571	0.1223	0	0
Healthy	0.74218	0	0	0	0	0	0	0.14686	0	0	0.74218	7.68045	2.71886	2.04324	17.199	0	0	0.18747	1.61864	0.14686
Healthy	4.66382	1.46902	0	0.10271	0.00569	0	0.00448	0.00802	0	0	4.66382	0.47981	5.45435	0.05402	3.52859	0	1.46902	0.05913	0	0.00802
