group	Bacteroidota	Proteobacteria	Desulfobacterota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	41.95701	0.10498	1.61864		41.95701	10.83038	2.86572	0.10498	17.199	0	0	1.61864	
Healthy	1.9337	79.37352	0		1.9337	5.25678	6.93139	79.37352	3.52859	0.13494	0	0	
Healthy	68.21432	0.37601	0		68.21432	18.4072	0	0.37601	0.39632	0	0	0	
Healthy	69.01303	0.19767	0		69.01303	7.64376	0.38768	0.19767	0	0.27498	0	0	
Healthy	63.27551	2.0449	0		63.27551	28.57554	0.75631	2.0449	0	0.29747	0	0	
Healthy	48.7416	0	0		48.7416	3.15258	20.79768	0	0	0	0	0	
Healthy	50.98894	8.99744	0		50.98894	30.75896	0.01296	8.99744	0	0	0	0	
Healthy	28.85223	24.79156	0		28.85223	1.72361	5.48039	24.79156	0	0.3683	0	0	
Healthy	18.80818	0	0		18.80818	56.05054	6.45428	0	0	12.13916	0	0	
Healthy	58.72881	1.47449	0.00203		58.72881	16.26935	1.77278	1.47449	0.64191	0.0557	0	0.00203	
Healthy	38.48591	3.29189	0		38.48591	20.99596	3.33831	3.29189	3.66082	2.66476	0	0	
Healthy	7.42578	0.06974	0		7.42578	43.5593	5.2127	0.06974	0	1.18962	0	0	
Healthy	68.09654	0	0		68.09654	21.61926	0.10638	0	0.06765	0	0	0	
Healthy	43.75014	8.85496	0.04203		43.75014	22.89486	0	8.85496	3.04604	0.00195	0.57278	0.04203	
Healthy	29.64285	0.49793	0.02619		29.64285	19.84158	1.76816	0.49793	1.26041	0.47247	0	0.02619	
Healthy	17.56695	1.89139	0.03232		17.56695	41.40638	0.39077	1.89139	1.83008	0.70186	0.1514	0.03232	
Healthy	67.09431	1.01412	0.40307		67.09431	4.3901	1.30219	1.01412	0.00437	0.34257	0	0.40307	
D001943	50.73419	15.08078	0.14188		50.73419	12.20874	0.21965	15.08078	0	0.73031	0	0.14188	
D001943	70.97203	4.31294	0.03559		70.97203	18.08519	0.259	4.31294	0.05476	1.08425	0	0.03559	
D001943	36.27426	8.79019	0.35369		36.27426	25.16695	0.48007	8.79019	0	0.57938	0	0.35369	
Healthy	31.28267	0.1118	0.80581		31.28267	8.00504	2.44506	0.1118	0.51673	0.85543	0	0.80581	
Healthy	20.36905	0	0		20.36905	36.32618	5.37526	0	25.358	0.81985	0	0	
Healthy	31.96207	0.87177	0.1864		31.96207	40.10315	3.15229	0.87177	0.08939	0.53851	0	0.1864	
Healthy	29.88316	0.21568	0		29.88316	37.86333	0	0.21568	0.09638	2.02063	0.83654	0	
Healthy	56.71029	0.29636	0.11779		56.71029	11.99392	13.99658	0.29636	0	0.23359	0.17766	0.11779	
Healthy	68.24682	5.94144	0		68.24682	10.23874	0.29905	5.94144	0	0.53944	0	0	
Healthy	80.64045	0.16545	0		80.64045	1.74591	0.01614	0.16545	0	0	0	0	
Healthy	67.23166	0.01784	0.09289		67.23166	15.69856	1.7566	0.01784	0.53875	0.02321	0.0264	0.09289	
Healthy	42.56931	1.76516	0.29804		42.56931	18.33249	3.44779	1.76516	5.195	1.26624	0.50179	0.29804	
Healthy	0.05164	86.41751	0		0.05164	0.00094	0.02275	86.41751	0	0.22892	0	0	
Healthy	61.38019	5.29922	0.16147		61.38019	25.54598	0.17798	5.29922	0	0.16088	0	0.16147	
Healthy	13.55565	10.19161	0.60646		13.55565	6.32645	1.49793	10.19161	44.3916	0.13626	0	0.60646	
Healthy	0.01931	4.54672	0		0.01931	0.27516	90.99881	4.54672	0.00841	3.62578	0	0	
Healthy	26.91606	2.15726	0.03459		26.91606	42.90183	0.87359	2.15726	12.5439	0.11076	0.00886	0.03459	
Healthy	30.46926	2.2408	0		30.46926	21.25992	29.96905	2.2408	0	0.40769	0	0	
Healthy	92.92764	0.68757	0		92.92764	2.87818	0.11834	0.68757	1.66666	0	0	0	
Healthy	43.38378	0.11326	0.03182		43.38378	3.35109	0.11605	0.11326	0	0	0	0.03182	
Healthy	56.61767	0.29207	0.01125		56.61767	5.29405	1.00611	0.29207	0	0.25024	0	0.01125	
Healthy	13.19024	2.18888	0		13.19024	6.25322	0.20666	2.18888	0	0.08299	0	0	
Healthy	20.1959	0.47565	0.01352		20.1959	42.38918	3.17337	0.47565	0	0.4464	0	0.01352	
D001943	78.56605	0.38553	0.00336		78.56605	12.26675	0.16082	0.38553	0.77774	0.35906	0	0.00336	
Healthy	22.26482	3.38383	0.11973		22.26482	36.57424	20.14354	3.38383	0.87286	0.35671	1.43462	0.11973	
Healthy	52.15726	0.59902	0.20998		52.15726	23.98365	1.47329	0.59902	1.05654	0.10518	0	0.20998	
Healthy	61.05334	0.11734	0		61.05334	28.72613	0.03064	0.11734	0.01073	0.00441	0	0	
