c	Clostridia	Actinomycetia	Bacilli	Coriobacteriia	Bacteroidia	Gammaproteobacteria	Verrucomicrobiae
Healthy	0.795370377864658	-0.939528807202321	-0.247436853219887	-0.827192811630913	1.84248723314806	-1.20474581741912	-5
Healthy	0.958802703399502	-1.01700554534134	-1.26865302445405	-1.28266241727614	1.89035561818262	-0.940058111938045	-5
Healthy	1.42670494278751	-2.30189945437661	-1.79290445958078	-5	1.79020259096065	-0.407689975744221	-0.180581106626522
Healthy	1.07685007757803	1.08420223045863	-0.521404648588605	0.209077819246674	1.75068639596413	-0.85390298646413	-5
Healthy	1.52648272598072	-0.686491325953927	-0.499091465490491	-1.09033701484598	1.73645698054468	-0.470377181866557	-5
Healthy	0.685083081773877	-5	-1.69336055897574	-1.18197215814074	1.63656221152152	-0.926025180133341	-5
Healthy	0.529733125569346	-5	-5	-5	1.86071421216417	0.421390017067081	-5
Healthy	1.01612538353125	0.533834313810089	-5	-5	1.35594032910961	-5	-5
Healthy	1.76962948341265	-5	1.11050890380876	0.349681515137003	1.28344913507257	-0.0220021900412603	-5
Healthy	1.39733331000103	-5	-1.0268721464003	-0.791236267338363	1.78701036043699	0.71531126204077	-5
Healthy	1.39453643002807	-5	-0.994219100045348	-0.707478115425859	1.78904336346585	0.725062622575211	-5
Healthy	0.547050688176596	-1.74448628718047	-5	-1.62543493927723	1.78698851626489	0.901621219386529	-0.100759673533282
Healthy	1.14563607374448	-0.131661262040936	-0.255128343264855	-5	1.78024643641179	0.493807855234094	0.775691984328376
Healthy	0.772601120532011	-0.264584756281166	-5	-2.03338901331807	1.78464916825017	0.434639151871673	-1.24756739073853
Healthy	1.19668730668016	-5	0.993012752319757	-5	1.59105948454855	0.485428959845251	-5
Healthy	1.84684893146272	-5	-0.23051928278377	0.0849228603025243	1.20512583727329	-0.723814025929329	-5
Healthy	0.56260449277382	-5	-5	-5	1.86313571622313	-5	-5
Healthy	1.40552427687326	-2.31247103878537	-1.02890978686288	-0.87445367632881	1.79995502038762	0.71119625733534	-5
Healthy	0.878078658061945	-0.666371387481309	-0.929112855981459	-5	1.93699953868876	0.270487844301513	-5
Healthy	1.46293334758363	-0.568330728686255	-1.15720360482442	-0.675450052297445	1.79562541141711	-2.44009337496389	-0.158778223973396
D003093	1.56527128788991	0.750208219106464	-0.956598421089119	0.220970587520288	1.46730836117069	-1.23410802356998	-5
Healthy	0.856096619470512	0.178991327667069	-2.10679324694015	-0.8837908741966	1.70525998257671	-0.826318510271541	1.09168137522985
Healthy	0.981531397830807	-5	-5	-5	1.8137514040382	1.05315530296188	0.709290318052555
Healthy	0.818556438818155	0.0327959877382654	-0.216053564833748	-0.11595836882574	1.65819280795176	-0.296313206970355	-0.837256416764585
Healthy	1.58449281066138	-5	-0.27574051917945	-5	1.58462144870961	-0.774716569905557	-5
Healthy	1.39267321586803	-5	-1.71354353025302	-5	1.75917269340802	0.809585300223161	0.224064071833704
Healthy	1.86976856311412	-5	-5	-5	1.41344243740169	-5	-5
Healthy	1.00932084295081	0.576207700571901	-0.831767770486579	-5	1.78339441350103	-0.500051869424349	-0.0564856989189822
Healthy	1.53079794617608	0.593200750796251	-0.482553366080614	-0.153057030617722	1.59828842602444	-0.0644222048359064	-5
Healthy	0.339564720744175	-0.810818602819263	-5	-5	1.83322720348008	-0.110082316563794	-5
D003093	1.53896236401685	1.05340653853528	-0.473505645128807	0.342817314635733	1.56355524137204	-5	0.301029995663981
Healthy	1.55568318976661	-1.0706832732465	-1.21296481797378	-0.784415305818385	1.71027217662072	-0.633091651478627	-3.48148606012211
Healthy	1.38127486445892	-5	-1.34524606674707	-5	1.78661799092698	-1.47521455067878	-5
Healthy	1.64651380543217	0.192461514933312	0.179683897698728	-0.311963024208862	1.4180109463338	0.330275751303548	0.263122184828126
Healthy	1.14116338956612	-0.0753744504618983	-0.36897246014147	-5	1.78004577521362	0.493729835674895	0.765426384839824
Healthy	1.44949814640934	-0.044504670815873	-0.734403976912408	-0.219437881042936	1.77946769879883	0.381573511428956	-5
Healthy	1.7652327007658	-5	0.885516701288187	-5	1.06194266859472	-5	-5
Healthy	1.58329424022553	-0.630209175969224	-1.1786175002527	-2.26760624017703	1.63071744373332	-0.41054190953502	-5
Healthy	0.99279026086462	-0.673951032053259	-0.558037929911472	0.484658518107889	1.87396969779597	-0.966616458826881	-5
Healthy	0.853379368841177	-1.67468962828894	-0.855456925727212	0.176068096065628	1.13305580649568	1.02447088994175	1.63821371704129
Healthy	1.02171922850814	-0.231754198668122	-2.65955588515988	-1.39512622944736	1.85360793726677	0.465747089582431	-1.45967052520913
Healthy	1.73679515299428	-1.0764969330579	0.629334151724093	-0.91750186149422	1.44728752485348	-0.654371453543694	-5
Healthy	1.60981683481143	0.612124499940247	-0.0889703004937882	-0.852138251512761	1.64525598723438	-0.17532757261464	-5
D003093	1.18237099251618	0.178775572045411	-0.127960332026714	-1.29903682184045	1.10640917995293	-0.669748610082091	0.638325492070507
Healthy	1.58392127862756	0.23145684686103	0.868222280049216	-0.563551099308166	1.51982996187314	-0.105351696206483	-0.197267312345918
Healthy	1.00281550518044	0.09191304667608	-0.284255639895637	-1.10980261378997	1.93359989623458	-0.18894807088368	-1.39902710431325
Healthy	1.74514188333472	0.240282099986837	-0.63712186421107	-0.70898654603462	1.53024017922384	-0.319356328457753	-5
Healthy	1.211817363788	-5	0.304886726880107	-0.974571238592759	1.84831094876434	-0.0792351019025129	-1.32275815405335
Healthy	1.23204928215509	-0.924562538414387	-1.51541547071716	-1.38689848303309	1.79890403654049	0.349205624890484	-0.0495231782974773
Healthy	1.54576406064084	-5	0.228043433509841	-5	1.52028251858544	-1.42250820016277	-2.08144546944973
