group	Bacteroidaceae	Rikenellaceae	Enterobacteriaceae	Burkholderiaceae	Marinifilaceae	Acidaminococcaceae	Selenomonadaceae	Desulfovibrionaceae	Pasteurellaceae	Lactobacillaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae
Healthy	27.71683	8.47845	0.61563	0.67731	2.21731	0	1.34287	0.29804	0.01449	0	6.33331	0.61563	0.67731	0.50179	0	0	0.28536	0	0.01449	0
Healthy	0.05164	0	86.41751	0	0	0	0	0	0	0.22892	0.00094	86.41751	0	0	0	0	0	0	0	0.22892
Healthy	34.59584	20.27064	0	5.18226	0.83263	0	0	0.16147	0.11696	0	21.55607	0	5.18226	0	0.09358	0	0.0673	0	0.11696	0
Healthy	0.00012	0.01919	3.966	0	0	0	0	0	0.0088	3.58269	0	3.966	0	0	0.00367	0	0.02798	0.04244	0.0088	3.58269
Healthy	83.77259	1.42524	0.09795	0.58962	0	0	0	0	0	0	1.72277	0.09795	0.58962	0	0	0	0	0	0	0
Healthy	23.28354	15.98344	0	0.11326	0.67172	0	0	0.03182	0	0	1.17854	0	0.11326	0	0	0	0	0	0	0
Healthy	28.01658	15.10948	0	0.26844	0.79281	0	0	0.01125	0	0	4.22058	0	0.26844	0	0.25024	0	0	0	0	0
Healthy	39.59788	5.89204	0.08321	0.51581	0	0	0	0.20998	0	0	12.86174	0.08321	0.51581	0	0	0	0.10518	0	0	0
Healthy	57.95917	0.8965	0	0.11734	0	0	0	0	0	0	26.41081	0	0.11734	0	0.00441	0	0	0	0	0
Healthy	45.98027	16.07393	0.15123	0.23778	0.77438	0	0	0.07482	0	0	5.7435	0.15123	0.23778	0.0539	0.00552	0	0	0	0	0
Healthy	64.4191	6.16719	0	1.5313	0.14977	0	0	0	0	0	1.35877	0	1.5313	0	0.04713	0	0.00711	0	0	0
Healthy	28.08373	5.44351	2.8125	0	0.67975	0	0	0.05661	0	0	26.62906	2.8125	0	0	0.04653	0	0.02471	0	0	0
Healthy	16.79646	0	0	0.04874	0	0	0	0	0	0	46.55662	0	0.04874	0	0	0	2.64033	0	0	0
Healthy	21.19058	20.28008	0	0.46186	0.7634	0	0	0.01742	0.08119	0.52882	25.0635	0	0.46186	0	2.29794	0	0.15335	0.25302	0.08119	0.52882
Healthy	6.09663	0.36649	0	0.04642	0	8.81102	0	0.01529	0	0	56.88681	0	0.04642	3.78245	0	8.81102	1.06366	0	0	0
Healthy	3.61561	0	0	0	0	0	0	0	0	0	12.1476	0	0	0	0	0	0	0	0	0
Healthy	52.81819	10.3322	0	0.11483	1.11619	0.86272	0	0.31288	0	0	2.9794	0	0.11483	0	0.04301	0.86272	0.03085	0	0	0
Healthy	60.23069	9.98651	0	0	0.87961	0.06803	0	1.50048	0	0	4.23484	0	0	0.09708	0	0.06803	0.19977	0	0	0
Healthy	21.04416	1.62392	0	0.0586	0	0	0	0	3.85851	0	13.98492	0	0.0586	0	0.9221	0	0.86835	1.2947	3.85851	0
Healthy	3.37515	5.21067	0	0.09116	0.23793	0	0	0.00355	0.00058	0	22.45504	0	0.09116	0	0.15545	0	0.98615	0	0.00058	0
Healthy	37.40606	6.3769	0.88276	1.77066	0	1.22966	0	0.01117	0.14273	0.00868	25.21853	0.88276	1.77066	1.82276	0.38092	1.22966	0.07916	0.05609	0.14273	0.00868
Healthy	44.30969	4.58862	0	0.1002	0	0	0	0	0.19515	0	29.12875	0	0.1002	0	0	0	0	0	0.19515	0
Healthy	57.65788	0	0	0	0	3.19845	0	0	0.81232	0	20.95243	0	0	0	0.8025	3.19845	1.5817	0	0.81232	0
Healthy	10.76303	4.0178	0.0911	0.16065	0	0	0	0	0	2.24067	38.42361	0.0911	0.16065	3.06148	0.20201	0	0.05851	0	0	2.24067
Healthy	0	0	3.81252	0.00158	0	0	0	0	0.32966	0	35.15934	3.81252	0.00158	0	1.28005	0	0.07394	6.23289	0.32966	0
Healthy	22.0643	0	0.47522	1.67502	0	0	0	0	0.44799	0	22.27209	0.47522	1.67502	0	0.23032	0	0.00254	1.20495	0.44799	0
Healthy	15.46975	21.39859	0.34649	0.01275	0	0.06831	0	0.66408	0	0	0.65685	0.34649	0.01275	0	0.0582	0.06831	0.49025	0	0	0
Healthy	15.45515	2.14488	2.71161	0	0	2.97004	2.56205	0	0	0.39151	6.95679	2.71161	0	0	16.77604	2.97004	1.19138	0	0	0.39151
Healthy	58.28202	0.92332	0.07952	0	0.85088	0	0	0.06978	0	0	10.2726	0.07952	0	0	0.17892	0	0	0.05662	0	0
Healthy	19.05947	8.27981	0.08088	0.0234	0	0	0	0.00756	0	0	6.52439	0.08088	0.0234	0	0	0	0	0	0	0
