group	Agathobacter_rectalis	Butyrivibrio_A_crossotus	Phocaeicola_dorei	Barnesiella_intestinihominis	Methanobrevibacter_A_smithii_A	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Anaerostipes_hadrus	Coprobacter_fastidiosus	Paraprevotella_clara	Barnesiella_intestinihominis	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Coprobacter_fastidiosus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	14.9951	0	1.29687	0.46476	3.21156	2.31724	0.44587	0	0	0	0.46476	0.44587	0.53306	0	0.26968	0	0.01693	0	0	0
Healthy	1.42931	0	2.55305	6.22598	0	0.56925	0.0557	0	0	0	6.22598	0.0557	0.01221	0	0	0	0	0	0	0
Healthy	2.61541	0	0	0	1.04718	0.32537	1.94333	0	0	0	0	1.94333	4.10101	0	0.67153	0	0	0	0	0
Healthy	9.44655	0	0.03908	0	0	1.10531	0.56239	0.05886	0	0.44969	0	0.56239	0.32815	0	0.33065	0.44969	0.03581	0	0.0374	0
Healthy	1.46116	0	25.99	0	0	0.98094	0	0	0	0	0	0	0.17257	0	0.09228	0	0	0	0	0
Healthy	0.21343	0	0.15484	1.7863	0	1.81675	0	0	0	0	1.7863	0	0	0	0	0	0	0	0	0
Healthy	1.40639	0	1.2637	0.89589	0.60936	0.68923	0.0884	0	0	0	0.89589	0.0884	0.08257	0	0	0	0	0	0	0
Healthy	1.11679	0	0.02262	0	0.01981	0.01722	0.04157	0.01853	0.04067	0	0	0.04157	0.24782	4.5713	0.03044	0	0.04922	0.04067	0	0
Healthy	0.16418	0	0	0	0	0	0.91156	0.04834	0	0	0	0.91156	0.00032	0	0	0	2.12399	0	0	0.01522
Healthy	9.55	0	4.78637	0	0	1.78762	1.94611	0.33727	0	0	0	1.94611	0.04304	0	0.55159	0	0.00638	0	0	0.00623
Healthy	1.52905	0	1.89375	3.89693	0	0.94359	1.40044	0.27015	0.13753	0	3.89693	1.40044	0.35495	0	0.67246	0	0.11637	0.13753	0	0.03097
Healthy	3.94545	0	0.43796	9.5509	0.54243	0	0.26674	0.22003	0.03883	0	9.5509	0.26674	1.27903	0	0.08256	0	0	0.03883	0	0
Healthy	6.31094	0	0	1.10706	0	0.49422	0	0	0	0	1.10706	0	0.10729	0	0.04752	0	0	0	0	0
Healthy	1.17275	0	0	0	0	0.48055	0	0	0	0	0	0	0	1.20119	0	0	0	0	0	0
Healthy	0	0	1.2686	0	0	2.65166	0.04396	0.24287	0	0	0	0.04396	0.07178	0	0.2386	0	0.0017	0	0	0.00029
Healthy	2.91926	0	1.06433	1.61717	0	1.43853	0	0	0	0	1.61717	0	0	1.29601	0.03418	0	0	0	0	0
Healthy	0	0	1.82701	2.7737	0	0	0	0	0	8.30382	2.7737	0	0.03836	0.3138	0.06314	8.30382	0	0	0.49281	0
Healthy	6.15479	0	0.38482	2.84294	0.00715	0.0937	3.49856	0.10532	0.22887	0	2.84294	3.49856	0.53078	0	1.07415	0	0.02739	0.22887	0	0.01868
Healthy	0.24847	0	0	0	0	0	0.0105	0	0	0	0	0.0105	0.02584	0	0.00456	0	0	0	0	0.01865
Healthy	5.24714	0	0.17041	0.51114	0.05897	2.76918	0.29161	0.07586	0	0.01433	0.51114	0.29161	0.2837	0	0.14329	0.01433	0.02982	0	0	0
Healthy	0.70755	1.71706	0	0	1.97108	3.52329	2.37613	0.24463	0	0	0	2.37613	4.65973	0	3.79291	0	0.08128	0	0	0
Healthy	0	0	0	0	0	0.4289	0.00425	0	0	0	0	0.00425	0	0	0	0	0.01443	0	0	0.01241
Healthy	7.28422	0	14.0555	0	0	0.78528	0.87265	0.23778	0	0	0	0.87265	0.33867	0	0	0	0.0626	0	0	0
Healthy	0	0	31.1537	0	0	0	0	0	0.21743	0	0	0	0.06136	1.84386	0	0	0	0.21743	0	0.01197
Healthy	0	0	12.0342	0	0	0	0	0	0.24355	0	0	0	0.08017	2.04481	0	0	0	0.24355	0	0.0141
Healthy	16.7736	0	26.0308	1.24513	0	1.76376	0.08798	0.0473	0	0	1.24513	0.08798	0.27957	0	0.17733	0	0.00159	0	0	0
Healthy	1.1377	14.3107	0	1.10334	0	2.19002	0.02841	0	0.0745	0	1.10334	0.02841	0.08851	0	0.07619	0	0	0.0745	0	0
Healthy	0.77652	0	0	3.76568	0	2.62783	0	0	0	0	3.76568	0	0.04586	0	0	0	0	0	0	0
Healthy	0	0	0.01991	6.29834	0	0	0	0	0	0	6.29834	0	0	0	0	0	0	0	0	0.04139
Healthy	3.13531	0	0.7916	0	0	0	0.46926	0.05741	0	0	0	0.46926	0.09467	0	0	0	0.02719	0	0	0
Healthy	0.99371	0	0	0	0	10.1791	0.12008	1.2924	0	0	0	0.12008	0.0048	0	0	0	0	0	0	0.00523
Healthy	14.3866	0	0	0	0	0.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02859
Healthy	1.73722	5.74858	0.19011	1.08835	0	1.7108	0.57718	0	0	0	1.08835	0.57718	0.72437	0	0.9074	0	0	0	0	0
Healthy	0	0	1.23676	0	0	0.56877	0.60249	0.57632	0	0	0	0.60249	0.43377	0	1.48147	0	2.72891	0	0	0
Healthy	2.49676	0	0	0	0	1.37525	0.79118	0.07734	0.42578	0	0	0.79118	0.66445	0	0.68194	0	0	0.42578	0	0
Healthy	0.55787	0	0.71299	0.10558	0.57278	0	0.9126	0.10758	0.16582	1.35077	0.10558	0.9126	0.29839	0	0	1.35077	0.18991	0.16582	0.07441	0
Healthy	0.56277	0.18446	0.33066	0.16735	0.1514	0.22325	0.13232	0	0.02847	0.22733	0.16735	0.13232	0.1194	0	0.08105	0.22733	0	0.02847	0	0
Healthy	0.0614	0	0	2.88154	0	0.03346	0.00178	0	0.081	0	2.88154	0.00178	0.04908	0	0.01672	0	0	0.081	0	0
Healthy	0	0	0	1.9336	0	0	0.15205	0	0.01499	0	1.9336	0.15205	0.32589	0	0.07593	0	0	0.01499	0	0
Healthy	0.00314	0	0.01669	0	0	0	4.4287	0.00906	0	0	0	4.4287	2.57677	0	0	0	0.17703	0	0	0.07613
Healthy	5.39703	0	8.17882	0	0.0264	0.05593	0	0	0	0	0	0	0.23815	0	0.04307	0	0	0	0	0
Healthy	1.25286	0	5.59619	3.19204	0.50179	0	0.31153	0.07293	0	0	3.19204	0.31153	0.38828	0	0.13667	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.91598	3.20357	0	2.48727	0	0.56402	0	0	0.04561	0	2.48727	0	0.1208	0	0.02254	0	0	0.04561	0	0
D050177	1.82485	47.0704	1.45947	4.41251	0	2.34218	0.14214	0.02156	0.01194	0.6697	4.41251	0.14214	0.13239	0.00488	0.19052	0.6697	0	0.01194	0.06618	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D050177	58.377	0	2.47073	0	0	0	1.42362	0	0	0	0	1.42362	0	0	0	0	0	0	0	0
Healthy	0	0	0	1.99692	0	0	0	0	0	0	1.99692	0	0	0	0	0	0	0	0	0.11712
Healthy	0.04479	0	0	3.44508	0	0	0	0	0	0	3.44508	0	0	0	0	0	0	0	0	0
Healthy	3.07213	0	0.00139	12.6988	0	0.33464	0	0.081	0	0	12.6988	0	0.0369	0	0.18785	0	0	0	0	0
Healthy	2.7855	0	15.2831	4.55688	0	0.05611	0.9071	0.02282	0.06628	1.30366	4.55688	0.9071	0.57222	0	0.16507	1.30366	0.48382	0.06628	0.232	0
Healthy	8.97331	0	3.3184	0.04919	0	1.0468	0.22621	0.03739	0	0.28748	0.04919	0.22621	0.1772	0	0.09942	0.28748	0.05161	0	0.01488	0
Healthy	3.48417	0	8.59169	3.20915	0.0539	0.39046	0.02999	0	0.02796	0	3.20915	0.02999	0.03083	0	0	0	0	0.02796	0	0
Healthy	0.796	0	0.7701	4.11412	0	0	0	0.00253	0.00691	2.84329	4.11412	0	0.00565	0	0.06279	2.84329	0	0.00691	0.07679	0.00963
Healthy	12.8683	0	0.48081	0.52356	0	5.56051	0.42331	0.00428	0	1.46324	0.52356	0.42331	0.29976	0.04431	0.27478	1.46324	0.00725	0	0.42718	0
Healthy	0.30974	34.1554	0.39248	0.15386	0	0.06896	0.4936	0	0	0	0.15386	0.4936	0.13302	0	0.1677	0	0	0	0	0
Healthy	5.80391	0.03154	0.03268	5.44263	0	0.21938	0.32437	0.09527	0	0.23978	5.44263	0.32437	0.42806	0.00947	0.51624	0.23978	0.22523	0	0.04301	0
Healthy	3.5014	44.5799	0	0.24568	3.7275	0.30988	0.18274	0	0	0.29316	0.24568	0.18274	0.21301	0	0.2229	0.29316	0	0	0.06859	0
Healthy	12.1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.33691	0	0.223	0.74068	0	0.47387	0	0	0.01168	0.27854	0.74068	0	0	0	0	0.27854	0	0.01168	0.03211	0
Healthy	1.98558	0	0	3.25057	0.09708	0.0707	0	0	0	0.27572	3.25057	0	0	0.03097	0.00989	0.27572	0	0	0.03382	0
Healthy	7.84389	0	9.32547	0	0	0.36791	1.40782	0.33099	0	0	0	1.40782	0.2328	0	0.01748	0	0.26094	0	0	0
Healthy	0.41305	0	0.17452	0.62205	0	1.33429	3.00802	1.69309	0	0.12072	0.62205	3.00802	0.31212	0	0	0.12072	0.02712	0	0.03849	0.02926
Healthy	8.17556	1.95283	15.6819	0	1.62145	0.91499	0.15216	0.30021	0	0	0	0.15216	0.99415	0	0	0	0.44128	0	0	0
Healthy	23.3399	0	0	0	0	0.11463	0.39885	0.15794	0	0	0	0.39885	0.12754	0	0.13158	0	0	0	0	0
Healthy	0.96796	9.83911	0	0.20778	0	0.28389	0	0	0	0	0.20778	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.03475	4.13991	3.06148	0.88619	5.83452	1.84722	0	0	4.13991	5.83452	2.84013	0	2.54844	0	0.57309	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01186
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	2.43898	0	0	0	0	0	0	0
Healthy	0	0	0	2.14547	0	0	0.08323	0	0.11682	0	2.14547	0.08323	0.13568	0	0.01852	0	0.00936	0.11682	0	0
Healthy	2.0672	0	0.19362	0	0	0	0.86242	0	0	0	0	0.86242	0.40834	0	0.79977	0	0	0	0	0
Healthy	0.02483	0	0	0	0	1.08465	0.27006	2.37608	0	0	0	0.27006	0.23099	0	0.17601	0	0.04458	0	0	0
