group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.06374	0.01573	0.03551	0	0	0	0	0	0	0	0	0	6.24256	0.29756	0.17288	0.80032	0	1.03995	0.29286	0.03838
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04775	0	0	10.9103	0	0	0
Healthy	0.56451	0.96456	0.20371	0.06101	0.03231	0.03743	0	0	0	0	6.16383	4.64535	0	0.94063	0.41444	1.34397	0	2.06509	0	0
Healthy	0.01863	0	0	0	0.01274	0	0.01794	0	0	0	0	0	3.32443	0	0	0	0	0	0.0857	0.18101
D003093	2.27575	0.17772	0.69985	0.26322	1.50967	0.37841	0	0	0.01173	0.00326	0.78199	6.76964	0	0.93371	10.935	1.26002	0	0.81072	0.01222	0.04823
Healthy	0.02058	0.14689	0.12538	0	0.02413	0.00764	0	0	0	0.00061	8.99271	0.02478	0	0	10.3731	1.94877	0	1.39468	1.28454	0.00071
Healthy	0	0	0	0	0	0	0	0	0	0	2.66982	20.014	0	0	0.00489	1.6358	0	0	0.00459	0.09636
Healthy	0	0	0	0	0	0	0	0	0	0	15.5338	0	0	0	0	0	0.1002	0	0	1.59455
Healthy	0.92226	0.60527	0.64062	0.45839	0	0.11062	0	0	0	0	0	1.13725	0	0	0	0.05927	0	1.03345	0	0
Healthy	0.31703	0.47844	0.06819	0.06578	0	0	0	0	0	0	2.88022	0	0	0	0	0.13212	0	0	0.04035	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05958	0	0	0.08025	0.43714
