group	Prevotella	Alistipes	Phytobacter	Odoribacter	Paraprevotella	Alistipes_A	Parasutterella	Bilophila	Ruminococcus_C	Faecalimonas	Prevotella	Mediterraneibacter	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Haemophilus_D	Flavonifractor	Parasutterella	Clostridium_Q	Muricomes
Healthy	0.0022	5.49021	0.14333	0.59341	0.48709	0.26567	0.13187	0.03635	0	0	0.0022	0.05105	0.56239	2.16701	0.32815	0.03449	0.00299	0.13187	0	0
Healthy	0	11.47761	0	0	0	0.1613	0.12857	0	0	0	0	0.08193	0	0	0.17257	0	1.74357	0.12857	0	0
Healthy	0	22.15493	0	0.77418	0	0.05469	0.0276	0.18939	0.33756	0	0	0.20381	0	0	0	0.01729	0.02547	0.0276	0	0
Healthy	0	5.79551	12.8542	2.25825	0	0	0.00574	0	0	0	0	0.14231	0.0884	0	0.08257	0	0	0.00574	0	0
Healthy	0.15669	20.6628	0.00825	2.31492	0	0	0	0	0	0	0.15669	0.20969	0.04157	0	0.26395	0	0.03175	0	0.0004	0.00145
Healthy	8.48422	6.05686	0.00409	0	0	0	0	0	0	0.221	8.48422	0.01807	0.91156	0	0.00032	2.02288	0.00521	0	0.29612	0.10584
Healthy	0	5.4983	0.02165	0	0	0	0.00678	0.06353	0	0.0264	0	1.62393	1.94611	0	0.12913	0.19393	0.13195	0.00678	0.07417	0.00719
Healthy	0	4.3396	0	0.58748	0	0.08978	0.00396	0.12245	0	0	0	0.35965	1.40044	2.25084	0.35495	0	0.01037	0.00396	0.01212	0
Healthy	0	17.09281	0	1.88591	0	0.05238	0	0	0	0	0	0.17201	0.26674	0	1.27903	0	0.14019	0	0	0
Healthy	0	6.97937	0	0	0	0	1.07698	0.01952	0.25997	0	0	0.39585	0	0	0.10729	2.77557	0.04626	1.07698	0	0
Healthy	0	11.65477	0	0	0	0.18968	0.10417	0	0	0	0	0.1563	0	0	0	0.12423	0.0164	0.10417	0	0
