group	Prevotella	Alistipes	Phytobacter	Odoribacter	Paraprevotella	Alistipes_A	Parasutterella	Bilophila	Ruminococcus_C	Faecalimonas	Prevotella	Mediterraneibacter	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Haemophilus_D	Flavonifractor	Parasutterella	Clostridium_Q	Muricomes
Healthy	0	2.57988	0	0	0	0	0.09064	0	0	0	0	1.14015	2.88	0	1.91896	0.24418	0	0.09064	0	0
Healthy	18.48076	0	1.61551	0	0	0	0	0	0	0	18.48076	0.39661	0	0.2671	0.30948	0.02325	0.02563	0	0	0
Healthy	0	0.13037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.18976	0.22137	0	0.20964	0.3783	0.06388	0.00112	0	0.00554	0.06922	2.18976	0.46834	0.24326	6.37101	0.20038	0.00837	0.01126	0.00112	0	0.04932
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.82847	0	0	0	0	0	0	0
Healthy	0	3.58494	21.1738	0.84045	0	0.02139	0	0	0.04345	0.12949	0	0.06742	1.76766	1.95551	0.42914	0.327	0	0	0.07787	0.03075
Healthy	0	19.40027	0	0	4.23972	0.03901	0.02085	0.0803	0.10465	0	0	0.10238	0	0	0.06754	0.05671	0.00193	0.02085	0	0.04195
Healthy	40.404	3.26802	0	0	0	0	0	0	0	0	40.404	0.46977	0.13645	0	0.03653	0	0	0	0	0
Healthy	28.4711	0	0	0	0	0	0	0	0	0	28.4711	0.69384	0.37718	12.2577	0.6589	0	0	0	0	0
Healthy	0	6.95953	0	0	0	0	0	0.08643	0.02762	0	0	1.29326	0	0	0.00313	0	0.04398	0	0	0.01483
Healthy	0	11.95818	0.00997	1.02194	0	0.62655	0.04608	0.04748	0.00173	0	0	2.24863	0.62547	0	0.29276	0.00992	0.12479	0.04608	0	0
Healthy	0	12.6637	0	1.41123	0	0.17595	0.13159	0.24935	0	0	0	3.56064	0	0	0.13697	0	1.23637	0.13159	1.87203	0.14332
Healthy	31.3315	11.81819	0	2.34435	0.11401	1.90315	0	1.37307	0	0	31.3315	0.4213	0	0	0.02975	0	0.07123	0	0	0
Healthy	0	1.53697	0	0	0	0	0	0	0	0	0	1.11704	0.28197	0	0.19966	0	0	0	0	0
Healthy	41.0849	2.08745	0.16773	0.86413	0.59351	0.04988	0	0.01509	0	0	41.0849	0.02892	0.05091	0	0.29686	0	0.0506	0	0	0
D014607	0.29723	26.27593	3.73484	0	0	0	0.31647	0.05184	0	0	0.29723	0.00418	0	0	0.01042	0	0.00314	0.31647	0	0.01603
Healthy	0	11.34938	0.0298	1.65204	0	0	1.46997	0.02902	0.02058	0.05175	0	0.13539	0	0	0.28347	0	0.01532	1.46997	0.14479	2.9468
Healthy	0.03005	20.03325	0.82726	0.81755	0	0.27402	0.01762	0	0.15008	0	0.03005	0.0818	0.00334	0	0.06124	0	0.14973	0.01762	0.01623	0.02762
Healthy	30.3591	5.34113	0	0.69392	0	0.19547	0	0	0.08287	0	30.3591	0.13623	0.74319	0	0.24101	0	0.04638	0	0.00399	0
Healthy	0	6.191	0	0	0	0	0	0	0	0	0	0.16195	0.08665	0	0.46406	0	0.25015	0	0	0
D014607	55.166	12.29236	0.40174	1.42159	0	0	0.00054	0.04537	0.04581	0	55.166	0.04591	0	0	0.06164	0	0.06006	0.00054	0	0
Healthy	0	0.76079	27.6154	1.17606	0	0	0	0	0	0	0	4.10375	0.44579	0	1.25771	0	0.03909	0	0.23468	0.03436
Healthy	0	0	0	0	0	0	0	0	0	0	0	4.46274	0	0	0	0	0	0	0	0
Healthy	46.3665	0	0	0	0	0	0	0	0.02958	0	46.3665	0.87445	0.09464	4.47682	0.09158	0.19138	0	0	0	0
Healthy	0	2.49824	1.05364	0	0	0	0.01313	0.03498	0	0	0	0.00744	0.02161	0	0.03307	0	0.19023	0.01313	0	0
D014607	0.02664	0.11414	0.99661	0	0	0.08993	0.19682	0.03564	0	0	0.02664	0.01292	0	0	0.01146	0	0.14315	0.19682	0.02188	0.04915
Healthy	0	17.26127	0.07806	1.10169	0	0	0.00733	0.00309	0	0	0	0.35645	0.01455	0	0.05341	0	0.1279	0.00733	0.03027	0
Healthy	0	0.01626	0	0	0.15258	0	0	0	0	0	0	0.71208	0.33302	1.78144	0.15615	5.80003	0	0	0	0
Healthy	0	12.78465	13.9963	1.44862	0	0.20297	0.21463	0.11102	0	0	0	1.70543	1.60361	0	2.04511	0	0.19124	0.21463	0.01017	0.01375
Healthy	0.00223	0.24394	1.97488	0	0	0	0	0	0	0	0.00223	0.00599	0	0	0.00913	0.00401	0.00542	0	0	0
Healthy	0	1.94525	0	1.07614	0	0.04134	0.07483	0	0	0	0	0.69406	0	0	0.03654	0	0.0183	0.07483	0	0
Healthy	0.00621	2.18052	0	0.30584	0.27957	0.0062	0.01987	0.00557	0.01405	0	0.00621	0.08788	1.94593	0	0.68368	0	0.05054	0.01987	0	0
Healthy	0	4.13399	1.47459	0	0	0	0	0	0.0465	0	0	0.80214	1.15529	0	0.28728	0	0	0	0	0
Healthy	23.7721	21.13877	0.3254	1.26808	3.95542	0.29185	0	0	0	0	23.7721	0.07541	0	0	0.02197	0.00658	0.02678	0	0	0.00611
Healthy	0	0	2.57217	0	0	0	0.08939	0.02326	0	0.05814	0	1.80805	0	0	0.05064	0	0.39162	0.08939	1.43774	0
Healthy	0	5.8013	10.0015	1.2144	0	0	0	0.0209	0	0	0	0.08671	0	0	0	0	0	0	0	0
Healthy	0	14.20808	1.38799	1.57853	1.00546	0.00615	0.07751	0	0	0	0	0.14802	0	0	0.06075	0	0.22443	0.07751	0	0.00576
Healthy	54.4471	0.00314	0.25207	0	0	0	0.46264	0	0	0.24071	54.4471	0.008	0.72378	0	0.00176	0.02839	0.01173	0.46264	0	0.00388
Healthy	2.08316	4.07432	0.07561	0.54128	0.23689	0.01927	0.28927	0.03916	0.09673	0.00716	2.08316	1.98861	1.68092	1.24294	1.49571	0.02547	0.03199	0.28927	0	0
Healthy	0	12.69803	0	1.45883	0	0.19521	0.17873	0.19456	0	0	0	3.61301	0	0	0.1691	0	1.33813	0.17873	1.96452	0.10921
Healthy	0.00388	3.70868	0.83901	0.18811	0.08201	0	0.00584	0.07902	0	0	0.00388	0.07279	0.35005	0	4.06449	0	0.04689	0.00584	0.00027	0.00607
Healthy	0	20.59133	7.15652	2.7162	0	0.29894	0.04607	0.03443	0	0	0	1.97932	0	0	0	0	0.01885	0.04607	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.4959	2.3264	0	0.28783	0.6495	0	0	0	0
Healthy	0	29.14242	0.19677	1.39919	8.81429	0.25192	0.02032	0.02988	0	0	0	0.1972	0	0	0.0212	0.20559	0	0.02032	0	0
Healthy	5.52605	0.26194	0	1.50231	0.34078	0.169	0	0	3.96614	0	5.52605	0.58194	3.86381	0	1.39602	0.06508	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0.11669	0	0	0.1967	0.04561	0	0.0775	2.07129	0.00805	0	0	0
Healthy	0	2.8125	17.4171	0	0	0	0.05176	0.01556	0	0.19834	0	0.10655	0.06702	0	0.11398	0.07844	0.10806	0.05176	0.39146	0.19334
Healthy	0.08639	3.02455	0	0.37352	0	0.06451	0.03037	0	0.3211	0	0.08639	0.10933	0.26759	0	0.12526	0.25436	0.0828	0.03037	0	0
Healthy	0	10.06927	0	0	0	0	0	0	0.20483	0	0	0.23218	0	3.40753	0.15352	2.15515	0.02601	0	0	0
Healthy	0	36.24456	0	0	0	0.10961	0	0	0	0	0	0	0	0	0	0	0.14638	0	0	0
Healthy	0	8.5211	0.10395	0	1.38145	0.05289	0.00273	0.31051	0.29743	0	0	1.85877	0.71797	0	0.49286	0	0.11547	0.00273	0.02086	0
Healthy	0.00872	0.38125	0.16068	0	0	0	0	0	0	0.1148	0.00872	0.52887	1.4544	0	0.44237	0.10564	0.01553	0	0	0
Healthy	0	0.52878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.82268	7.54518	2.14707	0	0	0.79378	0	0	1.87596	0	2.82268	0.33659	0.25848	0.02442	0.49198	0	0	0	0	0
Healthy	0	2.10495	0.01098	0.7249	0	0.16045	0	0.02569	0	0	0	1.08396	0.39933	0	0.06699	0	0.06609	0	0.03153	0.01363
Healthy	0	5.55411	11.5426	1.33308	0	0	0	0.01842	0	0	0	0.05519	0	0	0	0	0	0	0	0
Healthy	0	0.29358	1.50484	0	0	0.00207	0	0	0.35551	0	0	1.58999	2.93196	0.17896	1.5185	0	0.01068	0	0	0
D014607	0.1285	20.90403	0.38268	0.54848	0	0.12911	0.00462	0.12132	0.02006	0	0.1285	0	0.0282	0	0.01354	0.0822	0.45439	0.00462	0	0.00391
Healthy	57.8041	4.82446	0.01154	0	0	0	0.85468	0.00133	0	0	57.8041	0.00693	0.03383	0	0.06372	0.05004	0.02299	0.85468	0.00496	0.01354
Healthy	0	1.44357	1.55868	0.47168	0	0.07919	0	0.00046	0	1.26067	0	0.02758	2.93058	0	4.26326	0.00344	0.00678	0	0	0.0285
Healthy	0	4.64889	8.78375	0	0	0.26137	0	0	0.01277	0	0	0.44901	0	0	0.13799	0	0.02296	0	0	0
Healthy	0	14.67047	0	0	0	0	0	0	0.37054	0	0	0.22368	0	0.87851	0.00433	2.05426	0.05187	0	0	0
Healthy	0	5.79055	0	0	0	0	0.00153	0.00347	0	0	0	0.31386	0.25588	0	0.16508	0	0.04338	0.00153	0	0
Healthy	0	16.00642	0.07433	0.76497	0	0.02891	0.24467	0.03679	0	0	0	0	0.04583	0	0.02082	0	0.02368	0.24467	0	0
Healthy	1.02813	3.85485	0.35776	2.6643	0.03611	0.15184	0.00639	0.13107	0.07895	0	1.02813	0.25909	1.30915	1.20049	0.48967	0.00866	0.10273	0.00639	0.08479	0.02671
Healthy	0	32.59874	0	0	0.19194	0	0	0.02763	0.01777	0	0	0.12363	0	0	0	0	0.14672	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.10748	0	1.17792	0	0	0.04649	0	0	0	0	0.357	0	0	0.00827	0	0.0334	0.04649	0	0
Healthy	0	23.58693	0	0	0	0.09225	0.37994	0	0	0	0	0.21507	0.02923	0	0.10914	0	0.21404	0.37994	0	0
D014607	0.1886	2.97081	0.5902	0	0	0	0.00543	0.06407	0	0	0.1886	0.00391	0	0	0.00284	0	0.02136	0.00543	0.0009	0.01255
Healthy	0	1.86586	0	0	0	0	0	0	0	0	0	2.59632	0.17201	1.80022	0.60862	0	0	0	0	0
Healthy	0	6.20713	0	0	0	0	0	0	0	0	0	1.95931	0.24406	0	0.13568	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.4651	0	0	0	0	0.02934	0	0	0	0	0.16983	0.76896	0	0.27633	0.12575	0	0.02934	0	0
Healthy	33.0676	0.88711	0	2.99733	0.52597	0	0.24758	0	0.81122	0	33.0676	0.01124	0.27384	2.6772	1.72027	0.18209	0	0.24758	0.00215	0
Healthy	39.3845	0.86116	0	4.54165	0.46741	0	0.00298	0	0.00415	0	39.3845	0.07512	0.41152	1.94449	0.54225	0.00906	0.01101	0.00298	0	0
Healthy	0	18.03468	0.59558	2.67947	0	0	0.00168	0	0	0	0	0.03656	0	0	0.02195	0.13059	0.05915	0.00168	0	0
Healthy	0	0.00297	82.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.50608	21.03997	0	1.25989	0.36755	0.06258	0.02879	0.04627	0.14605	0	1.50608	0.00615	0.90098	0	0.44781	0	0.02041	0.02879	0	0
Healthy	0	32.41166	0	0.85375	0	0.25622	0.17164	0	0	0	0	0.01991	0.01964	0	0.07722	0	0.1616	0.17164	0	0
Healthy	6.27456	21.31896	0	2.54403	0.00088	0.28491	0.00191	0.00175	0.203	0	6.27456	1.30989	0.4217	0	0.34081	0	0.01354	0.00191	0	0.11528
Healthy	0	1.16873	0.27603	0	0	0.47572	0	0	0.02572	3.25262	0	0.00428	0.73469	0.41895	1.59342	0	0.06114	0	0.01109	0
Healthy	0	0.96099	0.18035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01764	0	0	0
Healthy	0	2.30485	0	1.01658	0	0	0.0697	0	0	0	0	0.40473	0	0	0.05675	0	0.07818	0.0697	0	0
Healthy	0.54418	11.03636	29.6986	3.18715	0	1.4944	0.00369	0.077	1.44574	0	0.54418	0.09399	0.05383	0	0.30146	0.00462	0.10177	0.00369	0	0.00939
Healthy	0	2.20195	0	0	0	0.05983	0.04775	0	0	0	0	0.13409	1.02095	0	0.32931	0	0	0.04775	0	0
Healthy	0	24.58871	0	0	0	0.06593	0.39875	0	0	0	0	0.08407	0.00319	0	0.10959	0	0.19912	0.39875	0	0
Healthy	0.66842	0	0	0	0	0	0	0	0	0	0.66842	0	0	1.16794	0.01815	0	0	0	0	0
Healthy	0.12489	4.4316	0.1208	0.93381	0	0.08479	0.03328	0.00465	0	0	0.12489	0.77537	0.17447	0	1.20335	0	0.01627	0.03328	0.03106	0.0133
Healthy	0	14.61463	0	1.78261	0	0.06452	0.00659	0.05587	0	0	0	0.13792	0.45656	0	0.47525	0	1.05033	0.00659	0	0
Healthy	0	4.03882	0	0.89657	0.38543	0.00132	0	0.022	0.02274	0	0	0.02853	0.53258	0	0.11634	2.11057	0.01202	0	0	0
Healthy	0	19.6434	0.03912	0	0	0.16475	0.05964	0.11569	0	0	0	0.09256	0	0	0	0	0.01674	0.05964	0	0
Healthy	0	0.42681	0	0	0	0	0	0	0	0	0	0.13333	0.40036	0	0.68583	0	0.00468	0	0	0
Healthy	0.04204	19.51333	0.60083	0.7521	0	0.30047	0.03376	0	0.16315	0	0.04204	0.11216	0.00493	0	0.07045	0	0.18639	0.03376	0.00394	0.02591
Healthy	0	2.28745	0.05911	0.51401	0	0.0972	0.00046	0.0675	0	0	0	0.89822	0.59663	0	0.83058	0.01433	0.00588	0.00046	0	0
Healthy	0	2.83155	0	0	0	0	0	0	0	0	0	2.25115	0	0	0	0	0	0	0	0
Healthy	0	1.9863	0	0	0	0.02791	0.00462	0	0	0	0	0.17519	1.53138	0	0.67306	1.36942	0	0.00462	0	0
Healthy	0	1.47762	0	0	0	0	0	0	0	0	0	1.16881	0.74629	0	0.33636	0	0	0	0	0
Healthy	0	11.16785	0.3829	2.73053	0.2139	0.20083	0	0.01959	0.04635	0.01472	0	0.50472	1.13545	0	0.28098	0.0016	0.03064	0	0	0
Healthy	0	1.24047	10.3109	0	0	0	0.00484	0.07799	0	0	0	0.70175	0	0	0.13446	0	0.05186	0.00484	0.02869	0.04311
Healthy	0.0069	0	0	0	0	0	0	0	0	0	0.0069	0.07644	0	0	0	16.0784	0	0	0.02188	0
Healthy	0	4.82624	0	0	0	0.14529	0.25018	0.12106	0	0	0	0.27426	0.07294	0	0.06696	0	0.14424	0.25018	0	0.01497
Healthy	0	1.09531	0.04227	1.59715	0	0	0.00356	0.09698	0	0	0	0.99566	0.24197	0	0.25205	0.09435	0.04706	0.00356	0.02721	0
Healthy	0.77067	10.70099	0	0	0	0	0.32458	0	0	0	0.77067	1.64074	0.06657	0	0.30952	0.35545	0.04392	0.32458	0	0
Healthy	0	3.79242	0.02218	1.09769	0	0.07563	0	0	0.04649	0	0	2.80629	0.59028	0	0.09931	0.01779	0.10154	0	0.08632	0.01313
Healthy	0	0.23313	0.00841	0	0	0	0	0	0.02536	0	0	0.51236	0.9138	0	0.19322	0.17251	0.06999	0	0	0.00141
D014607	86.52987	0.44332	0.41032	0.16194	0.00552	0.05959	0.01268	0.00217	0.10884	0	86.52987	0.33806	0	0.0501	0.09853	0.07051	0	0.01268	0	0
Healthy	0	13.76204	0.15005	2.28215	1.7434	0.01767	0	0	0	0	0	0.20913	0.02629	0	0.10418	0	0.15149	0	0	0
Healthy	0	35.41196	0.06755	2.39902	0.28679	0.03028	0	0.05384	0	0	0	0.35298	0.00602	0	0.00382	0.01366	0.00522	0	0	0
Healthy	0	5.36635	0.3216	0.89659	0	0.06903	0.16782	0.15744	0	0	0	0.51859	1.1731	0	0.97441	0.0387	0	0.16782	0	0
Healthy	14.64489	0.37152	0.0382	0	0.00111	0	0	0	0.00709	0	14.64489	0.32009	0.23652	0.64882	0.2759	0	0.24455	0	0	0
Healthy	43.86781	8.65223	0	0	0.23807	1.22787	0	1.7125	0	0	43.86781	0.77779	0	0.04011	0.0085	0	0.10438	0	0	0
Healthy	0	24.0826	0	0.79849	0	0.07808	0.39004	0	0	0	0	0.0214	0.00892	0	0.11151	0	0.17753	0.39004	0	0
Healthy	0	0.1386	0.01536	0	0	0.05988	0	0	0	0	0	0.01046	0.04724	0	0.05377	0.08167	0.56014	0	0	0
Healthy	0	3.56761	0	1.4045	0	0	0	0	0	0	0	0.63328	0.56439	0	0.15225	0	0.37712	0	0	0
Healthy	0	0	99.3324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.5736	0	0	0	0.21699	0.02982	0	0	0	0	0.09328	0.62249	0	0.33974	0.55071	0	0.02982	0	0
Healthy	0	5.43239	0	0	0	0	0.00834	0	0	0	0	0.04052	0.44309	0	0.1243	0.7624	0	0.00834	0	0
Healthy	0	7.15074	0	0	0	0.01139	0	0.05515	0.01932	0	0	0.84718	0	0	0.02191	0	0.04189	0	0	0.02454
Healthy	20.864	0	0	0	0	0	0	0	0.0694	0	20.864	0	0.17476	6.80856	0.46432	0	0	0	0	0
Healthy	0	16.31088	0	1.16951	0	0.00493	0.00864	0	0	0	0	0.63049	0.00656	0	0	0	0	0.00864	0	0
Healthy	0.01335	2.57061	0.21538	0	0	0.08286	0	0.05901	0	0	0.01335	0.56718	0.14135	0	0.02035	0.59476	0.01384	0	0.00177	0.0416
Healthy	0	10.53853	0	0	0	0.15814	0.20796	0	0	0	0	0.06859	0.00915	0	0.19292	0	0.03674	0.20796	0	0
Healthy	0	29.53431	0.31683	0	8.5608	0.23285	0	0.0076	0	0	0	0.22266	0	0	0.04063	0.21065	0	0	0	0
Healthy	9.7624	0.06006	0.04164	0	0	0	0	0	0	0	9.7624	0.04918	1.32947	0	0.53018	0	0	0	0	0
Healthy	0	10.57839	0.09185	1.38938	0	0	0.54442	0.01281	0	0	0	0.3707	0.19752	0	0.26472	0	0.09241	0.54442	0	0
Healthy	0	17.50738	0.11803	1.18799	0	0	0.00294	0	0	0	0	0.06345	0.01022	0	0.02537	0	0.13616	0.00294	0.044	0
Healthy	0.00776	0	0.18718	0	0	0	0	0	0	0	0.00776	1.54401	0.53066	0	0.13997	0.00356	0.03065	0	0.49828	0.36546
Healthy	0.00792	3.5885	0.34718	1.17565	0	0	0	0.00266	0	0	0.00792	0.19777	0	0	0.55792	0	0.23364	0	0	0.01391
Healthy	0.18012	8.06031	0.10696	0.57636	0	0	0.00571	0	1.08134	0.00171	0.18012	0.07549	0.19	0	0.00665	0.0498	0.06988	0.00571	0.04279	0.19168
Healthy	0	9.32239	0	0.59925	0	0.03181	0.05599	0.03945	0	0	0	0.37682	0	0	0	0	0.03832	0.05599	0	0
Healthy	0	1.37844	1.28904	0.47351	0	0.07129	0	0.00529	0	1.2241	0	0.03333	2.6826	0	4.14793	0.00227	0.00767	0	0	0.0253
Healthy	0	1.77441	0	0	0	0	0.10204	0.00744	0.08341	0	0	0.83928	0.57946	0	1.4966	0	0.03709	0.10204	0	0
Healthy	0	0	2.24455	0	0	0	0	0	0	0.11619	0	0.17083	0	0	0	0	0	0	0	0
Healthy	48.6791	3.4081	0.67371	0.72992	0.14081	0.02615	0.0192	0.01192	0.16855	0	48.6791	1.7004	0.17298	0	0.28598	0.5081	0.00132	0.0192	0	0
Healthy	0	1.23993	0.5889	0	0	0	0.02924	0	0	0.66937	0	1.54343	1.02358	0	0.37771	0.12577	0.11723	0.02924	0.00097	0.01134
Healthy	0.43496	0.22066	2.6253	0	0	0.00349	0	0.01577	0	0.9423	0.43496	3.78795	0.20517	0	0.97672	0.50367	0.21013	0	0	0.00278
Healthy	0	4.32229	0.09115	1.12261	0.1922	0.15462	0.00675	0.00674	0.36138	0	0	0.17671	0.42083	0	0.46262	0.03762	0.19692	0.00675	0	0.00318
Healthy	0	3.06473	0	0	0	0	0.16469	0.01062	0	0	0	0.00769	4.37762	0	0.07025	0.05275	0.03942	0.16469	0	0.04544
Healthy	0	35.67794	0.04884	2.24733	0.30867	0.05464	0.00461	0.05279	0	0	0	0.37236	0.02566	0	0.01291	0	0.00496	0.00461	0	0
Healthy	0	1.69841	0	0	0	0	0.0605	0	0	0	0	0.03823	0.76671	0	0.35148	1.31321	0	0.0605	0	0
Healthy	0.06913	0.35429	0.25577	0	0	0	0.03184	0.00132	0.09947	0	0.06913	0.02765	0.15589	1.38538	0.64181	0.27691	0.01032	0.03184	0	0
Healthy	0	7.8579	0	0	0	0.09809	0	0	0	0	0	0.02127	0.28761	0	1.38123	0	0.22529	0	0	0
Healthy	0	14.5682	0	0	0	0	0	0	0.35057	0	0	0.03414	0	0.88013	0.01507	2.24622	0.04982	0	0	0
Healthy	0.00199	0	0.01899	0	0	0	0	0	0	0	0.00199	0.01797	5.481	0	0.00557	0.19978	0.01753	0	0.4234	0.0363
Healthy	0	0	1.06199	0	0.34757	0	0	0	0.19562	0	0	0.08174	0.12931	0	0.17359	0.04173	0.07815	0	0.0086	0.01387
Healthy	0	0	0.05212	0.05783	0	0	0	0	0	0	0	0	0	0	0	0.54947	0	0	0	0
Healthy	0	2.06338	0	0	0	0	0.04528	0	0	0	0	0.03302	0.64657	0	0.05044	1.44863	0	0.04528	0	0
Healthy	0	4.51584	0	0	0	0	0	0	0	0	0	2.41926	0.25772	0	0.29411	0	0	0	0	0
Healthy	0	9.23568	0.04844	0	0	0	0.07849	0.02636	0.00732	0	0	1.44291	2.89932	3.54093	2.15447	0	0.00947	0.07849	0	0.00435
Healthy	18.11325	1.81886	0	0.92764	0.31769	0	0	0	0	0	18.11325	0.49757	0.17384	3.84709	0.23219	0.00484	0	0	0	0
Healthy	0	0.8049	1.09555	0.48243	0	0.45022	0.0093	0	0	0	0	1.36041	0.04751	1.79344	0.19874	0.01242	0.02251	0.0093	0	0.00748
Healthy	11.1162	2.18861	0.00817	3.04967	0.73064	0.08567	0.05891	0	0	0	11.1162	2.00334	0.47426	0	0.44402	0.00722	0.01382	0.05891	0	0
Healthy	31.79219	0.21427	0.42213	0	0	0	0	0	0.22555	0	31.79219	0.15393	0.17623	12.4621	0.12214	0.64482	0.00173	0	0	0
D014607	64.53167	10.90962	0.21321	1.29157	0	0.99936	0.01929	0	0	0.02066	64.53167	0	0.00117	0	0.00649	0	0.01705	0.01929	0	0.24282
Healthy	2.06912	0.68295	0	0.22406	0.16444	0	0	0	0	0	2.06912	0.47254	2.20815	0	1.26088	0	0	0	0	0
Healthy	0	0	0.61823	0	0	0	0	0	0	0	0	15.9755	0	0	0	0	1.79372	0	12.5663	0
Healthy	0.04418	0.43508	0.01636	0	0	0.01269	0.00015	0.00373	0.03685	0	0.04418	0.29638	0.03618	0	0.01789	0.01104	0.00064	0.00015	0	0
Healthy	51.6685	9.27913	0.15734	0.93324	0	0.11803	0.15155	0.03054	0.06971	0	51.6685	0.59615	0	0	0.01863	0.06532	0.00058	0.15155	0	0
Healthy	0	1.61042	0.06106	0	0	0	0.50884	0	0	0	0	0	0	0	0	0	0.05427	0.50884	0.36506	0.07883
Healthy	9.36706	0.60937	0	0	0.46241	0	0	0	0	0	9.36706	3.21832	2.18993	0	0.22019	0	0	0	0	0
Healthy	0.25656	8.55039	7.64961	2.09009	0.51974	0.03859	0	0	0.01142	0	0.25656	0.03178	0.69632	0	0.97605	0.09002	0.06652	0	0.19806	0.00775
Healthy	0	0	87.6699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	6.33941	0.87742	0	0	0.04634	0	0.00889	0.02531	0.33094	0	0.09429	0.13782	1.23038	1.00742	0.14111	0.03921	0	0	0.06087
Healthy	0	2.77726	0	0	0	0	0.01528	0	0	0	0	0.32888	0.21508	0	0.41669	0	0	0.01528	0	0
Healthy	0	7.43394	0.08761	1.03624	0	0.21338	0.00829	0.0616	0.86633	0.14599	0	0.11915	1.77736	0	0.72555	0.07677	0.01542	0.00829	0.00017	0
Healthy	0	1.06491	0	0	0	0	0	0	0	0	0	0.04221	0	0	0.04195	0	0.00906	0	0.20356	0.01741
Healthy	0	29.0909	0.36426	1.4674	7.35823	0.25254	0.00901	0.04112	0	0	0	0.23593	0	0	0.06422	0.23996	0	0.00901	0	0
Healthy	0	15.42641	0.14705	0.71018	0	0.02569	0.24334	0.05915	0	0	0	0.26291	0.03456	0	0.01548	0	0	0.24334	0	0
Healthy	0	6.69569	0.18304	0.69215	0	0.17786	0.06115	0.00573	0	0.04332	0	0.01434	2.40709	0	0.6523	0	0.02311	0.06115	0	0.00295
Healthy	9.96416	0.62418	0	0	0.02616	0	0	0	0	0	9.96416	3.38375	0.1202	0	0.03057	0	0.30461	0	0	0
Healthy	10.11089	6.94673	0	0	0.26652	0.0229	0	0.02023	0	0	10.11089	0.44989	0.07438	2.52302	0.15394	0	0.87914	0	0.0094	0.0068
Healthy	0	15.89535	0.13388	1.23081	0	0.04588	0.11188	0.06767	0.04806	0	0	0.02225	0.07832	0	0.03842	0	0.07362	0.11188	0	0
D014607	0.11636	34.32867	12.9954	1.47732	0.14192	0	0	0.01221	0	0.01554	0.11636	0.04425	0	0	0	0	0.09801	0	0.00637	0.20093
Healthy	0	15.80932	0.09389	0.77326	0	0.03195	0.26229	0.06141	0	0	0	0.04774	0.05727	0	0.00704	0	0.01522	0.26229	0	0
Healthy	19.3017	0.91171	0	0	0	0	0	0	0.82065	0	19.3017	2.84322	0.46322	3.95932	0.84157	0	0	0	0	0
Healthy	0	0.22771	0.01077	0	0	0	0	0	0.01194	0	0	0.06791	0.40841	0	0.29937	0.01136	0.03935	0	0.00096	0.00463
Healthy	0	1.87102	0	0	0	0	0.05455	0	0	0	0	0.38492	0.61453	0	0.27329	1.81989	0	0.05455	0	0
Healthy	0	0.82712	0	0	0	0	0	0	0	0	0	1.15966	0.26493	0	1.65986	0	0	0	0	0
Healthy	0	10.93459	0.02321	0.55504	0	0.1397	0.21457	0	0	0	0	0.26358	0.00855	0	0.15919	0	0.0481	0.21457	0	0.00396
Healthy	31.92376	4.48241	0.0328	1.31168	1.13675	2.15701	0.04583	1.51724	0	0	31.92376	0.2647	0	0	0	0	0.40547	0.04583	0	0
Healthy	0	1.29699	2.17787	0	0	0	0	0	0	0	0	0	0.18405	1.91706	10.7882	0	0	0	0	0
Healthy	0	7.01346	0	0	0	0.00799	0	0.06513	0.03434	0	0	0.54828	0	0	0.00519	0	0.04008	0	0.00351	0.02306
Healthy	0	14.52007	0	0	0	0.24095	0.26069	0	0	0	0	0.04933	0	0	0.0414	0	0.01668	0.26069	0	0
Healthy	0.6025	0.12639	0	1.1273	0	0	0.01474	0	0	0	0.6025	1.89063	1.58432	2.4818	1.82851	0	0	0.01474	0	0
Healthy	0	7.95025	0	1.1161	0	0.01655	0	0.00189	0	0	0	0.19964	0.25444	5.57201	0.21077	0	0.01676	0	0	0
Healthy	0	7.21644	0	0	0	0	0	0.06104	0.01744	0	0	0.46466	0	0	0.0077	0	0.04544	0	0.00171	0.01375
Healthy	0	5.82279	0.43307	1.76986	0	0	0	0	0.05286	0	0	0.04272	0.5188	0	0.49612	0.24747	0.06442	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52547	0	0	0	0	0
Healthy	0	1.10325	0	0.74523	0	0.01845	0	0	0.04175	0	0	1.59783	0.40599	0	0.41621	0.40379	0	0	0	0
