group	Bacteroides_stercoris	Phocaeicola_plebeius_B	Prevotella_copri_A	Phocaeicola_sp900554435	Bacteroides_eggerthii	Phocaeicola_coprocola	Bacteroides_sp900066265	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Flavonifractor_sp000508885	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Mediterraneibacter_torques	Alistipes_A_indistinctus	Clostridium_A_leptum	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	27.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	4.90843	0	0	0	0.00212	0	1.03979	0	1.13762	0	0.02371	0.10156	0	0.01162	0.04026	0
Healthy	26.4721	0	0	4.17569	0	0	0	0	0	0	3.4966	0	4.36243	0	0.01206	0	0.03905	0.00911	0	0
Healthy	1.70405	1.78435	35.4315	0.18963	0	0	0	0	0	0.02112	0.86694	0.30764	0.84118	0	0.05578	0.02471	0	0.00232	0.00114	0.02112
Healthy	0.01353	0	0	6.98125	7.7012	0	0.1646	0	0	0	0.15677	0.37442	1.06521	0.00946	0.03758	0	0	0	0.02046	0
Healthy	0	0	0	0	14.9557	0	0	0.87671	0	0	5.45003	2.38969	0.7931	0	0.03581	0	0	0.0685	0	0
Healthy	0	0	0	0	0	14.4597	1.55273	0	0.00721	0	0.9162	0	1.45795	0	0.04658	0.20337	0	0	0.013	0
Healthy	0	0	0	0	0	8.92544	0	0.80667	0	0.05684	0.28689	0	0.52809	0	0.00531	0.06156	0.03136	0.05296	0.18365	0.05684
Healthy	0	0	0	5.20955	0	0	0	3.61122	0.04091	0.04945	0	0	1.36225	0	0.05237	0.0424	0.02277	0.03209	0.00147	0.04945
Healthy	0.63777	0	36.8941	1.99673	0	0	0	0	0	0	2.1926	0.08094	1.05331	0.09713	0.09511	0.02117	0	1.2697	0	0
Healthy	35.6876	0	0	0	0	0	0.25188	0	0.02904	0.08469	0.73351	0	0	0	0.00976	0	0.03647	0.09114	0.01997	0.08469
Healthy	0.10781	0	2.41062	1.76265	0.07607	5.91044	0.00569	0	0.04335	0	0.92559	1.85847	1.54784	1.06953	0.16881	0	0	0.01682	0	0
Healthy	0	0	2.04231	0	0	0	0	0	0	0	0	0	0	0	4.54431	0	0	0	0	0
Healthy	0	0	35.8204	0	0	0	0	0	0	0	0	0	0	0	1.73861	0	0	0	0	0
Healthy	30.2849	0.02653	0.03222	0	0.00111	0.013	1.87873	0	0	0.23245	1.18242	0	0	0.26579	0.00521	0.00478	0	0.04112	0.39081	0.23245
Healthy	0	0	0	0	57.9876	0	0	0	0	0.17562	0	0	0	0	0.06426	0	0.37289	0.0301	0.11156	0.17562
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00786	0	0	0	0	0
Healthy	0	0	0	0	79.5399	0	0	0	0	0	0.07741	0	0	0	0	0	0	0	0	0
Healthy	0	9.67282	0	0	0	0	0	0	0	0	2.80545	0	0	0	0.17702	0	0	0	0.03569	0
Healthy	5.36025	0	0	0	0	0	0	0.08891	0	0	1.28503	0.26927	0	2.82228	0.13705	0	0	0	0	0
Healthy	0	0	0	0	1.26659	0	1.49246	0	0	0	0.63546	5.7003	0.9632	0	0.04256	0	0	0.15639	0	0
Healthy	11.9407	0	0	0	0	0	0.37042	0	0	0	0.1	0	0	0.03747	0.78946	0	0	0	0	0
Healthy	0	0	0	0	1.57628	0	1.63723	0	0	0	0.86552	7.09637	1.07873	0	0.0511	0	0	0.23769	0	0
D001528	3.0287	0.01736	0.02343	0.00919	19.5423	0	1.63252	0.03265	0.86982	0.04926	9.93384	0.00147	0.64103	0	0.00112	0.04272	0.0008	0.01124	0.63939	0.04926
Healthy	0	0	38.6079	0	0	0	0.66715	0	0	0	0.41023	0.83185	2.11166	0	0.15484	0	0.35155	0.01289	0.01552	0
Healthy	0	0	0	0	0	0	0	0.04771	0	0.07704	0.00082	0	0.587	0	0.00397	0	0	0.00396	0	0.07704
Healthy	0.59223	0.0663	0.07147	0.00279	0.14559	0.01831	0	1.682	0.14777	0.00321	0.00199	0	0	0.00509	0.06766	0	0	0	0.24481	0.00321
Healthy	2.54147	0	0	0	0	0	4.71196	0	0	0	3.44256	2.59178	0.79485	0	0.00558	0.08903	0	0.1543	0.38392	0
Healthy	19.8318	0	0	7.51156	0	0	3.74217	0	0	0	0.79313	6.27355	1.04245	0	0.10783	0.00312	0	0.0264	0.05957	0
Healthy	0.00068	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	15.8423	0	16.0873	0	0	0	0	0.01655	0.0205	0.15965	0	1.41887	0	0.00077	0.18727	0.08105	0.02141	0.00077	0.0205
Healthy	0	0	0	0	0	0	0	7.18358	0	0	0	0	0	0	0.71155	0	0	0.07233	0	0
Healthy	0	0	0	0	0	24.54	2.35201	0	0.03927	0	0.42555	0	0	0	0.11894	0.00788	0	0.02147	0.01982	0
Healthy	0	0	0	0.2573	1.35819	0	0	0	0.20722	0	2.08397	0.03447	0	0	0.08284	0	0.9764	0.04991	0.02873	0
D001528	0.31474	21.8352	0.01561	0.56296	1.63592	0.00429	0.67759	0	0.06726	0.03107	3.83029	0	0.5004	0.00262	0.01418	0.28545	1.23548	0.02275	0.25517	0.03107
Healthy	0.51686	0	0	0	0	0	0	0.24598	0	0.03246	0.01419	0	0	0	0.37972	0.04022	0.05402	0.02667	0.02799	0.03246
Healthy	0	0	33.1072	0	2.41849	9.11616	2.10791	0	0	0	0.07219	0	0	0	0.3397	0.02595	0	0	0.25346	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.55394	0	0	0	0.10508	0.13634	0.45379	0.05422	0.19767	0
Healthy	0	0	0	0	0	0	0	0	0	0.04607	0	0	0	0	0.00667	0	0	0	0.17411	0.04607
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40699	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.1339	0	5.86197	0	0	0.03479	0	0.07771	0	0.04242	0.1339
Healthy	0.07472	0.00772	0.03605	0.01083	0.00018	0.00978	0	2.79348	0	0	0	5.67678	0	0	0.02677	0	0	0	0	0
Healthy	2.87576	0	0	3.92234	0.22843	4.33903	0	0	0	0	0	0	0	0	0.89391	0	0	0	0	0
Healthy	1.61605	0	0	0	15.563	0	1.32882	1.22565	0.00203	0.18989	0	0	0	0	0.72367	0	0.12003	0.3154	0.37347	0.18989
Healthy	0	0	0.0084	0	0	0	0	0	0	0	0	0	0	0	0.04508	0	0	0.04823	0	0
Healthy	3.3162	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01181	0	0.12409	0	0	0
Healthy	0	0	46.7432	0	0	0	0	0	0	0	0	0	0	0	0.49574	0	0	0	0	0
Healthy	0	1.30531	6.74233	0.48798	2.12965	1.59059	0	0	0.04203	0	6.42389	8.71964	1.80602	0	0.09135	0.07651	0	1.53569	0.00222	0
Healthy	0	0	0	0	0	0	1.88553	0	0.02619	0	0.00042	0	0	0	0.62097	0.00358	0.02344	0.00225	0	0
Healthy	0	0	10.3598	0	0	0.17438	0.00616	0	0.03232	0	0.64181	0.07063	0.70656	0	0.03854	0.01553	0.37595	0	0	0
Healthy	6.22055	0	0	5.17118	0	0	0	0	0	0.07836	0.81698	0	0.79541	0	0.01505	0.32215	0	0.08815	0.0042	0.07836
Healthy	1.01059	0	0	0.66787	0	0	0	0	0	0	0.57386	0	0	0	0.0062	0.36706	0.5397	0.15037	0	0
Healthy	12.9052	0	0	0	0	0	0.43717	0	0	0.05252	0	0	0	0	0.10502	0	0.68543	0.03494	0	0.05252
Healthy	0.00107	0	0	0.7931	2.66553	0	0	0.34653	0.07712	0.0113	0.94926	0	0.73131	0.00339	0.16971	0.1481	0.05217	0.01434	0.00766	0.0113
Healthy	0	0	28.2668	0	0	0	0	0	0	0	0	0	0	0	0.01442	0	0	0	0	0
Healthy	0	0	0	1.27103	0	0	0	1.10452	0.11779	0.011	3.42511	0	0.97978	0.06704	0.03822	0	0.06879	0.1689	0.12171	0.011
Healthy	19.6113	0	0	7.01125	0	0	3.66109	0	0	0	0.73339	5.90799	1.07156	0	0.19539	0.01498	0	0.02939	0.03345	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.99288	0	0	0	0	0.12898	0	0	0.16545	0
