group	Agathobacter	Collinsella	Enterocloster	Anaerobutyricum	Bariatricus	Holdemanella	Blautia_A	Dorea	Eubacterium_I	Coprococcus_A	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	2.91926	0.14095	0	0	0	0	0	0.03418	0	0	8.32939	2.91926	0.03785	2.69115	1.42142	0	0.14095	0	0	0.03418
Healthy	0	0	0.01641	0	0.03658	0	0.03836	0.06314	0	0	4.26482	0	2.07785	0.25548	0.22834	0.01641	0	0.03658	0.03836	0.06314
D009765	0.39308	0	0.24793	0.57703	0.19818	0	0.09632	0.08458	0	0	0.36924	0.39308	5.01873	2.17498	2.26235	0.24793	0	0.19818	0.09632	0.08458
Healthy	6.15479	0.71644	1.90813	3.49856	0.15763	0	0.5729	1.07415	1.62433	0	3.86935	6.15479	0	0.76828	0.76747	1.90813	0.71644	0.15763	0.5729	1.07415
D009765	2.64087	4.31341	3.9808	0.54641	1.41395	0.26239	0.50854	1.09192	0.30296	0.71344	8.45551	2.64087	2.89156	2.06675	0.09714	3.9808	4.31341	1.41395	0.50854	1.09192
Healthy	0.24847	0.68097	0.28013	0.0105	0.05957	0	0.02584	0.00456	0	0.00678	0.40714	0.24847	0.54292	0	0.00976	0.28013	0.68097	0.05957	0.02584	0.00456
Healthy	5.24714	0.35797	0.19726	0.29161	0.43148	0	0.2837	0.14329	0.17875	0.11158	5.60286	5.24714	0.04283	3.39254	0.86068	0.19726	0.35797	0.43148	0.2837	0.14329
Healthy	0.70755	3.68311	0.85549	2.37613	0.46665	1.933	4.65973	3.79291	0.64915	0.5795	21.7045	0.70755	32.4931	6.59206	5.6824	0.85549	3.68311	0.46665	4.65973	3.79291
D009765	2.85221	0.17793	0.39184	0.43731	0.48117	0.45836	0.39244	0.11567	0.12474	0.17451	7.86584	2.85221	0.01657	9.65029	0.22416	0.39184	0.17793	0.48117	0.39244	0.11567
Healthy	0	0.14868	0.13561	0.00425	0	0	0.01228	0	0	0	0.51861	0	0	0.4289	0.06426	0.13561	0.14868	0	0.01228	0
D009765	34.0675	7.76515	2.55781	0.46852	4.25986	0	0.47361	0.39575	0.1355	0.87538	1.49034	34.0675	9.31428	0.31698	2.375	2.55781	7.76515	4.25986	0.47361	0.39575
