group	Agathobacter	Collinsella	Enterocloster	Anaerobutyricum	Bariatricus	Holdemanella	Blautia_A	Dorea	Eubacterium_I	Coprococcus_A	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	0.62356	4.3106	0.08931	0.43632	0.5692	0	0.08986	0.16377	0.07515	0	0.10728	0.62356	16.9685	6.47443	0.04304	0.08931	4.3106	0.5692	0.08986	0.16377
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.39212	0.72326	0.84303	0.02308	0	0.41664	0.21496	0.83536	0	20.4524	0	0	0	0	0.72326	2.39212	0.02308	0.41664	0.21496
Healthy	7.22091	0	0.93902	0.75911	0.71639	0	0.43427	0.33129	0.10008	0.33534	3.43614	7.22091	2.67334	0.95512	0.08538	0.93902	0	0.71639	0.43427	0.33129
Healthy	7.56575	1.00528	0.45191	0.62297	0.41155	0	1.97453	0.2432	0.08232	0.30125	3.09011	7.56575	3.40203	3.56006	0.12072	0.45191	1.00528	0.41155	1.97453	0.2432
Healthy	44.18	0.46561	0.33644	0.61245	0.34471	0	0.24614	0.26598	0.25493	0	3.28848	44.18	14.4977	1.95382	0.15845	0.33644	0.46561	0.34471	0.24614	0.26598
D009765	1.13033	4.14268	3.13425	0.79965	1.1411	1.03693	0.80879	0.64658	0.83299	0.26003	10.1141	1.13033	0.32979	0	0.709	3.13425	4.14268	1.1411	0.80879	0.64658
D009765	2.2273	13.2971	3.75932	5.07133	0.70958	0	1.11179	0.06683	0.31892	0.2818	2.13599	2.2273	16.9591	10.01235	0.90712	3.75932	13.2971	0.70958	1.11179	0.06683
Healthy	0	1.3244	0.09096	0	0	0	0.12584	0	0	0	0.09232	0	1.799	0	0.86523	0.09096	1.3244	0	0.12584	0
Healthy	0.57617	0.1382	0	0	0.5091	0	0.01394	0	0.00825	0	1.97362	0.57617	1.86405	0.34578	0.15985	0	0.1382	0.5091	0.01394	0
Healthy	0.03799	1.59323	0.42442	0.13098	0	5.66843	0.69689	0.05913	0.01221	0.58023	0.0239	0.03799	12.0383	0	1.27752	0.42442	1.59323	0	0.69689	0.05913
Healthy	1.98732	0.56058	0.217	0.00738	0.02591	0	0.0697	0.05368	0	0	5.12633	1.98732	0.27024	0.49254	0.03746	0.217	0.56058	0.02591	0.0697	0.05368
Healthy	1.14195	0.13055	0.22357	0.2484	0.10251	0	0.41019	0.03537	0.01229	0.0299	9.57351	1.14195	0.23358	0.55316	0.24472	0.22357	0.13055	0.10251	0.41019	0.03537
Healthy	5.3572	0.3873	0.33649	0.0145	0.03025	0	0.22889	0.03834	0	0	3.64692	5.3572	0.63136	2.21124	0.28642	0.33649	0.3873	0.03025	0.22889	0.03834
Healthy	2.88879	0.06499	0.15023	1.46696	0.38314	0.45492	0.14208	0.04189	0.06627	0.11512	3.69876	2.88879	17.8675	1.02686	0.1708	0.15023	0.06499	0.38314	0.14208	0.04189
Healthy	2.15367	1.12872	2.06466	0.35864	0.89498	0	0.12659	0.81248	0.09873	0.12511	2.24153	2.15367	0.00967	1.0786	2.17986	2.06466	1.12872	0.89498	0.12659	0.81248
Healthy	11.2954	0	0.65556	3.07329	1.54417	0	1.2803	1.16976	0.76008	0	14.965	11.2954	18.069	5.77535	1.92473	0.65556	0	1.54417	1.2803	1.16976
D009765	17.939	0.44294	1.86219	0.46441	0	0	0.42209	0.18168	0.0632	0	4.54473	17.939	0.00569	1.20137	1.33365	1.86219	0.44294	0	0.42209	0.18168
Healthy	0	0.48966	0	0	0	0	0.62061	0	0	0	4.37319	0	0	17.1243	5.39598	0	0.48966	0	0.62061	0
Healthy	5.10159	0	0	0	0	0	0	0	0	0	0	5.10159	0.75741	0	2.65375	0	0	0	0	0
Healthy	11.5228	0	0.00158	2.4886	1.71157	0	0.32718	0	0.3026	0.17613	11.7147	11.5228	13.2567	1.45511	0.0508	0.00158	0	1.71157	0.32718	0
Healthy	1.03672	0.06336	0.00667	0.00317	0	0	0.12119	0.03815	0.0235	0.0028	3.73173	1.03672	0.22341	6.11899	0.14119	0.00667	0.06336	0	0.12119	0.03815
D009765	12.8276	2.72317	1.37875	0.483	0.73337	0	0.2192	2.07484	0.36787	0.2518	4.41346	12.8276	2.08932	2.17478	0.16808	1.37875	2.72317	0.73337	0.2192	2.07484
Healthy	1.1407	1.65829	1.30728	1.21352	0.99168	0	0.41478	0.85831	0.15317	0.16233	8.32672	1.1407	3.30644	2.86529	0.27342	1.30728	1.65829	0.99168	0.41478	0.85831
Healthy	0.55586	0.40818	0	0	0	0	0	0	0	0	1.34419	0.55586	0.06438	0.02502	0.13709	0	0.40818	0	0	0
D009765	4.71032	1.49953	0.74167	1.51863	1.57665	0	1.59201	2.42457	0	0.151	9.21884	4.71032	0	5.52166	9.69614	0.74167	1.49953	1.57665	1.59201	2.42457
D009765	2.15896	0	0.08372	1.82766	0.24517	0	0.08115	0.24706	0	0	0.22269	2.15896	0	0.21861	0.81298	0.08372	0	0.24517	0.08115	0.24706
Healthy	1.15612	0.23014	0.64293	0.05333	0.15137	0.22384	0.02785	0.10795	0	0.00852	2.05002	1.15612	0.69709	0.7295	0.2843	0.64293	0.23014	0.15137	0.02785	0.10795
Healthy	21.2479	0	0.04203	0	0	0	0.02029	0.01056	0	0	28.3134	21.2479	0	1.60178	0.04855	0.04203	0	0	0.02029	0.01056
D009765	1.86395	2.34795	3.46991	1.28023	1.47951	1.63542	0.8229	1.10316	0.76306	0.42496	6.51384	1.86395	0.47667	0.13622	0.98698	3.46991	2.34795	1.47951	0.8229	1.10316
Healthy	1.68102	1.69284	0.09347	0.35937	0.3322	0.02186	0.2272	0.35944	0.0251	0.96393	1.35902	1.68102	13.7456	0.06548	0.01133	0.09347	1.69284	0.3322	0.2272	0.35944
Healthy	1.49915	0.16479	0.01232	0.03764	0.02457	0	0.01032	0.00159	0	0	1.79194	1.49915	1.0791	1.12164	0.26128	0.01232	0.16479	0.02457	0.01032	0.00159
Healthy	6.08008	0	0	0	1.43737	0	0.07024	0	0.04717	0.01127	3.59007	6.08008	0	4.50049	0.09281	0	0	1.43737	0.07024	0
Healthy	0	0	1.90963	0	0	0	0	0	0	0	3.35929	0	0.95946	0.32708	3.16967	1.90963	0	0	0	0
D009765	23.3512	4.02373	0.73294	0.65246	0.88796	0.08616	0.26158	0.1827	0.02184	0.25545	14.8679	23.3512	7.37816	6.26979	1.24001	0.73294	4.02373	0.88796	0.26158	0.1827
Healthy	4.97835	0	1.26308	0.61543	0.38827	0	0.65202	0.15235	0.02719	0.12147	2.14193	4.97835	1.38051	1.06304	0.04735	1.26308	0	0.38827	0.65202	0.15235
D009765	2.22477	0	0.6882	0.45881	1.61517	0.95313	0.13768	0	0	0	0.01372	2.22477	2.88441	1.15525	0.01164	0.6882	0	1.61517	0.13768	0
D009765	9.35756	1.54906	0	0.38472	0	0	1.3721	0.5257	0	0	8.88828	9.35756	0	0.5518	0.34301	0	1.54906	0	1.3721	0.5257
D009765	0.11793	0.20401	0.58161	0.33681	0.40545	0	0.30444	0.11787	0	0.01017	3.99033	0.11793	5.28503	0.01359	0.15809	0.58161	0.20401	0.40545	0.30444	0.11787
Healthy	0	0	2.21108	0	0	0	0	0	0	0	0.01213	0	0.0125	0	0.52431	2.21108	0	0	0	0
Healthy	16.991	1.19512	11.05109	0.57543	2.81085	2.59049	1.20418	3.96675	0.11064	0.51863	1.9246	16.991	1.14024	1.03051	0.11694	11.05109	1.19512	2.81085	1.20418	3.96675
Healthy	7.26817	0.00473	0.5801	0.12482	0.03997	0	0.23504	0.04429	0.00991	0.0317	11.9636	7.26817	2.15726	1.80339	0.79795	0.5801	0.00473	0.03997	0.23504	0.04429
Healthy	4.54339	0.20174	0.49279	1.26933	0.13434	0.12466	0.46773	0.12167	0.04801	0.19783	6.06382	4.54339	0	1.07934	2.15233	0.49279	0.20174	0.13434	0.46773	0.12167
Healthy	0	0	6.13222	0	0.00756	0	0.01989	0.03295	0	0	3.40794	0	0.73952	0	0.02969	6.13222	0	0.00756	0.01989	0.03295
Healthy	1.76371	0	0.03897	0	0.01548	0	0	0	0	0	0.09042	1.76371	0	0	0.13645	0.03897	0	0.01548	0	0
Healthy	1.82102	0.58754	2.65	0.68065	0.63447	0	0.33421	0.802	0.25512	0.23466	2.2066	1.82102	10.6339	1.23273	0.11564	2.65	0.58754	0.63447	0.33421	0.802
Healthy	0	0	0	0	0	0	0	0	0.02647	0	15.3821	0	0	0.00319	0.23774	0	0	0	0	0
D009765	1.62091	0	0.02517	0.03469	0.04038	0	0	0	0.02938	0	0.02183	1.62091	2.0768	13.01137	0	0.02517	0	0.04038	0	0
Healthy	0	2.41086	0.77393	1.2024	0.97141	0	1.22957	0.622	0.00747	0.36821	2.79504	0	0	2.3925	0.41266	0.77393	2.41086	0.97141	1.22957	0.622
Healthy	7.45631	0.39077	1.02578	0.25733	1.1488	2.61862	0.1457	0.36349	0	0.04469	5.40603	7.45631	0.62427	5.6372	1.12399	1.02578	0.39077	1.1488	0.1457	0.36349
Healthy	0	0	1.80701	0	0	0	0	0	0	0	3.41262	0	0.91309	0.32126	1.83974	1.80701	0	0	0	0
Healthy	3.10013	0	0.03833	0	0.07813	0	0.0295	0	0	0	5.90258	3.10013	2.56092	2.05761	0.12185	0.03833	0	0.07813	0.0295	0
Healthy	0	0	0.52508	0	0	0	0	0	0	0	4.04919	0	1.22072	0	0.11359	0.52508	0	0	0	0
Healthy	11.947	2.27388	4.08053	3.78053	1.23067	4.58642	4.49978	5.50623	0.67416	1.14109	22.9263	11.947	0.30603	0.76089	1.00391	4.08053	2.27388	1.23067	4.49978	5.50623
Healthy	23.9764	0.52018	0.43046	1.14941	0.30505	0	0.37801	0	0.11571	0	5.27516	23.9764	2.33447	2.02933	0.18272	0.43046	0.52018	0.30505	0.37801	0
Healthy	2.94504	0.8744	0.03693	0	0	0	0.03604	0.2065	0.19158	0	0.91597	2.94504	0	0.2899	0.07466	0.03693	0.8744	0	0.03604	0.2065
D009765	3.81511	0	0.08959	0.6672	0.25777	1.80917	0.07895	0.02831	0	0	0.53578	3.81511	0	3.02824	0.1637	0.08959	0	0.25777	0.07895	0.02831
D009765	12.8125	0.18117	0.02596	0.40559	0.43499	0	0.09686	0.01338	0.08393	0	12.0409	12.8125	0.00223	6.70253	1.60109	0.02596	0.18117	0.43499	0.09686	0.01338
Healthy	3.705	0	0	0	0	0	0	0	0	0	4.35743	3.705	21.8277	0	5.13208	0	0	0	0	0
Healthy	1.30873	0.1718	1.40097	0.36299	0.67735	0.2744	0.39328	0.18894	0.00833	0.08257	3.33876	1.30873	7.74784	0.21711	0.43624	1.40097	0.1718	0.67735	0.39328	0.18894
Healthy	2.19103	0.62314	0.3666	0	0.04049	0.20881	0.004	0.00336	0	0	1.83291	2.19103	0	0.58567	0.39232	0.3666	0.62314	0.04049	0.004	0.00336
Healthy	0.84222	0	0.47723	0.00059	0.07631	0	0.12503	0.04546	0.00986	0	0.0085	0.84222	0.03356	0	0.04683	0.47723	0	0.07631	0.12503	0.04546
Healthy	0.71776	0.15678	0.0287	0.02357	0.28179	0	0.14383	0.07595	0	0.03617	3.42272	0.71776	6.81295	1.97526	0.31066	0.0287	0.15678	0.28179	0.14383	0.07595
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.06393	0.4392	0.00522	0	0	0.04293	0	0	0	5.39934	0	0	0	0.07725	0.4392	0.06393	0	0.04293	0
D009765	15.4458	0.09874	1.05308	0.33749	0.61312	0.11029	0.14326	0.28083	0.16179	0.24726	6.21144	15.4458	0.02476	6.95927	0.13965	1.05308	0.09874	0.61312	0.14326	0.28083
Healthy	2.182	0	0.065	0	0.10432	0	0.1763	0.02904	0.04757	0	5.21392	2.182	0.65716	2.84443	0.14912	0.065	0	0.10432	0.1763	0.02904
Healthy	0	0	0	0	0	0	0	0	0	0	0.01441	0	0	0.0034	0	0	0	0	0	0
Healthy	0.09517	0.87928	0.03523	0	0	0.10354	0.04224	0.00713	0	0	1.12055	0.09517	0.7283	0.03985	0.05233	0.03523	0.87928	0	0.04224	0.00713
Healthy	0	1.23037	0.00501	0.15364	0	0.26599	0.32072	0.08761	0	0	0.83261	0	4.63145	0.10731	0.03719	0.00501	1.23037	0	0.32072	0.08761
Healthy	0.3506	0.25629	0.06514	0	0.09057	0	0	0	0	0	3.43351	0.3506	0	1.38602	0.33813	0.06514	0.25629	0.09057	0	0
Healthy	0.69227	0.06449	0	0	0.0588	0	0.07273	0	0	0	4.80433	0.69227	0	3.20226	0.69605	0	0.06449	0.0588	0.07273	0
Healthy	0	0	2.62476	0	0	0	0	0	0	0	2.73645	0	0	0	0.90323	2.62476	0	0	0	0
Healthy	1.30053	0.96879	2.18281	1.12834	1.83693	0	0.61855	0.08359	0	0	20.6986	1.30053	2.10902	0	0.83593	2.18281	0.96879	1.83693	0.61855	0.08359
Healthy	0.73246	0	1.43792	0.37633	0.85952	1.66385	0.33537	0.22928	0.05348	0.35713	12.7081	0.73246	0	0.6663	0.62572	1.43792	0	0.85952	0.33537	0.22928
Healthy	0	0	5.82719	0	0.00761	0	0.05177	0.0591	0	0	3.12753	0	0.71541	0	0.01705	5.82719	0	0.00761	0.05177	0.0591
Healthy	1.94552	0	0	0	0.06172	0	0	0	0	0	0.79783	1.94552	0	2.50292	0	0	0	0.06172	0	0
D009765	9.43998	0	1.15333	0.12134	0	0	0.05293	0.00726	0.09913	0	0.18687	9.43998	1.59833	1.67457	0.47208	1.15333	0	0	0.05293	0.00726
Healthy	2.08516	0.62736	0.43911	0	0.0358	0.20525	0.00771	0.0162	0	0	1.82926	2.08516	0.00675	0.66834	0.87272	0.43911	0.62736	0.0358	0.00771	0.0162
Healthy	0	0.05146	0.43429	0	0	0	0	0	0	0	2.33699	0	1.32495	0	0.14861	0.43429	0.05146	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	26.4823	0	0.99991	0.87643	0.90614	0	0	0	0	0
D009765	20.1764	0.22976	0.39779	0.21581	0.95811	0.9434	0.20171	0.12975	0	0.16165	6.13846	20.1764	5.68036	4.36889	1.27723	0.39779	0.22976	0.95811	0.20171	0.12975
Healthy	7.63283	0.15093	0.18403	0.04745	0.47015	1.16998	0.21271	0.19583	0.03469	0.03208	3.82684	7.63283	2.15434	4.39235	2.44021	0.18403	0.15093	0.47015	0.21271	0.19583
Healthy	1.6914	0	1.72355	0.40827	0.90124	0.44038	0.19254	0.16462	0	0	0.54416	1.6914	12.322	0	0.83374	1.72355	0	0.90124	0.19254	0.16462
Healthy	0	0	0.32614	0	0	0	0.04859	0	0	0	6.04891	0	0	0.48252	0.14718	0.32614	0	0	0.04859	0
Healthy	0	0	1.0404	0	0	0	0	0	0	0	0.88195	0	0	0	0	1.0404	0	0	0	0
Healthy	0.2964	0	0	0	0	0	0	0	0	0	4.19247	0.2964	0.10439	2.4474	1.06246	0	0	0	0	0
Healthy	3.18599	0.12703	0.21122	0.12647	0	0	0.13088	0.76885	0.29838	0.18507	6.64619	3.18599	0	0.52179	0.96816	0.21122	0.12703	0	0.13088	0.76885
Healthy	2.89192	0.05682	0	0	0	0	0	0.01066	0	0	3.46	2.89192	0.24537	1.17421	1.92338	0	0.05682	0	0	0.01066
Healthy	0	0.38686	2.10665	0.36476	0.79965	0	0.04545	0.00776	0	0.0058	2.26209	0	0.01131	1.4028	0.06451	2.10665	0.38686	0.79965	0.04545	0.00776
Healthy	7.47157	1.57506	2.21972	1.99371	0.8766	0	2.30091	0.74617	0.51717	0.23622	6.00909	7.47157	20.2521	0.36931	2.36659	2.21972	1.57506	0.8766	2.30091	0.74617
Healthy	5.52482	0	0.08815	0.0184	0.22612	0	0.22304	0.10688	0	0.0894	1.02062	5.52482	1.06493	1.00841	2.69736	0.08815	0	0.22612	0.22304	0.10688
Healthy	2.58519	0	0.16406	0.30953	0.15533	1.42706	0.63778	0.20179	0	0	7.96359	2.58519	6.87567	0.94597	3.20991	0.16406	0	0.15533	0.63778	0.20179
Healthy	3.08986	0.05066	0	0	0	0	0	0.0065	0	0	3.38914	3.08986	0.28693	1.06405	1.93705	0	0.05066	0	0	0.0065
Healthy	3.56212	0.03277	0.49866	0.81508	0.28721	1.08971	0.71598	0.04421	0.14787	0.17973	7.34815	3.56212	0.2458	0.87001	0.01549	0.49866	0.03277	0.28721	0.71598	0.04421
D009765	1.41377	3.82524	3.07714	0.75735	0.8191	0.90821	0.76629	0.99042	0.7161	0.21705	10.2883	1.41377	0.37531	0	0.81171	3.07714	3.82524	0.8191	0.76629	0.99042
Healthy	1.15084	0.13565	0.07287	0.00471	0	0	0.00937	0	0	0.00832	1.71916	1.15084	1.97096	0.17301	0.25555	0.07287	0.13565	0	0.00937	0
Healthy	5.88374	0.31625	0.36195	0	0	0	0.19704	0.02796	0	0	3.57882	5.88374	0.60464	2.06043	0.38041	0.36195	0.31625	0	0.19704	0.02796
D009765	2.19944	0	0.66714	0.33037	0.38252	1.91747	0.27502	0.1339	0	0.00451	0.0401	2.19944	6.34926	2.75132	1.93696	0.66714	0	0.38252	0.27502	0.1339
Healthy	0.60854	0	0.34925	0.17742	0	0	0.26608	0.29756	0	0	8.77666	0.60854	0	3.64549	0.01208	0.34925	0	0	0.26608	0.29756
Healthy	0.0145	0	0	0	0	0	0	0	0	0	0.00229	0.0145	0.00339	0.00596	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D009765	0.0043	0.00703	0.16293	0.04449	0.94551	0	0.10348	0.04399	0.18269	0	3.15509	0.0043	6.4095	0.07272	0.00352	0.16293	0.00703	0.94551	0.10348	0.04399
Healthy	11.3544	0.85144	1.70161	1.94708	2.44092	0	1.14231	0.30889	0.89653	0.1774	7.41557	11.3544	4.0802	7.74668	4.3484	1.70161	0.85144	2.44092	1.14231	0.30889
Healthy	0.31298	0	0	0	0	0	0.00993	0	0	0	1.01892	0.31298	0	0.14322	0.16469	0	0	0	0.00993	0
Healthy	0	0	1.72905	0	0	0	0	0	0	0	3.17657	0	0.84458	0.28626	1.94538	1.72905	0	0	0	0
Healthy	1.96795	0.55112	0.24887	0.00482	0.01138	0	0.13005	0.04875	0	0	4.95921	1.96795	0.27221	0.4991	0.04926	0.24887	0.55112	0.01138	0.13005	0.04875
Healthy	20.6447	0.15977	0.11173	0.25316	0.22636	0	0.17574	0.0987	0.01048	0	4.47128	20.6447	2.77166	0.0296	0.13176	0.11173	0.15977	0.22636	0.17574	0.0987
Healthy	2.01591	0.69124	0.40587	0	0.01368	0.17821	0.00757	0	0	0	1.75266	2.01591	0	0.57816	0.90959	0.40587	0.69124	0.01368	0.00757	0
D009765	17.4564	0	0.51622	0.74801	0	0	1.54059	0.76117	0	0.13218	0	17.4564	36.5379	0	2.18169	0.51622	0	0	1.54059	0.76117
Healthy	0.09146	0	0.17382	0	0.21032	0	0.02794	0	0.15537	0	1.38263	0.09146	0	1.71415	0.02781	0.17382	0	0.21032	0.02794	0
D009765	0	0	1.14592	2.56118	1.55159	5.52352	1.05942	1.25942	1.01144	0.71946	1.99512	0	0.09856	0.20485	4.55355	1.14592	0	1.55159	1.05942	1.25942
Healthy	1.62509	0	0.09102	0	0	0	0.22717	0.10468	0	0	1.93983	1.62509	0	0.93984	0.36137	0.09102	0	0	0.22717	0.10468
Healthy	1.13522	0.02457	0.08819	0.0142	0.04898	0	0.05001	0.07355	0	0.00447	3.44547	1.13522	0	8.70099	0.02993	0.08819	0.02457	0.04898	0.05001	0.07355
Healthy	3.05354	0.10036	0	0	0.00263	0	0	0.04422	0	0	8.32142	3.05354	0.0717	2.90233	1.56281	0	0.10036	0.00263	0	0.04422
Healthy	8.70722	0.94643	2.59467	0.75408	1.22832	0.25818	1.75379	0.58303	0.19466	0.58094	3.79835	8.70722	7.35924	2.4953	1.696	2.59467	0.94643	1.22832	1.75379	0.58303
Healthy	0	0.0155	6.71522	0	0	0	0.18193	0	0	0	2.39296	0	0	0	3.50073	6.71522	0.0155	0	0.18193	0
Healthy	8.00883	0.35061	0.71224	0.1994	0.98521	2.23847	0.22363	0.34005	0.07432	0.28078	10.5711	8.00883	2.47622	1.13978	1.30552	0.71224	0.35061	0.98521	0.22363	0.34005
Healthy	3.64917	0	0.46012	0	0	0	0.00971	0.03866	0	0	33.4338	3.64917	0	1.7245	0.00796	0.46012	0	0	0.00971	0.03866
Healthy	0	0	0.4467	0	0	0	0	0	0	0	9.45053	0	0	1.10186	0	0.4467	0	0	0	0
Healthy	0	0	4.64414	4.58507	1.14042	0	0	0	0	4.38345	0	0	18.1635	0	0	4.64414	0	1.14042	0	0
Healthy	1.56116	0.18724	0.39614	0.19574	0.32208	0.7892	0.13302	0.1214	0.01266	0.15606	5.67047	1.56116	0.00756	3.94829	0.49315	0.39614	0.18724	0.32208	0.13302	0.1214
D009765	0	7.84453	0	0	0	0.46886	0	0	0	0	5.5953	0	0	0	2.01068	0	7.84453	0	0	0
D009765	7.57728	0.00786	0.18581	0.6266	0.5011	0.63221	0.2759	0.1068	0.12806	0.10619	2.39809	7.57728	3.8927	7.70848	0.39379	0.18581	0.00786	0.5011	0.2759	0.1068
Healthy	3.75637	0.53754	1.67928	2.31136	1.43145	0	0.98152	0.5249	0	0.42195	7.91107	3.75637	3.30195	13.60239	0.04064	1.67928	0.53754	1.43145	0.98152	0.5249
D009765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.36707	0	1.92255	0	0	0	0	0	0	0	7.54477	0.36707	3.6529	1.54963	1.47331	1.92255	0	0	0	0
Healthy	1.7109	0	0.00084	0.18748	0.4072	0.48114	0.15349	0.13509	0.02282	0.05481	0.39224	1.7109	0.03891	5.13712	0.52102	0.00084	0	0.4072	0.15349	0.13509
Healthy	0	1.20997	0.45866	2.62803	3.39231	0	2.13147	0.31371	0.45511	0.24896	6.88421	0	0.006	4.75977	0.00683	0.45866	1.20997	3.39231	2.13147	0.31371
Healthy	0	0	0.4079	14.8345	2.08425	0	0.22012	1.09828	0	0	0.1088	0	0	0.01934	0.11603	0.4079	0	2.08425	0.22012	1.09828
Healthy	3.03733	0	0.27573	0	0	0	1.98183	0.13863	0	0.05979	0	3.03733	0	0.00128	0.00803	0.27573	0	0	1.98183	0.13863
Healthy	1.23471	0.15255	0.04455	0.00978	0	0	0.00163	0	0	0.00999	1.65953	1.23471	1.89254	0.15195	0.20399	0.04455	0.15255	0	0.00163	0
Healthy	0.69769	0.08698	0.06747	0	0	0	0.02851	0	0	0	7.0697	0.69769	0.31167	0.61629	0.05932	0.06747	0.08698	0	0.02851	0
Healthy	5.2325	0	0.44785	0.0473	0.45548	3.64677	0.39655	0.12751	0	0.10025	1.41439	5.2325	0.02106	2.50732	0.88148	0.44785	0	0.45548	0.39655	0.12751
Healthy	32.1316	0	2.40405	2.60154	0.9164	0	1.43085	0.25722	1.02922	0.02161	1.27455	32.1316	0	2.64829	0.59487	2.40405	0	0.9164	1.43085	0.25722
Healthy	0.8883	0.80581	0.47031	0.744	0.07514	0	0.57118	1.09577	0.0495	0.05275	7.35373	0.8883	3.87728	0.97087	0.07459	0.47031	0.80581	0.07514	0.57118	1.09577
D009765	5.66492	1.24442	0.5129	0	0.99567	2.00758	0.73216	0.20049	0	0.1858	18.2347	5.66492	0.39125	0	2.24498	0.5129	1.24442	0.99567	0.73216	0.20049
Healthy	14.4344	0.99048	0.13626	0.76613	0.22741	0	1.24323	0.16809	0.14204	0.70046	3.5326	14.4344	3.85592	0.68044	0.30259	0.13626	0.99048	0.22741	1.24323	0.16809
Healthy	0	0	0	0	0	0	0	0	0	0	0.00717	0	0	0	1.60255	0	0	0	0	0
Healthy	0	0.83133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83133	0	0	0
Healthy	0	0.14886	0.12247	0.01562	0.01559	0	0.01809	0	0	0	0.48679	0	0	0.36424	0.04684	0.12247	0.14886	0.01559	0.01809	0
Healthy	5.06344	0.40593	0	0.01972	0.1233	0.04697	0.00782	0.06396	0.39526	0.07304	1.41366	5.06344	0.92511	1.10835	0.13523	0	0.40593	0.1233	0.00782	0.06396
Healthy	0	0.68067	0.08071	0.09069	0	0.12097	0.11886	0.02101	0	0	2.25483	0	2.2507	0	0.10229	0.08071	0.68067	0	0.11886	0.02101
Healthy	9.00412	0.07106	0.3478	0.32634	0.51451	0	0.1358	0.09531	0.10933	0.17561	5.92255	9.00412	4.35368	2.02867	1.03872	0.3478	0.07106	0.51451	0.1358	0.09531
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.42484	0.57258	0.50352	0	0.07347	0.05546	0.04681	0.02997	0.03698	0	1.43355	1.42484	1.7073	0.43001	0.39788	0.50352	0.57258	0.07347	0.04681	0.02997
Healthy	2.56425	0.11939	0.36701	0.49026	0.49979	1.93039	0.60867	0.25236	0.06577	0.14898	3.23646	2.56425	6.35662	1.13866	1.72117	0.36701	0.11939	0.49979	0.60867	0.25236
Healthy	0	0	0	0	0	0	0	0	0	0	0.95934	0	0	0.04974	0	0	0	0	0	0
Healthy	0.17136	0	0.10964	0.06016	0	0	0.15714	0.05871	0	0	1.46929	0.17136	0	1.11298	0.26201	0.10964	0	0	0.15714	0.05871
Healthy	0.34877	0	0	0	0	0	0.05043	0.02357	0	0	1.57438	0.34877	0	0.1728	0.2571	0	0	0	0.05043	0.02357
D009765	4.55422	0.15245	0.1079	0.535	0.4774	0	0.2698	0.08774	0.04013	0.04631	4.18904	4.55422	1.47015	0.2964	0.28466	0.1079	0.15245	0.4774	0.2698	0.08774
Healthy	1.38687	0	0.08997	0	0	0	0.00623	0	0	0	0.56909	1.38687	0	0.31155	0.00928	0.08997	0	0	0.00623	0
Healthy	6.12197	3.91151	2.63483	1.44689	1.29352	6.72592	0.4628	1.10206	0.53723	0.30591	4.73852	6.12197	0.92374	7.28686	2.40753	2.63483	3.91151	1.29352	0.4628	1.10206
Healthy	0.8047	1.19242	1.02855	1.61132	0.39931	1.8374	1.34854	0.53885	0.05615	0.28062	6.92244	0.8047	0	1.01605	1.08996	1.02855	1.19242	0.39931	1.34854	0.53885
Healthy	0.02013	8.07396	0	0.65432	3.09567	0.34886	1.54898	0.4917	0	0	3.64784	0.02013	20.9506	7.97917	3.33748	0	8.07396	3.09567	1.54898	0.4917
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.10354	0.00653	0.38452	0	0.02527	0	0	0.00792	0	0	3.29535	0.10354	0.50076	0.21079	0.27551	0.38452	0.00653	0.02527	0	0.00792
Healthy	0.55184	0.09496	0.12226	0	0.02489	0	0.03535	0.01933	0	0	6.92127	0.55184	0.35335	0.56569	0.07276	0.12226	0.09496	0.02489	0.03535	0.01933
Healthy	0	0	1.79054	0	0	0	0	0	0	0	0.64758	0	0	0.0444	0.02901	1.79054	0	0	0	0
Healthy	0	0.43562	0.95265	1.13597	0.07164	0	0.72149	0.36605	0.29486	0.21887	2.68884	0	0	3.63596	0.07625	0.95265	0.43562	0.07164	0.72149	0.36605
Healthy	2.86952	0.18546	0.67915	0.88881	0.27732	0	0.56984	0.21141	0.14638	0	10.7056	2.86952	0.08515	1.27646	2.28741	0.67915	0.18546	0.27732	0.56984	0.21141
Healthy	5.97417	0	0	0	1.36978	0	0.08343	0.02209	0.02453	0	3.52931	5.97417	0	4.33704	0.42781	0	0	1.36978	0.08343	0.02209
D009765	11.1985	0	0.09856	0.31491	0.42858	0	0.19682	0	0	0	1.43528	11.1985	6.0619	1.63574	1.61183	0.09856	0	0.42858	0.19682	0
