f	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Rikenellaceae	Bifidobacteriaceae	Marinifilaceae	Streptococcaceae	Selenomonadaceae	Coriobacteriaceae	Enterobacteriaceae	Lactobacillaceae	Pasteurellaceae	Coprobacteraceae	Desulfovibrionaceae	Veillonellaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Dialisteraceae	Methanobacteriaceae	Acidaminococcaceae
Healthy	1.58969118064357	0.792191307435894	1.00806037456492	0.837224058796229	-5	-5	-5	-5	-5	-1.59142087459133	-5	-5	-5	-0.620730750526353	-5	-5	-5	-5	-5	-5	-5
Healthy	1.07148359866083	1.26187639673694	0.782903837869686	0.557983341397184	1.10882842935222	-0.0631445861152637	0.091846264855252	-5	-0.4678318683063	1.33662401418808	-5	-0.461753115328017	-5	-1.34208406317004	-1.36101184065632	-5	-1.29191918953177	-5	-5	-0.0989123766000521	0.290828977408293
Healthy	1.09518156034197	1.59537506542604	0.970598824129357	-0.910094888560602	0.436447310914848	-5	-0.559515979176601	-5	-0.146356534676225	-5	-5	0.336385677323575	-5	-5	0.236479318104428	-1.9613798380503	0.678835107291026	-5	0.49474716856849	-5	-5
Healthy	1.25872082968974	0.640088704941548	0.541474401590156	0.935657378806223	-5	-5	-0.722757627218642	-5	-5	0.811735155939139	-5	-5	-5	-0.142926951366022	-5	-5	-5	-5	-5	-0.265824467335679	0.0206802558933171
Healthy	1.476263690349	1.3757118865383	0.710355188383346	0.506372423814909	0.99456129217834	-0.0417659044388201	-1.48558507941963	-5	-0.856080061614163	-5	-5	-1.0395292224657	-5	-5	-5	-5	-0.321836849737658	-5	-0.00398770325701485	-5	-5
Healthy	1.75222451277329	1.18324449723243	-0.325662531844354	0.374574226824472	-5	-5	-5	-5	-5	-0.981674054597079	-5	-5	-1.70487291474781	-5	-5	-5	-5	-5	-5	-5	0.515312075477326
Healthy	1.62225993759292	1.01488034167546	1.29451935233853	0.221416846209772	-5	-0.400433488998382	-5	-5	-1.10712659311123	-1.00117418095971	-5	-5	-5	-0.606021397348228	-0.673787070000569	-1.23010596418783	-5	-5	-5	-5	-5
Healthy	1.31508932424031	1.15191322113061	0.423034411187299	-0.533399263703119	-0.460986665060487	-5	-0.731913695552616	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.498321583350671	-5	-5
Healthy	1.42352406105931	1.14402562286898	1.03548137012738	0.620538918337038	-0.216203578966548	0.0623713661435777	-0.817328613324521	-5	-1.03226486821612	-1.0315637522883	-5	-0.96106208096138	-1.05497479875754	-1.10941133229451	-1.19551981089401	-2.77211329538633	-1.65521487736734	-3.39794000867204	-5	-0.194444773478747	0.427232859115983
Healthy	0.890926004646825	1.42342201427606	0.962149054149991	0.874301452368863	1.38646596861784	-5	-0.74816718137136	-5	-0.180982801310941	-0.662620616304181	-5	-5	-5	-5	-0.515017218069439	-0.622475199326298	-5	-5	-5	-5	-5
Healthy	1.22737552968019	1.25318772119131	0.371568398420568	1.02329321142189	0.530503213925169	0.171196788699384	-2.57348873863542	-5	-0.424373462079022	-5	-5	-5	-1.7867479478036	-1.12644690648638	-5	-1.10061729446673	-5	-5	-5	-0.743787541434838	-5
D037841	1.4663915625045	0.940691761092087	0.608360199839195	1.2561703247323	0.584359497827513	-0.0879161742341057	-0.0859320008333142	-5	0.578652960499154	-0.661443908990555	-5	-1.70421305974839	-5	-0.691563652832347	-5	-0.781779695824455	-1.3777859770337	-2.11350927482752	-5	-5	-5
Healthy	1.60343669195043	0.584881660330662	0.974226982265468	1.14318879562959	0.750233691942234	-5	-1.60467360693065	-5	-0.270932451300711	-5	-5	-5	-5	-0.986109939671561	-5	-0.55565848549737	-5	-5	-5	-1.09044397075882	-5
Healthy	1.63268622347133	1.20437505574366	0.794184003829024	0.508945634463445	-0.687653360969147	-5	-0.885355661097721	-0.292634245878962	0.145012950231849	-5	-5	-5	-0.678194516142461	-1.09642170633695	-5	-1.20830935097988	-5	-5	-5	-5	-5
Healthy	1.39065343053428	1.31487020916473	-3.16115090926274	-5	1.39885991175452	-5	-2.97881070093006	-5	0.757343636962944	-0.0375264840391993	-0.53426034079614	-5	-5	-1.81958736716168	0.862933010009963	-1.47977856411804	-5	-5	-5	-5	-1.53017798402184
