group	Enterobacterales	Lactobacillales	Erysipelotrichales	Actinomycetales	Veillonellales	Coriobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Verrucomicrobiales	Burkholderiales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	0.08088	0	0.02407	35.20264	12.9858	1.0791		31.15761	6.52439	35.20264	0.08088	12.9858	0.03307	0.0234	0.02407	1.0791	0
Healthy	0.16148	0.27012	4.8168	5.54225	4.61753	4.33288		21.40224	17.31738	5.54225	0.16148	4.61753	0	0.08772	4.8168	4.33288	0.25
Healthy	10.2181	0	0.13551	0.0103	2.60171	1.34897		13.2891	0.38881	0.0103	10.2181	2.60171	43.9894	0.28406	0.13551	1.34897	0
Healthy	0	0.05589	0.0128	0.13383	0	0.28366		65.75268	3.13409	0.13383	0	0	10.41	0.09557	0.0128	0.28366	0
Healthy	0.06381	0.45117	0.40667	2.43475	5.94604	0.83394		46.11877	8.78889	2.43475	0.06381	5.94604	0.10078	2.51045	0.40667	0.83394	0
Healthy	0.06157	0	0.02247	0.27682	5.89113	0.00233		70.63059	1.4222	0.27682	0.06157	5.89113	0	0.11666	0.02247	0.00233	0
Healthy	0	0	0.17455	5.34259	17.72904	0.70893		44.41535	4.3198	5.34259	0	17.72904	7.09147	0.27735	0.17455	0.70893	0.00258
Healthy	0.0175	0.01403	5.19517	0.1995	0.00465	0.05945		36.30805	38.69933	0.1995	0.0175	0.00465	0	0.00491	5.19517	0.05945	0
Healthy	0	0	0	5.93464	5.0839	1.71217		18.17723	24.09166	5.93464	0	5.0839	0	0	0	1.71217	0.92052
Healthy	0	0.00794	1.95468	0	0	0		42.50091	37.42848	0	0	0	0	0	1.95468	0	0
Healthy	0	0	0.04651	0.92934	0.01411	0.23525		63.68496	14.87514	0.92934	0	0.01411	0	0.17416	0.04651	0.23525	0
Healthy	4.2841	0.01292	0	0	0	0		92.81289	0.64545	0	4.2841	0	0.55019	0	0	0	0
Healthy	0.01667	0.36059	0.14758	0.61728	1.21706	0.12868		49.73983	20.44622	0.61728	0.01667	1.21706	0.38836	2.54517	0.14758	0.12868	0
Healthy	0.47737	0.10367	0	0.01142	1.15201	0		51.54426	11.94382	0.01142	0.47737	1.15201	0	2.10393	0	0	0
Healthy	2.0968	0	0	0	0	0		71.0787	2.68635	0	2.0968	0	0	0.34626	0	0	0
Healthy	0	0	0	10.94462	5.62249	0		26.51604	32.47023	10.94462	0	5.62249	0	0	0	0	0
Healthy	0.09698	0.20263	1.34631	0.53641	0.00396	0.16698		14.1769	51.48479	0.53641	0.09698	0.00396	0.09373	0.63021	1.34631	0.16698	0
Healthy	0.02507	0	0	0.49856	0.46112	0.253		58.04866	4.28305	0.49856	0.02507	0.46112	8.71159	0.51464	0	0.253	0
