group	Streptococcus	Ruminococcus_B	Clostridium_Q	Longicatena	Muricomes	Eisenbergiella	Schaedlerella	Erysipelatoclostridium	Gordonibacter	Eggerthella	Prevotella	Ruminococcus_H	Barnesiella	Mediterraneibacter	Anaerobutyricum	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.94348	0.89589	0.14231	0.0884	0.08257	0.00574	0	0	0
Healthy	0.0109	0.00091	0.0004	0.0032	0.00145	0.01086	0	0	0.0036	0	0.15669	11.6922	0	0.20969	0.04157	0.26395	0	0.0004	0.00145	0.00225
Healthy	0.25644	0.00557	0.29612	0.03527	0.10584	0.7357	0	0.00715	0	0.00368	8.48422	0	0	0.01807	0.91156	0.00032	0	0.29612	0.10584	0
Healthy	0.54071	0.14116	0.07417	0.02503	0.00719	0	0.1853	0.06233	0.01863	0.00018	0	3.74279	0	1.62393	1.94611	0.12913	0.00678	0.07417	0.00719	0.03849
Healthy	2.24552	0.11141	0.01212	0	0	0	0.04608	0	0.13544	0.00095	0	0.01244	3.89693	0.35965	1.40044	0.35495	0.00396	0.01212	0	0.0088
Healthy	0	0	0	0	0	0	0	0	0	0	0	2.58589	9.5509	0.17201	0.26674	1.27903	0	0	0	0
Healthy	0.19801	0	0	0	0	0	0	0	0	0	0	0	1.10706	0.39585	0	0.10729	1.07698	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1563	0	0	0.10417	0	0	0
Healthy	0.06404	0.05311	0.03988	0	0.02348	0	0.00496	0	0	0.00026	0.06453	0	0	0.76527	0.04396	0.07178	0	0.03988	0.02348	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.03785	1.61717	1.42142	0	0	0	0	0	0
Healthy	0.00291	0	0	0	0	0	0	0	0	0	0	2.07785	2.7737	0.22834	0	0.03836	0.013	0	0	0
Healthy	0.07392	0.05193	0.00814	0.0072	0.00482	0.00897	0.03934	0	0.0618	0.00056	0.01157	0	2.84294	0.76747	3.49856	0.5729	0.00147	0.00814	0.00482	0.03033
Healthy	0	0.01119	0	0.00279	0	0.04292	0	0	0.01047	0	0	0.54292	0	0.00976	0.0105	0.02584	0.01997	0	0	0.08371
Healthy	0.02683	0.05435	0	0	0	0	0	0	0	0	2.41062	0.04283	0.51114	0.86068	0.29161	0.2837	0	0	0	0
Healthy	0	0.0266	0	0	0	0	0	0	0	0	2.1963	32.4931	0	5.6824	2.37613	4.65973	0	0	0	0
Healthy	0.21585	0.01424	0.43633	0	0	0	0	0	0	0	0	0	0	0.06426	0.00425	0.01228	0.11156	0.43633	0	0.38064
Healthy	0.04828	0	0	0	0	0	0	0	0	0	0	3.02639	0	0.17702	0.87265	0.33867	0.03569	0	0	0
Healthy	0	0	0	0	0.06952	0	0	0	0	0	0	0	0	0.14695	0	0.06136	0	0	0.06952	0
Healthy	0.00451	0	0	0	0.08949	0	0	0	0	0	0	0	0	0.17457	0	0.08017	0	0	0.08949	0
Healthy	0	0.00935	0	0	0	0	0	0	0	0	0	2.56626	1.24513	0.22845	0.08798	0.27957	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.27637	1.10334	0.00558	0.02841	0.08851	0.38392	0	0	0
Healthy	0.5783	0	0	0	0	0	0	0	0	0	0	0	3.76568	0.4621	0	0.04586	0.05957	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.06684	6.29834	0.08284	0	0	0.02873	0	0	0
Healthy	0.10271	0.07356	0.00113	0.00209	0.0059	0.02037	0.0135	0.00448	0.00802	0	0	0	0	0.67689	0.46926	0.11858	0.02799	0.00113	0.0059	0.02013
Healthy	0.01597	0.09022	0.08828	0.00545	0.00265	0.00639	0.01514	0.0335	0	0.01042	0	1.5587	0	0.00667	0.12008	0.0048	0.17411	0.08828	0.00265	0.00553
Healthy	0	0.00665	1.87455	0	0.56096	0	0	0	0	0	0	0.0013	0	0.03479	0	0	0.04242	1.87455	0.56096	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	11.9056	1.08835	1.66588	0.57718	0.72437	0	0	0	0
Healthy	0.60443	0.09717	0.05149	0.5723	0	0	0.17423	0.00243	0.01837	0	0	17.0343	0	0.01181	0.60249	0.90537	0	0.05149	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	46.7432	0.55983	0	1.953	0.79118	0.66445	0	0	0	0
