group	Enterobacteriaceae	Veillonellaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Micrococcaceae		Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae
Healthy	2.71161	0	0.39151	2.91725	0		0	0	0	2.27129	2.97004	1.19138	2.91725	0	0	0
Healthy	0.07952	0.05662	0	0	0		0	0	0	0	0	0	0	0.05662	0	0
Healthy	0.08088	0	0	0.02407	0		0.03307	0.0234	0	1.0791	0	0	0.02407	0	0	0
Healthy	0.03375	0.0363	0	3.67433	0.04553		0	0.08772	0	4.32512	0	1.14247	3.67433	0.0363	0.12773	0.25
Healthy	10.2181	0	0	0	0		43.9894	0.28406	0	1.19682	0	0.13551	0	0	0	0
Healthy	0	0	0	0	0		10.41	0.09557	0	0.28366	0.80514	0.0128	0	0	0	0
Healthy	0.06381	0	0	0	0		0.10078	2.51045	0	0.7939	0	0.40667	0	0	0	0
Healthy	0.06157	0	0	0	0		0	0.11666	0	0	0	0.02247	0	0	0	0
Healthy	0	0.02424	0	0	0		7.09147	0.27735	0	0.67999	0	0.17455	0	0.02424	0	0.00258
Healthy	0	0.00465	0	3.85188	0		0	0.00491	0.02465	0.05868	0	1.34329	3.85188	0.00465	0.0175	0
Healthy	0	0	0	0	0		0	0	0	1.71217	0	0	0	0	0	0.92052
Healthy	0	0	0.00794	0.83359	0		0	0	0	0	2.18475	1.12109	0.83359	0	0	0
Healthy	0	0	0	0	0		0	0.17416	0	0.20882	0	0.04651	0	0	0	0
Healthy	4.2841	0	0	0	0		0.55019	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.01283	0	0		0.38836	2.54517	0	0.12154	0.00113	0.14758	0	0	0.01667	0
Healthy	0.27184	0.52418	0	0	0		0	2.10393	0	0	0	0	0	0.52418	0.20553	0
Healthy	2.0968	0	0	0	0		0	0.34626	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.09698	0.00396	0.18466	1.22303	0		0.09373	0.63021	0.18576	0.15766	1.31009	0.12328	1.22303	0.00396	0	0
Healthy	0.02507	0.46112	0	0	0		8.71159	0.51464	0	0.09721	0	0	0	0.46112	0	0
Healthy	1.49435	0	0	0	0		0	0	0.11191	0	1.07483	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	1.31584	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0.53907	0	0	0	0
Healthy	0	0	0	0	0		19.023	0.00056	0	3.60873	0	0.1903	0	0	0	0
Healthy	55.0788	0.03501	0.00233	0	0.11153		0.00039	0	0	0	0	0	0	0.03501	0	0.23549
Healthy	0.57325	0	0	0	0		11.9695	0	0	0.78351	0.01608	1.18442	0	0	0	0
Healthy	0	0.46493	0	0	0.00583		2.81759	0.06954	0.20726	0.41707	0	1.65472	0	0.46493	0.91179	4.42379
Healthy	33.3132	0	0	0	0		0	0	0	0.00433	0	0.73283	0	0	0	0
Healthy	5.37164	0	0	0	0		0.49181	0	2.44739	0	0	1.85933	0	0	0	0
Healthy	0	0	0	0.11073	0		0	2.99685	0.00825	0.64273	0	0.06299	0.11073	0	0	0
Healthy	0	0.0235	0.12587	0	0		0	0.03267	0.21268	0	0	0	0	0.0235	0.09139	0
Healthy	1.15581	0.89971	0	0	0		0	0	0	0	0	0	0	0.89971	0	0
Healthy	0.00483	0.00247	0	0.02077	0		0	0	0	0.46959	0.00015	0.00331	0.02077	0.00247	0.0471	0
Healthy	26.8642	0.01516	0.24361	0	0.01325		0.00032	0	0	0.8622	0	0.04376	0	0.01516	0.01153	0.20169
Healthy	0	0	0	0.00174	0		3.84496	0.7445	0	0.1628	0	0	0.00174	0	0	0
Healthy	0.18994	0.13564	0	0	0.00101		0.79342	0.06486	0	0.59158	0	0.00415	0	0.13564	0.57161	0.1088
Healthy	0	0	0	0	0		10.3809	0.11834	0	0.22282	0.87857	0.00808	0	0	0	0
Healthy	1.84899	0.2242	0.00811	0.05317	0.02079		0	0.20459	0.79834	1.02795	0	0.07986	0.05317	0.2242	0.25338	0.07247
Healthy	0	0	0	0	0		0	0	0	0.90246	0	0	0	0	0	0
Healthy	0.09832	0	0	0	0		0	0.0657	0	0.03568	0	0.03735	0	0	0	0
Healthy	0	0	0	0	0		0	1.07337	0	0.0603	0	0.06825	0	0	0	0
Healthy	9.39904	0.22665	0	0	0.00982		0.3477	0.08959	0.07517	0.58354	0	0.8809	0	0.22665	0	0.0581
Healthy	0.38656	0.02526	0	0	0		0	0.11966	0	0.13178	0	0.02311	0	0.02526	0	0
Healthy	2.90482	0	0	0.01034	0		0	0.07877	0	0	0	0	0.01034	0	0	0
Healthy	0.09232	0.03051	0	0	0		0	1.39314	0.17643	0.15204	0	0.02486	0	0.03051	0.0422	0
Healthy	5.3394	0.00921	0.00096	0.15251	0.00036		1.4567	0.03034	3.08044	0.00031	0	0.36328	0.15251	0.00921	0	0.00271
Healthy	0	0	0	0	0		3.57301	0.70225	0	0.1128	0	0	0	0	0.00402	0
Healthy	0.00681	0.01218	0.65963	0	0		0.69873	0.88008	0	0.29588	22.5247	1.03495	0	0.01218	0.001	0.08429
Healthy	0	0	0.04058	1.99083	0		0.01236	0.08336	1.90301	0.03785	1.47114	5.33684	1.99083	0	0	0.08412
Healthy	1.88746	0	0	0	0		1.26245	1.38138	0.42914	1.00364	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0.43276	0	0	0	0
Healthy	1.43986	0	0	0	0		0	0.56976	0	0.38453	0	0.07146	0	0	0.02287	0.00613
Healthy	2.74832	0	0	0.00254	0		0	0.06262	0	0	0	0	0.00254	0	0	0
