group	Phytobacter_ursingii	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Ruminococcus_B_gnavus	Clostridium_A_leptum	Streptococcus_thermophilus	Streptococcus_sp004166885	Rothia_sp001808955	Eggerthella_lenta	Longicatena_innocuum	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Streptococcus_sp001556435	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Ruminococcus_C_callidus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.06136	0	1.84386	0	0	0	0	0	0.01197
Healthy	0	0	0	0	0	0.00451	0	0	0	0	0	0.08017	0	2.04481	0	0	0	0	0	0.0141
Healthy	0.04705	0	0	0.00935	0	0	0	0	0	0	0.08798	0.27957	0	0	0.17733	0	0.00159	0.03996	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.02841	0.08851	0	0	0.07619	0	0	0	0	0
Healthy	0	0	0	0	0	0.5783	0	0	0	0	0	0.04586	0	0	0	0	0	0	0	0
Healthy	0.04178	0	0	0	0.9764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04139
Healthy	78.7042	0	0	0.07356	0.05402	0.10271	0	0	0	0	0.46926	0.09467	0	0	0	0	0.02719	0	0	0
Healthy	0.36158	0.01118	0.00135	0.09022	0	0	0.00344	0	0.01042	0.00194	0.12008	0.0048	0.01118	0	0	0	0	0	0	0.00523
Healthy	2.27843	0	0	0.00665	0.07771	0	0	0	0	0	0	0	0	0	0	0	0	0.24849	0	0.02859
Healthy	0	0	0	0	0	0	0	0	0	0	0.57718	0.72437	0	0	0.9074	0	0	0	0	0
Healthy	0	0.38035	0.12591	0.09717	0.12409	0.09817	0	0	0	0	0.60249	0.43377	0.38035	0	1.48147	0	2.72891	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.79118	0.66445	0	0	0.68194	0	0	0.01677	0	0
Healthy	0	0.00195	0	0	0	0	0	0	0	0	0.9126	0.29839	0.00195	0	0	1.35077	0.18991	0	0.07441	0
Healthy	0.29883	0	0	0	0.37595	0	0	0	0	0	0.13232	0.1194	0	0	0.08105	0.22733	0	0	0	0
Healthy	1.00992	0	0.04645	0	0	0	0	0	0	0.01167	0.00178	0.04908	0	0	0.01672	0	0	0.13386	0	0
Healthy	0.1118	0.06889	0.22326	0	0.5397	0	0	0	0	0	0.15205	0.32589	0.06889	0	0.07593	0	0	0	0	0
Healthy	0	0.11956	0.04704	0.13052	0.68543	0	0.05627	0	0.0011	0.00184	4.4287	2.57677	0.11956	0	0	0	0.17703	0	0	0.07613
Healthy	0	0.02321	0	0	0	0	0	0	0	0	0	0.23815	0.02321	0	0.04307	0	0	0	0	0
Healthy	0.61563	0	0	0	0	0	0	0	0	0	0.31153	0.38828	0	0	0.13667	0	0	0	0	0
Healthy	83.838	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.08143	0.01215	0	0	0	0	0	0	0	0	0.1208	0.08143	0	0.02254	0	0	0	0	0
Healthy	3.89743	0.00092	0	0	0	0	0	0	0.00219	0.02798	0	0	0.00092	0	0	0	0	0	0	0
Healthy	0.09795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11712
Healthy	0	0	0	0	0.1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.25024	0	0	0	0	0	0.0369	0	0	0.18785	0	0	0	0	0
Healthy	0.08321	0	0	0	0.00235	0	0	0	0	0	0.9071	0.57222	0	0	0.16507	1.30366	0.48382	0.28584	0.232	0
Healthy	0	0	0.00441	0	0	0	0	0	0	0	0.22621	0.1772	0	0	0.09942	0.28748	0.05161	0	0.01488	0
Healthy	0.15123	0.00552	0	0	0	0	0	0	0	0	0.02999	0.03083	0.00552	0	0	0	0	0	0	0
Healthy	0	0	0	0.00185	0	0.04713	0	0	0	0	0	0.00565	0	0	0.06279	2.84329	0	0	0.07679	0.00963
Healthy	2.8125	0.02941	0	0.0157	0	0	0	0	0	0.01801	0.42331	0.29976	0.02941	0.04431	0.27478	1.46324	0.00725	0.19191	0.42718	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.4936	0.13302	0	0	0.1677	0	0	0	0	0
Healthy	0	1.16054	0.89689	0	0.07551	0	0.04292	0	0	0	0.32437	0.42806	1.16054	0.00947	0.51624	0.23978	0.22523	0	0.04301	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.18274	0.21301	0	0	0.2229	0.29316	0	0	0.06859	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.04301	0	0	0	0	0	0	0	0	0	0	0.04301	0	0	0.27854	0	0	0.03211	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03097	0.00989	0.27572	0	0	0.03382	0
D065626	0.04492	2.63165	3.23049	0.11669	1.2995	0.03897	0	0.07588	0.01078	0.0023	0.07057	0.01489	2.63165	0	1.26539	0	0.46765	0	0	0.02067
Healthy	0	0.9221	0	0	0	0	0	0	0	0	1.40782	0.2328	0.9221	0	0.01748	0	0.26094	0	0	0
Healthy	0	0.10711	0.00625	0.8993	0.98862	0.01339	0.0084	0	0.0022	0.04659	3.00802	0.31212	0.10711	0	0	0.12072	0.02712	0	0.03849	0.02926
Healthy	0.88276	0.07806	0.11801	0.57964	0	0.1143	0.02727	0.00033	0.0161	0.00973	0.15216	0.99415	0.07806	0	0	0	0.44128	0.02732	0	0
Healthy	0	0	0	0	0.0152	0	0	0	0	0	0.39885	0.12754	0	0	0.13158	0	0	0	0	0
Healthy	0	0.8025	0	0	0	0	0	0	0	0	0	0	0.8025	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	5.83452	2.84013	0	0	2.54844	0	0.57309	0	0	0
Healthy	3.66846	1.21683	0.06322	27.9887	0	0	0	0	0.03904	0.0522	0	0	1.21683	0	0	0	0	0	0	0.01186
Healthy	0.121	0.1784	0.03145	16.5662	0	0	0	0.0396	0.13451	0.00254	0	2.43898	0.1784	0	0	0	0	0	0	0
Healthy	0.34649	0.0244	0.0338	0	0.13644	0	0	0	0	0.00535	0.08323	0.13568	0.0244	0	0.01852	0	0.00936	0.07178	0	0
Healthy	2.66719	13.6904	1.6941	0	0	0.06187	0	0	0	0	0.86242	0.40834	13.6904	0	0.79977	0	0	0.15842	0	0
Healthy	0.07952	0.17355	0.00537	0.0303	0	0	0	0	0	0	0.27006	0.23099	0.17355	0	0.17601	0	0.04458	0	0	0
Healthy	0.08088	0	0	0	0	0	0	0	0	0	0.02937	0	0	0	0	0.15503	0	0	0	0
Healthy	0.03375	0.07373	0.14081	0	0	0	0	0.04553	0.00776	0.00403	3.90154	1.28674	0.07373	0	1.05475	0.31873	0.01042	3.95234	0.04023	0
Healthy	10.2181	0	0	0	0.02241	0	0	0	0.01097	0.00584	0	0.15075	0	0	0	0	0	0	0	0
Healthy	0	0.05589	0	0	0	0	0	0	0	0	0	0	0.05589	0	0	0.22886	0	0	0.03031	0
Healthy	0.06381	0.07129	0	0	0	0.37988	0	0	0	0	0.48446	0.20733	0.07129	0	0.22893	0.70897	0.20734	0.27903	0.0214	0
Healthy	0.06157	0	0	0.55343	0.17536	0	0	0	0	0	0	0	0	0	0.00637	0	0	0	0	0
Healthy	0	0	0	0.00856	0.06151	0	0	0	0	0	0.07101	0.08157	0	0	0.01205	0	0	0	0	0
Healthy	0	0.01052	0.00351	0	0.01567	0	0	0	0	0	0.36709	0.25761	0.01052	0	0.36276	0	0.01155	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.07775	0.53567	0	0	0	0	0	2.72606	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.01417	0.43257	0	0	0.42913	0.72559	0.32629	0	0.11626	0
Healthy	0	0	0	0.0593	0	0	0	0	0	0	0	0	0	0	0.01714	0	0	0.01323	0	0
Healthy	4.2841	0	0	0	0	0.01292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.09743	0.01745	0.01544	0.01418	0.23288	0	0	0	0	0.16832	0.32221	0.09743	2.84518	0.10267	0	0.10029	0.054	0	0
Healthy	0.24207	0.08615	0.01752	0.00425	0.25985	0	0	0	0	0	0	0	0.08615	0	0.00131	0	0	0.27168	0	0.00319
Healthy	2.0968	0	0	0	0	0	0	0	0	0	0	0	0	20.8589	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.82993	0.88487	0	0	0.89458	0	0	0	0	0
Healthy	0.09698	0.01797	0	0	0.00856	0	0	0	0	0	0.1047	0.26133	0.01797	0	0.09499	0.79195	0.00271	0	0.16692	0
Healthy	0.02507	0	0	0	0	0	0	0	0	0	0	0.01581	0	0.32892	0.01103	0	0	0	0	0
Healthy	1.49435	0	0	0	0	0.08387	0.26262	0	0	0	0	0.83816	0	0	0	0	0	0	0	0
Healthy	0	0	0	6.73804	0	0.45334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.05485	0	0	0	0	0	0	0	0.02511	0	0	0	0	0.04991	0	0	0.02374
Healthy	0	0	0	0.03057	0.55688	0	0	0	0.02293	0.00069	0.03732	0.00858	0	0	0	0	0.0054	0	0	0
Healthy	55.0788	0.00148	0	0.0105	0	0	0	0.11153	0.0026	0	0	0	0.00148	0	0	0	0	0	0	0
Healthy	0.57325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7239	0	0.00839	0.09654	0
Healthy	0	0.15442	0.55818	0	0	0	0	0.00583	0	0	0.26443	0.34818	0.15442	0	0.45702	0	0.40163	0	0	0
Healthy	33.3132	0	0	0	0	0	0	0	0	0	0.17258	0.18999	0	0	0.13819	5.19566	0.08509	0	0.17314	0
Healthy	5.37164	0.02733	0	0	0	0	0	0	0	0	2.54507	0.60366	0.02733	6.37725	0.13797	0	0.23759	0	0	0
Healthy	0	0.01477	0	0	0	0.03426	0	0	0	0	0	0.02905	0.01477	0.02588	0.0541	0.12392	0	0	0.00524	0
Healthy	0	0.16062	0.05624	0	0	0	0	0	0	0	0.60179	0.29519	0.16062	0.00882	0.14741	0.15027	0.21148	0	0	0
Healthy	1.15581	0	0	0.27628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
