group	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Gammaproteobacteria	Verrucomicrobiae	Bacilli	Methanobacteria	Desulfovibrionia	
Healthy	1.28454	0.037		53.12384	35.90349	1.28454	0.02478	0.14314	0	0.037	
Healthy	0.26069	0		79.20896	2.41615	0.26069	0	0	0	0	
Healthy	6.40698	0.65549		30.60738	9.89037	6.40698	20.014	0.27287	0.54614	0.65549	
Healthy	0.01474	0		56.25764	28.81302	0.01474	0.00383	0.0223	0	0	
Healthy	0.1002	0.05737		44.45977	5.85974	0.1002	0	0	0	0.05737	
Healthy	0	0.02658		39.3006	25.37276	0	1.13725	0	15.6428	0.02658	
Healthy	16.45125	0		41.24657	16.98491	16.45125	0	0.14265	0.32705	0	
Healthy	1.75402	0.09831		86.758	7.64421	1.75402	0	0.10243	0	0.09831	
Healthy	0	0		12.46553	68.26649	0	0.00932	0.11515	3.21156	0	
Healthy	1.15039	0.00189		32.27683	29.47053	1.15039	0.46621	0.23235	0.11285	0.00189	
Healthy	0.19017	0.06104		64.17502	17.59314	0.19017	0	0.06868	0	0.06104	
Healthy	0.33784	0.10029		76.44017	6.84408	0.33784	0	0.14147	0	0.10029	
Healthy	1.75061	0		9.7859	24.61586	1.75061	0	18.28259	1.04718	0	
Healthy	15.52302	0.03635		42.18549	19.25723	15.52302	0	2.16373	0	0.03635	
Healthy	3.57498	0.0481		42.13047	23.91868	3.57498	0.4713	2.45416	0.14447	0.0481	
Healthy	0	0		0	66.8256	0	17.4263	0	0	0	
Healthy	0.40379	0		32.80466	44.58733	0.40379	0	0.11797	0.15253	0	
Healthy	0.12857	0		68.34488	7.33314	0.12857	0	0.24099	0	0	
Healthy	5.97118	0.20315		75.43383	5.42433	5.97118	0	0.09705	0	0.20315	
Healthy	0.71479	0.03612		56.49432	11.51107	0.71479	0	0.07184	0	0.03612	
Healthy	13.22994	0		33.84867	11.78326	13.22994	0.54368	0.2213	0.60936	0	
Healthy	1.43022	0.0924		52.57168	24.09324	1.43022	1.91855	0.0141	0.01981	0.0924	
Healthy	2.29813	0		56.34078	14.05663	2.29813	0	0.31709	0	0	
Healthy	0.22236	0.06614		20.22819	40.22476	0.22236	0	0.62807	0	0.06614	
Healthy	1.52386	0		68.44359	3.76215	1.52386	0	0.86968	0	0	
Healthy	4.12779	0		92.1473	2.12578	4.12779	0.53649	0	0	0	
Healthy	0.0093	0.28312		34.97998	33.73335	0.0093	0.87446	2.38221	0	0.28312	
Healthy	2.08862	0		23.00519	37.48533	2.08862	3.051	2.88264	3.06931	0	
Healthy	1.16431	0		54.76138	21.43478	1.16431	1.83608	0	0.54243	0	
Healthy	3.85255	0.01952		66.122	17.55031	3.85255	0	0.19801	0	0.01952	
Healthy	3.18134	0.24434		64.06188	27.95041	3.18134	0	0.0405	0	0.24434	
Healthy	0.2284	0		65.39898	9.97554	0.2284	7.69718	0	0	0	
Healthy	3.01158	0.33779		64.13532	27.79906	3.01158	0	0.07771	0	0.33779	
Healthy	0.29008	0.04101		14.14777	47.65975	0.29008	1.18295	0.47803	0	0.04101	
Healthy	0.07615	0		18.69823	50.32821	0.07615	0.00566	18.58702	0	0	
Healthy	1.37665	0.04377		76.52103	8.60875	1.37665	0	0.06404	0	0.04377	
Healthy	0.43492	0.32464		53.00535	16.09551	0.43492	5.35516	0	0	0.32464	
Healthy	0.20592	0		12.99612	60.43685	0.20592	0.02702	2.72725	1.70278	0	
Healthy	2.52419	0.09504		24.87301	47.10592	2.52419	0	8.36331	0.81474	0.09504	
Healthy	0	0		28.73911	37.85585	0	0	0.57303	9.23471	0	
Healthy	11.58286	0.00212		24.27956	32.19718	11.58286	14.9065	3.20524	0	0.00212	
Healthy	0.04317	0		75.23177	15.38875	0.04317	0.28653	0.12222	0	0	
Healthy	8.85477	0.02153		62.65267	23.36519	8.85477	0	0.07644	0	0.02153	
Healthy	0.529	0		33.92343	51.20299	0.529	0	1.26624	0.89622	0	
Healthy	3.13255	0		60.8361	13.88628	3.13255	5.74457	0.50458	0	0	
Healthy	0.6141	0.00721		75.97442	8.39604	0.6141	0	0.00291	0	0.00721	
Healthy	0.65702	0		22.48595	52.75611	0.65702	0	0.80012	0	0	
Healthy	2.13381	0.08954		43.89442	22.17331	2.13381	4.75004	2.45663	0.00715	0.08954	
Healthy	0.08094	0.19444		67.57311	7.23406	0.08094	10.3129	0.05079	0	0.19444	
Healthy	1.33336	0.17895		54.50736	7.2027	1.33336	7.16262	0.35675	0	0.17895	
Healthy	1.87309	0.14804		36.60204	51.38719	1.87309	0.03189	0.02683	0.05897	0.14804	
Healthy	0	0		2.1963	84.8431	0	0	3.05681	2.07917	0	
Healthy	0.24052	0		40.07286	35.81923	0.24052	0	3.87859	0.71531	0	
Healthy	0.41712	0		57.19092	20.68332	0.41712	0	1.06094	0	0	
Healthy	0.54121	0		88.99303	2.63585	0.54121	0	0.24293	0	0	
Healthy	15.84624	0		0.0487	0.09445	15.84624	0	0.32245	0	0	
Healthy	1.31886	0		85.92767	1.3669	1.31886	0	1.26078	0	0	
Healthy	0.07757	0		55.54238	24.28905	0.07757	0	0.48695	0	0	
