s	Clostridium_A_leptum	Enterocloster_sp900540675	Clostridium_Q_symbiosum	Muricomes_sp000509105	Bifidobacterium_sp002742445	Enterocloster_clostridioformis_A	Anaerotruncus_colihominis	Enterocloster_citroniae	Enterocloster_sp000155435	Longicatena_innocuum	Bacteroides_uniformis	Alistipes_putredinis	Phocaeicola_vulgatus	Phocaeicola_dorei	Bacteroides_ovatus	Lachnospira_eligens_B	Barnesiella_intestinihominis	Bacteroides_cellulosilyticus	Alistipes_shahii	Alistipes_obesi	Odoribacter_splanchnicus	Parasutterella_excrementihominis
Healthy	-0.9338605071293	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.429118943195377	0.693663646329222	0.637895815081932	0.278623293061097	-0.694047055039493	-2.14026143380285	0.41772737834436	-5	-0.327809748811747	-0.955499437629359	-0.00465882137147871	-5
Healthy	-2.20760831050175	-0.154108546690116	-5	-5	-5	-5	-5	-5	-5	-5	0.565282159538726	0.335969124359847	0.949579786020261	0.464598330984915	-0.380677055116824	0.144739177044223	0.079752690996707	0.121113174283504	-0.679417560526448	-0.867260161739115	-0.0736112448204073	-1.04730440041308
Healthy	-1.9051796196452	-2.83564714421556	-5	-2.52578373592374	-5	-5	-1.09028354676566	-2.06854212931099	-5	-3.76955107862173	0.57078687014639	0.222786680747627	0.793959321707807	-0.250797220552227	0.225223965501657	-5	-5	-0.569666896619968	-1.41465208890541	-5	-0.340958972003924	-1.59074334796109
Healthy	-1.47069800221202	-1.8955128886876	-5	-5	-5	-2.34198860334289	-2.0515870342214	-1.6085355881609	-1.66958622665081	-2.71219827006977	0.660705195662968	0.527488119887992	0.62345811514965	-0.38276893566965	0.360159659818837	-0.812394684581851	0.568374233824325	-0.190191226625443	0.0804136160361212	0.159558170401349	0.519074213019617	-5
Healthy	-5	-5	-2.84466396253494	-5	-5	-5	-1.42377386255039	-5	-5	-5	1.52140760274517	-5	0.852546474641639	0.446423763509305	0.406015303776256	-5	0.805146617599273	0.686294775999231	-0.0967309034730737	0.595900566721725	0.017016635343629	-0.533325112790015
Healthy	-3.82390874094432	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.326761752281461	-5	0.671408908807163	0.344849908568291	-3.49485002168009	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.663021160876662	0.789851356844084	0.724024233684209	-5	-0.546926401848367	-1.70049270129951	0.557562537843242	0.84633154421614	0.128392805954216	-0.295326241900473	0.314941086692983	-5
Healthy	-0.444276944924946	-1.39168795730267	-0.311322169816408	-5	-5	-5	-0.424177348062638	-5	-2.63264407897398	-5	1.05221707182916	-5	0.971910586743869	-5	0.774035690647873	-5	-5	-5	-5	-5	-5	-1.06696850489759
Healthy	-2.37161106994969	-5	-5	-5	-5	-5	-1.95979337242529	-5	-5	-3.20760831050175	-0.0130939686192789	0.953891071302035	0.747505804211535	0.439984435902807	-1.90903692340427	0.498580697431254	-5	-5	0.289762813884735	-1.03030458888153	0.14447768699984	0.108751013469221
Healthy	-1.28592183501814	0.210462993033025	-5	-5	-5	-5	-5	-5	-5	-5	0.735842323775894	0.426483608775654	-0.071435174511856	-0.423140570292497	-5	-0.272898139370808	-0.172191484490173	-5	0.213732858783038	0.510452511717222	-5	-2.33724216831843
Healthy	-0.695315634025614	-0.0288494465886003	-1.68507994400758	-5	-5	-5	-5	-5	-5	-5	-5	1.19127798882829	1.12048212744257	-5	-5	-5	0.528696927648808	0.645763086229693	-5	-0.433963398675432	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.315344678779014	-5	0.603872639934048	0.143086655986222	-2.37986394502624	0.743828705085318	0.647729093967794	-5	-1.22709180502873	-1.0395292224657	0.014293671949801	-5
D003924	-0.409871805279402	-2.30980391997149	-5	-5	-1.4068247365219	-5	-5	-5	-5	-2.27490547891853	-0.501014401914766	-0.00402276871650408	-1.48558507941963	-2.0467236633327	-2	-5	-5	-5	-1.17431429197824	-0.828302792751164	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.886425294062091	0.459427169614258	0.967318600682131	-0.547814749185101	-0.100113866086709	0.648441982427645	0.621364296815923	-5	-0.87899856501036	-5	-5	-1.39404884243513
Healthy	-0.81599035029872	0.373562956599702	-0.754783543052331	-1.01327304066878	-5	-5	-5	-2.24949160514865	-5	-5	1.49890175680026	-5	-0.100163088771485	0.331123487846651	1.04994292179622	-5	0.408331564643599	1.35364718878022	-1.22482661457521	-1.14825258086674	-5	-1.09550084460218
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.173171694527412	-5	0.545711527248392	0.112899792777323	-0.897394805873433	0.430942133059469	-0.332761912577582	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-1.26704363042438	-5	-5	-5	1.51293255074573	-5	0.901692570164319	0.407061021370141	0.392802437083664	-5	0.794208418796174	0.691568583957618	-0.118986449720917	0.570044148871043	-0.00246945725840384	-0.524474084960719
Healthy	-5	-5	-5	-5	-0.248867225544401	-5	-5	-5	-5	-5	0.638506229051029	0.0609130460285099	-0.063616967658219	-5	0.109173421425472	-5	-5	-0.103424183181201	-1.18956584407733	-0.609789320890953	-5	-5
