c	Bacteroidia	Clostridia	Actinomycetia	Verrucomicrobiae	Bacilli	Methanobacteria	Coriobacteriia	Desulfovibrionia
Healthy	1.72075193832482	1.38189538704128	-5	0.282975385635692	-1.85047298624565	-1.70289634985074	-0.674217602484195	-1.03428102975578
Healthy	1.75082293228829	1.14788152240164	0.714166239729455	-5	-0.498803757972911	-5	-2.43297363384094	-5
Healthy	1.30595723893257	1.60449356953884	0.992401068294658	-5	-0.201985035648513	-5	-0.690433704106227	-1.17947015147648
Healthy	1.54381968098756	1.52805960109978	-0.135524518308971	-0.0582550850508751	0.376981866455769	-5	0.045334716316743	-0.548014111051091
Healthy	1.73847446323237	1.33111923301633	0.412347969086344	0.263893965288644	-5	-0.265648292705235	-0.35269528819389	-5
Healthy	1.82034604693572	1.24428503948943	-0.29654525468797	-5	-0.703290943824397	-5	-5	-1.70929775671215
Healthy	1.81557104127818	0.998936849760302	-5	0.886332206961341	-5	-5	-5	-5
Healthy	1.88378086390612	0.934940600473388	-2.17392519729917	-5	-1.19348086591929	-5	-0.502144659868822	-1.35872424276809
Healthy	1.72431978848234	1.20670501205503	-0.868060704789575	0.728773262075445	-5	-5	-0.63520519282589	-0.488584592791225
Healthy	1.88066745045934	0.924075016220443	-5	-5	-2.53461714855158	-5	-5	-2.14146280243036
Healthy	1.64240941377882	1.34583072467652	0.907689155879493	0.676698181121668	0.390341518926754	-2.14508697769214	0.00338297259828993	-1.04793440981495
Healthy	1.73645522766992	0.857495929293535	-1.65600093094284	0.855072517386656	-0.447623844747437	-5	-0.160239219038679	-0.747244028911427
Healthy	1.56350540995057	1.71085495437172	0.362126071357915	-1.49620931694282	-1.57121748850305	-1.22929523178422	-0.386433001228715	-0.829591588274682
Healthy	0.341693638960031	1.92861657958856	-5	-5	0.485269866168583	0.317892088957648	0.566215868865457	-5
D003424	1.73572517800499	1.59941153027818	-0.143905800159112	-5	-2.52870828894106	-5	-0.969319336000098	-5
Healthy	1.94935604251243	0.420922339593397	-5	-5	-0.614500972847943	-5	-0.827718238544999	-5
Healthy	1.74462456359356	1.3854107076947	0.272340642245293	-5	-0.312506711255048	-5	-0.632196967250993	-5
