group	Dialister	Ruminococcus_B	Dorea	Longicatena	Anaerostipes	Intestinibacter	Adlercreutzia	Anaerotruncus	Gordonibacter	Eggerthella	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Anaerobutyricum	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	0.59117	0.07063	0.45839	0	0.11062	0	0	0	0	0	1.95917	0.15905	1.87495	1.8025	0.60527	0.92226	0.06941	0.9289	0.64062	0.45839
Healthy	0	5.39169	0.06578	0	0	0.35363	0	0	0	0	0.91554	2.6742	0.88099	0.06129	0.47844	0.31703	0	0.23437	0.06819	0.06578
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23277	2.53167	0	0	0	0	0
Healthy	4.25365	0	0.26968	0	0.01693	0	0	0	0	0	14.9951	6.37254	12.93834	0.40197	0.22579	0.44587	0	0.18392	0.53306	0.26968
Healthy	6.31044	0.00483	0	0	0	0	0	0.05406	0	0	1.42931	0.9626	1.23219	0.23742	0.01556	0.0557	0.19064	0	0.01221	0
Healthy	2.39552	0	0.67153	0	0	0	0	0	0	0	2.61541	6.10013	0.63495	0.20105	1.87818	1.94333	2.82554	2.63735	4.10101	0.67153
Healthy	0	0.01648	0.33065	0	0.09467	0.04743	0	0	0	0	9.44655	1.98987	2.36098	0.05105	0.90362	0.56239	1.73487	0.675	0.32815	0.33065
D011236	2.30825	0.15676	0.29309	0.01013	0.13917	0.08459	0	0	0	0.02493	12.1674	0	1.58417	0.5023	0.1655	0.63046	0	0	0.12106	0.29309
Healthy	6.35013	0.00686	0.09228	0.24099	0	0	0	0	0	0	1.46116	0	0.98094	0.08193	0.09816	0	0	0	0.17257	0.09228
Healthy	0	0	0	0	0	0	0	0	0	0	0.21343	0	2.87296	0.20381	0.02291	0	0.31594	0	0	0
Healthy	11.5958	0	0	0	0	0	0	0	0	0	1.40639	1.94348	1.10182	0.14231	0.41483	0.0884	0	1.31434	0.08257	0
Healthy	0.22524	0.00091	0.03044	0.0032	0.06775	0	0.06196	0.00225	0.0036	0	1.11679	11.6922	0.49551	0.20969	0.45183	0.04157	0.14616	0.11013	0.26395	0.03044
Healthy	0	0.00557	0	0.03527	2.17641	0.09932	0	0	0	0.00368	0.16418	0	0	0.01807	0.27756	0.91156	0	0	0.00032	0
Healthy	4.06746	0.14116	0.55837	0.02503	0.34365	0.0908	0.18515	0.03849	0.01863	0.00018	9.55	3.74279	7.35424	1.62393	0.61162	1.94611	0	0.03547	0.12913	0.55837
Healthy	0	0.11141	0.678	0	0.38652	0	0.23981	0.0088	0.13544	0.00095	1.52905	0.01244	1.31104	0.35965	0.24044	1.40044	0.73212	0.21954	0.35495	0.678
Healthy	0	0	0.08256	0	0.22003	0.12217	0.06226	0	0	0	3.94545	2.58589	1.62443	0.17201	0.17365	0.26674	0.38165	0.23362	1.27903	0.08256
Healthy	4.47702	0	0.04752	0	0	0	0	0	0	0	6.31094	0	4.27233	0.39585	0	0	0	1.5103	0.10729	0.04752
Healthy	0	0	0	0	0	0	0	0	0	0	1.17275	0	2.88291	0.1563	0	0	0	0.0126	0	0
Healthy	0	0.05311	0.2418	0	0.24457	0.0709	0	0	0	0.00026	0	0	3.05923	0.76527	0.5447	0.04396	0.3144	0.20356	0.07178	0.2418
Healthy	0	0	0.03418	0	0	0	0.09067	0	0	0	2.91926	0.03785	2.69115	1.42142	0	0	0.14095	0	0	0.03418
Healthy	2.48965	0	0.06314	0	0	0	0	0	0	0	0	2.07785	0.25548	0.22834	0.01641	0	0	0.03658	0.03836	0.06314
Healthy	0.14204	0.05193	1.07415	0.0072	0.13271	0.13647	0.22901	0.03033	0.0618	0.00056	6.15479	0	0.76828	0.76747	1.90813	3.49856	0.71644	0.15763	0.5729	1.07415
Healthy	9.30256	0.01119	0.00456	0.00279	0	0	0	0.08371	0.01047	0	0.24847	0.54292	0	0.00976	0.28013	0.0105	0.68097	0.05957	0.02584	0.00456
Healthy	0.26986	0.05435	0.14329	0	0.10568	0	0.05276	0	0	0	5.24714	0.04283	3.39254	0.86068	0.19726	0.29161	0.35797	0.43148	0.2837	0.14329
Healthy	0	0.0266	3.79291	0	0.32591	0.26971	0	0	0	0	0.70755	32.4931	6.59206	5.6824	0.85549	2.37613	3.68311	0.46665	4.65973	3.79291
Healthy	3.34381	0.01424	0	0	0.01443	0	0	0.38064	0	0	0	0	0.4289	0.06426	0.13561	0.00425	0.14868	0	0.01228	0
Healthy	1.41269	0	0	0	0.30038	0.26029	0	0	0	0	7.28422	3.02639	2.44644	0.17702	0.03017	0.87265	0.23323	0	0.33867	0
Healthy	0	0	0	0	0	0	0.51129	0	0	0	0	0	0.45853	0.14695	0.3291	0	0	0.0036	0.06136	0
Healthy	0	0	0	0	0	0	0.7355	0	0	0	0	0	0.60269	0.17457	0.40561	0	0	0	0.08017	0
Healthy	5.34871	0.00935	0.17733	0	0.04889	0	0.03641	0	0	0	16.7736	2.56626	2.4417	0.22845	0.05507	0.08798	0	0.07222	0.27957	0.17733
Healthy	0	0	0.07619	0	0	0	0	0	0	0	1.1377	0.27637	6.11913	0.00558	0	0.02841	0.07736	0	0.08851	0.07619
Healthy	4.62199	0	0	0	0	0	0	0	0	0	0.77652	0	3.37977	0.4621	0	0	0.03571	0.0202	0.04586	0
Healthy	0	0	0	0	0	0	0.14686	0	0	0	0	1.06684	0	0.08284	0.65934	0	0	0	0	0
Healthy	0	0.07356	0.02334	0.00209	0.0846	0	0	0.02013	0.00802	0	3.13531	0	0	0.67689	0.04138	0.46926	1.46902	0	0.11858	0.02334
Healthy	0	0.09022	0	0.00545	1.2924	0.25312	0	0.00553	0	0.01042	0.99371	1.5587	11.11801	0.00667	0.09799	0.12008	0	0	0.0048	0
Healthy	5.07885	0.00665	0	0	0	0	0	0	0	0	14.3866	0.0013	2.83763	0.03479	1.01141	0	0	0	0	0
Healthy	0	0	0.9074	0	0	0	0	0	0	0	1.73722	11.9056	1.7108	1.66588	2.16324	0.57718	3.88243	0.49361	0.72437	0.9074
Healthy	1.99584	0.09717	1.51285	0.5723	3.30523	0.01342	0.19679	0	0.01837	0	0	17.0343	1.29313	0.01181	0.09151	0.60249	0.00219	0	0.90537	1.51285
Healthy	0	0	0.68194	0	0.07734	0	0	0	0	0	2.49676	0.55983	1.83208	1.953	0.79534	0.79118	0.10638	0.62703	0.66445	0.68194
Healthy	0	0	0	0	0.29749	0	0	0	0	0	0.55787	3.29959	0.7731	0.09344	2.08235	0.9126	0	0.78451	0.29839	0
Healthy	0	0	0.08105	0	0	0.39724	0	0	0	0	0.56277	0.10202	0.96719	0.03854	0.50451	0.13232	0.07817	0.27715	0.1194	0.08105
Healthy	0.03571	0	0.01672	0.01167	0	0	0	0	0	0	0.0614	0.68619	0.0468	0.01505	0.06154	0.00178	0.96563	0	0.04908	0.01672
Healthy	0.61502	0	0.07593	0	0	0	0	0	0	0	0	5.08415	0.09596	0.0062	0	0.15205	1.24073	0	0.32589	0.07593
Healthy	4.75712	0.13052	0.02256	0.52614	0.18609	0	0.07283	0.00163	0.00992	0.0011	0.00314	0	1.13283	0.10502	10.72712	4.4287	0	5.67344	2.75113	0.02256
Healthy	0	0	0.04307	0	0	0	0	0.03156	0	0	5.39703	0.63357	1.93799	0.74578	0.39147	0	0.38018	0.02105	0.23815	0.04307
