group	Prevotella	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Clostridium_Q	Longicatena	Anaerotruncus	Eggerthella	Bacteroides	Parabacteroides	Dialister	Barnesiella	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
Healthy	51.6685	0.15734	0	0.06532	0	0	0	0	0	0	6.77115	0.90677	0	1.05065	0	0	0.93324	0.00058	0.11803	0.15155
Healthy	0	0.06106	0	0	0	0.07883	0.36506	0	0	0	63.97211	5.52009	0	2.04648	0	0	0	0.05427	0	0.50884
Healthy	9.36706	0	0	0	0	0	0	0.14126	0	0	4.67047	4.21557	0	7.17482	0	7.54448	0	0	0	0
Healthy	0	0.09972	0	0	0	0	0	0	0	0	31.3614	2.16565	0	0	0.1003	0	0.3977	0.17117	0	0.01507
Healthy	0	0	0.01067	0	0	0	0	0.1217	0	0	19.46539	0.22304	3.15007	0	0	0	0	0.01067	0	0
Healthy	0.00254	0.00443	0	0.10937	0	0	0	0.00141	0	0	11.34088	6.60174	0	1.0651	5.25385	0.63907	1.15443	0.08463	0.03022	0.18042
Healthy	0.25656	7.64961	0.00528	0.09002	0	0.00775	0.19806	0.02505	0.0005	0.00493	9.19932	2.63163	0	3.28876	0.04984	0	2.09009	0.06652	0.03859	0
Healthy	0	0.21745	0.60085	0	0	0	0	0	0	0.05192	5.17941	0.39655	0	1.47979	0	0	0	0	0	0.04446
Healthy	0	87.6699	0	0	0	0	0	0	0	0	0.02353	0.00378	0	0	0	0	0	0	0	0
Healthy	0	0.87742	0.51752	0.14111	0.33094	0.06087	0	0.07524	0	0.01993	22.22715	0.6642	0	0	1.4135	1.52762	0	0.03921	0.04634	0
Healthy	0	0	0	0	0	0	0	0	0	0	40.93105	4.40354	3.61042	3.23702	0	0	0	0	0	0.01528
Healthy	0	0.08761	0.02657	0.07677	0.14599	0	0.00017	0.00432	0	0	3.14729	0.36746	0	1.35453	4.84302	1.80075	1.03624	0.01542	0.21338	0.00829
Healthy	0	0	0	0	0	0	0	0	0	0	14.58237	0.23943	0	5.53984	0.77316	0.18038	1.48318	0.05382	1.12029	0.19327
Healthy	0	0	0.0408	0	0	0.01741	0.20356	0	0.13357	0	29.92045	50.7413	0	0	0	0	0	0.00906	0	0
Healthy	0	0	0	0	0	0	0	0.0123	0.03366	0.01763	34.6117	2.8454	0	0	2.9041	0.08119	0	0.20742	0	0.002
Healthy	26.4523	0	0	0	0	0	0	0	0	0	9.98078	2.0217	0	5.79777	0.0078	0	0	0	0.17996	0
Healthy	0	0.36426	0	0.23996	0	0	0	0	0	0	7.61737	4.8622	2.47331	2.68284	0	0	1.4674	0	0.25254	0.00901
Healthy	0	0.91721	19.5045	0	0	0	0	0	0	0.03312	24.34593	0.10923	0	0	0	0	0	0.04847	0	0
Healthy	0	0.14705	0	0	0	0	0	0	0	0	37.7005	4.39784	2.80683	3.1311	1.15908	0.04311	0.71018	0	0.02569	0.24334
Healthy	0	0.05728	0	0.02082	0	0	0	0	0.06048	0	21.7959	9.50977	0.386	5.23642	1.73905	0.18758	2.31782	0.16032	0.03009	0.01697
Healthy	0	0.18304	0.00127	0	0.04332	0.00295	0	0.00187	0.00118	0	7.95144	2.35053	0.00036	1.69821	3.48437	0	0.69215	0.02311	0.17786	0.06115
Healthy	0	0.09665	0	0	0	0	0	0	0	0	20.9233	6.40451	0	2.61653	0.50096	0.07048	0.98932	0.02715	0.05137	0
Healthy	9.96416	0	0	0	0	0	0	0	0	0	3.11062	0.42982	6.52691	0	0	0	0	0.30461	0	0
Healthy	0.09981	0	0	0.05059	0	0	0	0	0	0	18.04438	1.44495	0	1.20157	3.9656	0	0.84408	0.08103	0.00799	0.08967
Healthy	10.11089	0	0	0	0	0.0068	0.0094	0	0	0	6.97932	1.38836	0	0.76986	0.01794	2.20838	0	0.87914	0.0229	0
Healthy	0	0.13388	0	0	0	0	0	0	0	0	27.8053	3.84116	7.61668	5.55921	0.83211	0.91984	1.23081	0.07362	0.04588	0.11188
Healthy	0	0.09389	0	0	0	0	0	0	0	0	36.80431	4.39523	2.84921	3.12086	1.25899	0.06314	0.77326	0.01522	0.03195	0.26229
Healthy	19.3017	0	0	0	0	0	0	0	0	0	19.52836	0	0	0.48983	0	0	0	0	0	0
Healthy	0	0.01077	0.00805	0.01136	0	0.00463	0.00096	0.03373	0.00106	0	36.88523	0	0.82615	0	0	0	0	0.03935	0	0
Healthy	0.01328	0.00903	0.0148	0	0	0.00297	0	0.00016	0.08122	0	20.34305	17.6543	10.2571	0	0.26842	0	0.45607	0.21544	0.0182	0.02565
Healthy	0	0	0	1.81989	0	0	0	0	0	0	23.03575	0.28595	1.84818	0	0	0	0	0	0	0.05455
Healthy	0	0	0	0	0	0	0	0	0	0	1.75458	0	9.46156	0	10.6343	0	0	0	0	0
Healthy	0	0.00336	0.01194	0.00195	0	0	0	0.00364	0.00887	0	24.21156	3.48193	0	3.70146	0.67935	0.52921	3.30425	0.02161	0.09568	0
Healthy	0	0.07286	0	0.023	0	0	0.00142	0	0.03768	0	45.82086	5.10208	6.24256	6.38478	0.17288	0	1.03995	0.10007	0.06004	0.29286
Healthy	0	16.2661	0	0.19266	0	0	0	0	0	0	2.12647	0.75704	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	16.9332	6.52016	0	3.61045	0.41444	2.8803	2.06509	0.2895	0	0
Healthy	0	0.02321	1.75437	0	0	0.00396	0	0.2655	0	0	29.01246	1.47904	6.41941	0	0	0	0.55504	0.0481	0.1397	0.21457
Healthy	0	0.37736	0.02053	0	0	0	0.48828	0	0.37654	0	76.44491	3.29067	3.32443	0	0	0	0	0.18962	0	0.0857
Healthy	31.92376	0.0328	0	0	0	0	0	0	0	0	18.51345	4.94019	0	1.51923	1.37095	0	1.31168	0.40547	2.15701	0.04583
