ID	Group
ERR480615	Healthy
ERR525850	Healthy
ERR480816	Healthy
ERR209404	Healthy
ERR719553	Healthy
ERR719595	Healthy
ERR720026	Healthy
ERR719690	Healthy
SRR5813370	Healthy
ERR011193	Healthy
ERR209641	Healthy
ERR719850	Healthy
SRR5813228	Healthy
ERR480699	Healthy
ERR719350	Healthy
SRR5650046	Healthy
ERR011118	Healthy
ERR525757	Healthy
ERR526069	Healthy
ERR719062	Healthy
ERR720160	Healthy
SRR053021	Healthy
SRR5947810	Healthy
SRR6474312	Healthy
ERR525871	Healthy
ERR480490	Healthy
ERR525820	Healthy
ERR209101	Healthy
ERR209185	Healthy
ERR719803	Healthy
ERR719935	Healthy
ERR209143	Healthy
ERR011204	Healthy
ERR209416	Healthy
ERR505089	Healthy
ERR526031	Healthy
ERR719800	Healthy
SRR5983329	Healthy
ERR321536	Healthy
ERR209670	Healthy
ERR209310	Healthy
ERR209203	Healthy
ERR209482	Healthy
ERR209519	Healthy
ERR719886	Healthy
ERR209671	Healthy
SRR5091472	Healthy
SRR6474306	Healthy
ERR209259	Healthy
ERR479023	Healthy
ERR525792	Healthy
ERR719263	Healthy
ERR209282	Healthy
ERR209354	Healthy
ERR479018	Healthy
ERR719078	Healthy
ERR209398	Healthy
ERR719434	Healthy
SRR1930132	Healthy
ERR719913	Healthy
ERR719381	Healthy
SRR5763484	Healthy
SRR5091615	Healthy
ERR719492	Healthy
ERR525770	Healthy
SRR5903350	Healthy
ERR481066	Healthy
ERR720164	Healthy
SRR5813230	Healthy
ERR209497	Healthy
SRR5813290	Healthy
SRR5763447	Healthy
SRR5813257	Healthy
ERR719689	Healthy
ERR719776	Healthy
SRR6474283	Healthy
ERR479591	Healthy
ERR719000	Healthy
ERR720151	Healthy
SRR5813225	Healthy
ERR011091	Healthy
SRR5651471	Healthy
ERR480460	Healthy
ERR209160	Healthy
ERR719109	Healthy
ERR321379	Healthy
ERR719412	Healthy
SRR5651425	Healthy
SRR6474291	Healthy
ERR209464	Healthy
ERR480501	Healthy
ERR719696	Healthy
ERR479195	Healthy
ERR505084	Healthy
SRR053022	Healthy
ERR479398	Healthy
ERR321238	Healthy
ERR719987	Healthy
ERR719187	Healthy
SRR961786	Healthy
ERR209854	Healthy
SRR6474311	Healthy
ERR1809139	Healthy
ERR719256	Healthy
SRR5813413	Healthy
ERR209386	Healthy
SRR5947828	Healthy
SRR5650051	Healthy
ERR479061	Healthy
ERR719619	Healthy
ERR719427	Healthy
ERR719633	Healthy
SRR6474266	Healthy
ERR011121	Healthy
ERR719647	Healthy
ERR719463	Healthy
ERR719128	Healthy
ERR719226	Healthy
ERR719515	Healthy
ERR209240	Healthy
SRR5091596	Healthy
SRR5813237	Healthy
ERR526077	Healthy
ERR719475	Healthy
SRR5813243	Healthy
ERR321214	Healthy
ERR479135	Healthy
SRR2726138	Healthy
SRR5275468	Healthy
ERR479393	Healthy
ERR526007	Healthy
SRR5651430	Healthy
ERR719036	Healthy
ERR719766	Healthy
ERR321557	Healthy
SRR5983350	Healthy
ERR209493	Healthy
SRR5813197	Healthy
ERR719640	Healthy
ERR719678	Healthy
ERR719904	Healthy
SRR5763453	Healthy
ERR719675	Healthy
SRR5813184	Healthy
ERR719496	Healthy
SRR5651421	Healthy
ERR720128	Healthy
ERR480785	Healthy
ERR719754	Healthy
ERR209089	Healthy
SRR961694	Healthy
SRR5813395	Healthy
ERR011198	Healthy
ERR719407	Healthy
ERR321159	Healthy
ERR719971	Healthy
ERR209355	Healthy
ERR321152	Healthy
ERR321415	Healthy
ERR479262	Healthy
ERR719362	Healthy
ERR720222	Healthy
ERR479275	Healthy
ERR480496	Healthy
ERR719296	Healthy
ERR720000	Healthy
ERR525966	Healthy
ERR695608	Healthy
ERR719920	Healthy
SRR5813293	Healthy
ERR719885	Healthy
ERR719879	Healthy
ERR526050	Healthy
ERR719664	Healthy
ERR719497	Healthy
ERR011271	Healthy
ERR480876	Healthy
ERR719584	Healthy
ERR719862	Healthy
ERR209186	Healthy
ERR526040	Healthy
ERR209163	Healthy
ERR011186	Healthy
ERR719771	Healthy
ERR479081	Healthy
SRR6474209	Healthy
ERR720009	Healthy
ERR209171	Healthy
ERR480473	Healthy
ERR525949	Healthy
ERR719400	Healthy
ERR719684	Healthy
ERR209367	Healthy
ERR719223	Healthy
ERR481093	Healthy
ERR2182505	Healthy
ERR720183	Healthy
ERR719951	Healthy
ERR525971	Healthy
ERR719520	Healthy
ERR719395	Healthy
ERR209683	Healthy
ERR209798	Healthy
ERR481077	Healthy
SRR1930122	Healthy
ERR719135	Healthy
ERR719098	Healthy
SRR5763475	Healthy
ERR209370	Healthy
ERR210092	Healthy
ERR719015	Healthy
ERR011122	Healthy
ERR209465	Healthy
