group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Coriobacteriaceae	Peptostreptococcaceae	Lactobacillaceae	Pasteurellaceae	Eggerthellaceae	Rikenellaceae	Ruminococcaceae	Bifidobacteriaceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	58.92111	2.97284	0	0.11515	0	0	0	0	0	0	0	2.97284	0	4.25365	0.00932	0.46476	0	3.21156	0	0
Healthy	2.98722	2.20024	0.6206	0	0.14147	0.19064	0	0	0.01062	0	8.44097	2.20024	0.6206	6.31044	0	6.22598	0.29889	0	0.99432	0.69402
Healthy	15.91284	2.60289	22.56278	15.69812	0	2.82554	0	0	0	0	1.61128	2.60289	22.56278	2.39552	0	0	0	1.04718	0	0
Healthy	15.08024	2.1367	5.05257	0.33687	1.6957	1.73487	0.04743	0.13116	0.03449	0	5.75588	2.1367	5.05257	0	0	0	8.98905	0	0.59341	0.00299
D003093	1.13916	1.55616	0.96585	0	0	0	0	0	0	0	0	1.55616	0.96585	0	0	0	0	0	0	0
Healthy	2.94694	2.03873	0.38779	0	0.24099	0	0	0	0	0	11.63891	2.03873	0.38779	6.35013	0	0	0.12857	0	0	1.74357
Healthy	3.31311	2.08575	0.49252	0	0.09705	0.31594	0	0	0.01729	0	22.20962	2.08575	0.49252	0	0	1.7863	5.95389	0	0.77418	0.02547
Healthy	4.67955	5.16023	0	0	0.2213	0	0	0	0	0	5.79551	5.16023	0	11.5958	0.54368	0.89589	0.37574	0.60936	2.25825	0
Healthy	4.47133	7.83113	0	0.0109	0.0032	0.14616	0	0	0	0.06556	20.6628	7.83113	0	0.22524	1.91855	0	1.42197	0.01981	2.31492	0.04391
Healthy	4.96469	8.98741	5.15639	0.25644	0.03527	0	0.09932	0	2.29054	0.00368	6.05686	8.98741	5.15639	0	0	0	0.0035	0	0	0.00521
Healthy	26.02253	8.82855	9.82654	0.54071	0.02503	0	0.0908	0	0.19393	0.20396	5.4983	8.82855	9.82654	4.06746	0	0	0.00678	0	0	0.52013
Healthy	15.93214	17.63019	0.73193	2.28461	0.08713	0.73212	0	0.003	0	0.3762	4.42938	17.63019	0.73193	0	0.87446	3.89693	0.0093	0	0.58748	0.01037
Healthy	13.86684	4.71969	2.58432	0	0	0.38165	0.12217	0	0	0.06226	17.14519	4.71969	2.58432	0	1.83608	9.5509	1.16431	0.54243	1.88591	0.14019
D003093	20.32929	2.89669	0.53447	0.00125	0.42745	0.01996	0.19013	0	0	0	6.52618	2.89669	0.53447	0	0.00323	4.51713	0.08264	0.03628	2.84765	0.0817
Healthy	13.69074	3.75877	0.50518	0.19801	0	0	0	0	2.77557	0	6.97937	3.75877	0.50518	4.47702	0	1.10706	1.07698	0	0	0.1008
Healthy	5.4809	4.47824	0	0	0	0	0	0	0.12423	0	11.84445	4.47824	0	0	7.69718	0	0.10417	0	0	0.0164
Healthy	5.82858	2.57906	0.00669	0.06404	0	0.3144	0.0709	0	0	0.00026	0.51449	2.57906	0.00669	0	0	0	0	0	0	0.13021
Healthy	7.62617	8.38082	0.13549	0	0	0.14095	0	0	0	0.09067	23.13099	8.38082	0.13549	0	5.35516	1.61717	0.39005	0	0.03503	0
Healthy	2.05337	4.26482	0	0.00291	0	0	0	0	0.23479	0	28.97505	4.26482	0	2.48965	0	2.7737	0.013	0	2.06682	0
Healthy	17.42598	4.45408	8.07662	1.47116	0.08093	0.71644	0.13647	0.90454	0	0.29137	8.8283	4.45408	8.07662	0.14204	4.75004	2.84294	0.00433	0.00715	1.36225	0.13401
Healthy	0.82468	4.01289	0.02207	0	0.35675	0.68097	0	0	0	0.01047	2.49326	4.01289	0.02207	9.30256	7.16262	0	0.2712	0	0	1.78574
Healthy	13.15289	38.17465	2.3021	0.02683	0	0.35797	0	0	0.01462	0.05276	7.99269	38.17465	2.3021	0.26986	0.03189	0.51114	1.85847	0.05897	1.54784	0.01682
Healthy	29.97117	22.10912	0	0	1.933	3.68311	0.26971	0	0	0	0	22.10912	0	0	0	0	0	2.07917	0	0
D003093	28.12442	5.58625	10.37416	0	0	4.26789	0.06694	3.75341	0	0	0.82518	5.58625	10.37416	0	0.57305	0	0.75279	0	0	0
Healthy	1.15799	0.89925	0	0.21585	0.02708	0.14868	0	0	0	0	0	0.89925	0	3.34381	0	0	0.11156	0	0	0.20572
Healthy	16.08956	4.91281	1.87214	0.04828	0.43867	0.23323	0.26029	0	0.04188	0	3.7531	4.91281	1.87214	1.41269	0	0	0.03569	0	0	0
Healthy	2.66517	8.9483	0	0	0.01705	0	0	0	0.07776	0.51129	0.63812	8.9483	0	0	0	0	5.7003	0	0.9632	0.15639
Healthy	3.20391	11.35242	0	0.00451	0.01215	0	0	0	0.06544	0.7355	0.89891	11.35242	0	0	0	0	7.09637	0	1.07873	2.66772
Healthy	22.52399	12.27917	1.19003	0	0.0136	0	0	0.0073	0.02787	0.03641	0.87139	12.27917	1.19003	5.34871	0	1.24513	0	0	0.587	0.09915
Healthy	23.50672	3.55185	0	0	0.05412	0.07736	0	0	0	0	24.43499	3.55185	0	0	0	1.10334	2.9757	0	0.79485	0.2508
Healthy	5.27636	4.86156	0.23312	0.5783	0	0.03571	0	0	0	0	2.45781	4.86156	0.23312	4.62199	0	3.76568	6.33312	0	1.04245	0.1223
Healthy	0.74218	7.68045	2.71886	0	0	0	0	0	0	0.14686	17.06665	7.68045	2.71886	0	17.199	6.29834	0.0632	0	0	0.18747
Healthy	4.66382	0.47981	5.45435	0.10271	0.00569	1.46902	0	0	0	0.00802	0.1997	0.47981	5.45435	0	3.52859	0	0.02799	0	0	0.05913
Healthy	20.07617	6.64148	0.74589	0.01597	0.00545	0	0.25312	0.02608	0.04462	0.01042	0	6.64148	0.74589	0	0	0	0.17411	0	0	0.04607
Healthy	20.8232	9.53526	0.01296	0	0	0	0.16683	0	0.67165	0	0	9.53526	0.01296	5.07885	0	0	5.90439	0	0	0.1339
Healthy	18.86342	25.28152	2.57185	0.78156	11.3576	3.88243	0	0	0	0	0.23084	25.28152	2.57185	0	0	1.08835	0	0	0	0
Healthy	8.09311	18.29438	4.99535	0.60443	0.5723	0.00219	0.01342	0	0	0.21516	0.61624	18.29438	4.99535	1.99584	0	0	0	0	0	0
Healthy	18.30054	2.75889	0	0	0	0.10638	0	0	0	0	0.03482	2.75889	0	0	0.06765	0	0	0	0	0
Healthy	9.47397	8.58561	0	0.00195	0	0	0	0	0.06709	0	15.23831	8.58561	0	0	3.04604	0.10558	8.78787	0.57278	1.80602	1.53569
Healthy	11.74589	28.78528	0.3126	0.03976	0.11145	0.07817	0.39724	0	0.12678	0	2.87028	28.78528	0.3126	0	1.83008	0.16735	0.08859	0.1514	0.70656	0
Healthy	0.2867	1.26394	0.32681	0.04975	0.29282	0.96563	0	0	0	0.00975	20.00155	1.26394	0.32681	0.03571	0.00437	2.88154	0.0042	0	0.79541	2.15327
Healthy	1.01616	0.82616	1.20433	0.29215	0.56328	1.24073	0	0	0	0	14.67782	0.82616	1.20433	0.61502	0.51673	1.9336	0	0	0	0.53887
Healthy	25.34291	10.02603	5.29069	0.22287	0.57913	0	0	0	0	0.08385	0.42444	10.02603	5.29069	4.75712	25.358	0	0	0	0	0.27181
Healthy	9.43879	5.53352	1.37642	0.02321	0	0.38018	0	0	0	0	13.99989	5.53352	1.37642	0	0.53875	0	0.01784	0.0264	1.94002	0.09268
Healthy	6.33331	4.09189	3.22177	0	0.28536	0.22602	0.0182	0	0.01449	0	8.47845	4.09189	3.22177	0	5.195	3.19204	0.67731	0.50179	2.21731	0.03116
Healthy	0.00094	0	0.02275	0	0	0	0	0.22892	0	0	0	0	0.02275	0	0	0	0	0	0	0
Healthy	21.55607	3.79106	0	0.09358	0.0673	0.02688	0	0	0.11696	0.1511	20.27064	3.79106	0	0	0	2.48727	5.18226	0	0.83263	0.19885
Healthy	0	0	89.8523	0.00367	0.02798	0	0.02357	3.58269	0.0088	0.00219	0.01919	0	89.8523	0	0.00841	0	0	0	0	0.25159
