group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Bifidobacterium_pseudocatenulatum	Ruminococcus_B_gnavus	Flavonifractor_sp000508885	Enterocloster_citroniae	Bacteroides_uniformis	Dialister_invisus	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	4.19445	0	0	0	13.7189	0	0	0	0	0	1.19972	2.47331	0.94628	0	1.4674	0	0.25254	0	0.00901	0
Healthy	0.00068	0	0	0	0	0	0	19.5045	0.04847	0	0.05133	0	0	0	0	0	0	0	0	0.04847
Healthy	2.14559	0	23.2176	0	0	0	0	0	0	0	3.04	2.80683	1.58763	0	0.71018	0	0.02569	0	0.24334	0
Healthy	4.84117	0	0.03278	0	0	0	0	0	0.0386	0	2.28163	0.386	2.7457	1.44167	2.31782	3.66252	0.03009	0.12172	0.01697	0.0386
Healthy	7.79271	0	0.0098	17.7284	0	1.87074	2.1586	0.00127	0.0178	0	7.12912	0	1.29106	0	0.69215	0	0.17786	0.00531	0.06115	0.0178
Healthy	3.41433	0	1.27045	0	0	7.92981	0.23733	0	0	0	2.68607	0	0.47009	2.12136	0.98932	13.66	0.05137	0.02715	0	0
Healthy	1.53945	9.96416	0	0	0	0	0	0	0	0	1.01533	6.52691	0	0	0	0	0	0.30461	0	0
Healthy	7.21216	0	0	4.33873	0	0	0	0	0	0	3.6752	0	0.2092	0	0.84408	0	0.00799	0.08103	0.08967	0
Healthy	2.32887	8.98375	0.23735	0	0	1.35237	0	0	0.0029	0	3.16585	0	1.15163	0	0	0.4474	0.0229	0.87624	0	0.0029
Healthy	3.25208	0	17.7601	0	0	0	0	0	0	0	3.49492	7.61668	1.69165	0	1.23081	0	0.04588	0.07362	0.11188	0
Healthy	2.3511	0	22.6465	0	0	0	0	0	0	0	2.86367	2.84921	1.64761	0	0.77326	0	0.03195	0.01522	0.26229	0
Healthy	9.38873	0	13.0409	0	0	0	0	0	0	0	3.52081	0	0.09029	0.04924	0	0.07713	0	0	0	0
Healthy	0.46439	0	0	0	0	0	0	0.00805	0	0	22.0857	0.82615	0.14612	0	0	0	0	0.03935	0	0
Healthy	3.67723	0.01328	12.2382	0	0	0	0.04715	0.0148	0.00503	0.00853	3.72208	10.2571	0.03848	0	0.45607	0	0.0182	0.21041	0.02565	0.00503
Healthy	4.42476	0	0	9.80824	0	0	0	0	0	0	15.1491	1.84818	1.07334	0	0	0	0	0	0.05455	0
Healthy	13.536	0	0	0	0	0	0	0	0	0	1.26494	9.46156	0	0	0	0	0	0	0	0
Healthy	3.78626	0	0.00318	0	3.14863	6.48184	0	0.01194	0.00098	0.02462	4.5783	0	1.2034	0	3.30425	3.90124	0.09568	0.02063	0	0.00098
Healthy	1.90978	0	0	0	0	0	0	0	0.03838	0	33.2206	6.24256	0.80032	0	1.03995	0	0.06004	0.06169	0.29286	0.03838
Healthy	0.00368	0	0	0	0	0	0.00783	0	0	0	2.12207	0	0	10.9103	0	0	0	0	0	0
Healthy	9.59753	0	0	0	0	0	0	0	0	0	4.60278	0	1.34397	0	2.06509	0.69698	0	0.2895	0	0
Healthy	1.86857	0	0	0	0	0	0	1.75437	0	0	26.8096	6.41941	1.51823	0	0.55504	0	0.1397	0.0481	0.21457	0
Healthy	0.5278	0	0	0	0	0	0	0.02053	0.18101	0	11.2776	3.32443	0	0	0	0	0	0.00861	0.0857	0.18101
Healthy	2.42985	25.9088	1.06311	0	0	1.34036	0	0	0.0137	0	8.87042	0	2.00689	0	1.31168	0	2.15701	0.39177	0.04583	0.0137
Healthy	5.20293	0	0	0	0	0.11814	0	0	0	0	8.36194	0	0.1926	0	0	0.78176	0	0	0	0
Healthy	1.37117	0	0	0	0	5.90502	0	0.04255	0	0	23.4089	0.0024	1.20056	0.15651	0	3.68885	0.00799	0.04008	0	0
Healthy	16.8393	0	18.2388	0	0	0	0	0	0.00071	0	0.97029	0	1.94877	0	1.39468	2.2582	0	0.12296	1.28454	0.00071
Healthy	1.56627	0	0	0	0	0	0	0.12522	0	0	18.5626	3.23865	1.6514	0	0	0	0.24095	0.01668	0.26069	0
Healthy	3.54818	7.17452	0.26376	0	0	0.5959	0	0	0.09636	0	5.44304	0	1.6358	0	0	1.65739	0.00624	0.57286	0.00459	0.09636
Healthy	2.14458	0	0.79895	0	0	0	0	0	0	0	23.1623	0	0.019	0	1.1273	0	0	0	0.01474	0
D001172	12.9867	0.1269	0.06263	17.1699	14.8665	0.06795	0.80173	0.03831	1.022	0	0.758	0	0.00362	0	0	0.01588	0	0.08072	0.42227	1.022
Healthy	0.69262	0	0	0	0	0	0	0	1.59455	0	0	0	0	0.1002	0	0	0	0.06747	0	1.59455
Healthy	0.90956	0	0.02077	0	8.96198	3.93028	0.02427	0.07063	0	0	2.06701	0	0.05927	0	1.03345	0	0	0.0234	0	0
Healthy	1.09293	0	0	0	0	0	0	5.39169	0	0	7.69883	0	0.13212	0	0	0	0	0	0.04035	0
