group	Lachnospirales	Oscillospirales	Lactobacillales	Coriobacteriales	Verrucomicrobiales	Erysipelotrichales	Methanobacteriales	Peptostreptococcales	Pseudomonadales		Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	6.33331	11.98098	0	0.22602	5.195	1.26624	0.50179	0.0182	0		6.33331	11.98098	3.22177	5.195	0.50179	1.26624	0.22602	0	0.29804	0.0182
Healthy	0.00094	0	0.22892	0	0	0	0	0	0		0.00094	0	0.02275	0	0	0	0	0	0	0
Healthy	21.55607	3.98991	0.09358	0.17798	0	0.0673	0	0	0		21.55607	3.98991	0	0	0	0.0673	0.17798	0	0.16147	0
Healthy	0	0.25159	3.59098	0.00219	0.00841	0.02798	0	0.02357	0.57192		0	0.25159	90.75306	0.00841	0	0.02798	0.00219	0	0	0.02357
Healthy	1.72277	1.15541	0	0	1.66666	0	0	0	0		1.72277	1.15541	0.11834	1.66666	0	0	0	0	0	0
Healthy	1.17854	2.17255	0	0.11605	0	0	0	0	0		1.17854	2.17255	0	0	0	0	0.11605	0	0.03182	0
Healthy	4.22058	1.07347	0.25024	0.571	0	0	0	0	0.02363		4.22058	1.07347	0.43511	0	0	0	0.571	0	0.01125	0
Healthy	12.86174	11.12191	0	0.14804	1.05654	0.10518	0	0	0		12.86174	11.12191	1.32525	1.05654	0	0.10518	0.14804	0	0.20998	0
Healthy	26.41081	2.31532	0.00441	0.01375	0.01073	0	0	0	0		26.41081	2.31532	0.01689	0.01073	0	0	0.01375	0	0	0
Healthy	5.7435	4.54787	0.00552	0.00226	0.14766	0	0.0539	0	0		5.7435	4.54787	4.34504	0.14766	0.0539	0	0.00226	0	0.07482	0
Healthy	1.35877	1.72019	0.04713	0.13383	0.83505	0.00711	0	0	0		1.35877	1.72019	0.06193	0.83505	0	0.00711	0.13383	0	0	0
Healthy	26.62906	20.95643	0.04653	0.29421	0.00071	0.02471	0	0.00354	0		26.62906	20.95643	0.0216	0.00071	0	0.02471	0.29421	0	0.05661	0.00354
