group	Prevotella_copri_A	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phytobacter_ursingii	Ruminococcus_B_gnavus	Streptococcus_parasanguinis_D	Veillonella_atypica	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Prevotella_copri_A	Bacteroides_eggerthii	Bifidobacterium_longum	Phocaeicola_sp900554435	Bacteroides_sp900066265	Anaerostipes_hadrus	Intestinibacter_bartlettii	Anaerostipes_hadrus_A	Streptococcus_parasanguinis_D	Parasutterella_excrementihominis
Healthy	0	0	0	0.00409	0.00557	0.0431	0.01105	0.01138	0.02165	0.00212	0	0	5.1271	0	0	0.04834	0.09932	2.12399	0.0431	0
Healthy	0	0	0	0.02165	0.14116	0.00544	0	0	0	0	0	0	9.82198	0	0	0.33727	0.0908	0.00638	0.00544	0.00678
Healthy	0	1.31915	0	0	0.11141	0.069	0	0.00317	0	0.00419	0	0	0	0	1.46242	0.27015	0	0.11637	0.069	0.00396
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.05008	0.56203	1.24548	0.22003	0.12217	0	0	0
Healthy	0	0	0	0	0	0	0.16941	0	0	0	0	0	0.50518	8.441	4.28833	0	0	0	0	1.07698
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	23.8925	0	0	0	0	0	0.10417
Healthy	0.06453	0.00777	0.03358	1.37665	0.05311	0.00586	0	0	0	0	0.06453	24.7709	0.00669	17.1072	0	0.24287	0.0709	0.0017	0.00586	0
Healthy	0	0	0	0.04487	0	0	0	0	0	0	0	0	0.13549	0	0	0	0	0	0	0
Healthy	0	0	14.4597	0.36631	0	0	0.08811	0	0	0	0	0	0	0	1.55273	0	0	0	0	0.013
Healthy	0	0	0	2.12948	0.05193	0.03528	0	0	0.00327	0.00315	0	0	4.45185	5.20955	0	0.10532	0.13647	0.02739	0.03528	0.00147
Healthy	0	0	0	1.06216	0.01119	0	0	0	0	0	0	0	0.02207	0	0.25188	0	0	0	0	0.01997
Healthy	2.41062	0	5.91044	0	0.05435	0.00596	0	0	0	0	2.41062	0.07607	0.32622	1.76265	0.00569	0.07586	0	0.02982	0.00596	0
Healthy	2.04231	0	0	0	0.0266	0	0	0	0	0	2.04231	0	0	0	0	0.24463	0.26971	0.08128	0	0
Healthy	0	0	0	0.42965	0.01424	0	0	0	0	0	0	57.9876	0	0	0	0	0	0.01443	0	0.11156
Healthy	0	9.67282	0	0	0	0	0	0	0	0	0	0	0.19461	0	0	0.23778	0.26029	0.0626	0	0.03569
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.26659	0	0	1.49246	0	0	0	0	0
