group	Enterobacterales	Lactobacillales	Veillonellales	Pseudomonadales		Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	78.76377	0.10611	0	0.58176		78.76377	3.52859	0.10611	0.02799	0	0.01017	1.47704	0	0.58176	0
Healthy	1.87079	0.1514	0.008	0		1.87079	0	0.1514	0.17411	0	0.14607	0.01042	0	0	0.25312
Healthy	3.09305	0	7.88732	0		3.09305	0	0	5.90439	0	0	0	0	0	0.16683
Healthy	0	0.78156	0	0		0	0	0.78156	0	0	11.3576	3.88243	1.40591	0	0
Healthy	0	0.60443	1.99584	0.06974		0	0	0.60443	0	0	0.57473	0.21735	0	0.06974	0.01342
Healthy	0	0	0	0		0	0.06765	0	0	0	0	0.10638	0	0	0
Healthy	0.06709	0.00195	0	0		0.06709	3.04604	0.00195	8.78787	0.57278	0	0	1.52523	0	0
Healthy	0.8398	0.03976	0	0.963		0.8398	1.83008	0.03976	0.08859	0.1514	0.6621	0.07817	6.00307	0.963	0.39724
Healthy	1.00992	0.04975	0.03571	0		1.00992	0.00437	0.04975	0.0042	0	0.29282	0.97538	0.02808	0	0
Healthy	0.1118	0.29215	0.61502	0		0.1118	0.51673	0.29215	0	0	0.56328	1.24073	0.02259	0	0
Healthy	0	0.22287	4.75712	0		0	25.358	0.22287	0	0	0.59698	0.08385	0	0	0
Healthy	0	0.02321	0.01308	0		0	0.53875	0.02321	0.01784	0.0264	0	0.38018	0	0	0
Healthy	1.08785	0	0.49436	0		1.08785	5.195	0	0.67731	0.50179	1.26624	0.22602	0	0	0.0182
Healthy	86.41751	0.22892	0	0		86.41751	0	0.22892	0	0	0	0	0	0	0
Healthy	0.11696	0.09358	0	0		0.11696	0	0.09358	5.18226	0	0.0673	0.17798	0	0	0
Healthy	3.9748	3.59098	0.04244	0.57192		3.9748	0.00841	3.59098	0	0	0.02798	0.00219	0	0.57192	0.02357
Healthy	0.09795	0	0	0		0.09795	1.66666	0	0.58962	0	0	0	0	0	0
Healthy	0	0	0	0		0	0	0	0.11326	0	0	0.11605	0	0	0
Healthy	0	0.25024	15.1182	0.02363		0	0	0.25024	0.26844	0	0	0.571	0	0.02363	0
Healthy	0.08321	0	0	0		0.08321	1.05654	0	0.51581	0	0.10518	0.14804	0	0	0
Healthy	0	0.00441	3.44835	0		0	0.01073	0.00441	0.11734	0	0	0.01375	0	0	0
Healthy	0.15123	0.00552	2.88164	0		0.15123	0.14766	0.00552	0.23778	0.0539	0	0.00226	0	0	0
Healthy	0	0.04713	0	0		0	0.83505	0.04713	1.5313	0	0.00711	0.13383	0	0	0
Healthy	2.8125	0.04653	0	0		2.8125	0.00071	0.04653	0	0	0.02471	0.29421	0	0	0.00354
Healthy	0	0	0	0		0	0	0	0.04874	0	11.24847	0	0	0	0
Healthy	0.08119	2.82676	0.25302	0		0.08119	0	2.82676	0.46186	0	1.00134	0.26964	0	0	0
Healthy	0	0	0	0		0	0	0	0.04642	3.78245	1.13999	0.17433	8.81102	0	0
Healthy	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0.04301	0	0		0	10.5195	0.04301	0.11483	0	0.03085	0.24373	0.86272	0	0
Healthy	0	0	0	0		0	0	0	0	0.09708	0.30044	0.63218	0.06803	0	0
Healthy	3.85851	0.9221	1.49325	0		3.85851	0	0.9221	0.0586	0	0.86835	0.4326	0	0	1.16392
Healthy	0.00058	0.15545	0	0.32517		0.00058	6.51919	0.15545	0.09116	0	2.20829	2.46417	0	0.32517	0
Healthy	1.02549	0.75708	0.05609	0.0872		1.02549	0.00699	0.75708	1.77066	1.82276	0.12104	0.18648	1.22966	0.0872	0.28618
Healthy	0.19515	0	0	0		0.19515	0	0	0.1002	0	0	0.33473	0	0	0.05986
Healthy	0.81232	0.8025	0	0		0.81232	0	0.8025	0	0	1.80524	0	3.19845	0	0
Healthy	0.0911	13.96801	0	0.42465		0.0911	0	13.96801	0.16065	3.06148	0.05851	3.76394	0	0.42465	0
Healthy	4.14218	1.56902	6.5513	0.06891		4.14218	0	1.56902	0.00158	0	0.07394	0.03904	0	0.06891	0.01366
Healthy	0.92321	0.23032	1.21693	0		0.92321	0	0.23032	1.67502	0	0.06035	0.13451	0	0	0.17413
Healthy	0.34649	0.0582	2.97255	0		0.34649	0.13239	0.0582	0.01275	0	0.49025	0.7137	0.06831	0	0
Healthy	2.71161	17.16755	2.40822	0		2.71161	0	17.16755	0	0	4.10863	2.27129	2.97004	0	0
Healthy	0.07952	0.17892	0.05662	0		0.07952	0	0.17892	0	0	0	0.11806	0	0	0
Healthy	0.08088	0	12.9858	0		0.08088	0.03307	0	0.0234	0	0.02407	1.0791	0	0	0
Healthy	0.16148	0.27012	4.61753	0.06946		0.16148	0	0.27012	0.08772	0	4.8168	4.33288	0	0.06946	0.25
Healthy	10.2181	0	2.60171	0		10.2181	43.9894	0	0.28406	0	0.13551	1.34897	0	0	0
Healthy	0	0.05589	0	0		0	10.41	0.05589	0.09557	0	0.0128	0.28366	0.80514	0	0
Healthy	0.06381	0.45117	5.94604	0		0.06381	0.10078	0.45117	2.51045	0	0.40667	0.83394	0	0	0
Healthy	0.06157	0	5.89113	0		0.06157	0	0	0.11666	0	0.02247	0.00233	0	0	0
Healthy	0	0	17.72904	0		0	7.09147	0	0.27735	0	0.17455	0.70893	0	0	0.00258
Healthy	0.0175	0.01403	0.00465	0		0.0175	0	0.01403	0.00491	0.02465	5.19517	0.05945	0	0	0
Healthy	0	0	5.0839	0		0	0	0	0	0	0	1.71217	0	0	0.92052
Healthy	0	0.00794	0	0		0	0	0.00794	0	0	1.95468	0	2.18475	0	0
Healthy	0	0	0.01411	0		0	0	0	0.17416	0	0.04651	0.23525	0	0	0
Healthy	4.2841	0.01292	0	0		4.2841	0.55019	0.01292	0	0	0	0	0	0	0
Healthy	0.01667	0.36059	1.21706	0		0.01667	0.38836	0.36059	2.54517	0	0.14758	0.12868	0.00113	0	0
Healthy	0.47737	0.10367	1.15201	0		0.47737	0	0.10367	2.10393	0	0	0	0	0	0
Healthy	2.0968	0	0	0		2.0968	0	0	0.34626	0	0	0	0	0	0
Healthy	0	0	5.62249	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.09698	0.20263	0.00396	0		0.09698	0.09373	0.20263	0.63021	0.18576	1.34631	0.16698	1.31009	0	0
Healthy	0.02507	0	0.46112	0		0.02507	8.71159	0	0.51464	0	0	0.253	0	0	0
Healthy	1.49435	0.34649	0	0.22899		1.49435	0	0.34649	0	0.11191	0	1.54102	1.07483	0.22899	0
Healthy	0	0.45334	0	0		0	0	0.45334	0	0	0	1.31584	0	0	0
Healthy	0	0	0	0		0	0	0	0	0	0.53907	0	0	0	0
Healthy	0	0	0	0		0	19.023	0	0.00056	0	0.1903	3.69281	0	0	0
Healthy	55.0788	0.00765	0.03501	0		55.0788	0.00039	0.00765	0	0	0	0.0026	0	0	0.23549
Healthy	0.57325	0	0	0		0.57325	11.9695	0	0	0	1.18442	0.78351	0.01608	0	0
Healthy	0.91179	0.7126	0.46493	0		0.91179	2.81759	0.7126	0.06954	0.20726	1.65472	0.4209	0	0	4.42379
Healthy	33.3132	0	0	1.74985		33.3132	0	0	0	0	0.73283	0.00433	0	1.74985	0
Healthy	5.37164	0.02733	0	2.00314		5.37164	0.49181	0.02733	0	2.44739	1.85933	0	0	2.00314	0
Healthy	0	0.04903	0	0		0	0	0.04903	2.99685	0.00825	0.17372	0.64273	0	0	0
Healthy	0.09139	0.34273	0.38925	0		0.09139	0	0.34273	0.03267	0.21268	0	0	0	0	0
Healthy	1.15581	0	11.06571	0		1.15581	0	0	0	0	0	0	0	0	0
Healthy	0.05193	0.0318	0.21678	0		0.05193	0	0.0318	0	0	0.02408	0.47668	0.00015	0	0
Healthy	26.87573	1.51516	0.01516	6.4544		26.87573	0.00032	1.51516	0	0	0.04376	1.11166	0	6.4544	0.20169
Healthy	0	0	0	0		0	3.84496	0	0.7445	0	0.00174	0.1628	0	0	0
Healthy	0.76155	0.4968	0.13564	0.33242		0.76155	0.79342	0.4968	0.06486	0	0.00415	0.59299	0	0.33242	0.1088
Healthy	0	0.05237	0	0		0	10.3809	0.05237	0.11834	0	0.00808	0.22282	0.87857	0	0
Healthy	2.10237	8.14983	0.2242	0		2.10237	0	8.14983	0.20459	0.79834	0.13303	1.03937	0	0	0.07247
Healthy	0	0	0	0		0	0	0	0	0	0	1.79807	0	0	0
Healthy	0.09832	0.03648	0	0		0.09832	0	0.03648	0.0657	0	0.03735	0.03568	0	0	0
Healthy	0	0	0	0		0	0	0	1.07337	0	0.06825	0.12192	0	0	0
Healthy	9.39904	0.01927	0.22665	4.54617		9.39904	0.3477	0.01927	0.21451	0.07517	0.8809	0.65339	0	4.54617	0.0581
Healthy	0.38656	0.20842	3.58941	0		0.38656	0	0.20842	0.11966	0	0.02311	0.13178	0	0	0
Healthy	2.90482	0.07356	0	0		2.90482	0	0.07356	0.07877	0	0.01034	0	0	0	0
