group	Veillonella_parvula_A	Enterocloster_clostridioformis_A	Bifidobacterium_breve	Veillonella_atypica	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955		Akkermansia_muciniphila_D	Bifidobacterium_longum	Phocaeicola_sp900554435	Roseburia_intestinalis	Bacteroides_sp900066265	Mediterraneibacter_lactaris	Anaerostipes_hadrus	Clostridium_A_leptum	Anaerostipes_hadrus_A	Adlercreutzia_equolifaciens
Healthy	0.00415	0	0	0.01935	0	0	0	0		0	0	1.64142	0.02657	0	0.31311	0.04396	0	0.21148	0
Healthy	0.89971	0	0	0	0	0	0	0		0	0.1845	0	0	0	0	0	0	0	0
Healthy	0.00247	0	0	0	0	0	0.00512	0		0	0	0.00055	35.6807	0	1.22101	0.33342	0	0.01471	0
Healthy	0.01516	0	0	0	0.02999	0	0.00281	0.01325		0.00032	0.65007	0	0	0	1.19388	0.06616	0.33886	0.06382	0.20868
Healthy	0	0	0	0	0	0	0	0		3.84496	0.36239	0	0	0.34008	0.02389	0	0	0	0
Healthy	0.12136	0	0	0.00967	0.00037	0.00461	0.02274	0.00101		0.79342	0.32129	1.27234	0.79056	0.0672	0	0.0936	0.01117	0.14624	0
Healthy	0	0	0	0	0	0	0	0		10.3809	0	2.05116	0.53495	0	0.23418	0	0	0	0
Healthy	0.07083	0	0	0.15174	0.00088	0.00163	0.06246	0.02079		0	0.68255	0	3.9295	0	0	0.13148	0.01793	0.37734	0.01142
Healthy	0	0	0	0	0	0	0	0		0	0	0	0.46866	0	0.97543	0	0	0	0.89561
Healthy	0	0.06845	0.06029	0	0	0	0	0		0	0.06027	0	0	0	0.07922	0	0.10545	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	1.26375	0	0	0	0	0.06162
Healthy	0.00044	0	0.01493	0	0.00513	0	0	0.00982		0.3477	0.99464	0	0	0	0.11314	0.02834	0.08739	0.01721	0.02265
Healthy	0.02526	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0.39264	0.01594	0
Healthy	0	2.13911	0	0	0	0	0	0		0	0	0	0	0	0	0	0.04091	0	0
Healthy	0.03051	0	0.01589	0	0	0	0	0		0	0.11514	0	0.21543	0	0	0	0	0	0.03016
Healthy	0.00921	0	0	0	0.00306	0	0	0.00036		1.4567	0.00488	0	0.01074	0	0	0.02022	0.04056	0.03669	0.04885
Healthy	0	0	0	0	0	0	0	0		3.57301	0.29831	0	0	0.31417	0.03179	0	0	0	0
Healthy	0.01218	0	0	0	0	0	0.00564	0		0.69873	0.63589	0	1.33257	0	0.0032	0.03316	0.0976	0.04129	0
Healthy	0	0	0	0	0	0	0.00084	0		0.01236	0	7.26919	1.10124	0	0.00761	0.15664	0.00058	0.01205	0
Healthy	0	0	0	0	0	0	0	0		1.26245	11.5889	1.04943	0.66597	0	0	0.40681	0	0.22131	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0.60947	0	0.12617	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.20813	11.6161	0	0.72571	0	0.53383	0	0.50929	0.03878
Healthy	0	1.97954	0	0	0	0	0	0		0	0	0	0	0	0	0	0.04359	0	0
Healthy	0.06447	0	0	0.00508	0	0.01823	0	0		0.6796	0	4.79263	0.09368	0	0.75335	0.13132	0	0.00599	0
Healthy	0.01651	0	0	0	0	0	0	0		0	0.41307	0	0.27923	0.72365	0.37178	0.0136	0.01383	0.0336	0
Healthy	0	0	0	0	0	0	0	0		0	0.11493	1.45829	0.10408	0.60414	0	0	0.07405	0	0
Healthy	0	0.03776	0.05038	0	0	0	0	0		0	0.04577	0	0	0	0.07234	0	0.12658	0	0
Healthy	0.0072	0	0	0	0	0	0	0		0.6598	0.00498	19.33	9.40525	0.06884	0	0	0.00883	0	0
Healthy	0.00213	0	0.64694	0	0.00486	0	0	0		0	3.60476	1.2191	0	0	0	0	0.12458	0.03714	0.2947
Healthy	0.01198	0	0	0	0	0.00962	0	0		0	0.04194	6.05461	0.09677	0.42784	0.49153	0.0162	0	0.03981	0.01596
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0.13817	0	0
Healthy	0	1.82906	0	0	0	0	0	0		0	0	0	0.03809	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.85165	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.05428	0.11357	0.00681	0	0		0	0	0	0.0626	0	0.02245	1.70359	0	0.44808	0
Healthy	0.00798	0	0	0	0	0	0	0		0	0	0	0	7.17641	0	0	0	0	0.12817
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	7.00533	0	0	0	0	0.17511
Healthy	0	0	0	0	0	0	0	0		0.79293	0	0	0.04227	0	1.26111	0	0	0	0
Healthy	0.06454	0	0	0.08584	0	0.00845	0	0		5.96611	0	0	0	0	0.08582	0	0	0.00482	0
Healthy	0	0	0.02279	0	0	0	0	0		0.05654	0	0	0.02795	3.30276	0	0	0	0	0
Healthy	0.56786	2.25168	0	0	0.09192	0	0.01819	0		0	0	0	0.02223	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0.12992	0	1.11379	0.19916	0	0.1792	0
Healthy	0	0	0	0	0	0	0	0		0	0	4.24481	0.83585	0	0	0	0	0	0
Healthy	0.00816	0	0	0	0	0	0	0		0	0.00486	0	0	7.27836	0	0	0	0	0.13351
Healthy	0	0	0	0	0	0	0	0		0	0.21558	0	0	0	0	0	0.14612	0	0
Healthy	0.0794	0	0	0.11773	0	0.0184	0	0		0.69377	0.10378	0	0.10226	0	0.33609	0.03802	0	0	0
Healthy	0	0	0.09764	0	0.00781	0	0	0		12.3504	1.12684	0.39591	0	0	0	0	0.64429	0	0.09891
Healthy	0	0	0	0	0	0	0	0		5.12023	0	0.73433	0.00859	0	0.00242	0.07437	0	0.12675	0
Healthy	0	0	0	0	0.00757	0	0	0		0.14545	1.07843	0.6692	0	0	0.05624	0	0.13202	0.00874	0
Healthy	0.02628	0	0	0	0	0	0.03841	0		0	0	1.05153	4.69301	0	0	0	0.02372	0	0
Healthy	0	0	0	0	0	0	0	0		1.67518	0	1.1008	0.36407	0	0.03661	0.12496	0	0.23146	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.00976	0	0.22312	0	0.00557	0	0	0		0.87803	1.6023	0	0	0	0	0	0	0	0
Healthy	0.01316	0	1.09152	0	0.00208	0	0.01885	0.00254		0	0.97636	1.89572	0	0.70893	0	0.07763	0.00309	0.01482	0.08882
Healthy	0.78312	0	0	0	0	0	0	0		0	0.15458	0	0	0	0	0	0	0	0
Healthy	0.00199	0	0	0	0	0	0	0		0.00032	0.02216	2.29798	0.0307	0.63286	0.12106	0.02476	0.08401	0.02845	0.07246
Healthy	0	0	0	0	0	0	0	0		0	0	0.00882	2.326	0	1.22698	0.00431	0	0.37482	0
Healthy	0.00441	0	0.06079	0	0.0017	0	0	0		1.83282	0.77632	0	0.34044	0	0.58953	0.01771	0.04035	0.0167	0.05093
Healthy	0.0266	0	0	0.05936	0	0	0	0		5.82674	0	0	0	0	0.10316	0	0	0	0
Healthy	0	0.00324	0	0	0	0	0	0		0	0.16333	4.61766	0.53138	0	0.68943	0.22029	0	0.14002	0.02508
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	0.02885	0	0	0	0	0
Healthy	0.03605	0	0	0	0	0	0	0		0	0.03031	0	0.39077	1.49416	0.04427	0	0	0	0
Healthy	0	0.05089	0	0	0.00172	0	0	0		0	0.17261	0	0	0	0	0.05392	0.00841	0.0372	0.29366
Healthy	0	0	0	0	0.01067	0	0	0		43.4724	0	0	0	0.24304	0	0	0.03254	0	0
Healthy	0.02171	0	0	0	0.00218	0	0	0		0.03469	0.3979	0.12334	0.08523	0.10554	0.17862	0.21912	0.90885	0.02045	0
Healthy	0.01966	0	0	0.00187	0	0.07309	0.13692	0		0	0	0	0.05724	0.08784	0.65839	0.06247	0	0.0542	0
Healthy	0.02947	0	0	0.00917	0.00073	0.01187	0.02679	0.00028		0	2.77014	15.6298	5.90967	4.92678	0.35925	0.52374	1.03316	0.16279	0.11938
Healthy	0	0	0	0.00416	0	0	0	0		0.63493	0.23134	0	2.34956	0	0.84419	0.06451	0.01237	0.16555	0.01051
Healthy	0.28804	0	0	0.0635	0	0.00532	0	0		0.03989	1.02518	0.05678	0	0.07795	0.10585	0.13469	0	0.08823	0.00776
Healthy	0.01823	0	0	0.02572	0.0002	0.00461	0.0157	0		0	1.49307	9.21668	6.7936	3.64497	0.68885	0.20926	0.09336	0.07026	0.18069
Healthy	0	0	0	0	0	0	0	0		0.04755	0	19.7951	2.0102	0	0	0.03031	0	0	0
Healthy	0	0	0	0	0	0	0	0		0.89222	0	0	0	0	0.38454	0.14316	0.02781	0.00976	0.04102
Healthy	0	0	0	0	0	0	0	0		0.00828	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0.90165	0	0	0.01897	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.1269	1.39403	0.11396	0.5089	0	0	0.16526	0	0
Healthy	0	0	0	0	0	0	0	0		10.2982	0.08372	0	4.28245	0.71457	0.54315	0.02219	0.04013	0	0
Healthy	0.07615	0	0	0	0.52628	0.01711	0.02436	0.25219		0	0	0	1.76218	0	0.41604	0.16591	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.19261	6.94837	0.22618	3.62731	0.36474	0	0	0	0
Healthy	0	0	0.76948	0	0.02318	0	0	0.00164		0	3.6984	1.14267	0	0	0	0.00485	0.07793	0.01497	0.2894
Healthy	0.12044	0	0	0	0	0	0	0		0.03792	0.05268	3.50836	0.89243	0.2181	0.55502	0.03748	0	0.00279	0.0399
Healthy	0.02633	0	0	0.06696	0	0	0	0.00719		0	0	0	0.08523	0	3.54888	3.67152	0	0.79642	0
